MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10565.0,3010110.75,1128343.29,-8401.38,-8741.57,-8850.55,-8948.44,-9110.42,-9160.81,-9266.4,10218.990000000002,135.87459996098576,10218.990000000002
10566.0,3010110.76,1128343.3,-8402.38,-8741.57,-8850.55,-8948.44,-9110.42,-9160.81,-9266.4,10219.990000000002,,10219.990000000002
10567.0,3010110.76,1128343.3,-8403.38,-8741.56,-8850.54,-8948.43,-9110.41,-9160.8,-9266.39,10220.990000000002,138.5598687349183,10220.990000000002
10568.0,3010110.77,1128343.31,-8404.38,-8741.56,-8850.54,-8948.43,-9110.41,-9160.8,-9266.39,10221.990000000002,,10221.990000000002
10569.0,3010110.78,1128343.31,-8405.37,-8741.56,-8850.54,-8948.43,-9110.41,-9160.8,-9266.39,10223.0,,10223.0
10570.0,3010110.78,1128343.32,-8406.37,-8741.56,-8850.54,-8948.43,-9110.41,-9160.8,-9266.39,10224.0,,10224.0
10571.0,3010110.79,1128343.32,-8407.37,-8741.55,-8850.53,-8948.42,-9110.4,-9160.79,-9266.38,10225.0,,10225.0
10572.0,3010110.8,1128343.33,-8408.37,-8741.55,-8850.53,-8948.42,-9110.4,-9160.79,-9266.38,10226.0,,10226.0
10573.0,3010110.8,1128343.33,-8409.37,-8741.55,-8850.53,-8948.42,-9110.4,-9160.79,-9266.38,10227.01,,10227.01
10574.0,3010110.81,1128343.34,-8410.37,-8741.55,-8850.53,-8948.42,-9110.4,-9160.79,-9266.38,10228.01,,10228.01
10575.0,3010110.82,1128343.34,-8411.37,-8741.54,-8850.52,-8948.41,-9110.39,-9160.78,-9266.37,10229.01,,10229.01
10576.0,3010110.82,1128343.35,-8412.37,-8741.54,-8850.52,-8948.41,-9110.39,-9160.78,-9266.37,10230.01,,10230.01
10577.0,3010110.83,1128343.35,-8413.37,-8741.54,-8850.52,-8948.41,-9110.39,-9160.78,-9266.37,10231.02,,10231.02
10578.0,3010110.84,1128343.36,-8414.37,-8741.54,-8850.52,-8948.41,-9110.39,-9160.78,-9266.37,10232.02,,10232.02
10579.0,3010110.84,1128343.36,-8415.37,-8741.53,-8850.51,-8948.4,-9110.38,-9160.77,-9266.36,10233.02,,10233.02
10580.0,3010110.85,1128343.37,-8416.37,-8741.53,-8850.51,-8948.4,-9110.38,-9160.77,-9266.36,10234.02,,10234.02
10581.0,3010110.86,1128343.37,-8417.37,-8741.53,-8850.51,-8948.4,-9110.38,-9160.77,-9266.36,10235.03,,10235.03
10582.0,3010110.86,1128343.38,-8418.37,-8741.53,-8850.51,-8948.4,-9110.38,-9160.77,-9266.36,10236.03,,10236.03
