MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10437.0,2891720.37,1028545.97,-8357.87,-8463.96,-8706.98,-8773.3,-8823.03,-8843.92,-8968.79,10396.33,95.2460738243804,10396.33
10438.0,2891720.32,1028546.32,-8358.81,-8463.94,-8706.97,-8773.29,-8823.02,-8843.9,-8968.78,10397.28,103.46983216086537,10397.28
10439.0,2891720.27,1028546.68,-8359.74,-8463.93,-8706.96,-8773.28,-8823.01,-8843.89,-8968.76,10398.22,98.236531401284,10398.22
10440.0,2891720.21,1028547.04,-8360.67,-8463.92,-8706.94,-8773.26,-8822.99,-8843.88,-8968.75,10399.16,119.91734883383528,10399.16
10441.0,2891720.16,1028547.4,-8361.6,-8463.9,-8706.93,-8773.25,-8822.98,-8843.86,-8968.74,10400.11,100.47937458396171,10400.11
10442.0,2891720.1,1028547.76,-8362.53,-8463.89,-8706.92,-8773.24,-8822.97,-8843.85,-8968.72,10401.05,97.4889170070581,10401.05
10443.0,2891720.05,1028548.12,-8363.46,-8463.87,-8706.9,-8773.22,-8822.95,-8843.84,-8968.71,10402.0,103.46983216086537,10402.0
10444.0,2891719.99,1028548.49,-8364.39,-8463.86,-8706.89,-8773.21,-8822.94,-8843.82,-8968.69,10402.94,109.4507473146726,10402.94
10445.0,2891719.93,1028548.85,-8365.32,-8463.85,-8706.87,-8773.2,-8822.92,-8843.81,-8968.68,10403.89,93.00323064170269,10403.89
10446.0,2891719.87,1028549.22,-8366.25,-8463.83,-8706.86,-8773.18,-8822.91,-8843.79,-8968.67,10404.83,109.4507473146726,10404.83
10447.0,2891719.81,1028549.58,-8367.18,-8463.82,-8706.85,-8773.17,-8822.9,-8843.78,-8968.65,10405.77,98.236531401284,10405.77
10448.0,2891719.74,1028549.95,-8368.11,-8463.81,-8706.83,-8773.15,-8822.88,-8843.77,-8968.64,10406.71,109.4507473146726,10406.71
10449.0,2891719.68,1028550.32,-8369.04,-8463.79,-8706.82,-8773.14,-8822.87,-8843.75,-8968.63,10407.66,100.47937458396171,10407.66
10450.0,2891719.61,1028550.69,-8369.96,-8463.78,-8706.8,-8773.13,-8822.86,-8843.74,-8968.61,10408.6,100.47937458396171,10408.6
10451.0,2891719.54,1028551.05,-8370.89,-8463.76,-8706.79,-8773.11,-8822.84,-8843.72,-8968.6,10409.54,,10409.54
10452.0,2891719.48,1028551.42,-8371.82,-8463.75,-8706.78,-8773.1,-8822.83,-8843.71,-8968.58,10410.48,97.4889170070581,10410.48
10453.0,2891719.41,1028551.8,-8372.74,-8463.74,-8706.76,-8773.08,-8822.81,-8843.7,-8968.57,10411.42,109.4507473146726,10411.42
10454.0,2891719.34,1028552.17,-8373.67,-8463.72,-8706.75,-8773.07,-8822.8,-8843.68,-8968.55,10412.36,95.2460738243804,10412.36
10455.0,2891719.27,1028552.54,-8374.59,-8463.71,-8706.73,-8773.06,-8822.78,-8843.67,-8968.54,10413.3,103.46983216086537,10413.3
10456.0,2891719.19,1028552.91,-8375.52,-8463.69,-8706.72,-8773.04,-8822.77,-8843.65,-8968.53,10414.240000000002,103.46983216086537,10414.240000000002
10457.0,2891719.12,1028553.29,-8376.44,-8463.68,-8706.71,-8773.03,-8822.76,-8843.64,-8968.51,10415.18,103.46983216086537,10415.18
10458.0,2891719.05,1028553.66,-8377.37,-8463.66,-8706.69,-8773.01,-8822.74,-8843.63,-8968.5,10416.12,,10416.12
10459.0,2891718.97,1028554.04,-8378.29,-8463.65,-8706.68,-8773.0,-8822.73,-8843.61,-8968.48,10417.05,,10417.05
10460.0,2891718.9,1028554.41,-8379.22,-8463.64,-8706.66,-8772.98,-8822.71,-8843.6,-8968.47,10417.990000000002,93.00323064170269,10417.990000000002
