MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11738.0,3001911.72,1071594.08,-9434.48,-9919.46,-10088.2,-10122.39,-10177.58,-10212.16,-10360.11,11723.09,85.42629074076653,11723.09
11739.0,3001911.66,1071594.13,-9435.47,-9919.43,-10088.17,-10122.36,-10177.55,-10212.13,-10360.08,11724.12,87.53782303622671,11724.12
11740.0,3001911.61,1071594.19,-9436.47,-9919.4,-10088.14,-10122.33,-10177.52,-10212.1,-10360.05,11725.14,92.08573874952556,11725.14
11741.0,3001911.55,1071594.25,-9437.47,-9919.37,-10088.11,-10122.3,-10177.49,-10212.07,-10360.02,11726.17,91.56024428685446,11726.17
11742.0,3001911.49,1071594.3,-9438.46,-9919.34,-10088.08,-10122.27,-10177.46,-10212.04,-10359.99,11727.19,90.06975090182375,11727.19
11743.0,3001911.43,1071594.36,-9439.46,-9919.31,-10088.05,-10122.24,-10177.43,-10212.01,-10359.96,11728.22,89.93598867496203,11728.22
11744.0,3001911.38,1071594.42,-9440.46,-9919.28,-10088.02,-10122.21,-10177.4,-10211.98,-10359.93,11729.25,94.03484548379647,11729.25
11745.0,3001911.32,1071594.48,-9441.45,-9919.25,-10087.99,-10122.18,-10177.37,-10211.95,-10359.9,11730.27,91.25450205402764,11730.27
11746.0,3001911.26,1071594.54,-9442.45,-9919.22,-10087.96,-10122.15,-10177.34,-10211.92,-10359.87,11731.3,87.44227858846833,11731.3
11747.0,3001911.2,1071594.6,-9443.45,-9919.19,-10087.93,-10122.12,-10177.31,-10211.89,-10359.84,11732.320000000002,87.75757526607099,11732.320000000002
11748.0,3001911.14,1071594.66,-9444.44,-9919.16,-10087.9,-10122.09,-10177.28,-10211.86,-10359.81,11733.35,90.6907898122532,11733.35
11749.0,3001911.07,1071594.72,-9445.44,-9919.13,-10087.87,-10122.06,-10177.25,-10211.83,-10359.78,11734.38,85.42629074076653,11734.38
11750.0,3001911.01,1071594.79,-9446.44,-9919.1,-10087.84,-10122.03,-10177.22,-10211.8,-10359.75,11735.4,83.73515401544323,11735.4
11751.0,3001910.95,1071594.85,-9447.43,-9919.07,-10087.81,-10122.0,-10177.19,-10211.77,-10359.72,11736.43,85.73203297359335,11736.43
11752.0,3001910.88,1071594.92,-9448.43,-9919.04,-10087.78,-10121.97,-10177.16,-10211.74,-10359.69,11737.46,88.82767308096483,11737.46
11753.0,3001910.82,1071594.98,-9449.42,-9919.0,-10087.74,-10121.93,-10177.12,-10211.7,-10359.65,11738.490000000002,90.1844042391338,11738.490000000002
11754.0,3001910.76,1071595.05,-9450.42,-9918.97,-10087.71,-10121.9,-10177.09,-10211.67,-10359.62,11739.52,89.75445422422109,11739.52
11755.0,3001910.69,1071595.11,-9451.41,-9918.94,-10087.68,-10121.87,-10177.06,-10211.64,-10359.59,11740.54,84.61416293482031,11740.54
11756.0,3001910.63,1071595.18,-9452.41,-9918.91,-10087.65,-10121.84,-10177.03,-10211.61,-10359.56,11741.570000000002,85.4645085198699,11741.570000000002
