MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10365.0,2918727.79,1046207.99,-8305.07,-8592.39,-8804.46,-8858.61,-8910.59,-8956.42,-9082.39,10473.35,181.0680629840398,10473.35
10366.0,2918727.79,1046208.01,-8306.07,-8592.4,-8804.47,-8858.61,-8910.59,-8956.42,-9082.4,10474.35,181.03883960395848,10474.35
10367.0,2918727.8,1046208.03,-8307.07,-8592.4,-8804.47,-8858.61,-8910.59,-8956.42,-9082.4,10475.35,179.70917581025708,10475.35
10368.0,2918727.81,1046208.06,-8308.07,-8592.4,-8804.47,-8858.61,-8910.59,-8956.43,-9082.4,10476.35,178.56946398708448,10476.35
10369.0,2918727.81,1046208.08,-8309.07,-8592.4,-8804.47,-8858.61,-8910.59,-8956.43,-9082.4,10477.35,178.74480426757256,10477.35
10370.0,2918727.82,1046208.1,-8310.07,-8592.4,-8804.47,-8858.61,-8910.59,-8956.43,-9082.4,10478.34,178.68635750740987,10478.34
10371.0,2918727.83,1046208.12,-8311.07,-8592.4,-8804.47,-8858.61,-8910.6,-8956.43,-9082.4,10479.34,178.13111328586422,10479.34
10372.0,2918727.83,1046208.14,-8312.07,-8592.4,-8804.47,-8858.61,-8910.6,-8956.43,-9082.4,10480.34,176.62610921167476,10480.34
10373.0,2918727.84,1046208.16,-8313.07,-8592.4,-8804.47,-8858.61,-8910.6,-8956.43,-9082.4,10481.34,171.9357567086182,10481.34
10374.0,2918727.85,1046208.18,-8314.07,-8592.41,-8804.48,-8858.62,-8910.6,-8956.44,-9082.41,10482.34,171.36590079703188,10482.34
10375.0,2918727.85,1046208.2,-8315.07,-8592.41,-8804.48,-8858.62,-8910.61,-8956.44,-9082.41,10483.33,174.21518035496342,10483.33
10376.0,2918727.86,1046208.22,-8316.07,-8592.42,-8804.49,-8858.63,-8910.61,-8956.45,-9082.42,10484.33,174.49280246573625,10484.33
10377.0,2918727.87,1046208.24,-8317.06,-8592.42,-8804.49,-8858.63,-8910.62,-8956.45,-9082.42,10485.320000000002,171.10289037629974,10485.320000000002
10378.0,2918727.87,1046208.27,-8318.06,-8592.43,-8804.5,-8858.64,-8910.62,-8956.46,-9082.43,10486.320000000002,169.744003202517,10486.320000000002
10379.0,2918727.88,1046208.29,-8319.06,-8592.43,-8804.5,-8858.64,-8910.63,-8956.46,-9082.43,10487.31,174.1713452848414,10487.31
10380.0,2918727.89,1046208.31,-8320.06,-8592.44,-8804.51,-8858.65,-8910.63,-8956.47,-9082.44,10488.3,177.53203399419655,10488.3
10381.0,2918727.9,1046208.33,-8321.06,-8592.44,-8804.51,-8858.65,-8910.64,-8956.47,-9082.44,10489.3,174.37590894541086,10489.3
10382.0,2918727.9,1046208.35,-8322.06,-8592.45,-8804.52,-8858.66,-8910.64,-8956.48,-9082.45,10490.29,173.4992075429704,10490.29
10383.0,2918727.91,1046208.37,-8323.06,-8592.45,-8804.52,-8858.66,-8910.65,-8956.48,-9082.45,10491.29,174.72658950638703,10491.29
10384.0,2918727.91,1046208.39,-8324.06,-8592.5,-8804.57,-8858.71,-8910.69,-8956.52,-9082.5,10492.240000000002,173.54304261309238,10492.240000000002
10385.0,2918727.92,1046208.41,-8325.06,-8592.54,-8804.61,-8858.75,-8910.74,-8956.57,-9082.54,10493.2,176.50921569134934,10493.2
10386.0,2918727.93,1046208.43,-8326.06,-8592.59,-8804.66,-8858.8,-8910.78,-8956.61,-9082.59,10494.15,178.49640553688107,10494.15
10387.0,2918727.93,1046208.46,-8327.06,-8592.63,-8804.7,-8858.84,-8910.83,-8956.66,-9082.63,10495.11,181.55024875538209,10495.11
10388.0,2918727.94,1046208.48,-8328.06,-8592.68,-8804.75,-8858.89,-8910.87,-8956.7,-9082.68,10496.06,175.53023245862414,10496.06
10389.0,2918727.95,1046208.5,-8329.06,-8592.72,-8804.79,-8858.93,-8910.92,-8956.75,-9082.72,10497.02,172.6371178305706,10497.02
10390.0,2918727.95,1046208.52,-8330.06,-8592.77,-8804.84,-8858.98,-8910.96,-8956.79,-9082.77,10497.97,169.9777902431678,10497.97
10391.0,2918727.96,1046208.54,-8331.06,-8592.81,-8804.88,-8859.02,-8911.01,-8956.84,-9082.81,10498.93,172.02342684886224,10498.93
10392.0,2918727.97,1046208.56,-8332.06,-8592.86,-8804.93,-8859.07,-8911.05,-8956.88,-9082.86,10499.88,172.1110969891063,10499.88
10393.0,2918727.97,1046208.58,-8333.06,-8592.9,-8804.97,-8859.11,-8911.1,-8956.93,-9082.9,10500.84,170.24080066389993,10500.84
10394.0,2918727.98,1046208.61,-8334.06,-8592.95,-8805.02,-8859.16,-8911.14,-8956.97,-9082.95,10501.79,174.43435570557355,10501.79
10395.0,2918727.99,1046208.63,-8335.06,-8592.99,-8805.06,-8859.2,-8911.19,-8957.02,-9082.99,10502.75,178.37951201655568,10502.75
10396.0,2918727.99,1046208.65,-8336.06,-8593.04,-8805.11,-8859.25,-8911.23,-8957.07,-9083.04,10503.7,178.81786271777594,10503.7
10397.0,2918728.0,1046208.67,-8337.06,-8593.08,-8805.15,-8859.29,-8911.28,-8957.11,-9083.08,10504.66,,10504.66
10398.0,2918728.0,1046208.69,-8338.06,-8593.13,-8805.2,-8859.34,-8911.32,-8957.16,-9083.13,10505.61,181.24340326452796,10505.61
10399.0,2918728.01,1046208.71,-8339.06,-8593.17,-8805.24,-8859.38,-8911.37,-8957.2,-9083.17,10506.56,175.1503285175666,10506.56
10400.0,2918728.02,1046208.73,-8340.06,-8593.22,-8805.29,-8859.43,-8911.41,-8957.25,-9083.22,10507.52,172.46177755008247,10507.52
10401.0,2918728.02,1046208.76,-8341.06,-8593.26,-8805.33,-8859.48,-8911.46,-8957.29,-9083.26,10508.47,170.59148122487613,10508.47
10402.0,2918728.03,1046208.78,-8342.06,-8593.31,-8805.38,-8859.52,-8911.5,-8957.34,-9083.31,10509.43,166.8655002645041,10509.43
10403.0,2918728.04,1046208.8,-8343.06,-8593.35,-8805.43,-8859.57,-8911.55,-8957.38,-9083.36,10510.38,169.52482785190688,10510.38
10404.0,2918728.04,1046208.82,-8344.06,-8593.4,-8805.47,-8859.61,-8911.6,-8957.43,-9083.4,10511.34,182.36850339765985,10511.34
10405.0,2918728.05,1046208.84,-8345.06,-8593.45,-8805.52,-8859.66,-8911.64,-8957.47,-9083.45,10512.29,186.4597766090488,10512.29
10406.0,2918728.05,1046208.86,-8346.06,-8593.49,-8805.56,-8859.7,-8911.69,-8957.52,-9083.49,10513.240000000002,186.5036116791708,10513.240000000002
10407.0,2918728.06,1046208.88,-8347.06,-8593.54,-8805.61,-8859.75,-8911.73,-8957.56,-9083.54,10514.2,182.4561735379039,10514.2
10408.0,2918728.07,1046208.91,-8348.06,-8593.58,-8805.65,-8859.79,-8911.78,-8957.61,-9083.58,10515.15,178.52562891696243,10515.15
10409.0,2918728.07,1046208.93,-8349.06,-8593.63,-8805.7,-8859.84,-8911.82,-8957.66,-9083.63,10516.11,179.0078146883047,10516.11
10410.0,2918728.08,1046208.95,-8350.06,-8593.67,-8805.74,-8859.88,-8911.87,-8957.7,-9083.67,10517.06,177.97038469541678,10517.06
10411.0,2918728.08,1046208.97,-8351.06,-8593.72,-8805.79,-8859.93,-8911.91,-8957.75,-9083.72,10518.02,168.0052120876767,10518.02
