MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10597.0,2903911.6,1026541.57,-8554.56,-8881.29,-9104.73,-9171.11,-9220.63,-9258.67,-9384.98,10435.77,114.97037073009764,10435.77
10598.0,2903911.59,1026541.58,-8555.56,-8881.3,-9104.74,-9171.12,-9220.64,-9258.68,-9384.99,10436.76,113.12734437425824,10436.76
10599.0,2903911.59,1026541.59,-8556.56,-8881.31,-9104.75,-9171.13,-9220.65,-9258.68,-9385.0,10437.75,110.48876707345214,10437.75
10600.0,2903911.58,1026541.6,-8557.56,-8881.32,-9104.76,-9171.14,-9220.66,-9258.69,-9385.01,10438.740000000002,109.16284883184105,10438.740000000002
10601.0,2903911.57,1026541.61,-8558.56,-8881.33,-9104.77,-9171.15,-9220.67,-9258.7,-9385.02,10439.73,113.4853422994932,10439.73
10602.0,2903911.56,1026541.62,-8559.56,-8881.34,-9104.78,-9171.16,-9220.68,-9258.71,-9385.03,10440.72,113.11408519184212,10440.72
10603.0,2903911.55,1026541.63,-8560.56,-8881.35,-9104.79,-9171.17,-9220.69,-9258.72,-9385.04,10441.71,105.50331448499446,10441.71
10604.0,2903911.55,1026541.64,-8561.56,-8881.36,-9104.8,-9171.18,-9220.7,-9258.73,-9385.05,10442.7,101.98963114472504,10442.7
10605.0,2903911.54,1026541.65,-8562.56,-8881.37,-9104.81,-9171.19,-9220.71,-9258.74,-9385.06,10443.69,110.67439562727768,10443.69
10606.0,2903911.53,1026541.67,-8563.56,-8881.38,-9104.82,-9171.2,-9220.72,-9258.75,-9385.07,10444.68,112.31853424687546,10444.68
10607.0,2903911.52,1026541.68,-8564.56,-8881.39,-9104.83,-9171.21,-9220.73,-9258.76,-9385.08,10445.67,110.22358342512996,10445.67
10608.0,2903911.52,1026541.69,-8565.56,-8881.4,-9104.84,-9171.22,-9220.74,-9258.77,-9385.09,10446.66,114.8112605411043,10446.66
10609.0,2903911.51,1026541.7,-8566.56,-8881.41,-9104.85,-9171.23,-9220.75,-9258.78,-9385.1,10447.65,123.15128628083806,10447.65
10610.0,2903911.5,1026541.71,-8567.56,-8881.42,-9104.86,-9171.24,-9220.76,-9258.79,-9385.11,10448.64,123.65513521265028,10448.64
10611.0,2903911.49,1026541.72,-8568.56,-8881.43,-9104.87,-9171.25,-9220.77,-9258.8,-9385.12,10449.63,122.80654753801916,10449.63
10612.0,2903911.48,1026541.73,-8569.56,-8881.44,-9104.88,-9171.26,-9220.78,-9258.81,-9385.13,10450.62,121.16240891842143,10450.62
10613.0,2903911.47,1026541.74,-8570.56,-8881.45,-9104.89,-9171.27,-9220.79,-9258.82,-9385.14,10451.61,116.20347469479594,10451.61
10614.0,2903911.47,1026541.75,-8571.56,-8881.46,-9104.9,-9171.28,-9220.8,-9258.83,-9385.15,10452.6,121.24196401291807,10452.6
10615.0,2903911.46,1026541.76,-8572.56,-8881.47,-9104.91,-9171.29,-9220.81,-9258.84,-9385.16,10453.59,118.97464381976312,10453.59
10616.0,2903911.45,1026541.77,-8573.56,-8881.48,-9104.92,-9171.3,-9220.82,-9258.85,-9385.17,10454.58,113.2068994687549,10454.58
10617.0,2903911.44,1026541.78,-8574.56,-8881.49,-9104.93,-9171.31,-9220.83,-9258.86,-9385.18,10455.570000000002,108.6059631703644,10455.570000000002
10618.0,2903911.43,1026541.8,-8575.56,-8881.5,-9104.94,-9171.32,-9220.84,-9258.87,-9385.19,10456.56,116.46865834311816,10456.56
10619.0,2903911.42,1026541.81,-8576.56,-8881.51,-9104.95,-9171.33,-9220.85,-9258.88,-9385.2,10457.55,111.44342820741213,10457.55
10620.0,2903911.41,1026541.82,-8577.56,-8881.52,-9104.96,-9171.34,-9220.86,-9258.89,-9385.21,10458.53,107.58500612432384,10458.53
10621.0,2903911.41,1026541.83,-8578.56,-8881.53,-9104.97,-9171.35,-9220.87,-9258.91,-9385.22,10459.52,114.6786687169432,10459.52
10622.0,2903911.4,1026541.84,-8579.56,-8881.54,-9104.98,-9171.36,-9220.88,-9258.92,-9385.23,10460.51,112.79586481385545,10460.51
10623.0,2903911.39,1026541.85,-8580.56,-8881.55,-9104.99,-9171.37,-9220.89,-9258.93,-9385.24,10461.5,108.88440600110272,10461.5
10624.0,2903911.38,1026541.87,-8581.56,-8881.57,-9105.01,-9171.39,-9220.9,-9258.94,-9385.26,10462.490000000002,113.43230556982876,10462.490000000002
10625.0,2903911.37,1026541.88,-8582.56,-8881.58,-9105.02,-9171.4,-9220.91,-9258.95,-9385.27,10463.48,113.81682185989598,10463.48
10626.0,2903911.36,1026541.89,-8583.56,-8881.59,-9105.03,-9171.41,-9220.92,-9258.96,-9385.28,10464.47,113.40578720499654,10464.47
10627.0,2903911.35,1026541.9,-8584.56,-8881.6,-9105.04,-9171.42,-9220.94,-9258.97,-9385.29,10465.46,104.12435951371891,10465.46
10628.0,2903911.34,1026541.91,-8585.56,-8881.61,-9105.05,-9171.43,-9220.95,-9258.98,-9385.3,10466.45,108.76507335935771,10466.45
10629.0,2903911.33,1026541.93,-8586.56,-8881.62,-9105.06,-9171.44,-9220.96,-9258.99,-9385.31,10467.43,116.90621136284982,10467.43
10630.0,2903911.32,1026541.94,-8587.56,-8881.63,-9105.07,-9171.45,-9220.97,-9259.0,-9385.32,10468.42,117.51613375399091,10468.42
10631.0,2903911.31,1026541.95,-8588.56,-8881.64,-9105.08,-9171.46,-9220.98,-9259.02,-9385.33,10469.41,113.61793412365432,10469.41
10632.0,2903911.3,1026541.96,-8589.56,-8881.66,-9105.1,-9171.48,-9220.99,-9259.03,-9385.35,10470.4,,10470.4
10633.0,2903911.29,1026541.98,-8590.56,-8881.67,-9105.11,-9171.49,-9221.0,-9259.04,-9385.36,10471.39,108.08885505613608,10471.39
10634.0,2903911.28,1026541.99,-8591.56,-8881.68,-9105.12,-9171.5,-9221.02,-9259.05,-9385.37,10472.38,112.53068116553322,10472.38
10635.0,2903911.27,1026542.0,-8592.56,-8881.69,-9105.13,-9171.51,-9221.03,-9259.06,-9385.38,10473.37,100.88911900418786,10473.37
10636.0,2903911.26,1026542.01,-8593.56,-8881.7,-9105.14,-9171.52,-9221.04,-9259.07,-9385.39,10474.35,96.6859581782807,10474.35
10637.0,2903911.25,1026542.03,-8594.56,-8881.71,-9105.15,-9171.53,-9221.05,-9259.09,-9385.4,10475.34,105.74197976848444,10475.34
10638.0,2903911.24,1026542.04,-8595.56,-8881.73,-9105.17,-9171.55,-9221.06,-9259.1,-9385.42,10476.33,122.7137332611064,10476.33
10639.0,2903911.23,1026542.05,-8596.55,-8881.74,-9105.18,-9171.56,-9221.08,-9259.11,-9385.43,10477.320000000002,121.45411093157588,10477.320000000002
10640.0,2903911.22,1026542.06,-8597.55,-8881.75,-9105.19,-9171.57,-9221.09,-9259.12,-9385.44,10478.3,113.16712192150656,10478.3
10641.0,2903911.21,1026542.08,-8598.55,-8881.76,-9105.2,-9171.58,-9221.1,-9259.14,-9385.45,10479.29,108.18166933304886,10479.29
10642.0,2903911.2,1026542.09,-8599.55,-8881.78,-9105.22,-9171.6,-9221.11,-9259.15,-9385.47,10480.28,106.25908788271276,10480.28
10643.0,2903911.19,1026542.1,-8600.55,-8881.79,-9105.23,-9171.61,-9221.12,-9259.16,-9385.48,10481.27,115.31510947291652,10481.27
10644.0,2903911.18,1026542.12,-8601.55,-8881.8,-9105.24,-9171.62,-9221.14,-9259.17,-9385.49,10482.25,115.85873595197708,10482.25
10645.0,2903911.17,1026542.13,-8602.55,-8881.81,-9105.25,-9171.63,-9221.15,-9259.18,-9385.5,10483.240000000002,117.66198476056816,10483.240000000002
10646.0,2903911.16,1026542.14,-8603.55,-8881.82,-9105.26,-9171.64,-9221.16,-9259.2,-9385.51,10484.23,116.7603603562726,10484.23
10647.0,2903911.15,1026542.16,-8604.55,-8881.84,-9105.28,-9171.66,-9221.17,-9259.21,-9385.53,10485.22,109.37499575049884,10485.22
10648.0,2903911.14,1026542.17,-8605.55,-8881.85,-9105.29,-9171.67,-9221.19,-9259.22,-9385.54,10486.2,108.07559587371996,10486.2
10649.0,2903911.13,1026542.19,-8606.55,-8881.86,-9105.3,-9171.68,-9221.2,-9259.24,-9385.55,10487.19,107.21374901667276,10487.19
10650.0,2903911.12,1026542.2,-8607.55,-8881.88,-9105.32,-9171.7,-9221.21,-9259.25,-9385.57,10488.18,107.54522857707552,10488.18
10651.0,2903911.11,1026542.21,-8608.55,-8881.89,-9105.33,-9171.71,-9221.23,-9259.26,-9385.58,10489.16,109.54736512190829,10489.16
10652.0,2903911.1,1026542.23,-8609.55,-8881.9,-9105.34,-9171.72,-9221.24,-9259.27,-9385.59,10490.15,117.75479903748092,10490.15
10653.0,2903911.09,1026542.24,-8610.55,-8881.92,-9105.36,-9171.74,-9221.25,-9259.29,-9385.61,10491.14,118.07301941546756,10491.14
10654.0,2903911.07,1026542.26,-8611.55,-8881.93,-9105.37,-9171.75,-9221.27,-9259.3,-9385.62,10492.12,113.52511984674156,10492.12
10655.0,2903911.06,1026542.27,-8612.55,-8881.94,-9105.38,-9171.76,-9221.28,-9259.31,-9385.63,10493.11,120.00886004821976,10493.11
10656.0,2903911.05,1026542.28,-8613.55,-8881.95,-9105.39,-9171.77,-9221.29,-9259.33,-9385.64,10494.1,121.22870483050198,10494.1
10657.0,2903911.04,1026542.3,-8614.55,-8881.97,-9105.41,-9171.79,-9221.31,-9259.34,-9385.66,10495.08,120.48619061519976,10495.08
10658.0,2903911.03,1026542.31,-8615.55,-8881.98,-9105.42,-9171.8,-9221.32,-9259.35,-9385.67,10496.070000000002,113.57815657640596,10496.070000000002
10659.0,2903911.02,1026542.33,-8616.55,-8882.0,-9105.44,-9171.82,-9221.33,-9259.37,-9385.69,10497.06,103.58073303465837,10497.06
10660.0,2903911.01,1026542.34,-8617.55,-8882.01,-9105.45,-9171.83,-9221.35,-9259.38,-9385.7,10498.04,114.74496462902376,10498.04
10661.0,2903910.99,1026542.36,-8618.55,-8882.02,-9105.46,-9171.84,-9221.36,-9259.4,-9385.71,10499.03,120.80441099318642,10499.03
10662.0,2903910.98,1026542.37,-8619.55,-8882.04,-9105.48,-9171.86,-9221.37,-9259.41,-9385.73,10500.01,120.72485589868975,10500.01
10663.0,2903910.97,1026542.39,-8620.55,-8882.05,-9105.49,-9171.87,-9221.39,-9259.42,-9385.74,10501.0,116.56147262003093,10501.0
10664.0,2903910.96,1026542.4,-8621.55,-8882.06,-9105.5,-9171.88,-9221.4,-9259.44,-9385.75,10501.990000000002,115.71288494539984,10501.990000000002
10665.0,2903910.95,1026542.42,-8622.55,-8882.08,-9105.52,-9171.9,-9221.42,-9259.45,-9385.77,10502.97,112.504162800701,10502.97
10666.0,2903910.94,1026542.43,-8623.55,-8882.09,-9105.53,-9171.91,-9221.43,-9259.46,-9385.78,10503.96,105.569610397075,10503.96
