MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11689.0,3033445.35,1095230.17,-9586.68,-10263.53,-10398.03,-10436.52,-10572.72,-10608.12,-10785.0,11737.42,119.8676693654102,11737.42
11690.0,3033445.35,1095230.17,-9587.68,-10263.53,-10398.03,-10436.52,-10572.72,-10608.12,-10785.0,11738.41,115.5998829876678,11738.41
11691.0,3033445.34,1095230.17,-9588.68,-10263.53,-10398.03,-10436.52,-10572.72,-10608.12,-10785.0,11739.41,109.15899803438204,11739.41
11692.0,3033445.34,1095230.17,-9589.68,-10263.53,-10398.03,-10436.52,-10572.72,-10608.12,-10785.0,11740.41,106.43702404542825,11740.41
11693.0,3033445.33,1095230.17,-9590.68,-10263.53,-10398.03,-10436.53,-10572.72,-10608.12,-10785.0,11741.41,109.12539341723448,11741.41
11694.0,3033445.33,1095230.17,-9591.68,-10263.53,-10398.03,-10436.53,-10572.72,-10608.12,-10785.0,11742.41,115.12941834760171,11742.41
11695.0,3033445.33,1095230.17,-9592.68,-10263.53,-10398.03,-10436.53,-10572.72,-10608.12,-10785.0,11743.41,113.46038902927202,11743.41
11696.0,3033445.32,1095230.18,-9593.68,-10263.53,-10398.03,-10436.53,-10572.72,-10608.12,-10785.0,11744.41,111.43291046136817,11744.41
11697.0,3033445.32,1095230.18,-9594.68,-10263.53,-10398.03,-10436.53,-10572.72,-10608.12,-10785.0,11745.41,113.38197825592766,11745.41
11698.0,3033445.32,1095230.18,-9595.68,-10263.53,-10398.03,-10436.53,-10572.72,-10608.12,-10785.0,11746.41,117.52654770412894,11746.41
11699.0,3033445.31,1095230.18,-9596.68,-10263.53,-10398.03,-10436.53,-10572.72,-10608.12,-10785.0,11747.41,,11747.41
11700.0,3033445.31,1095230.18,-9597.68,-10263.54,-10398.03,-10436.53,-10572.72,-10608.12,-10785.01,11748.41,112.04899510907374,11748.41
11701.0,3033445.31,1095230.18,-9598.68,-10263.54,-10398.03,-10436.53,-10572.72,-10608.12,-10785.01,11749.41,111.80256124999153,11749.41
11702.0,3033445.31,1095230.18,-9599.68,-10263.54,-10398.03,-10436.53,-10572.72,-10608.12,-10785.01,11750.41,115.319844511438,11750.41
11703.0,3033445.3,1095230.18,-9600.68,-10263.54,-10398.03,-10436.53,-10572.72,-10608.12,-10785.01,11751.41,118.29945389852324,11751.41
11704.0,3033445.3,1095230.18,-9601.68,-10263.54,-10398.03,-10436.53,-10572.72,-10608.12,-10785.01,11752.41,116.80964920498062,11752.41
11705.0,3033445.3,1095230.19,-9602.68,-10263.54,-10398.03,-10436.53,-10572.72,-10608.12,-10785.01,11753.41,112.93391669395996,11753.41
11706.0,3033445.3,1095230.19,-9603.68,-10263.54,-10398.03,-10436.53,-10572.72,-10608.12,-10785.01,11754.41,113.07953670159948,11754.41
