MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10416.0,2980721.91,1097314.27,-8186.16,-8627.92,-8772.97,-8861.92,-8984.62,-9036.33,-9146.03,10534.55,,10534.55
10417.0,2980721.92,1097314.26,-8187.16,-8627.89,-8772.93,-8861.89,-8984.59,-9036.29,-9146.0,10535.59,,10535.59
10418.0,2980721.93,1097314.25,-8188.16,-8627.85,-8772.89,-8861.85,-8984.55,-9036.25,-9145.96,10536.63,,10536.63
10419.0,2980721.95,1097314.24,-8189.16,-8627.81,-8772.86,-8861.81,-8984.51,-9036.22,-9145.92,10537.66,,10537.66
10420.0,2980721.96,1097314.23,-8190.16,-8627.78,-8772.82,-8861.78,-8984.48,-9036.18,-9145.89,10538.7,100.74258826460638,10538.7
10421.0,2980721.97,1097314.22,-8191.16,-8627.74,-8772.78,-8861.74,-8984.44,-9036.14,-9145.85,10539.740000000002,,10539.740000000002
10422.0,2980721.99,1097314.21,-8192.16,-8627.7,-8772.75,-8861.7,-8984.4,-9036.11,-9145.81,10540.77,,10540.77
10423.0,2980722.0,1097314.2,-8193.16,-8627.67,-8772.71,-8861.66,-8984.37,-9036.07,-9145.78,10541.81,,10541.81
10424.0,2980722.02,1097314.19,-8194.16,-8627.63,-8772.67,-8861.63,-8984.33,-9036.03,-9145.74,10542.85,103.77444018175662,10542.85
10425.0,2980722.03,1097314.18,-8195.16,-8627.59,-8772.64,-8861.59,-8984.29,-9036.0,-9145.7,10543.88,105.01111662164683,10543.88
10426.0,2980722.04,1097314.16,-8196.16,-8627.56,-8772.6,-8861.56,-8984.26,-9035.96,-9145.67,10544.92,106.792994502779,10544.92
10427.0,2980722.06,1097314.15,-8197.16,-8627.52,-8772.56,-8861.52,-8984.22,-9035.92,-9145.63,10545.96,,10545.96
10428.0,2980722.07,1097314.14,-8198.16,-8627.49,-8772.53,-8861.48,-8984.19,-9035.89,-9145.6,10546.990000000002,,10546.990000000002
10429.0,2980722.09,1097314.13,-8199.16,-8627.45,-8772.49,-8861.45,-8984.15,-9035.85,-9145.56,10548.03,,10548.03
10430.0,2980722.1,1097314.12,-8200.16,-8627.41,-8772.46,-8861.41,-8984.11,-9035.82,-9145.52,10549.06,,10549.06
10431.0,2980722.11,1097314.11,-8201.16,-8627.38,-8772.42,-8861.38,-8984.08,-9035.78,-9145.49,10550.1,,10550.1
10432.0,2980722.13,1097314.11,-8202.16,-8627.34,-8772.39,-8861.34,-8984.04,-9035.75,-9145.45,10551.13,,10551.13
10433.0,2980722.14,1097314.1,-8203.16,-8627.31,-8772.35,-8861.3,-8984.01,-9035.71,-9145.42,10552.17,,10552.17
10434.0,2980722.16,1097314.09,-8204.16,-8627.27,-8772.31,-8861.27,-8983.97,-9035.67,-9145.38,10553.21,,10553.21
10435.0,2980722.17,1097314.08,-8205.16,-8627.24,-8772.28,-8861.23,-8983.94,-9035.64,-9145.34,10554.240000000002,,10554.240000000002
10436.0,2980722.18,1097314.07,-8206.16,-8627.2,-8772.24,-8861.2,-8983.9,-9035.6,-9145.31,10555.28,,10555.28
10437.0,2980722.2,1097314.06,-8207.16,-8627.17,-8772.21,-8861.16,-8983.87,-9035.57,-9145.28,10556.31,,10556.31
10438.0,2980722.21,1097314.05,-8208.16,-8627.13,-8772.17,-8861.13,-8983.83,-9035.53,-9145.24,10557.34,,10557.34
10439.0,2980722.22,1097314.04,-8209.16,-8627.1,-8772.14,-8861.09,-8983.8,-9035.5,-9145.21,10558.38,,10558.38
10440.0,2980722.24,1097314.03,-8210.16,-8627.06,-8772.11,-8861.06,-8983.76,-9035.47,-9145.17,10559.41,111.14130843658658,10559.41
10441.0,2980722.25,1097314.02,-8211.16,-8627.03,-8772.07,-8861.03,-8983.73,-9035.43,-9145.14,10560.45,115.87525265810189,10560.45
10442.0,2980722.26,1097314.01,-8212.16,-8627.02,-8772.07,-8861.02,-8983.72,-9035.43,-9145.13,10561.45,,10561.45
10443.0,2980722.28,1097314.0,-8213.16,-8627.02,-8772.06,-8861.02,-8983.72,-9035.42,-9145.13,10562.46,,10562.46
10444.0,2980722.29,1097313.99,-8214.16,-8627.02,-8772.06,-8861.02,-8983.72,-9035.42,-9145.13,10563.46,,10563.46
10445.0,2980722.3,1097313.98,-8215.16,-8627.02,-8772.06,-8861.01,-8983.72,-9035.42,-9145.13,10564.46,,10564.46
10446.0,2980722.32,1097313.97,-8216.16,-8627.01,-8772.06,-8861.01,-8983.71,-9035.42,-9145.12,10565.46,125.28995071662106,10565.46
10447.0,2980722.33,1097313.96,-8217.16,-8627.01,-8772.05,-8861.01,-8983.71,-9035.41,-9145.12,10566.46,,10566.46
10448.0,2980722.34,1097313.96,-8218.16,-8627.01,-8772.05,-8861.01,-8983.71,-9035.41,-9145.12,10567.47,,10567.47
10449.0,2980722.36,1097313.95,-8219.16,-8627.01,-8772.05,-8861.01,-8983.71,-9035.41,-9145.12,10568.47,,10568.47
10450.0,2980722.37,1097313.94,-8220.16,-8627.01,-8772.05,-8861.0,-8983.7,-9035.41,-9145.11,10569.47,,10569.47
10451.0,2980722.38,1097313.93,-8221.16,-8627.0,-8772.05,-8861.0,-8983.7,-9035.41,-9145.11,10570.47,118.89380697912428,10570.47
10452.0,2980722.4,1097313.92,-8222.16,-8627.0,-8772.04,-8861.0,-8983.7,-9035.4,-9145.11,10571.47,,10571.47
10453.0,2980722.41,1097313.91,-8223.16,-8627.0,-8772.04,-8861.0,-8983.7,-9035.4,-9145.11,10572.47,,10572.47
10454.0,2980722.42,1097313.9,-8224.16,-8627.0,-8772.04,-8860.99,-8983.7,-9035.4,-9145.11,10573.48,,10573.48
10455.0,2980722.44,1097313.89,-8225.16,-8627.0,-8772.04,-8860.99,-8983.69,-9035.4,-9145.1,10574.48,124.05327427673085,10574.48
10456.0,2980722.45,1097313.89,-8226.16,-8626.99,-8772.04,-8860.99,-8983.69,-9035.4,-9145.1,10575.48,133.95998339198056,10575.48
10457.0,2980722.46,1097313.88,-8227.16,-8626.99,-8772.03,-8860.99,-8983.69,-9035.39,-9145.1,10576.48,,10576.48
10458.0,2980722.47,1097313.87,-8228.16,-8626.99,-8772.03,-8860.99,-8983.69,-9035.39,-9145.1,10577.48,,10577.48
10459.0,2980722.49,1097313.86,-8229.16,-8626.99,-8772.03,-8860.98,-8983.69,-9035.39,-9145.1,10578.490000000002,,10578.490000000002
