MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10580.0,2888231.99,1024634.36,-8455.17,-8422.24,-8666.04,-8726.6,-8776.4,-8799.6,-8924.0,10544.87,,10544.87
10581.0,2888231.61,1024634.83,-8455.97,-8422.24,-8666.04,-8726.6,-8776.4,-8799.6,-8924.0,10545.67,94.36714864851145,10545.67
10582.0,2888231.23,1024635.3,-8456.77,-8422.23,-8666.04,-8726.6,-8776.4,-8799.6,-8924.0,10546.47,92.66447976241754,10546.47
10583.0,2888230.86,1024635.77,-8457.57,-8422.23,-8666.04,-8726.6,-8776.4,-8799.6,-8924.0,10547.27,74.32804560448334,10547.27
10584.0,2888230.48,1024636.23,-8458.37,-8422.23,-8666.03,-8726.59,-8776.39,-8799.59,-8923.99,10548.070000000002,87.85771452244478,10548.070000000002
10585.0,2888230.1,1024636.7,-8459.17,-8422.23,-8666.03,-8726.59,-8776.39,-8799.59,-8923.99,10548.87,,10548.87
10586.0,2888229.72,1024637.17,-8459.96,-8422.22,-8666.03,-8726.59,-8776.39,-8799.59,-8923.99,10549.67,86.58726158435934,10549.67
10587.0,2888229.34,1024637.64,-8460.76,-8422.22,-8666.03,-8726.59,-8776.39,-8799.59,-8923.98,10550.47,91.145175217903,10550.47
10588.0,2888228.96,1024638.1,-8461.56,-8422.22,-8666.02,-8726.58,-8776.38,-8799.58,-8923.98,10551.27,108.93151635109918,10551.27
10589.0,2888228.59,1024638.57,-8462.36,-8422.2,-8666.01,-8726.57,-8776.36,-8799.56,-8923.96,10552.09,110.14957947730484,10552.09
10590.0,2888228.21,1024639.04,-8463.16,-8422.17,-8665.97,-8726.53,-8776.33,-8799.53,-8923.93,10552.93,133.2010967044221,10552.93
10591.0,2888227.83,1024639.5,-8463.96,-8422.13,-8665.94,-8726.5,-8776.3,-8799.5,-8923.89,10553.76,114.68129820490856,10553.76
10592.0,2888227.45,1024639.97,-8464.76,-8422.1,-8665.9,-8726.46,-8776.26,-8799.46,-8923.86,10554.6,94.6029028019706,10554.6
10593.0,2888227.07,1024640.44,-8465.56,-8422.06,-8665.87,-8726.43,-8776.23,-8799.43,-8923.83,10555.43,81.85908106220631,10555.43
10594.0,2888226.69,1024640.9,-8466.36,-8422.03,-8665.83,-8726.39,-8776.19,-8799.39,-8923.79,10556.26,70.0713733892486,10556.26
10595.0,2888226.31,1024641.37,-8467.16,-8421.99,-8665.8,-8726.36,-8776.16,-8799.36,-8923.76,10557.1,74.06609654508426,10557.1
10596.0,2888225.93,1024641.84,-8467.96,-8421.96,-8665.76,-8726.32,-8776.12,-8799.32,-8923.72,10557.93,77.14399799302323,10557.93
10597.0,2888225.55,1024642.3,-8468.75,-8421.92,-8665.73,-8726.29,-8776.09,-8799.29,-8923.69,10558.76,82.72351295822321,10558.76
10598.0,2888225.17,1024642.77,-8469.55,-8421.89,-8665.69,-8726.25,-8776.05,-8799.25,-8923.65,10559.59,72.46820728275,10559.59
10599.0,2888224.79,1024643.24,-8470.35,-8421.85,-8665.66,-8726.22,-8776.02,-8799.22,-8923.62,10560.43,70.05827593627865,10560.43
10600.0,2888224.41,1024643.71,-8471.15,-8421.82,-8665.62,-8726.18,-8775.98,-8799.18,-8923.58,10561.26,61.33537225828994,10561.26
10601.0,2888224.03,1024644.17,-8471.95,-8421.78,-8665.59,-8726.15,-8775.95,-8799.15,-8923.55,10562.09,61.36156716422984,10562.09
10602.0,2888223.65,1024644.64,-8472.74,-8421.75,-8665.55,-8726.11,-8775.91,-8799.11,-8923.51,10562.93,74.96982080001102,10562.93
10603.0,2888223.27,1024645.11,-8473.54,-8421.71,-8665.52,-8726.08,-8775.88,-8799.08,-8923.48,10563.76,64.53115078295848,10563.76
10604.0,2888222.88,1024645.57,-8474.34,-8421.68,-8665.48,-8726.04,-8775.84,-8799.04,-8923.44,10564.59,62.77609208498477,10564.59
10605.0,2888222.5,1024646.04,-8475.14,-8421.64,-8665.45,-8726.01,-8775.81,-8799.01,-8923.41,10565.42,79.22649301524575,10565.42
10606.0,2888222.12,1024646.51,-8475.93,-8421.61,-8665.41,-8725.97,-8775.77,-8798.97,-8923.37,10566.25,,10566.25
10607.0,2888221.73,1024646.98,-8476.73,-8421.57,-8665.38,-8725.94,-8775.74,-8798.94,-8923.34,10567.08,91.32853955948234,10567.08
10608.0,2888221.35,1024647.44,-8477.53,-8421.54,-8665.34,-8725.9,-8775.7,-8798.9,-8923.3,10567.92,117.16981426919963,10567.92
10609.0,2888220.97,1024647.91,-8478.32,-8421.5,-8665.31,-8725.87,-8775.67,-8798.87,-8923.27,10568.75,112.886947148025,10568.75
10610.0,2888220.58,1024648.38,-8479.12,-8421.47,-8665.27,-8725.83,-8775.63,-8798.83,-8923.23,10569.58,75.9521297727575,10569.58
10611.0,2888220.2,1024648.85,-8479.91,-8421.43,-8665.24,-8725.8,-8775.6,-8798.8,-8923.2,10570.41,69.29862366402136,10570.41
10612.0,2888219.81,1024649.31,-8480.71,-8421.4,-8665.2,-8725.76,-8775.56,-8798.76,-8923.16,10571.240000000002,68.94499243383264,10571.240000000002
10613.0,2888219.43,1024649.78,-8481.51,-8421.36,-8665.17,-8725.73,-8775.53,-8798.73,-8923.13,10572.070000000002,64.45256606513875,10572.070000000002
10614.0,2888219.04,1024650.25,-8482.3,-8421.33,-8665.13,-8725.69,-8775.49,-8798.69,-8923.09,10572.9,67.13754392397914,10572.9
10615.0,2888218.65,1024650.72,-8483.1,-8421.29,-8665.1,-8725.66,-8775.46,-8798.66,-8923.06,10573.73,,10573.73
10616.0,2888218.27,1024651.18,-8483.89,-8421.26,-8665.06,-8725.62,-8775.42,-8798.62,-8923.02,10574.56,62.435558307766,10574.56
10617.0,2888217.88,1024651.65,-8484.69,-8421.22,-8665.03,-8725.59,-8775.39,-8798.59,-8922.99,10575.39,70.25473773082794,10575.39
10618.0,2888217.49,1024652.12,-8485.48,-8421.19,-8664.99,-8725.55,-8775.35,-8798.55,-8922.95,10576.22,85.19893156954433,10576.22
10619.0,2888217.11,1024652.59,-8486.27,-8421.15,-8664.96,-8725.52,-8775.32,-8798.52,-8922.92,10577.05,,10577.05
10620.0,2888216.72,1024653.05,-8487.07,-8421.12,-8664.92,-8725.48,-8775.28,-8798.48,-8922.88,10577.88,110.67347759610291,10577.88
10621.0,2888216.33,1024653.52,-8487.86,-8421.08,-8664.89,-8725.45,-8775.25,-8798.45,-8922.85,10578.71,,10578.71
10622.0,2888215.94,1024653.99,-8488.66,-8421.05,-8664.85,-8725.41,-8775.21,-8798.41,-8922.81,10579.54,95.55901686877716,10579.54
10623.0,2888215.55,1024654.46,-8489.45,-8421.01,-8664.82,-8725.38,-8775.18,-8798.38,-8922.78,10580.37,98.09992274494805,10580.37
10624.0,2888215.16,1024654.93,-8490.24,-8420.98,-8664.78,-8725.34,-8775.14,-8798.34,-8922.74,10581.2,96.06981753460532,10581.2
10625.0,2888214.77,1024655.39,-8491.04,-8420.94,-8664.75,-8725.31,-8775.11,-8798.31,-8922.71,10582.02,98.09992274494805,10582.02
10626.0,2888214.38,1024655.86,-8491.83,-8420.91,-8664.71,-8725.27,-8775.07,-8798.27,-8922.67,10582.85,106.24653849225882,10582.85
10627.0,2888213.99,1024656.33,-8492.62,-8420.87,-8664.68,-8725.24,-8775.04,-8798.24,-8922.64,10583.68,,10583.68
10628.0,2888213.6,1024656.8,-8493.41,-8420.84,-8664.64,-8725.2,-8775.0,-8798.2,-8922.6,10584.51,,10584.51
10629.0,2888213.21,1024657.27,-8494.21,-8420.8,-8664.61,-8725.17,-8774.97,-8798.17,-8922.56,10585.33,155.83349543650093,10585.33
10630.0,2888212.82,1024657.73,-8495.0,-8420.77,-8664.57,-8725.13,-8774.93,-8798.13,-8922.53,10586.16,123.91500254872544,10586.16
10631.0,2888212.43,1024658.2,-8495.79,-8420.73,-8664.54,-8725.1,-8774.9,-8798.1,-8922.49,10586.990000000002,,10586.990000000002
10632.0,2888212.04,1024658.67,-8496.58,-8420.7,-8664.5,-8725.06,-8774.86,-8798.06,-8922.46,10587.820000000002,130.0315130856935,10587.820000000002
10633.0,2888211.64,1024659.14,-8497.38,-8420.66,-8664.47,-8725.03,-8774.82,-8798.02,-8922.42,10588.64,102.17323061860344,10588.64
10634.0,2888211.25,1024659.61,-8498.17,-8420.62,-8664.43,-8724.99,-8774.79,-8797.99,-8922.39,10589.47,,10589.47
10635.0,2888210.86,1024660.08,-8498.96,-8420.59,-8664.39,-8724.95,-8774.75,-8797.95,-8922.35,10590.3,100.82419296269828,10590.3
10636.0,2888210.47,1024660.54,-8499.75,-8420.55,-8664.36,-8724.92,-8774.72,-8797.92,-8922.32,10591.12,92.66447976241754,10591.12
10637.0,2888210.07,1024661.01,-8500.54,-8420.52,-8664.32,-8724.88,-8774.68,-8797.88,-8922.28,10591.95,89.27223944319971,10591.95
10638.0,2888209.68,1024661.48,-8501.33,-8420.48,-8664.29,-8724.85,-8774.65,-8797.85,-8922.25,10592.78,109.6518762644466,10592.78
10639.0,2888209.28,1024661.95,-8502.12,-8420.45,-8664.25,-8724.81,-8774.61,-8797.81,-8922.21,10593.6,114.40625169253956,10593.6
10640.0,2888208.89,1024662.42,-8502.91,-8420.41,-8664.22,-8724.78,-8774.58,-8797.78,-8922.18,10594.43,,10594.43
10641.0,2888208.49,1024662.89,-8503.7,-8420.38,-8664.18,-8724.74,-8774.54,-8797.74,-8922.14,10595.25,,10595.25
10642.0,2888208.1,1024663.35,-8504.49,-8420.34,-8664.15,-8724.71,-8774.51,-8797.71,-8922.11,10596.08,105.23803461357244,10596.08
10643.0,2888207.7,1024663.82,-8505.28,-8420.31,-8664.11,-8724.67,-8774.47,-8797.67,-8922.07,10596.9,95.38874998016776,10596.9
10644.0,2888207.31,1024664.29,-8506.07,-8420.27,-8664.08,-8724.64,-8774.44,-8797.64,-8922.03,10597.73,96.73778763607292,10597.73
10645.0,2888206.91,1024664.76,-8506.86,-8420.24,-8664.04,-8724.6,-8774.4,-8797.6,-8922.0,10598.55,,10598.55
10646.0,2888206.51,1024665.23,-8507.65,-8420.2,-8664.01,-8724.56,-8774.36,-8797.56,-8921.96,10599.38,98.7809902993856,10599.38
10647.0,2888206.12,1024665.7,-8508.44,-8420.16,-8663.97,-8724.53,-8774.33,-8797.53,-8921.93,10600.2,,10600.2
10648.0,2888205.72,1024666.17,-8509.23,-8420.13,-8663.93,-8724.49,-8774.29,-8797.49,-8921.89,10601.03,99.46205785382315,10601.03
10649.0,2888205.32,1024666.64,-8510.02,-8420.09,-8663.9,-8724.46,-8774.26,-8797.46,-8921.86,10601.85,92.66447976241754,10601.85
10650.0,2888204.92,1024667.1,-8510.8,-8420.06,-8663.86,-8724.42,-8774.22,-8797.42,-8921.82,10602.68,92.66447976241754,10602.68
10651.0,2888204.52,1024667.57,-8511.59,-8420.02,-8663.83,-8724.39,-8774.19,-8797.39,-8921.79,10603.5,91.31544210651238,10603.5
10652.0,2888204.12,1024668.04,-8512.38,-8419.99,-8663.79,-8724.35,-8774.15,-8797.35,-8921.75,10604.320000000002,88.59117188876216,10604.320000000002
10653.0,2888203.73,1024668.51,-8513.17,-8419.95,-8663.76,-8724.32,-8774.12,-8797.32,-8921.71,10605.15,,10605.15
