MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10256.0,2957057.92,1079435.66,-8079.33,-8434.39,-8578.19,-8657.59,-8755.94,-8794.69,-8904.59,10211.19,135.3638705495457,10211.19
10257.0,2957058.06,1079435.65,-8080.32,-8434.41,-8578.21,-8657.61,-8755.95,-8794.7,-8904.61,10212.16,143.5164672985524,10212.16
10258.0,2957058.19,1079435.63,-8081.309999999999,-8434.42,-8578.22,-8657.62,-8755.97,-8794.72,-8904.62,10213.14,146.35119770454128,10213.14
10259.0,2957058.32,1079435.62,-8082.299999999999,-8434.43,-8578.23,-8657.63,-8755.98,-8794.73,-8904.63,10214.12,,10214.12
10260.0,2957058.45,1079435.61,-8083.290000000001,-8434.45,-8578.25,-8657.65,-8755.99,-8794.74,-8904.65,10215.1,147.92238548770564,10215.1
10261.0,2957058.59,1079435.6,-8084.280000000001,-8434.46,-8578.26,-8657.66,-8756.01,-8794.76,-8904.66,10216.070000000002,154.84440159535285,10216.070000000002
10262.0,2957058.72,1079435.58,-8085.280000000001,-8434.47,-8578.27,-8657.67,-8756.02,-8794.77,-8904.67,10217.05,135.67151570988557,10217.05
10263.0,2957058.85,1079435.57,-8086.27,-8434.49,-8578.29,-8657.69,-8756.03,-8794.78,-8904.69,10218.03,130.6503072000526,10218.03
10264.0,2957058.98,1079435.56,-8087.26,-8434.5,-8578.3,-8657.7,-8756.05,-8794.8,-8904.7,10219.01,143.0549995580426,10219.01
10265.0,2957059.12,1079435.54,-8088.25,-8434.51,-8578.31,-8657.71,-8756.06,-8794.81,-8904.71,10219.98,157.33852485953688,10219.98
10266.0,2957059.25,1079435.53,-8089.24,-8434.53,-8578.33,-8657.73,-8756.07,-8794.82,-8904.73,10220.96,148.54866313554038,10220.96
10267.0,2957059.38,1079435.52,-8090.23,-8434.54,-8578.34,-8657.74,-8756.09,-8794.84,-8904.74,10221.94,,10221.94
10268.0,2957059.51,1079435.5,-8091.219999999999,-8434.55,-8578.35,-8657.75,-8756.1,-8794.85,-8904.75,10222.92,137.5613359805448,10222.92
