MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10202.0,2894213.45,1036726.17,-8097.360000000001,-8385.55,-8627.83,-8690.32,-8731.32,-8773.56,-8899.88,10463.67,,10463.67
10203.0,2894213.44,1036726.17,-8098.360000000001,-8385.54,-8627.83,-8690.32,-8731.31,-8773.55,-8899.87,10464.68,133.79839984610155,10464.68
10204.0,2894213.43,1036726.16,-8099.360000000001,-8385.54,-8627.83,-8690.31,-8731.31,-8773.55,-8899.87,10465.68,150.90022641671405,10465.68
10205.0,2894213.42,1036726.16,-8100.360000000001,-8385.53,-8627.82,-8690.31,-8731.31,-8773.55,-8899.87,10466.68,,10466.68
10206.0,2894213.41,1036726.15,-8101.360000000001,-8385.53,-8627.82,-8690.3,-8731.3,-8773.54,-8899.86,10467.69,118.58792778562668,10467.69
10207.0,2894213.4,1036726.15,-8102.360000000001,-8385.53,-8627.82,-8690.3,-8731.3,-8773.54,-8899.86,10468.69,,10468.69
10208.0,2894213.4,1036726.14,-8103.360000000001,-8385.52,-8627.81,-8690.3,-8731.3,-8773.54,-8899.85,10469.69,103.38741022257356,10469.69
10209.0,2894213.39,1036726.14,-8104.360000000001,-8385.52,-8627.81,-8690.29,-8731.29,-8773.53,-8899.85,10470.7,,10470.7
10210.0,2894213.38,1036726.13,-8105.360000000001,-8385.52,-8627.8,-8690.29,-8731.29,-8773.53,-8899.85,10471.7,,10471.7
10211.0,2894213.37,1036726.13,-8106.360000000001,-8385.51,-8627.8,-8690.29,-8731.28,-8773.53,-8899.84,10472.7,114.78530977050796,10472.7
10212.0,2894213.36,1036726.12,-8107.360000000001,-8385.51,-8627.8,-8690.28,-8731.28,-8773.52,-8899.84,10473.71,124.29185480830476,10473.71
10213.0,2894213.35,1036726.12,-8108.360000000001,-8385.5,-8627.79,-8690.28,-8731.28,-8773.52,-8899.84,10474.71,105.28871923013293,10474.71
10214.0,2894213.34,1036726.12,-8109.360000000001,-8385.5,-8627.79,-8690.27,-8731.27,-8773.51,-8899.83,10475.72,107.19002823769227,10475.72
10215.0,2894213.33,1036726.11,-8110.360000000001,-8385.5,-8627.79,-8690.27,-8731.27,-8773.51,-8899.83,10476.72,,10476.72
10216.0,2894213.32,1036726.11,-8111.360000000001,-8385.49,-8627.78,-8690.27,-8731.27,-8773.51,-8899.82,10477.72,,10477.72
10217.0,2894213.31,1036726.1,-8112.360000000001,-8385.49,-8627.78,-8690.26,-8731.26,-8773.5,-8899.82,10478.73,101.4861012150142,10478.73
10218.0,2894213.3,1036726.1,-8113.360000000001,-8385.49,-8627.78,-8690.26,-8731.26,-8773.5,-8899.82,10479.73,,10479.73
10219.0,2894213.29,1036726.09,-8114.360000000001,-8385.48,-8627.77,-8690.26,-8731.25,-8773.5,-8899.81,10480.73,114.78530977050796,10480.73
10220.0,2894213.28,1036726.09,-8115.360000000001,-8385.48,-8627.77,-8690.25,-8731.25,-8773.49,-8899.81,10481.740000000002,116.68661877806731,10481.740000000002
10221.0,2894213.28,1036726.08,-8116.360000000001,-8385.47,-8627.76,-8690.25,-8731.25,-8773.49,-8899.81,10482.740000000002,,10482.740000000002
10222.0,2894213.27,1036726.08,-8117.360000000001,-8385.47,-8627.76,-8690.24,-8731.24,-8773.48,-8899.8,10483.75,124.29185480830476,10483.75
10223.0,2894213.26,1036726.08,-8118.360000000001,-8385.47,-8627.76,-8690.24,-8731.24,-8773.48,-8899.8,10484.75,,10484.75
10224.0,2894213.25,1036726.07,-8119.360000000001,-8385.46,-8627.75,-8690.24,-8731.24,-8773.48,-8899.79,10485.75,,10485.75
10225.0,2894213.24,1036726.07,-8120.360000000001,-8385.46,-8627.75,-8690.23,-8731.23,-8773.47,-8899.79,10486.76,,10486.76
10226.0,2894213.23,1036726.06,-8121.360000000001,-8385.46,-8627.75,-8690.23,-8731.23,-8773.47,-8899.79,10487.76,,10487.76
10227.0,2894213.22,1036726.06,-8122.360000000001,-8385.45,-8627.74,-8690.23,-8731.22,-8773.47,-8899.78,10488.76,,10488.76
10228.0,2894213.21,1036726.05,-8123.360000000001,-8385.45,-8627.74,-8690.22,-8731.22,-8773.46,-8899.78,10489.77,,10489.77
10229.0,2894213.2,1036726.05,-8124.360000000001,-8385.44,-8627.73,-8690.22,-8731.22,-8773.46,-8899.78,10490.77,,10490.77
10230.0,2894213.19,1036726.04,-8125.360000000001,-8385.44,-8627.73,-8690.21,-8731.21,-8773.45,-8899.77,10491.77,156.60415343939215,10491.77
10231.0,2894213.18,1036726.04,-8126.360000000001,-8385.44,-8627.73,-8690.21,-8731.21,-8773.45,-8899.77,10492.78,154.7028444318328,10492.78
10232.0,2894213.17,1036726.03,-8127.360000000001,-8385.43,-8627.72,-8690.21,-8731.21,-8773.45,-8899.76,10493.78,,10493.78
10233.0,2894213.17,1036726.03,-8128.360000000001,-8385.43,-8627.72,-8690.2,-8731.2,-8773.44,-8899.76,10494.79,,10494.79
10234.0,2894213.16,1036726.03,-8129.360000000001,-8385.43,-8627.72,-8690.2,-8731.2,-8773.44,-8899.76,10495.79,109.08138274782986,10495.79
10235.0,2894213.15,1036726.02,-8130.360000000001,-8385.42,-8627.71,-8690.2,-8731.19,-8773.44,-8899.75,10496.79,,10496.79
10236.0,2894213.14,1036726.02,-8131.360000000001,-8385.42,-8627.71,-8690.19,-8731.19,-8773.43,-8899.75,10497.8,114.78530977050796,10497.8
10237.0,2894213.13,1036726.01,-8132.360000000001,-8385.42,-8627.7,-8690.19,-8731.19,-8773.43,-8899.75,10498.8,,10498.8
10238.0,2894213.12,1036726.01,-8133.360000000001,-8385.41,-8627.7,-8690.19,-8731.18,-8773.42,-8899.74,10499.8,,10499.8
10239.0,2894213.11,1036726.0,-8134.360000000001,-8385.41,-8627.7,-8690.18,-8731.18,-8773.42,-8899.74,10500.81,109.08138274782986,10500.81
10240.0,2894213.1,1036726.0,-8135.360000000001,-8385.4,-8627.69,-8690.18,-8731.18,-8773.42,-8899.73,10501.81,110.98269175538924,10501.81
10241.0,2894213.09,1036725.99,-8136.360000000001,-8385.4,-8627.69,-8690.17,-8731.17,-8773.41,-8899.73,10502.820000000002,,10502.820000000002
10242.0,2894213.08,1036725.99,-8137.360000000001,-8385.4,-8627.69,-8690.17,-8731.17,-8773.41,-8899.73,10503.820000000002,103.38741022257356,10503.820000000002
10243.0,2894213.07,1036725.98,-8138.360000000001,-8385.39,-8627.68,-8690.17,-8731.16,-8773.41,-8899.72,10504.820000000002,116.68661877806731,10504.820000000002
10244.0,2894213.06,1036725.98,-8139.360000000001,-8385.39,-8627.68,-8690.16,-8731.16,-8773.4,-8899.72,10505.83,,10505.83
10245.0,2894213.06,1036725.98,-8140.360000000001,-8385.39,-8627.67,-8690.16,-8731.16,-8773.4,-8899.72,10506.83,124.29185480830476,10506.83
10246.0,2894213.05,1036725.97,-8141.360000000001,-8385.38,-8627.67,-8690.16,-8731.15,-8773.39,-8899.71,10507.83,129.99578183098285,10507.83
10247.0,2894213.04,1036725.97,-8142.360000000001,-8385.38,-8627.67,-8690.15,-8731.15,-8773.39,-8899.71,10508.84,,10508.84
10248.0,2894213.03,1036725.96,-8143.360000000001,-8385.37,-8627.66,-8690.15,-8731.15,-8773.39,-8899.7,10509.84,107.19002823769227,10509.84
10249.0,2894213.02,1036725.96,-8144.360000000001,-8385.37,-8627.66,-8690.14,-8731.14,-8773.38,-8899.7,10510.84,,10510.84
10250.0,2894213.01,1036725.95,-8145.360000000001,-8385.37,-8627.66,-8690.14,-8731.14,-8773.38,-8899.7,10511.85,110.98269175538924,10511.85
10251.0,2894213.0,1036725.95,-8146.360000000001,-8385.36,-8627.65,-8690.14,-8731.13,-8773.38,-8899.69,10512.85,,10512.85
10252.0,2894212.99,1036725.94,-8147.360000000001,-8385.36,-8627.65,-8690.13,-8731.13,-8773.37,-8899.69,10513.86,114.78530977050796,10513.86
10253.0,2894212.98,1036725.94,-8148.360000000001,-8385.36,-8627.64,-8690.13,-8731.13,-8773.37,-8899.69,10514.86,,10514.86
10254.0,2894212.97,1036725.93,-8149.360000000001,-8385.35,-8627.64,-8690.13,-8731.12,-8773.36,-8899.68,10515.86,,10515.86
10255.0,2894212.96,1036725.93,-8150.360000000001,-8385.35,-8627.64,-8690.12,-8731.12,-8773.36,-8899.68,10516.87,128.0944728234235,10516.87
10256.0,2894212.96,1036725.93,-8151.360000000001,-8385.34,-8627.63,-8690.12,-8731.12,-8773.36,-8899.68,10517.87,116.68661877806731,10517.87
10257.0,2894212.95,1036725.92,-8152.360000000001,-8385.34,-8627.63,-8690.11,-8731.11,-8773.35,-8899.67,10518.87,,10518.87
10258.0,2894212.94,1036725.92,-8153.360000000001,-8385.34,-8627.63,-8690.11,-8731.11,-8773.35,-8899.67,10519.88,120.48923679318604,10519.88
10259.0,2894212.93,1036725.91,-8154.360000000001,-8385.33,-8627.62,-8690.11,-8731.11,-8773.35,-8899.66,10520.88,118.58792778562668,10520.88
10260.0,2894212.92,1036725.91,-8155.360000000001,-8385.33,-8627.62,-8690.1,-8731.1,-8773.34,-8899.66,10521.88,,10521.88
10261.0,2894212.91,1036725.9,-8156.360000000001,-8385.33,-8627.62,-8690.1,-8731.1,-8773.34,-8899.66,10522.89,103.38741022257356,10522.89
10262.0,2894212.9,1036725.9,-8157.35,-8385.32,-8627.61,-8690.1,-8731.09,-8773.34,-8899.65,10523.89,110.98269175538924,10523.89
10263.0,2894212.89,1036725.89,-8158.35,-8385.32,-8627.61,-8690.09,-8731.09,-8773.33,-8899.65,10524.9,,10524.9
10264.0,2894212.88,1036725.89,-8159.35,-8385.32,-8627.6,-8690.09,-8731.09,-8773.33,-8899.65,10525.9,103.38741022257356,10525.9
10265.0,2894212.87,1036725.88,-8160.35,-8385.31,-8627.6,-8690.09,-8731.08,-8773.32,-8899.64,10526.9,,10526.9
