MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10925.0,2971494.07,1066172.87,-8772.27,-9036.77,-9210.82,-9238.6,-9311.95,-9346.92,-9487.31,11108.76,145.58663708884694,11108.76
10926.0,2971494.06,1066172.88,-8773.27,-9036.76,-9210.81,-9238.59,-9311.94,-9346.91,-9487.3,11109.77,150.71168867920497,11109.77
10927.0,2971494.05,1066172.88,-8774.27,-9036.75,-9210.8,-9238.58,-9311.93,-9346.9,-9487.29,11110.77,161.64010751158605,11110.77
10928.0,2971494.04,1066172.88,-8775.27,-9036.74,-9210.79,-9238.57,-9311.92,-9346.89,-9487.28,11111.78,169.46586030764746,11111.78
10929.0,2971494.03,1066172.89,-8776.27,-9036.73,-9210.78,-9238.56,-9311.91,-9346.88,-9487.27,11112.79,,11112.79
10930.0,2971494.02,1066172.89,-8777.27,-9036.73,-9210.78,-9238.56,-9311.91,-9346.88,-9487.27,11113.8,159.93175698146672,11113.8
10931.0,2971494.01,1066172.89,-8778.27,-9036.72,-9210.77,-9238.55,-9311.9,-9346.87,-9487.26,11114.81,146.2900755424255,11114.81
10932.0,2971494.0,1066172.9,-8779.27,-9036.71,-9210.76,-9238.54,-9311.89,-9346.86,-9487.25,11115.820000000002,138.10004211861806,11115.820000000002
10933.0,2971494.0,1066172.9,-8780.27,-9036.7,-9210.75,-9238.53,-9311.88,-9346.85,-9487.24,11116.83,141.8433396037325,11116.83
10934.0,2971493.99,1066172.9,-8781.27,-9036.69,-9210.74,-9238.52,-9311.87,-9346.84,-9487.23,11117.84,148.31246109646384,11117.84
10935.0,2971493.98,1066172.91,-8782.27,-9036.68,-9210.73,-9238.51,-9311.86,-9346.83,-9487.22,11118.85,144.92088283813868,11118.85
10936.0,2971493.97,1066172.91,-8783.27,-9036.67,-9210.72,-9238.5,-9311.85,-9346.82,-9487.21,11119.86,137.74832289182876,11119.86
10937.0,2971493.96,1066172.91,-8784.27,-9036.66,-9210.71,-9238.49,-9311.84,-9346.81,-9487.2,11120.86,142.52165525539755,11120.86
10938.0,2971493.95,1066172.92,-8785.27,-9036.65,-9210.7,-9238.48,-9311.83,-9346.8,-9487.19,11121.87,152.0808813834918,11121.87
10939.0,2971493.94,1066172.92,-8786.27,-9036.65,-9210.7,-9238.48,-9311.83,-9346.8,-9487.19,11122.88,154.12838973944366,11122.88
10940.0,2971493.93,1066172.92,-8787.27,-9036.64,-9210.69,-9238.47,-9311.82,-9346.79,-9487.18,11123.89,150.37253085337247,11123.89
10941.0,2971493.92,1066172.92,-8788.27,-9036.63,-9210.68,-9238.46,-9311.81,-9346.78,-9487.17,11124.9,147.65926824671232,11124.9
10942.0,2971493.92,1066172.93,-8789.27,-9036.62,-9210.67,-9238.45,-9311.8,-9346.77,-9487.16,11125.91,144.24256718647362,11125.91
10943.0,2971493.91,1066172.93,-8790.27,-9036.61,-9210.66,-9238.44,-9311.79,-9346.76,-9487.15,11126.92,145.9383563156362,11126.92
10944.0,2971493.9,1066172.93,-8791.27,-9036.6,-9210.65,-9238.43,-9311.78,-9346.75,-9487.14,11127.92,152.75919703515683,11127.92
10945.0,2971493.89,1066172.94,-8792.27,-9036.59,-9210.64,-9238.42,-9311.77,-9346.74,-9487.13,11128.93,153.4500740877786,11128.93
10946.0,2971493.88,1066172.94,-8793.27,-9036.59,-9210.64,-9238.42,-9311.77,-9346.74,-9487.13,11129.94,150.03337302753994,11129.94
10947.0,2971493.87,1066172.94,-8794.27,-9036.58,-9210.63,-9238.41,-9311.76,-9346.73,-9487.12,11130.95,147.6341454447988,11130.95
10948.0,2971493.86,1066172.94,-8795.27,-9036.57,-9210.62,-9238.4,-9311.75,-9346.72,-9487.11,11131.96,147.9733032706313,11131.96
10949.0,2971493.85,1066172.95,-8796.27,-9036.56,-9210.61,-9238.39,-9311.74,-9346.71,-9487.1,11132.97,149.34249597491814,11132.97
10950.0,2971493.85,1066172.95,-8797.27,-9036.55,-9210.6,-9238.38,-9311.73,-9346.7,-9487.09,11133.97,145.26004066397118,11133.97
10951.0,2971493.84,1066172.95,-8798.27,-9036.55,-9210.6,-9238.38,-9311.73,-9346.7,-9487.09,11134.98,143.21253230801932,11134.98
10952.0,2971493.83,1066172.95,-8799.27,-9036.54,-9210.59,-9238.37,-9311.72,-9346.69,-9487.08,11135.990000000002,146.6041105663445,11135.990000000002
10953.0,2971493.82,1066172.96,-8800.27,-9036.53,-9210.58,-9238.36,-9311.71,-9346.68,-9487.07,11137.0,149.00333814908564,11137.0
10954.0,2971493.81,1066172.96,-8801.27,-9036.52,-9210.57,-9238.35,-9311.7,-9346.67,-9487.06,11138.01,143.90340936064112,11138.01
10955.0,2971493.8,1066172.96,-8802.27,-9036.51,-9210.56,-9238.34,-9311.69,-9346.66,-9487.05,11139.01,139.8083926487374,11139.01
10956.0,2971493.79,1066172.96,-8803.27,-9036.51,-9210.56,-9238.34,-9311.69,-9346.66,-9487.05,11140.02,150.3850922543292,11140.02
10957.0,2971493.79,1066172.97,-8804.27,-9036.5,-9210.55,-9238.33,-9311.68,-9346.65,-9487.04,11141.02,154.12838973944366,11141.02
10958.0,2971493.78,1066172.97,-8805.27,-9036.5,-9210.55,-9238.33,-9311.68,-9346.65,-9487.04,11142.03,151.74172355765927,11142.03
10959.0,2971493.77,1066172.97,-8806.27,-9036.49,-9210.54,-9238.32,-9311.67,-9346.64,-9487.03,11143.03,152.4200392093243,11143.03
10960.0,2971493.76,1066172.97,-8807.27,-9036.49,-9210.54,-9238.32,-9311.67,-9346.64,-9487.03,11144.04,,11144.04
10961.0,2971493.76,1066172.97,-8808.27,-9036.48,-9210.53,-9238.31,-9311.66,-9346.63,-9487.02,11145.04,155.15842461789796,11145.04
10962.0,2971493.75,1066172.97,-8809.27,-9036.48,-9210.53,-9238.31,-9311.66,-9346.63,-9487.02,11146.05,,11146.05
10963.0,2971493.75,1066172.97,-8810.27,-9036.47,-9210.52,-9238.3,-9311.65,-9346.62,-9487.01,11147.05,156.51505592122805,11147.05
10964.0,2971493.74,1066172.97,-8811.27,-9036.47,-9210.52,-9238.3,-9311.65,-9346.62,-9487.01,11148.06,154.46754756527616,11148.06
10965.0,2971493.74,1066172.96,-8812.27,-9036.46,-9210.51,-9238.29,-9311.64,-9346.61,-9487.0,11149.06,154.12838973944366,11149.06
10966.0,2971493.74,1066172.96,-8813.27,-9036.47,-9210.52,-9238.3,-9311.65,-9346.62,-9487.01,11150.05,147.98586467158808,11150.05
10967.0,2971493.74,1066172.96,-8814.27,-9036.48,-9210.53,-9238.31,-9311.66,-9346.63,-9487.02,11151.05,140.8133047252782,11151.05
