MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11964.0,3003835.25,1075591.32,-9710.61,-9832.89,-9977.57,-10009.66,-10125.42,-10161.81,-10299.4,11732.93,118.9235537533546,11732.93
11965.0,3003835.07,1075591.64,-9711.54,-9832.88,-9977.56,-10009.65,-10125.42,-10161.8,-10299.4,11733.86,131.97001956595892,11733.86
11966.0,3003834.89,1075591.96,-9712.47,-9832.88,-9977.56,-10009.65,-10125.41,-10161.8,-10299.39,11734.79,158.51327298943295,11734.79
11967.0,3003834.7,1075592.28,-9713.4,-9832.87,-9977.55,-10009.64,-10125.41,-10161.79,-10299.38,11735.73,169.37246149617653,11735.73
11968.0,3003834.52,1075592.6,-9714.33,-9832.86,-9977.54,-10009.63,-10125.4,-10161.78,-10299.38,11736.66,131.78989084665272,11736.66
11969.0,3003834.33,1075592.92,-9715.26,-9832.86,-9977.54,-10009.63,-10125.4,-10161.78,-10299.37,11737.59,114.7677268722193,11737.59
11970.0,3003834.14,1075593.25,-9716.18,-9832.85,-9977.53,-10009.62,-10125.39,-10161.77,-10299.37,11738.52,108.63048407871612,11738.52
11971.0,3003833.95,1075593.57,-9717.11,-9832.85,-9977.53,-10009.62,-10125.38,-10161.77,-10299.36,11739.46,105.76129090691062,11739.46
11972.0,3003833.76,1075593.9,-9718.04,-9832.84,-9977.52,-10009.61,-10125.38,-10161.76,-10299.36,11740.39,107.9614345498646,11740.39
11973.0,3003833.57,1075594.23,-9718.96,-9832.84,-9977.52,-10009.61,-10125.37,-10161.76,-10299.35,11741.320000000002,104.24306312990144,11741.320000000002
11974.0,3003833.37,1075594.55,-9719.89,-9832.83,-9977.51,-10009.6,-10125.37,-10161.75,-10299.35,11742.26,104.5389888830473,11742.26
11975.0,3003833.18,1075594.88,-9720.81,-9832.82,-9977.5,-10009.59,-10125.36,-10161.75,-10299.34,11743.18,104.03720173640866,11743.18
11976.0,3003832.98,1075595.21,-9721.73,-9832.82,-9977.5,-10009.59,-10125.36,-10161.74,-10299.33,11744.11,113.3395634548632,11744.11
11977.0,3003832.78,1075595.54,-9722.66,-9832.81,-9977.49,-10009.58,-10125.35,-10161.73,-10299.33,11745.04,114.7677268722193,11745.04
11978.0,3003832.58,1075595.87,-9723.58,-9832.81,-9977.49,-10009.58,-10125.34,-10161.73,-10299.32,11745.96,118.62762800020874,11745.96
11979.0,3003832.38,1075596.2,-9724.5,-9832.8,-9977.48,-10009.57,-10125.34,-10161.72,-10299.32,11746.89,130.721984867909,11746.89
11980.0,3003832.18,1075596.54,-9725.42,-9832.8,-9977.48,-10009.57,-10125.33,-10161.72,-10299.31,11747.820000000002,134.736282041018,11747.820000000002
11981.0,3003831.97,1075596.87,-9726.34,-9832.79,-9977.47,-10009.56,-10125.33,-10161.71,-10299.31,11748.740000000002,108.33455832557024,11748.740000000002
11982.0,3003831.77,1075597.21,-9727.26,-9832.78,-9977.46,-10009.55,-10125.32,-10161.7,-10299.3,11749.67,111.93713271169372,11749.67
11983.0,3003831.56,1075597.54,-9728.18,-9832.78,-9977.46,-10009.55,-10125.32,-10161.7,-10299.29,11750.6,127.04221245922572,11750.6
11984.0,3003831.35,1075597.88,-9729.1,-9832.77,-9977.45,-10009.54,-10125.31,-10161.69,-10299.29,11751.52,,11751.52
11985.0,3003831.14,1075598.22,-9730.01,-9832.77,-9977.45,-10009.54,-10125.3,-10161.69,-10299.28,11752.44,170.50469916038676,11752.44
11986.0,3003830.93,1075598.56,-9730.93,-9832.76,-9977.44,-10009.53,-10125.3,-10161.68,-10299.28,11753.36,135.3024008731231,11753.36
11987.0,3003830.71,1075598.9,-9731.84,-9832.75,-9977.43,-10009.52,-10125.29,-10161.68,-10299.27,11754.28,117.98431114554384,11754.28
11988.0,3003830.5,1075599.25,-9732.76,-9832.75,-9977.43,-10009.52,-10125.29,-10161.67,-10299.26,11755.2,116.40175168306816,11755.2
11989.0,3003830.28,1075599.59,-9733.67,-9832.74,-9977.42,-10009.51,-10125.28,-10161.66,-10299.26,11756.12,112.19445945355967,11756.12
11990.0,3003830.06,1075599.93,-9734.59,-9832.74,-9977.42,-10009.51,-10125.27,-10161.66,-10299.25,11757.04,119.6183359563927,11757.04
11991.0,3003829.84,1075600.28,-9735.5,-9832.73,-9977.41,-10009.5,-10125.27,-10161.65,-10299.25,11757.96,113.28809810649,11757.96
11992.0,3003829.62,1075600.63,-9736.41,-9832.72,-9977.4,-10009.49,-10125.26,-10161.64,-10299.24,11758.88,110.98502376678964,11758.88
11993.0,3003829.4,1075600.98,-9737.32,-9832.72,-9977.4,-10009.49,-10125.26,-10161.64,-10299.23,11759.8,124.00575690520738,11759.8
11994.0,3003829.17,1075601.33,-9738.23,-9832.71,-9977.39,-10009.48,-10125.25,-10161.63,-10299.23,11760.72,117.22519725703924,11760.72
11995.0,3003828.94,1075601.68,-9739.14,-9832.71,-9977.39,-10009.48,-10125.24,-10161.63,-10299.22,11761.63,134.80061372648447,11761.63
11996.0,3003828.71,1075602.03,-9740.04,-9832.7,-9977.38,-10009.47,-10125.24,-10161.62,-10299.21,11762.54,107.36958304357287,11762.54
11997.0,3003828.48,1075602.39,-9740.95,-9832.69,-9977.37,-10009.46,-10125.23,-10161.61,-10299.21,11763.45,104.06293441059528,11763.45
11998.0,3003828.25,1075602.74,-9741.86,-9832.69,-9977.37,-10009.46,-10125.22,-10161.61,-10299.2,11764.36,113.22376642102353,11764.36
11999.0,3003828.02,1075603.1,-9742.76,-9832.68,-9977.36,-10009.45,-10125.22,-10161.6,-10299.2,11765.27,113.73841990475546,11765.27
