MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11549.0,3011046.23,1092693.4,-9356.53,-9748.27,-9892.95,-9925.04,-10040.81,-10077.19,-10214.79,11463.46,104.19150766072477,11463.46
11550.0,3011046.22,1092693.4,-9357.53,-9748.27,-9892.95,-9925.04,-10040.81,-10077.19,-10214.79,11464.46,104.47959477868068,11464.46
11551.0,3011046.21,1092693.39,-9358.53,-9748.27,-9892.95,-9925.04,-10040.81,-10077.19,-10214.79,11465.46,,11465.46
11552.0,3011046.2,1092693.39,-9359.53,-9748.27,-9892.95,-9925.04,-10040.81,-10077.19,-10214.79,11466.46,111.20162753098552,11466.46
11553.0,3011046.19,1092693.39,-9360.53,-9748.27,-9892.95,-9925.04,-10040.81,-10077.19,-10214.79,11467.46,94.97271988613532,11467.46
11554.0,3011046.19,1092693.38,-9361.53,-9748.27,-9892.95,-9925.04,-10040.81,-10077.19,-10214.78,11468.46,,11468.46
11555.0,3011046.18,1092693.38,-9362.53,-9748.27,-9892.95,-9925.04,-10040.81,-10077.19,-10214.78,11469.46,,11469.46
11556.0,3011046.17,1092693.37,-9363.53,-9748.27,-9892.95,-9925.04,-10040.8,-10077.19,-10214.78,11470.46,,11470.46
11557.0,3011046.16,1092693.37,-9364.53,-9748.27,-9892.95,-9925.04,-10040.8,-10077.19,-10214.78,11471.46,114.85073102509384,11471.46
11558.0,3011046.15,1092693.37,-9365.53,-9748.27,-9892.95,-9925.04,-10040.8,-10077.19,-10214.78,11472.46,109.37707578393136,11472.46
11559.0,3011046.14,1092693.36,-9366.53,-9748.26,-9892.94,-9925.03,-10040.8,-10077.18,-10214.78,11473.46,107.45649499755856,11473.46
11560.0,3011046.13,1092693.36,-9367.53,-9748.26,-9892.94,-9925.03,-10040.8,-10077.18,-10214.78,11474.47,,11474.47
11561.0,3011046.12,1092693.36,-9368.53,-9748.26,-9892.94,-9925.03,-10040.8,-10077.18,-10214.78,11475.47,,11475.47
11562.0,3011046.12,1092693.35,-9369.53,-9748.26,-9892.94,-9925.03,-10040.8,-10077.18,-10214.78,11476.47,107.58133274867278,11476.47
11563.0,3011046.11,1092693.35,-9370.53,-9748.26,-9892.94,-9925.03,-10040.8,-10077.18,-10214.78,11477.47,108.80090154801952,11477.47
11564.0,3011046.1,1092693.35,-9371.53,-9748.26,-9892.94,-9925.03,-10040.8,-10077.18,-10214.77,11478.47,104.57562381799934,11478.47
11565.0,3011046.09,1092693.34,-9372.53,-9748.26,-9892.94,-9925.03,-10040.8,-10077.18,-10214.77,11479.47,,11479.47
11566.0,3011046.08,1092693.34,-9373.53,-9748.26,-9892.94,-9925.03,-10040.79,-10077.18,-10214.77,11480.47,107.26443691892126,11480.47
11567.0,3011046.07,1092693.33,-9374.53,-9748.26,-9892.94,-9925.03,-10040.79,-10077.18,-10214.77,11481.47,,11481.47
11568.0,3011046.06,1092693.33,-9375.53,-9748.26,-9892.94,-9925.03,-10040.79,-10077.18,-10214.77,11482.47,,11482.47
11569.0,3011046.05,1092693.33,-9376.53,-9748.26,-9892.94,-9925.03,-10040.79,-10077.18,-10214.77,11483.47,112.45000504212784,11483.47
11570.0,3011046.04,1092693.32,-9377.53,-9748.26,-9892.94,-9925.03,-10040.79,-10077.18,-10214.77,11484.47,107.45649499755856,11484.47
11571.0,3011046.03,1092693.32,-9378.53,-9748.26,-9892.94,-9925.03,-10040.8,-10077.18,-10214.77,11485.47,,11485.47
11572.0,3011046.02,1092693.31,-9379.53,-9748.26,-9892.94,-9925.03,-10040.8,-10077.18,-10214.78,11486.47,,11486.47
11573.0,3011046.01,1092693.31,-9380.53,-9748.26,-9892.94,-9925.03,-10040.8,-10077.18,-10214.78,11487.47,146.15619784297058,11487.47
11574.0,3011046.0,1092693.31,-9381.53,-9748.26,-9892.94,-9925.03,-10040.8,-10077.18,-10214.78,11488.47,118.40380547988354,11488.47
11575.0,3011045.99,1092693.3,-9382.53,-9748.26,-9892.94,-9925.03,-10040.8,-10077.18,-10214.78,11489.46,,11489.46
11576.0,3011045.98,1092693.3,-9383.53,-9748.26,-9892.94,-9925.03,-10040.8,-10077.18,-10214.78,11490.46,130.50346443403222,11490.46
11577.0,3011045.97,1092693.29,-9384.53,-9748.27,-9892.95,-9925.04,-10040.8,-10077.19,-10214.78,11491.46,128.67891268697807,11491.46
11578.0,3011045.96,1092693.29,-9385.53,-9748.27,-9892.95,-9925.04,-10040.8,-10077.19,-10214.78,11492.46,126.88316965171948,11492.46
11579.0,3011045.95,1092693.29,-9386.53,-9748.27,-9892.95,-9925.04,-10040.81,-10077.19,-10214.78,11493.46,,11493.46
11580.0,3011045.93,1092693.28,-9387.53,-9748.27,-9892.95,-9925.04,-10040.81,-10077.19,-10214.79,11494.46,138.37784565816074,11494.46
11581.0,3011045.92,1092693.28,-9388.53,-9748.27,-9892.95,-9925.04,-10040.81,-10077.19,-10214.79,11495.46,,11495.46
