MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10313.0,2917878.82,1044963.87,-8279.97,-8528.63,-8718.72,-8793.97,-8873.8,-8920.02,-9036.59,10311.97,,10311.97
10314.0,2917878.8,1044963.89,-8280.97,-8528.83,-8718.92,-8794.17,-8874.0,-8920.22,-9036.8,10312.76,,10312.76
10315.0,2917878.77,1044963.9,-8281.97,-8529.04,-8719.13,-8794.38,-8874.21,-8920.43,-9037.0,10313.55,105.725974158352,10313.55
10316.0,2917878.75,1044963.92,-8282.97,-8529.25,-8719.33,-8794.59,-8874.41,-8920.63,-9037.21,10314.35,105.36704025890836,10314.35
10317.0,2917878.73,1044963.94,-8283.97,-8529.45,-8719.54,-8794.79,-8874.62,-8920.84,-9037.41,10315.14,,10315.14
10318.0,2917878.71,1044963.95,-8284.97,-8529.66,-8719.75,-8795.0,-8874.83,-8921.05,-9037.62,10315.94,102.9342660515679,10315.94
10319.0,2917878.69,1044963.97,-8285.97,-8529.86,-8719.95,-8795.2,-8875.03,-8921.25,-9037.83,10316.73,,10316.73
10320.0,2917878.67,1044963.98,-8286.97,-8530.07,-8720.16,-8795.41,-8875.24,-8921.46,-9038.03,10317.52,,10317.52
10321.0,2917878.65,1044964.0,-8287.97,-8530.28,-8720.36,-8795.62,-8875.44,-8921.66,-9038.24,10318.320000000002,99.94315022287068,10318.320000000002
10322.0,2917878.63,1044964.02,-8288.97,-8530.48,-8720.57,-8795.82,-8875.65,-8921.87,-9038.44,10319.11,99.66397941219226,10319.11
10323.0,2917878.61,1044964.03,-8289.97,-8530.69,-8720.78,-8796.03,-8875.86,-8922.08,-9038.65,10319.9,99.38480860151388,10319.9
10324.0,2917878.58,1044964.05,-8290.97,-8530.9,-8720.98,-8796.23,-8876.06,-8922.28,-9038.86,10320.7,95.1334359703255,10320.7
10325.0,2917878.56,1044964.07,-8291.97,-8531.1,-8721.19,-8796.44,-8876.27,-8922.49,-9039.07,10321.490000000002,93.80139238794568,10321.490000000002
10326.0,2917878.54,1044964.08,-8292.97,-8531.31,-8721.4,-8796.65,-8876.48,-8922.7,-9039.27,10322.28,93.36269539973672,10322.28
10327.0,2917878.52,1044964.1,-8293.97,-8531.52,-8721.61,-8796.86,-8876.69,-8922.91,-9039.48,10323.070000000002,,10323.070000000002
