MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10817.0,2970936.01,1071695.54,-8598.93,-9073.73,-9247.78,-9275.56,-9348.91,-9383.88,-9524.27,10898.46,,10898.46
10818.0,2970936.0,1071695.53,-8599.93,-9073.71,-9247.76,-9275.54,-9348.89,-9383.86,-9524.25,10899.48,,10899.48
10819.0,2970935.99,1071695.52,-8600.93,-9073.69,-9247.74,-9275.52,-9348.87,-9383.84,-9524.23,10900.5,143.01326959047452,10900.5
10820.0,2970935.99,1071695.5,-8601.93,-9073.67,-9247.72,-9275.5,-9348.85,-9383.82,-9524.21,10901.52,135.02936984767825,10901.52
10821.0,2970935.98,1071695.49,-8602.93,-9073.65,-9247.7,-9275.48,-9348.83,-9383.8,-9524.19,10902.54,133.0308326848473,10902.54
10822.0,2970935.97,1071695.48,-8603.93,-9073.63,-9247.68,-9275.46,-9348.81,-9383.78,-9524.17,10903.56,139.02644417334005,10903.56
10823.0,2970935.97,1071695.46,-8604.93,-9073.61,-9247.66,-9275.44,-9348.79,-9383.76,-9524.15,10904.58,143.56671065095077,10904.58
10824.0,2970935.96,1071695.45,-8605.93,-9073.59,-9247.64,-9275.42,-9348.77,-9383.74,-9524.13,10905.6,126.14356615447618,10905.6
10825.0,2970935.96,1071695.44,-8606.93,-9073.57,-9247.62,-9275.4,-9348.75,-9383.72,-9524.11,10906.61,,10906.61
10826.0,2970935.95,1071695.43,-8607.93,-9073.55,-9247.6,-9275.38,-9348.73,-9383.7,-9524.09,10907.64,25.93998748269249,10907.64
10827.0,2970935.94,1071695.41,-8608.93,-9073.53,-9247.58,-9275.36,-9348.71,-9383.68,-9524.07,10908.66,25.39679533074358,10908.66
10828.0,2970935.94,1071695.4,-8609.93,-9073.51,-9247.56,-9275.34,-9348.69,-9383.66,-9524.05,10909.68,,10909.68
10829.0,2970935.93,1071695.39,-8610.93,-9073.49,-9247.54,-9275.32,-9348.67,-9383.64,-9524.03,10910.7,113.42467067204971,10910.7
10830.0,2970935.92,1071695.37,-8611.93,-9073.47,-9247.52,-9275.3,-9348.65,-9383.62,-9524.01,10911.72,123.7760682846611,10911.72
10831.0,2970935.92,1071695.36,-8612.93,-9073.45,-9247.5,-9275.28,-9348.63,-9383.6,-9523.99,10912.740000000002,123.22262722418483,10912.740000000002
10832.0,2970935.91,1071695.35,-8613.93,-9073.43,-9247.48,-9275.26,-9348.61,-9383.58,-9523.97,10913.76,,10913.76
10833.0,2970935.9,1071695.34,-8614.93,-9073.41,-9247.46,-9275.24,-9348.59,-9383.56,-9523.95,10914.78,128.5008151157639,10914.78
10834.0,2970935.9,1071695.32,-8615.93,-9073.39,-9247.44,-9275.22,-9348.57,-9383.54,-9523.93,10915.8,126.86098975138984,10915.8
10835.0,2970935.89,1071695.31,-8616.93,-9073.37,-9247.42,-9275.2,-9348.55,-9383.52,-9523.91,10916.820000000002,122.49495471874384,10916.820000000002
10836.0,2970935.88,1071695.3,-8617.93,-9073.35,-9247.4,-9275.18,-9348.53,-9383.5,-9523.89,10917.84,121.22409006135392,10917.84
10837.0,2970935.88,1071695.28,-8618.93,-9073.33,-9247.38,-9275.16,-9348.51,-9383.48,-9523.87,10918.86,120.49641755591294,10918.86
10838.0,2970935.87,1071695.27,-8619.93,-9073.31,-9247.36,-9275.14,-9348.49,-9383.46,-9523.85,10919.88,119.95322540396404,10919.88
10839.0,2970935.86,1071695.26,-8620.93,-9073.29,-9247.34,-9275.12,-9348.47,-9383.44,-9523.83,10920.9,120.49641755591294,10920.9
10840.0,2970935.86,1071695.24,-8621.93,-9073.27,-9247.32,-9275.1,-9348.45,-9383.42,-9523.81,10921.92,121.22409006135392,10921.92
10841.0,2970935.85,1071695.23,-8622.93,-9073.24,-9247.29,-9275.07,-9348.42,-9383.39,-9523.78,10922.94,121.40857041484604,10922.94
10842.0,2970935.85,1071695.22,-8623.93,-9073.22,-9247.27,-9275.05,-9348.4,-9383.37,-9523.76,10923.96,120.31193720242084,10923.96
10843.0,2970935.84,1071695.2,-8624.93,-9073.2,-9247.25,-9275.03,-9348.38,-9383.35,-9523.74,10924.98,118.85659219153884,10924.98
10844.0,2970935.83,1071695.19,-8625.93,-9073.18,-9247.23,-9275.01,-9348.36,-9383.33,-9523.72,10926.01,121.03960970786186,10926.01
