TVT,GR,Geology
10125.070000000002,102.06,ANCC
10125.560000000001,84.0,ANCC
10126.060000000001,73.67999999999999,ANCC
10126.560000000001,67.17999999999999,ANCC
10127.060000000001,63.540000000000006,ANCC
10127.560000000001,62.989999999999995,ANCC
10128.060000000001,62.81999999999999,ANCC
10128.560000000001,62.650000000000006,ANCC
10129.060000000001,62.66,ANCC
10129.560000000001,65.08,ANCC
10130.060000000001,70.11,ANCC
10130.560000000001,76.2,ANCC
10131.060000000001,77.53,ANCC
10131.560000000001,71.33,ANCC
10132.060000000001,62.86,ANCC
10132.560000000001,55.099999999999994,ANCC
10133.060000000001,52.040000000000006,ANCC
10133.560000000001,50.709999999999994,ANCC
10134.060000000001,50.209999999999994,ANCC
10134.560000000001,49.709999999999994,ANCC
10135.060000000001,48.92,ANCC
10135.550000000001,48.06,ANCC
10136.050000000001,48.03,ANCC
10136.550000000001,47.84,ANCC
10137.050000000001,47.05,ANCC
10137.550000000001,46.31,ANCC
10138.050000000001,49.06,ANCC
10138.550000000001,53.870000000000005,ANCC
10139.050000000001,59.81,ANCC
10139.550000000001,64.3,ANCC
10140.050000000001,68.19,ANCC
10140.550000000001,68.23,ANCC
10141.050000000001,66.62,ANCC
10141.550000000001,65.32,ANCC
10142.050000000001,64.61,ANCC
10142.550000000001,64.6,ANCC
10143.050000000001,66.04,ANCC
10143.550000000001,67.04,ANCC
10144.050000000001,66.5,ANCC
10144.550000000001,64.86,ANCC
10145.050000000001,64.27,ANCC
10145.54,64.84,ANCC
10146.04,65.59,ANCC
10146.54,68.01,ANCC
10147.04,70.03,ANCC
10147.54,71.51,ANCC
10148.04,73.44,ANCC
10148.54,77.97,ANCC
10149.04,88.04,ANCC
10149.54,96.7,ANCC
10150.04,99.03,ANCC
10150.54,93.53,ANCC
10151.04,86.32000000000001,ANCC
10151.54,84.39,ANCC
10152.04,83.25,ANCC
10152.54,80.97,ANCC
10153.04,76.21000000000001,ANCC
10153.54,76.3,ANCC
10154.04,80.2,ANCC
10154.54,86.07000000000001,ANCC
10155.04,90.36,ANCC
10155.53,93.26,ANCC
10156.03,95.17,ANCC
10156.53,95.43,ANCC
10157.03,95.32000000000001,ANCC
10157.53,95.09,ANCC
10158.03,93.64,ANCC
10158.53,90.53,ANCC
10159.03,82.33,ANCC
10159.53,73.9,ANCC
10160.03,68.09,ANCC
10160.53,69.76,ANCC
10161.03,75.13,ANCC
10161.53,82.84,ANCC
10162.03,85.15,ANCC
10162.53,82.81,ANCC
10163.03,78.84,ANCC
10163.53,76.53,ANCC
10164.03,74.21,ANCC
10164.53,70.0,ANCC
10165.03,64.67999999999999,ANCC
10165.52,60.45,ANCC
10166.02,59.620000000000005,ANCC
10166.52,60.349999999999994,ANCC
10167.02,62.16,ANCC
10167.52,67.17,ANCC
10168.02,71.59,ANCC
10168.52,74.95,ANCC
10169.02,74.35,ANCC
10169.52,71.87,ANCC
10170.02,68.87,ANCC
10170.52,66.96,ANCC
10171.02,65.44,ANCC
10171.52,64.11,ANCC
10172.02,63.0,ANCC
10172.52,63.19,ANCC
10173.02,64.76,ANCC
10173.52,66.3,ANCC
10174.02,67.73,ANCC
10174.52,69.03,ANCC
10175.02,70.25,ANCC
10175.51,69.09,ANCC
10176.01,67.88,ANCC
10176.51,66.92999999999999,ANCC
10177.01,66.21,ANCC
10177.51,67.02,ANCC
10178.01,68.14,ANCC
10178.51,74.05,ANCC
10179.01,80.69,ANCC
10179.51,85.18,ANCC
10180.01,85.98,ANCC
10180.51,81.64,ANCC
10181.01,75.91,ANCC
10181.51,71.4,ANCC
10182.01,71.75,ANCC
10182.51,79.3,ANCC
10183.01,87.81,ANCC
10183.51,97.04,ANCC
10184.01,102.47,ANCC
10184.51,98.47,ANCC
10185.01,90.54,ANCC
10185.5,83.81,ANCC
10186.0,79.71000000000001,ANCC
10186.5,78.74000000000001,ANCC
10187.0,78.56,ANCC
10187.5,78.66,ANCC
10188.0,79.47,ANCC
