MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11424.0,3011428.41,1098698.12,-9242.97,-9669.14,-9825.36,-9898.31,-10032.86,-10076.9,-10196.99,11141.52,105.63615312080688,11141.52
11425.0,3011428.4,1098698.04,-9243.97,-9669.14,-9825.36,-9898.3,-10032.86,-10076.9,-10196.99,11142.51,106.67153219120772,11142.51
11426.0,3011428.4,1098697.96,-9244.97,-9669.14,-9825.36,-9898.3,-10032.86,-10076.9,-10196.99,11143.51,105.14137020220824,11143.51
11427.0,3011428.4,1098697.88,-9245.96,-9669.14,-9825.36,-9898.3,-10032.86,-10076.9,-10196.99,11144.51,103.94106349227457,11144.51
11428.0,3011428.39,1098697.8,-9246.96,-9669.14,-9825.36,-9898.3,-10032.86,-10076.9,-10196.99,11145.5,103.25386499422088,11145.5
11429.0,3011428.38,1098697.73,-9247.96,-9669.14,-9825.36,-9898.3,-10032.86,-10076.9,-10196.99,11146.5,,11146.5
11430.0,3011428.38,1098697.65,-9248.95,-9669.14,-9825.36,-9898.3,-10032.86,-10076.9,-10196.99,11147.5,101.8794679981136,11147.5
11431.0,3011428.37,1098697.57,-9249.95,-9669.14,-9825.36,-9898.3,-10032.86,-10076.9,-10196.99,11148.5,,11148.5
11432.0,3011428.37,1098697.49,-9250.95,-9669.14,-9825.36,-9898.3,-10032.86,-10076.9,-10196.99,11149.490000000002,,11149.490000000002
11433.0,3011428.36,1098697.41,-9251.95,-9669.14,-9825.36,-9898.3,-10032.86,-10076.9,-10196.99,11150.490000000002,,11150.490000000002
11434.0,3011428.35,1098697.34,-9252.94,-9669.14,-9825.36,-9898.3,-10032.86,-10076.9,-10196.99,11151.490000000002,102.90568442187372,11151.490000000002
11435.0,3011428.35,1098697.26,-9253.94,-9669.14,-9825.36,-9898.3,-10032.86,-10076.9,-10196.99,11152.48,,11152.48
11436.0,3011428.34,1098697.18,-9254.94,-9669.14,-9825.36,-9898.3,-10032.86,-10076.9,-10196.99,11153.48,106.32335161886051,11153.48
