TVT,GR,Geology
11669.95,97.76,
11670.45,101.65,
11670.95,111.19,
11671.45,127.59,
11671.95,133.91,
11672.45,129.54999999999998,
11672.95,118.83,
11673.45,112.26,
11673.95,107.59,
11674.45,104.71000000000001,
11674.95,101.62,
11675.45,101.9,
11675.95,102.10000000000001,
11676.45,102.57000000000001,
11676.95,102.05,
11677.45,102.28,
11677.95,104.5,
11678.45,104.95,
11678.95,105.0,
11679.45,103.23,
11679.95,102.71000000000001,
11680.45,102.4,
11680.95,103.5,
11681.45,105.42,
11681.95,104.21000000000001,
11682.45,102.55,
11682.95,102.97,
11683.45,106.43,
11683.95,107.89,
11684.45,108.31,
11684.95,104.16,
11685.45,100.06,
11685.95,94.58,
11686.45,93.21000000000001,
11686.95,94.04,
11687.45,94.03,
11687.95,93.4,
11688.45,91.35000000000001,
11688.95,89.51,
11689.45,88.91,
11689.95,90.81,
11690.45,92.98,
11690.95,93.78,
11691.45,94.34,
11691.95,93.9,
11692.45,94.72,
11692.95,93.59,
11693.45,95.45,
11693.95,97.45,
11694.45,100.82000000000001,
11694.95,103.49000000000001,
11695.45,106.82000000000001,
11695.95,112.88000000000001,
11696.45,114.08,
11696.95,109.98,
11697.45,100.76,
11697.95,99.49000000000001,
11698.45,100.49000000000001,
11698.95,106.26,
11699.45,107.83,
11699.95,107.96000000000001,
11700.45,106.08,
11700.95,104.96000000000001,
11701.45,106.89,
11701.95,108.14,
11702.45,107.8,
11702.95,106.16,
11703.45,105.79,
11703.95,106.4,
11704.45,107.51,
11704.95,106.98,
11705.45,105.61,
11705.95,103.73,
11706.45,104.37,
11706.95,105.64,
11707.45,104.51,
11707.95,104.01,
11708.45,104.79,
11708.95,106.85000000000001,
11709.45,106.98,
11709.95,106.47,
11710.45,105.59,
11710.95,105.42,
11711.45,104.75,
11711.95,106.04,
11712.45,106.79,
11712.95,108.65,
11713.45,110.84,
11713.95,111.03,
11714.45,109.5,
11714.95,107.05,
11715.45,103.55,
11715.95,101.53,
11716.45,99.82000000000001,
11716.95,103.03,
11717.45,108.92,
11717.95,114.51,
11718.45,119.03,
11718.95,121.17,
11719.45,117.97,
11719.95,107.08,
11720.45,95.04,
11720.95,89.14,
11721.45,92.12,
11721.95,93.41,
11722.45,95.43,
11722.95,94.72,
11723.45,96.65,
11723.95,96.9,
11724.45,95.82000000000001,
11724.95,95.62,
11725.45,103.25,
11725.95,119.05,
11726.45,127.42,
11726.95,124.49000000000001,
11727.45,112.22,
11727.95,103.2,
11728.45,96.31,
11728.95,91.86,
11729.45,93.21000000000001,
11729.95,99.25,
11730.45,103.24000000000001,
11730.95,103.98,
11731.45,103.83,
11731.95,105.54,
11732.45,103.77,
11732.95,98.46000000000001,
11733.45,88.69,ANCC
11733.95,81.05,ANCC
