MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
12164.0,3024765.93,1100029.49,-10014.58,-10102.4,-10221.23,-10295.72,-10393.65,-10441.44,-10587.3,12030.06,125.81900833099276,12030.06
12165.0,3024765.94,1100029.46,-10015.58,-10102.4,-10221.22,-10295.72,-10393.65,-10441.43,-10587.29,12031.06,121.60744924340334,12031.06
12166.0,3024765.95,1100029.42,-10016.58,-10102.39,-10221.22,-10295.71,-10393.64,-10441.43,-10587.29,12032.070000000002,123.70795114423116,12032.070000000002
12167.0,3024765.97,1100029.39,-10017.58,-10102.39,-10221.21,-10295.71,-10393.64,-10441.42,-10587.28,12033.070000000002,,12033.070000000002
12168.0,3024765.98,1100029.35,-10018.58,-10102.38,-10221.21,-10295.7,-10393.63,-10441.42,-10587.28,12034.08,107.87502224351896,12034.08
12169.0,3024766.0,1100029.32,-10019.58,-10102.38,-10221.2,-10295.7,-10393.63,-10441.41,-10587.27,12035.08,103.25180700451102,12035.08
12170.0,3024766.01,1100029.28,-10020.58,-10102.37,-10221.2,-10295.69,-10393.62,-10441.41,-10587.27,12036.08,105.76396505675734,12036.08
12171.0,3024766.03,1100029.24,-10021.58,-10102.37,-10221.19,-10295.69,-10393.62,-10441.4,-10587.26,12037.09,114.32430194907572,12037.09
12172.0,3024766.04,1100029.19,-10022.58,-10102.36,-10221.19,-10295.68,-10393.61,-10441.4,-10587.26,12038.09,125.81900833099276,12038.09
12173.0,3024766.06,1100029.15,-10023.58,-10102.36,-10221.18,-10295.68,-10393.61,-10441.39,-10587.25,12039.1,124.24627072685536,12039.1
12174.0,3024766.08,1100029.1,-10024.58,-10102.35,-10221.18,-10295.67,-10393.6,-10441.38,-10587.25,12040.1,99.43079349647248,12040.1
12175.0,3024766.09,1100029.05,-10025.57,-10102.34,-10221.17,-10295.66,-10393.59,-10441.38,-10587.24,12041.11,104.59232831810463,12041.11
12176.0,3024766.11,1100029.0,-10026.57,-10102.33,-10221.16,-10295.66,-10393.59,-10441.37,-10587.23,12042.11,117.37477958394628,12042.11
12177.0,3024766.13,1100028.95,-10027.57,-10102.33,-10221.15,-10295.65,-10393.58,-10441.36,-10587.22,12043.12,123.70795114423116,12043.12
12178.0,3024766.15,1100028.89,-10028.57,-10102.32,-10221.15,-10295.64,-10393.57,-10441.35,-10587.22,12044.12,112.09713661704222,12044.12
12179.0,3024766.17,1100028.84,-10029.57,-10102.31,-10221.14,-10295.63,-10393.56,-10441.35,-10587.21,12045.13,106.13340006444062,12045.13
12180.0,3024766.19,1100028.78,-10030.57,-10102.3,-10221.13,-10295.63,-10393.56,-10441.34,-10587.2,12046.14,103.65290786999572,12046.14
12181.0,3024766.21,1100028.72,-10031.56,-10102.3,-10221.12,-10295.62,-10393.55,-10441.33,-10587.19,12047.14,112.3504634794536,12047.14
12182.0,3024766.23,1100028.66,-10032.56,-10102.29,-10221.12,-10295.61,-10393.54,-10441.32,-10587.19,12048.15,111.2949348860728,12048.15
12183.0,3024766.26,1100028.59,-10033.56,-10102.28,-10221.11,-10295.6,-10393.53,-10441.32,-10587.18,12049.15,111.92825204210128,12049.15
12184.0,3024766.28,1100028.53,-10034.56,-10102.27,-10221.1,-10295.6,-10393.53,-10441.31,-10587.17,12050.16,138.65423602650344,12050.16
12185.0,3024766.3,1100028.46,-10035.55,-10102.26,-10221.09,-10295.59,-10393.52,-10441.3,-10587.16,12051.16,155.73268866740497,12051.16
12186.0,3024766.33,1100028.39,-10036.55,-10102.26,-10221.08,-10295.58,-10393.51,-10441.29,-10587.15,12052.17,116.95256814659396,12052.17
12187.0,3024766.35,1100028.32,-10037.55,-10102.25,-10221.07,-10295.57,-10393.5,-10441.28,-10587.14,12053.18,107.30503680309332,12053.18
12188.0,3024766.38,1100028.25,-10038.55,-10102.24,-10221.06,-10295.56,-10393.49,-10441.27,-10587.13,12054.18,109.56386799292828,12054.18
12189.0,3024766.4,1100028.18,-10039.54,-10102.23,-10221.05,-10295.55,-10393.48,-10441.26,-10587.12,12055.19,119.4858367707079,12055.19
12190.0,3024766.43,1100028.1,-10040.54,-10102.22,-10221.04,-10295.54,-10393.47,-10441.25,-10587.11,12056.2,127.9300655177544,12056.2
12191.0,3024766.46,1100028.02,-10041.54,-10102.21,-10221.03,-10295.53,-10393.46,-10441.24,-10587.1,12057.2,109.9860794302806,12057.2
12192.0,3024766.48,1100027.94,-10042.53,-10102.2,-10221.02,-10295.52,-10393.45,-10441.23,-10587.09,12058.21,117.37477958394628,12058.21
12193.0,3024766.51,1100027.86,-10043.53,-10102.19,-10221.01,-10295.51,-10393.44,-10441.22,-10587.08,12059.22,107.87502224351896,12059.22
12194.0,3024766.54,1100027.78,-10044.53,-10102.18,-10221.0,-10295.5,-10393.43,-10441.21,-10587.07,12060.22,112.70934320120308,12060.22
12195.0,3024766.57,1100027.69,-10045.52,-10102.16,-10220.99,-10295.48,-10393.41,-10441.2,-10587.06,12061.23,121.59689395746952,12061.23
12196.0,3024766.6,1100027.6,-10046.52,-10102.15,-10220.98,-10295.47,-10393.4,-10441.19,-10587.05,12062.240000000002,105.76396505675734,12062.240000000002
12197.0,3024766.63,1100027.52,-10047.51,-10102.14,-10220.96,-10295.46,-10393.39,-10441.17,-10587.04,12063.25,107.87502224351896,12063.25
12198.0,3024766.66,1100027.43,-10048.51,-10102.13,-10220.95,-10295.45,-10393.38,-10441.16,-10587.02,12064.25,97.96360875167316,12064.25
12199.0,3024766.69,1100027.33,-10049.5,-10102.11,-10220.94,-10295.44,-10393.37,-10441.15,-10587.01,12065.26,104.40233317129608,12065.26
12200.0,3024766.72,1100027.24,-10050.5,-10102.1,-10220.93,-10295.42,-10393.35,-10441.14,-10587.0,12066.27,106.90393593760862,12066.27
12201.0,3024766.75,1100027.14,-10051.49,-10102.09,-10220.92,-10295.41,-10393.34,-10441.13,-10586.99,12067.28,97.65750545959273,12067.28
12202.0,3024766.79,1100027.04,-10052.49,-10102.08,-10220.9,-10295.4,-10393.33,-10441.11,-10586.97,12068.28,,12068.28
12203.0,3024766.82,1100026.94,-10053.48,-10102.07,-10220.89,-10295.39,-10393.32,-10441.1,-10586.96,12069.29,108.1916808215332,12069.29
12204.0,3024766.85,1100026.84,-10054.48,-10102.05,-10220.88,-10295.37,-10393.3,-10441.09,-10586.95,12070.3,105.33119833347122,12070.3
12205.0,3024766.89,1100026.74,-10055.47,-10102.04,-10220.86,-10295.36,-10393.29,-10441.07,-10586.94,12071.31,92.51708120982816,12071.31
