MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10367.0,2983420.07,1103283.37,-8108.26,-8572.21,-8717.26,-8806.21,-8928.91,-8980.62,-9090.32,10512.36,,10512.36
10368.0,2983420.06,1103283.39,-8109.26,-8572.21,-8717.25,-8806.21,-8928.91,-8980.61,-9090.32,10513.36,,10513.36
10369.0,2983420.05,1103283.4,-8110.26,-8572.2,-8717.25,-8806.2,-8928.9,-8980.61,-9090.31,10514.37,,10514.37
10370.0,2983420.04,1103283.42,-8111.26,-8572.2,-8717.24,-8806.2,-8928.9,-8980.6,-9090.31,10515.37,,10515.37
10371.0,2983420.03,1103283.44,-8112.26,-8572.19,-8717.24,-8806.19,-8928.89,-8980.6,-9090.3,10516.38,,10516.38
10372.0,2983420.02,1103283.46,-8113.26,-8572.19,-8717.23,-8806.19,-8928.89,-8980.59,-9090.3,10517.38,,10517.38
10373.0,2983420.01,1103283.48,-8114.26,-8572.19,-8717.23,-8806.18,-8928.89,-8980.59,-9090.3,10518.38,,10518.38
10374.0,2983420.0,1103283.49,-8115.25,-8572.18,-8717.22,-8806.18,-8928.88,-8980.58,-9090.29,10519.39,,10519.39
10375.0,2983420.0,1103283.51,-8116.25,-8572.18,-8717.22,-8806.18,-8928.88,-8980.58,-9090.29,10520.39,,10520.39
10376.0,2983419.99,1103283.53,-8117.25,-8572.17,-8717.22,-8806.17,-8928.87,-8980.58,-9090.28,10521.4,,10521.4
10377.0,2983419.98,1103283.55,-8118.25,-8572.17,-8717.21,-8806.17,-8928.87,-8980.57,-9090.28,10522.4,,10522.4
10378.0,2983419.97,1103283.57,-8119.25,-8572.16,-8717.21,-8806.16,-8928.86,-8980.57,-9090.27,10523.41,,10523.41
10379.0,2983419.96,1103283.58,-8120.25,-8572.16,-8717.2,-8806.16,-8928.86,-8980.56,-9090.27,10524.41,,10524.41
10380.0,2983419.95,1103283.6,-8121.25,-8572.16,-8717.2,-8806.15,-8928.85,-8980.56,-9090.26,10525.41,,10525.41
10381.0,2983419.94,1103283.62,-8122.25,-8572.15,-8717.19,-8806.15,-8928.85,-8980.55,-9090.26,10526.42,,10526.42
10382.0,2983419.93,1103283.64,-8123.25,-8572.15,-8717.19,-8806.14,-8928.85,-8980.55,-9090.26,10527.42,,10527.42
10383.0,2983419.92,1103283.66,-8124.25,-8572.14,-8717.19,-8806.14,-8928.84,-8980.55,-9090.25,10528.43,,10528.43
10384.0,2983419.91,1103283.67,-8125.25,-8572.14,-8717.18,-8806.14,-8928.84,-8980.54,-9090.25,10529.43,,10529.43
10385.0,2983419.9,1103283.69,-8126.25,-8572.13,-8717.18,-8806.13,-8928.83,-8980.54,-9090.24,10530.43,,10530.43
10386.0,2983419.9,1103283.71,-8127.25,-8572.13,-8717.17,-8806.13,-8928.83,-8980.53,-9090.24,10531.44,,10531.44
