MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11719.0,3005821.68,1077206.14,-9466.86,-9879.71,-10048.45,-10082.64,-10137.83,-10172.41,-10320.36,11795.22,95.2610193243417,11795.22
11720.0,3005821.67,1077206.15,-9467.86,-9879.71,-10048.45,-10082.64,-10137.83,-10172.41,-10320.36,11796.23,94.41144978010628,11796.23
11721.0,3005821.66,1077206.15,-9468.86,-9879.7,-10048.44,-10082.63,-10137.82,-10172.4,-10320.35,11797.240000000002,94.25367257903396,11797.240000000002
11722.0,3005821.66,1077206.16,-9469.86,-9879.69,-10048.43,-10082.62,-10137.81,-10172.39,-10320.34,11798.25,100.200659388682,11798.25
11723.0,3005821.65,1077206.16,-9470.86,-9879.68,-10048.42,-10082.61,-10137.8,-10172.38,-10320.33,11799.26,100.89245173184514,11799.26
11724.0,3005821.64,1077206.17,-9471.86,-9879.67,-10048.41,-10082.6,-10137.79,-10172.37,-10320.32,11800.27,107.48268405355714,11800.27
11725.0,3005821.64,1077206.17,-9472.86,-9879.66,-10048.4,-10082.59,-10137.78,-10172.36,-10320.31,11801.28,122.95698646641682,11801.28
11726.0,3005821.63,1077206.18,-9473.86,-9879.65,-10048.39,-10082.58,-10137.77,-10172.35,-10320.3,11802.28,117.03427307231838,11802.28
11727.0,3005821.62,1077206.18,-9474.86,-9879.64,-10048.38,-10082.57,-10137.76,-10172.34,-10320.29,11803.29,97.54272038600256,11803.29
11728.0,3005821.62,1077206.18,-9475.86,-9879.63,-10048.37,-10082.56,-10137.75,-10172.33,-10320.28,11804.3,92.63949044498663,11804.3
11729.0,3005821.61,1077206.19,-9476.86,-9879.62,-10048.36,-10082.55,-10137.74,-10172.32,-10320.27,11805.31,98.101008943643,11805.31
11730.0,3005821.61,1077206.19,-9477.86,-9879.61,-10048.35,-10082.54,-10137.73,-10172.31,-10320.26,11806.320000000002,,11806.320000000002
11731.0,3005821.6,1077206.2,-9478.86,-9879.6,-10048.34,-10082.53,-10137.72,-10172.3,-10320.25,11807.33,106.99721574256546,11807.33
11732.0,3005821.59,1077206.2,-9479.86,-9879.59,-10048.33,-10082.52,-10137.71,-10172.29,-10320.24,11808.34,114.72829859510792,11808.34
11733.0,3005821.59,1077206.21,-9480.86,-9879.59,-10048.33,-10082.52,-10137.71,-10172.29,-10320.24,11809.35,113.5631746487279,11809.35
11734.0,3005821.58,1077206.21,-9481.86,-9879.58,-10048.32,-10082.51,-10137.7,-10172.28,-10320.23,11810.36,105.40730702406772,11810.36
11735.0,3005821.57,1077206.22,-9482.86,-9879.57,-10048.31,-10082.5,-10137.69,-10172.27,-10320.22,11811.37,99.43604679887012,11811.37
11736.0,3005821.57,1077206.22,-9483.86,-9879.56,-10048.3,-10082.49,-10137.68,-10172.26,-10320.21,11812.37,102.06971238599996,11812.37
11737.0,3005821.56,1077206.22,-9484.86,-9879.55,-10048.29,-10082.48,-10137.67,-10172.25,-10320.2,11813.38,104.03585904551625,11813.38
11738.0,3005821.56,1077206.23,-9485.86,-9879.54,-10048.28,-10082.47,-10137.66,-10172.24,-10320.19,11814.39,107.81037516347652,11814.39
11739.0,3005821.55,1077206.23,-9486.86,-9879.53,-10048.27,-10082.46,-10137.65,-10172.23,-10320.18,11815.4,110.58968124390388,11815.4
11740.0,3005821.54,1077206.24,-9487.86,-9879.52,-10048.26,-10082.45,-10137.64,-10172.22,-10320.17,11816.41,103.2105629168304,11816.41
11741.0,3005821.54,1077206.24,-9488.86,-9879.52,-10048.26,-10082.45,-10137.64,-10172.22,-10320.17,11817.42,102.5794541125412,11817.42
11742.0,3005821.53,1077206.25,-9489.86,-9879.51,-10048.25,-10082.44,-10137.63,-10172.21,-10320.16,11818.43,111.97326593023016,11818.43
11743.0,3005821.53,1077206.25,-9490.86,-9879.5,-10048.24,-10082.43,-10137.62,-10172.2,-10320.15,11819.43,112.83497218224036,11819.43
11744.0,3005821.52,1077206.25,-9491.86,-9879.49,-10048.23,-10082.42,-10137.61,-10172.19,-10320.14,11820.44,97.3485330616059,11820.44
11745.0,3005821.52,1077206.26,-9492.86,-9879.48,-10048.22,-10082.41,-10137.6,-10172.18,-10320.13,11821.45,97.38494318493028,11821.45
11746.0,3005821.51,1077206.26,-9493.86,-9879.48,-10048.22,-10082.41,-10137.6,-10172.18,-10320.13,11822.46,107.02148915811506,11822.46
11747.0,3005821.5,1077206.27,-9494.86,-9879.47,-10048.21,-10082.4,-10137.59,-10172.17,-10320.12,11823.47,108.1380662733959,11823.47
11748.0,3005821.5,1077206.27,-9495.86,-9879.46,-10048.2,-10082.39,-10137.58,-10172.16,-10320.11,11824.47,105.5893576406896,11824.47
11749.0,3005821.49,1077206.28,-9496.86,-9879.45,-10048.19,-10082.38,-10137.57,-10172.15,-10320.1,11825.48,109.27891680422636,11825.48
11750.0,3005821.49,1077206.28,-9497.86,-9879.44,-10048.18,-10082.37,-10137.56,-10172.14,-10320.09,11826.490000000002,106.60884109377211,11826.490000000002
11751.0,3005821.48,1077206.28,-9498.86,-9879.43,-10048.17,-10082.36,-10137.55,-10172.13,-10320.08,11827.5,98.93844178010364,11827.5
11752.0,3005821.48,1077206.29,-9499.86,-9879.43,-10048.17,-10082.36,-10137.55,-10172.13,-10320.08,11828.51,109.2060965575776,11828.51
11753.0,3005821.47,1077206.29,-9500.86,-9879.42,-10048.16,-10082.35,-10137.54,-10172.12,-10320.07,11829.51,117.27700722781422,11829.51
11754.0,3005821.47,1077206.3,-9501.86,-9879.41,-10048.15,-10082.34,-10137.53,-10172.11,-10320.06,11830.52,117.85956920100422,11830.52
11755.0,3005821.46,1077206.3,-9502.86,-9879.4,-10048.14,-10082.33,-10137.52,-10172.1,-10320.05,11831.53,110.95378247714764,11831.53
11756.0,3005821.46,1077206.3,-9503.86,-9879.4,-10048.14,-10082.33,-10137.52,-10172.1,-10320.05,11832.54,108.75703836991028,11832.54
11757.0,3005821.45,1077206.31,-9504.86,-9879.39,-10048.13,-10082.32,-10137.51,-10172.09,-10320.04,11833.54,107.77396504015216,11833.54
11758.0,3005821.45,1077206.31,-9505.86,-9879.38,-10048.12,-10082.31,-10137.5,-10172.08,-10320.03,11834.55,110.57754453612908,11834.55
11759.0,3005821.44,1077206.31,-9506.86,-9879.37,-10048.11,-10082.3,-10137.49,-10172.07,-10320.02,11835.56,112.45873424122182,11835.56
11760.0,3005821.44,1077206.32,-9507.86,-9879.37,-10048.11,-10082.3,-10137.49,-10172.07,-10320.02,11836.570000000002,103.84167172111955,11836.570000000002
11761.0,3005821.43,1077206.32,-9508.86,-9879.36,-10048.1,-10082.29,-10137.48,-10172.06,-10320.01,11837.570000000002,98.29519626803967,11837.570000000002
11762.0,3005821.43,1077206.33,-9509.86,-9879.35,-10048.09,-10082.28,-10137.47,-10172.05,-10320.0,11838.58,99.38749996777094,11838.58
11763.0,3005821.42,1077206.33,-9510.86,-9879.34,-10048.08,-10082.27,-10137.46,-10172.04,-10319.99,11839.59,98.57434054685989,11839.59
11764.0,3005821.42,1077206.33,-9511.86,-9879.34,-10048.08,-10082.27,-10137.46,-10172.04,-10319.99,11840.6,94.56922698117856,11840.6
11765.0,3005821.41,1077206.34,-9512.86,-9879.33,-10048.07,-10082.26,-10137.45,-10172.03,-10319.98,11841.6,97.26357610718236,11841.6
11766.0,3005821.41,1077206.34,-9513.86,-9879.32,-10048.06,-10082.25,-10137.44,-10172.02,-10319.97,11842.61,104.82474505087772,11842.61
11767.0,3005821.4,1077206.34,-9514.86,-9879.32,-10048.06,-10082.25,-10137.44,-10172.02,-10319.97,11843.62,104.02372233774146,11843.62
11768.0,3005821.4,1077206.35,-9515.86,-9879.31,-10048.05,-10082.24,-10137.43,-10172.01,-10319.96,11844.62,105.4558538551669,11844.62
11769.0,3005821.39,1077206.35,-9516.86,-9879.3,-10048.04,-10082.23,-10137.42,-10172.0,-10319.95,11845.63,103.81739830557,11845.63
11770.0,3005821.39,1077206.35,-9517.86,-9879.29,-10048.03,-10082.22,-10137.41,-10171.99,-10319.94,11846.64,98.96271519565325,11846.64
11771.0,3005821.38,1077206.36,-9518.86,-9879.29,-10048.03,-10082.22,-10137.41,-10171.99,-10319.94,11847.64,92.8579511849329,11847.64
11772.0,3005821.38,1077206.36,-9519.86,-9879.28,-10048.02,-10082.21,-10137.4,-10171.98,-10319.93,11848.65,90.12719193560471,11848.65
11773.0,3005821.37,1077206.36,-9520.86,-9879.28,-10048.02,-10082.21,-10137.4,-10171.98,-10319.93,11849.66,94.5085434423046,11849.66
11774.0,3005821.37,1077206.37,-9521.86,-9879.27,-10048.01,-10082.2,-10137.39,-10171.97,-10319.92,11850.66,92.27538921174288,11850.66
11775.0,3005821.36,1077206.37,-9522.86,-9879.26,-10048.0,-10082.19,-10137.38,-10171.96,-10319.91,11851.67,90.92821464874098,11851.67
11776.0,3005821.36,1077206.37,-9523.86,-9879.26,-10048.0,-10082.19,-10137.38,-10171.96,-10319.91,11852.68,96.02563191415358,11852.68
11777.0,3005821.35,1077206.38,-9524.86,-9879.25,-10047.99,-10082.18,-10137.37,-10171.95,-10319.9,11853.68,100.0307454798349,11853.68
11778.0,3005821.35,1077206.38,-9525.86,-9879.24,-10047.98,-10082.17,-10137.36,-10171.94,-10319.89,11854.69,101.65706432165705,11854.69
11779.0,3005821.35,1077206.38,-9526.86,-9879.24,-10047.98,-10082.17,-10137.36,-10171.94,-10319.89,11855.7,107.1185828203134,11855.7
11780.0,3005821.34,1077206.39,-9527.86,-9879.23,-10047.97,-10082.16,-10137.35,-10171.93,-10319.88,11856.7,105.6136310562392,11856.7
11781.0,3005821.34,1077206.39,-9528.86,-9879.22,-10047.96,-10082.15,-10137.34,-10171.92,-10319.87,11857.71,104.5577374798323,11857.71
11782.0,3005821.33,1077206.39,-9529.86,-9879.22,-10047.96,-10082.15,-10137.34,-10171.92,-10319.87,11858.72,105.07961591414832,11858.72
11783.0,3005821.33,1077206.4,-9530.86,-9879.21,-10047.95,-10082.14,-10137.33,-10171.91,-10319.86,11859.72,,11859.72
11784.0,3005821.32,1077206.4,-9531.86,-9879.2,-10047.94,-10082.13,-10137.32,-10171.9,-10319.85,11860.73,95.12751553881898,11860.73
11785.0,3005821.32,1077206.4,-9532.86,-9879.2,-10047.94,-10082.13,-10137.32,-10171.9,-10319.85,11861.73,96.18340911522588,11861.73
11786.0,3005821.32,1077206.41,-9533.86,-9879.19,-10047.93,-10082.12,-10137.31,-10171.89,-10319.84,11862.740000000002,97.72477100262444,11862.740000000002
11787.0,3005821.31,1077206.41,-9534.86,-9879.19,-10047.93,-10082.12,-10137.31,-10171.89,-10319.84,11863.75,96.40186985517214,11863.75
11788.0,3005821.31,1077206.41,-9535.86,-9879.18,-10047.92,-10082.11,-10137.3,-10171.88,-10319.83,11864.75,96.99656853613692,11864.75
11789.0,3005821.3,1077206.42,-9536.86,-9879.17,-10047.91,-10082.1,-10137.29,-10171.87,-10319.82,11865.76,96.7538343806411,11865.76
11790.0,3005821.3,1077206.42,-9537.86,-9879.17,-10047.91,-10082.1,-10137.29,-10171.87,-10319.82,11866.76,97.16648244498404,11866.76
11791.0,3005821.3,1077206.42,-9538.86,-9879.17,-10047.91,-10082.1,-10137.29,-10171.87,-10319.82,11867.76,97.2028925683084,11867.76
11792.0,3005821.29,1077206.43,-9539.86,-9879.17,-10047.91,-10082.1,-10137.29,-10171.87,-10319.82,11868.77,97.71263429484966,11868.77
11793.0,3005821.29,1077206.43,-9540.86,-9879.16,-10047.9,-10082.09,-10137.28,-10171.86,-10319.81,11869.77,99.20544935114908,11869.77
11794.0,3005821.29,1077206.43,-9541.86,-9879.16,-10047.9,-10082.09,-10137.28,-10171.86,-10319.81,11870.77,97.54272038600256,11870.77
11795.0,3005821.28,1077206.43,-9542.86,-9879.16,-10047.9,-10082.09,-10137.28,-10171.86,-10319.81,11871.78,93.1613688793027,11871.78
11796.0,3005821.28,1077206.43,-9543.86,-9879.15,-10047.89,-10082.08,-10137.27,-10171.85,-10319.8,11872.78,92.8458144771581,11872.78
11797.0,3005821.28,1077206.43,-9544.86,-9879.15,-10047.89,-10082.08,-10137.27,-10171.85,-10319.8,11873.78,94.2172624557096,11873.78
11798.0,3005821.28,1077206.43,-9545.86,-9879.15,-10047.89,-10082.08,-10137.27,-10171.85,-10319.8,11874.79,94.4721333189802,11874.79
11799.0,3005821.28,1077206.43,-9546.86,-9879.14,-10047.88,-10082.07,-10137.26,-10171.84,-10319.79,11875.79,97.44562672380424,11875.79
11800.0,3005821.29,1077206.43,-9547.86,-9879.16,-10047.9,-10082.09,-10137.28,-10171.86,-10319.81,11876.78,97.9553684503455,11876.78
11801.0,3005821.29,1077206.42,-9548.86,-9879.17,-10047.91,-10082.1,-10137.29,-10171.87,-10319.82,11877.76,97.60340392487652,11877.76
11802.0,3005821.29,1077206.42,-9549.86,-9879.18,-10047.92,-10082.11,-10137.3,-10171.88,-10319.83,11878.75,98.9991253189776,11878.75
11803.0,3005821.3,1077206.41,-9550.86,-9879.2,-10047.94,-10082.13,-10137.32,-10171.9,-10319.85,11879.73,98.0888722358682,11879.73
11804.0,3005821.31,1077206.4,-9551.86,-9879.21,-10047.95,-10082.14,-10137.33,-10171.91,-10319.86,11880.72,96.52323693292004,11880.72
11805.0,3005821.32,1077206.4,-9552.86,-9879.23,-10047.97,-10082.16,-10137.35,-10171.93,-10319.88,11881.71,98.51365700798593,11881.71
11806.0,3005821.33,1077206.39,-9553.86,-9879.24,-10047.98,-10082.17,-10137.36,-10171.94,-10319.89,11882.69,100.16424926535764,11882.69
11807.0,3005821.34,1077206.37,-9554.86,-9879.25,-10047.99,-10082.18,-10137.37,-10171.95,-10319.9,11883.68,100.71040111522326,11883.68
11808.0,3005821.35,1077206.36,-9555.86,-9879.27,-10048.01,-10082.2,-10137.39,-10171.97,-10319.92,11884.66,102.67654777473956,11884.66
11809.0,3005821.37,1077206.35,-9556.86,-9879.28,-10048.02,-10082.21,-10137.4,-10171.98,-10319.93,11885.65,99.73946449323992,11885.65
11810.0,3005821.38,1077206.33,-9557.86,-9879.32,-10048.06,-10082.25,-10137.44,-10172.02,-10319.97,11886.62,95.64939397313503,11886.62
11811.0,3005821.4,1077206.32,-9558.86,-9879.35,-10048.09,-10082.28,-10137.47,-10172.05,-10320.0,11887.58,94.15657891683564,11887.58
11812.0,3005821.42,1077206.3,-9559.86,-9879.38,-10048.12,-10082.31,-10137.5,-10172.08,-10320.03,11888.55,93.40410303479854,11888.55
11813.0,3005821.43,1077206.28,-9560.86,-9879.42,-10048.16,-10082.35,-10137.54,-10172.12,-10320.07,11889.51,,11889.51
11814.0,3005821.45,1077206.27,-9561.86,-9879.45,-10048.19,-10082.38,-10137.57,-10172.15,-10320.1,11890.48,95.18819907769294,11890.48
11815.0,3005821.48,1077206.25,-9562.86,-9879.48,-10048.22,-10082.41,-10137.6,-10172.18,-10320.13,11891.45,95.74648763533337,11891.45
11816.0,3005821.5,1077206.23,-9563.86,-9879.52,-10048.26,-10082.45,-10137.64,-10172.22,-10320.17,11892.41,96.08631545302754,11892.41
11817.0,3005821.52,1077206.2,-9564.86,-9879.55,-10048.29,-10082.48,-10137.67,-10172.25,-10320.2,11893.38,97.7975912492732,11893.38
11818.0,3005821.55,1077206.18,-9565.86,-9879.58,-10048.32,-10082.51,-10137.7,-10172.28,-10320.23,11894.35,99.82442144766344,11894.35
11819.0,3005821.57,1077206.16,-9566.86,-9879.62,-10048.36,-10082.55,-10137.74,-10172.32,-10320.27,11895.31,102.94355534578496,11895.31
11820.0,3005821.6,1077206.13,-9567.86,-9879.67,-10048.41,-10082.6,-10137.79,-10172.37,-10320.32,11896.26,102.4580870347933,11896.26
11821.0,3005821.63,1077206.1,-9568.86,-9879.72,-10048.46,-10082.65,-10137.84,-10172.42,-10320.37,11897.21,,11897.21
11822.0,3005821.66,1077206.08,-9569.86,-9879.77,-10048.51,-10082.7,-10137.89,-10172.47,-10320.42,11898.15,90.95248806429056,11898.15
11823.0,3005821.69,1077206.05,-9570.85,-9879.83,-10048.57,-10082.76,-10137.95,-10172.53,-10320.48,11899.1,86.94737449860924,11899.1
11824.0,3005821.72,1077206.02,-9571.85,-9879.88,-10048.62,-10082.81,-10138.0,-10172.58,-10320.53,11900.04,,11900.04
11825.0,3005821.76,1077205.99,-9572.85,-9879.93,-10048.67,-10082.86,-10138.05,-10172.63,-10320.58,11900.990000000002,80.64842316349224,11900.990000000002
11826.0,3005821.79,1077205.95,-9573.85,-9879.98,-10048.72,-10082.91,-10138.1,-10172.68,-10320.63,11901.94,78.00262086858758,11901.94
11827.0,3005821.83,1077205.92,-9574.85,-9880.04,-10048.78,-10082.97,-10138.16,-10172.74,-10320.69,11902.88,76.01220079352171,11902.88
11828.0,3005821.86,1077205.89,-9575.85,-9880.09,-10048.83,-10083.02,-10138.21,-10172.79,-10320.74,11903.83,76.59476276671174,11903.83
11829.0,3005821.9,1077205.85,-9576.85,-9880.14,-10048.88,-10083.07,-10138.26,-10172.84,-10320.79,11904.78,77.92980062193884,11904.78
11830.0,3005821.94,1077205.81,-9577.85,-9880.21,-10048.95,-10083.14,-10138.33,-10172.91,-10320.86,11905.7,81.72859015544871,11905.7
11831.0,3005821.98,1077205.78,-9578.84,-9880.29,-10049.03,-10083.22,-10138.41,-10172.99,-10320.94,11906.63,82.45679262193622,11906.63
11832.0,3005822.02,1077205.74,-9579.84,-9880.36,-10049.1,-10083.29,-10138.48,-10173.06,-10321.01,11907.55,78.4395423484801,11907.55
11833.0,3005822.07,1077205.7,-9580.84,-9880.43,-10049.17,-10083.36,-10138.55,-10173.13,-10321.08,11908.48,84.04670134043397,11908.48
