TVT,GR,Geology
11128.210000000001,78.38000000000001,ASTNU
11128.710000000001,69.81,ASTNU
11129.210000000001,65.14,ASTNU
11129.710000000001,64.71,ASTNU
11130.210000000001,66.21,ASTNU
11130.710000000001,66.54,ASTNU
11131.210000000001,65.78,ASTNU
11131.710000000001,62.39,ASTNU
11132.210000000001,58.400000000000006,ASTNU
11132.710000000001,57.86,ASTNU
11133.210000000001,58.849999999999994,ASTNU
11133.710000000001,64.17,ASTNU
11134.210000000001,73.52,ASTNU
11134.710000000001,85.84,ASTNU
11135.210000000001,107.45,ASTNU
11135.710000000001,134.51,ASTNU
11136.210000000001,139.04,ASTNU
11136.710000000001,114.58,ASTNU
11137.210000000001,91.02,ASTNU
11137.710000000001,84.82000000000001,ASTNU
11138.210000000001,83.9,ASTNU
11138.710000000001,82.97,ASTNU
11139.210000000001,86.06,ASTNU
11139.710000000001,90.55,ASTNU
11140.210000000001,87.51,ASTNU
11140.710000000001,77.24000000000001,ASTNU
11141.210000000001,72.58,ASTNU
11141.710000000001,74.52,ASTNU
11142.210000000001,77.87,ASTNU
11142.710000000001,84.55,ASTNU
11143.210000000001,89.39,ASTNU
11143.710000000001,81.89,ASTNU
11144.2,75.05,ASTNU
11144.7,81.26,ASTNU
11145.2,93.11,ASTNU
11145.7,99.21000000000001,ASTNU
11146.2,90.89,ASTNU
11146.7,81.13000000000001,ASTNU
11147.2,89.13000000000001,ASTNU
11147.7,109.98,ASTNU
11148.2,144.42,ASTNU
11148.7,199.86999999999998,ASTNU
11149.2,224.14,ASTNU
11149.7,168.82,ASTNU
11150.2,91.72,ASTNU
11150.7,54.44,ASTNU
11151.2,47.86,ASTNL
11151.7,49.730000000000004,ASTNL
11152.2,54.129999999999995,ASTNL
11152.7,54.86,ASTNL
11153.2,47.31999999999999,ASTNL
11153.7,40.269999999999996,ASTNL
11154.2,40.04,ASTNL
11154.7,55.36,ASTNL
11155.2,91.03,ASTNL
11155.7,112.29,ASTNL
11156.2,93.07000000000001,ASTNL
11156.7,67.96,ASTNL
11157.2,60.849999999999994,ASTNL
11157.7,54.84,ASTNL
11158.2,46.480000000000004,ASTNL
11158.7,45.56,ASTNL
11159.2,48.17,ASTNL
11159.7,45.510000000000005,ASTNL
11160.2,40.69,ASTNL
11160.7,39.45,ASTNL
11161.2,38.86,ASTNL
11161.7,37.16,ASTNL
11162.2,38.739999999999995,ASTNL
11162.69,46.540000000000006,ASTNL
11163.19,60.91,ASTNL
11163.69,78.25,ASTNL
11164.19,86.95,ASTNL
11164.69,86.51,ASTNL
11165.19,85.33,ASTNL
11165.69,86.37,ASTNL
11166.19,88.78,ASTNL
11166.69,89.03,ASTNL
11167.19,85.0,ASTNL
11167.69,82.95,ASTNL
11168.19,84.22,ASTNL
11168.69,86.8,ASTNL
11169.19,90.14,ASTNL
11169.69,94.61,ASTNL
11170.19,102.65,ASTNL
11170.69,112.10000000000001,ASTNL
11171.19,105.94,ASTNL
11171.69,76.73,ASTNL
11172.19,48.260000000000005,ASTNL
11172.69,36.629999999999995,ASTNL
11173.19,35.72,ASTNL
11173.69,38.15,ASTNL
11174.19,39.879999999999995,ASTNL
11174.69,38.69,ASTNL
11175.19,36.22,ASTNL
11175.69,34.06,ASTNL
11176.19,33.379999999999995,ASTNL
11176.69,35.36,ASTNL
11177.19,38.84,ASTNL
11177.69,43.19,ASTNL
11178.19,47.209999999999994,ASTNL
11178.69,49.599999999999994,ASTNL
11179.19,48.040000000000006,ASTNL
11179.69,41.269999999999996,ASTNL
11180.19,35.66,ASTNL
11180.68,34.09,ASTNL
11181.18,35.17,ASTNL
11181.68,38.72,ASTNL
11182.18,39.2,ASTNL
11182.68,36.349999999999994,ASTNL
11183.18,35.29,ASTNL
11183.68,36.120000000000005,ASTNL
11184.18,37.730000000000004,ASTNL
11184.68,42.879999999999995,ASTNL
11185.18,52.519999999999996,ASTNL
11185.68,68.86,ASTNL
11186.18,90.55,ASTNL
11186.68,88.44,ASTNL
11187.18,58.95,ASTNL
11187.68,37.66,ASTNL
11188.18,33.06,ASTNL
11188.68,34.94,ASTNL
11189.18,37.29,ASTNL
11189.68,37.34,ASTNL
11190.18,38.04,ASTNL
11190.68,42.19,ASTNL
11191.18,46.879999999999995,ASTNL
11191.68,44.650000000000006,ASTNL
11192.18,37.629999999999995,ASTNL
11192.68,36.28,ASTNL
11193.18,43.599999999999994,ASTNL
11193.68,47.769999999999996,ASTNL
11194.18,41.64,ASTNL
11194.68,35.46,ASTNL
11195.18,34.67,ASTNL
11195.68,39.2,ASTNL
11196.18,44.81999999999999,ASTNL
11196.68,43.9,ASTNL
11197.18,38.97,ASTNL
11197.68,36.15,ASTNL
11198.18,35.76,ASTNL
11198.67,37.849999999999994,ASTNL
11199.17,40.51,ASTNL
11199.67,39.56,ASTNL
11200.17,35.76,ASTNL
11200.67,34.45,ASTNL
11201.17,37.25,ASTNL
11201.67,37.78,ASTNL
11202.17,37.099999999999994,ASTNL
11202.67,38.61,ASTNL
11203.17,41.26,ASTNL
11203.67,41.84,ASTNL
11204.17,39.980000000000004,ASTNL
11204.67,42.480000000000004,ASTNL
11205.17,48.89,ASTNL
11205.67,53.120000000000005,ASTNL
11206.17,50.05,ASTNL
11206.67,43.67,ASTNL
11207.17,44.519999999999996,ASTNL
11207.67,60.17,ASTNL
11208.17,80.52,ASTNL
11208.67,77.11,ASTNL
11209.17,59.019999999999996,ASTNL
11209.67,48.06,ASTNL
11210.17,42.51,ASTNL
11210.67,41.61,ASTNL
11211.17,45.11,ASTNL
11211.67,48.22,ASTNL
11212.17,47.629999999999995,ASTNL
11212.67,45.519999999999996,ASTNL
11213.17,45.34,ASTNL
11213.67,44.66,ASTNL
11214.17,39.76,ASTNL
11214.67,35.97,ASTNL
11215.17,35.17,ASTNL
11215.67,36.44,ASTNL
11216.17,38.93,ASTNL
11216.67,41.2,ASTNL
11217.16,41.79,ASTNL
11217.66,39.78,ASTNL
11218.16,37.95,ASTNL
11218.66,38.18,ASTNL
11219.16,40.61,ASTNL
11219.66,41.480000000000004,ASTNL
11220.16,39.97,ASTNL
11220.66,39.5,ASTNL
11221.16,40.379999999999995,ASTNL
11221.66,42.7,ASTNL
11222.16,45.45,ASTNL
11222.66,41.01,ASTNL
11223.16,33.94,ASTNL
11223.66,30.84,ASTNL
11224.16,28.82,ASTNL
11224.66,31.15,ASTNL
11225.16,36.17,ASTNL
11225.66,36.33,ASTNL
11226.16,35.83,ASTNL
11226.66,39.55,ASTNL
11227.16,43.120000000000005,ASTNL
11227.66,40.61,ASTNL
11228.16,37.3,ASTNL
11228.66,42.91,ASTNL
11229.16,58.34,ASTNL
11229.66,70.82,ASTNL
11230.16,71.86,ASTNL
11230.66,79.76,ASTNL
11231.16,117.34,ASTNL
11231.66,153.89999999999998,ASTNL
11232.16,125.99000000000001,ASTNL
11232.66,74.23,ASTNL
11233.16,57.09,ASTNL
11233.66,53.95,ASTNL
