MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10572.0,2899543.05,1024492.23,-8526.39,-8753.53,-8986.71,-9048.36,-9079.63,-9105.34,-9241.63,10556.01,,10556.01
10573.0,2899543.03,1024492.22,-8527.39,-8753.66,-8986.84,-9048.49,-9079.76,-9105.47,-9241.76,10556.87,131.2673742957548,10556.87
10574.0,2899543.02,1024492.21,-8528.39,-8753.79,-8986.97,-9048.63,-9079.9,-9105.61,-9241.89,10557.740000000002,,10557.740000000002
10575.0,2899543.01,1024492.2,-8529.39,-8753.93,-8987.11,-9048.76,-9080.03,-9105.74,-9242.03,10558.61,,10558.61
10576.0,2899543.0,1024492.19,-8530.39,-8754.06,-8987.24,-9048.89,-9080.17,-9105.88,-9242.16,10559.47,,10559.47
10577.0,2899542.99,1024492.19,-8531.39,-8754.2,-8987.38,-9049.03,-9080.3,-9106.01,-9242.3,10560.34,127.28773860227004,10560.34
10578.0,2899542.98,1024492.18,-8532.38,-8754.33,-8987.51,-9049.16,-9080.43,-9106.14,-9242.43,10561.2,,10561.2
10579.0,2899542.96,1024492.17,-8533.38,-8754.47,-8987.64,-9049.3,-9080.57,-9106.28,-9242.56,10562.070000000002,,10562.070000000002
10580.0,2899542.95,1024492.16,-8534.38,-8754.6,-8987.78,-9049.43,-9080.7,-9106.41,-9242.7,10562.94,,10562.94
10581.0,2899542.94,1024492.15,-8535.38,-8754.73,-8987.91,-9049.56,-9080.84,-9106.55,-9242.83,10563.8,,10563.8
10582.0,2899542.93,1024492.15,-8536.38,-8754.87,-8988.05,-9049.7,-9080.97,-9106.68,-9242.97,10564.67,129.27755644901242,10564.67
10583.0,2899542.91,1024492.14,-8537.38,-8755.01,-8988.19,-9049.84,-9081.11,-9106.82,-9243.11,10565.52,135.23690939103267,10565.52
10584.0,2899542.9,1024492.13,-8538.38,-8755.16,-8988.34,-9049.99,-9081.26,-9106.97,-9243.26,10566.38,,10566.38
10585.0,2899542.89,1024492.12,-8539.38,-8755.3,-8988.48,-9050.13,-9081.4,-9107.11,-9243.4,10567.23,,10567.23
10586.0,2899542.88,1024492.11,-8540.38,-8755.45,-8988.62,-9050.28,-9081.55,-9107.26,-9243.54,10568.09,,10568.09
10587.0,2899542.86,1024492.11,-8541.38,-8755.59,-8988.77,-9050.42,-9081.69,-9107.4,-9243.69,10568.94,,10568.94
10588.0,2899542.85,1024492.1,-8542.38,-8755.73,-8988.91,-9050.57,-9081.84,-9107.55,-9243.83,10569.8,,10569.8
10589.0,2899542.84,1024492.09,-8543.38,-8755.88,-8989.06,-9050.71,-9081.98,-9107.69,-9243.98,10570.65,,10570.65
