MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11655.0,3019461.92,1113877.4,-9501.43,-9500.63,-9660.19,-9733.82,-9863.62,-9908.14,-10031.26,11757.19,88.86739132645344,11757.19
11656.0,3019462.15,1113877.31,-9502.4,-9500.65,-9660.21,-9733.85,-9863.64,-9908.17,-10031.28,11758.14,105.89115196309916,11758.14
11657.0,3019462.37,1113877.22,-9503.37,-9500.67,-9660.23,-9733.87,-9863.66,-9908.19,-10031.3,11759.08,,11759.08
11658.0,3019462.6,1113877.13,-9504.34,-9500.69,-9660.25,-9733.89,-9863.69,-9908.21,-10031.33,11760.03,137.56025869034437,11760.03
11659.0,3019462.82,1113877.04,-9505.31,-9500.72,-9660.28,-9733.91,-9863.71,-9908.23,-10031.35,11760.98,,11760.98
11660.0,3019463.05,1113876.95,-9506.28,-9500.74,-9660.3,-9733.94,-9863.73,-9908.26,-10031.37,11761.93,98.58786816681604,11761.93
11661.0,3019463.27,1113876.85,-9507.25,-9500.76,-9660.32,-9733.96,-9863.75,-9908.28,-10031.39,11762.87,83.9813005742499,11762.87
11662.0,3019463.49,1113876.75,-9508.22,-9500.79,-9660.34,-9733.98,-9863.78,-9908.3,-10031.42,11763.820000000002,71.21024855526285,11763.820000000002
11663.0,3019463.72,1113876.66,-9509.19,-9500.81,-9660.37,-9734.01,-9863.8,-9908.33,-10031.44,11764.77,,11764.77
11664.0,3019463.94,1113876.56,-9510.16,-9500.83,-9660.39,-9734.03,-9863.82,-9908.35,-10031.46,11765.71,56.86220428291908,11765.71
11665.0,3019464.16,1113876.45,-9511.13,-9500.85,-9660.41,-9734.05,-9863.84,-9908.37,-10031.48,11766.66,48.26630388552395,11766.66
11666.0,3019464.38,1113876.35,-9512.1,-9500.88,-9660.44,-9734.07,-9863.87,-9908.39,-10031.51,11767.61,49.86914847090289,11767.61
