MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10688.0,2917598.87,1045653.1,-8641.4,-8616.48,-8806.57,-8881.82,-8961.65,-9007.87,-9124.44,10585.55,45.18863843397938,10585.55
10689.0,2917598.88,1045653.07,-8642.4,-8616.49,-8806.58,-8881.83,-8961.66,-9007.88,-9124.45,10586.53,,10586.53
10690.0,2917598.89,1045653.04,-8643.4,-8616.5,-8806.59,-8881.84,-8961.67,-9007.89,-9124.46,10587.52,,10587.52
10691.0,2917598.91,1045653.01,-8644.4,-8616.51,-8806.6,-8881.85,-8961.68,-9007.9,-9124.47,10588.51,,10588.51
10692.0,2917598.92,1045652.98,-8645.4,-8616.52,-8806.61,-8881.86,-8961.69,-9007.91,-9124.48,10589.5,41.837786007730905,10589.5
10693.0,2917598.94,1045652.95,-8646.4,-8616.53,-8806.62,-8881.87,-8961.7,-9007.92,-9124.49,10590.490000000002,,10590.490000000002
10694.0,2917598.95,1045652.92,-8647.4,-8616.54,-8806.63,-8881.88,-8961.71,-9007.93,-9124.5,10591.48,48.53949086022785,10591.48
10695.0,2917598.97,1045652.88,-8648.4,-8616.55,-8806.64,-8881.89,-8961.72,-9007.94,-9124.51,10592.47,51.89034328647632,10592.47
10696.0,2917598.99,1045652.85,-8649.39,-8616.56,-8806.65,-8881.9,-8961.73,-9007.95,-9124.52,10593.46,58.59204813897326,10593.46
10697.0,2917599.0,1045652.81,-8650.39,-8616.57,-8806.66,-8881.91,-8961.74,-9007.95,-9124.53,10594.45,55.24119571272479,10594.45
10698.0,2917599.02,1045652.78,-8651.39,-8616.58,-8806.67,-8881.92,-8961.74,-9007.96,-9124.54,10595.44,61.94290056522173,10595.44
10699.0,2917599.04,1045652.74,-8652.39,-8616.59,-8806.68,-8881.93,-8961.76,-9007.98,-9124.55,10596.43,,10596.43
10700.0,2917599.06,1045652.71,-8653.39,-8616.6,-8806.69,-8881.94,-8961.77,-9007.99,-9124.57,10597.41,78.69716269646409,10597.41
10701.0,2917599.09,1045652.67,-8654.39,-8616.62,-8806.7,-8881.95,-8961.78,-9008.0,-9124.58,10598.4,72.49329877586692,10598.4
10702.0,2917599.11,1045652.63,-8655.39,-8616.63,-8806.72,-8881.97,-8961.8,-9008.02,-9124.59,10599.39,63.61832677834597,10599.39
10703.0,2917599.13,1045652.59,-8656.39,-8616.64,-8806.73,-8881.98,-8961.81,-9008.03,-9124.6,10600.37,,10600.37
10704.0,2917599.15,1045652.55,-8657.39,-8616.65,-8806.74,-8881.99,-8961.82,-9008.04,-9124.62,10601.36,56.46665031432424,10601.36
10705.0,2917599.18,1045652.51,-8658.39,-8616.67,-8806.76,-8882.01,-8961.83,-9008.05,-9124.63,10602.34,65.2937529914702,10602.34
10706.0,2917599.2,1045652.47,-8659.39,-8616.68,-8806.77,-8882.02,-8961.85,-9008.07,-9124.64,10603.33,66.96917920459444,10603.33
10707.0,2917599.23,1045652.43,-8660.38,-8616.69,-8806.78,-8882.03,-8961.86,-9008.08,-9124.65,10604.320000000002,,10604.320000000002
10708.0,2917599.26,1045652.39,-8661.38,-8616.7,-8806.79,-8882.04,-8961.87,-9008.09,-9124.67,10605.3,73.67088405709138,10605.3
10709.0,2917599.28,1045652.34,-8662.38,-8616.72,-8806.81,-8882.06,-8961.89,-9008.11,-9124.68,10606.29,61.94290056522173,10606.29
10710.0,2917599.31,1045652.3,-8663.38,-8616.74,-8806.82,-8882.08,-8961.9,-9008.12,-9124.7,10607.27,,10607.27
