MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11755.0,3033697.47,1095261.42,-9665.19,-10279.95,-10414.45,-10452.94,-10589.14,-10624.54,-10801.42,11799.51,114.37903242286217,11799.51
11756.0,3033697.41,1095261.49,-9666.19,-10279.97,-10414.46,-10452.96,-10589.15,-10624.55,-10801.44,11800.48,114.63982152575764,11800.48
11757.0,3033697.35,1095261.56,-9667.18,-10279.99,-10414.48,-10452.98,-10589.17,-10624.57,-10801.46,11801.46,,11801.46
11758.0,3033697.29,1095261.64,-9668.18,-10280.01,-10414.5,-10453.0,-10589.19,-10624.59,-10801.48,11802.44,,11802.44
11759.0,3033697.23,1095261.71,-9669.17,-10280.03,-10414.52,-10453.02,-10589.21,-10624.61,-10801.5,11803.41,122.80098639283956,11803.41
11760.0,3033697.17,1095261.79,-9670.17,-10280.04,-10414.54,-10453.03,-10589.23,-10624.63,-10801.51,11804.39,122.47883514808632,11804.39
11761.0,3033697.12,1095261.86,-9671.17,-10280.06,-10414.55,-10453.05,-10589.25,-10624.64,-10801.53,11805.37,122.17202443879752,11805.37
11762.0,3033697.06,1095261.93,-9672.16,-10280.08,-10414.57,-10453.07,-10589.26,-10624.66,-10801.55,11806.35,,11806.35
11763.0,3033697.0,1095262.01,-9673.16,-10280.1,-10414.59,-10453.09,-10589.28,-10624.68,-10801.57,11807.33,112.78361673456044,11807.33
11764.0,3033696.94,1095262.08,-9674.15,-10280.11,-10414.61,-10453.11,-10589.3,-10624.7,-10801.58,11808.3,111.38762800729644,11808.3
11765.0,3033696.88,1095262.15,-9675.15,-10280.13,-10414.63,-10453.12,-10589.32,-10624.71,-10801.6,11809.28,112.81429780548932,11809.28
11766.0,3033696.83,1095262.23,-9676.14,-10280.15,-10414.64,-10453.14,-10589.33,-10624.73,-10801.62,11810.26,118.70506342383418,11810.26
11767.0,3033696.77,1095262.3,-9677.14,-10280.17,-10414.66,-10453.16,-10589.35,-10624.75,-10801.64,11811.240000000002,117.06362612913912,11811.240000000002
11768.0,3033696.71,1095262.37,-9678.14,-10280.19,-10414.68,-10453.18,-10589.37,-10624.77,-10801.66,11812.21,,11812.21
11769.0,3033696.65,1095262.45,-9679.13,-10280.2,-10414.7,-10453.2,-10589.39,-10624.79,-10801.67,11813.19,112.49214656073607,11813.19
11770.0,3033696.6,1095262.52,-9680.13,-10280.22,-10414.72,-10453.21,-10589.41,-10624.8,-10801.69,11814.17,111.4950117555475,11814.17
11771.0,3033696.54,1095262.59,-9681.12,-10280.24,-10414.73,-10453.23,-10589.42,-10624.82,-10801.71,11815.15,113.87279475253568,11815.15
11772.0,3033696.48,1095262.67,-9682.12,-10280.26,-10414.75,-10453.25,-10589.44,-10624.84,-10801.73,11816.13,113.67336779149794,11816.13
11773.0,3033696.42,1095262.74,-9683.11,-10280.27,-10414.77,-10453.27,-10589.46,-10624.86,-10801.74,11817.1,116.54204792334816,11817.1
11774.0,3033696.37,1095262.81,-9684.11,-10280.29,-10414.79,-10453.28,-10589.48,-10624.87,-10801.76,11818.08,116.60341006520594,11818.08
