MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11570.0,3012092.11,1110083.71,-9374.44,-9417.56,-9573.78,-9646.72,-9781.28,-9825.31,-9945.4,11524.570000000002,105.8060510351537,11524.570000000002
11571.0,3012092.09,1110083.69,-9375.44,-9416.2,-9572.42,-9645.37,-9779.92,-9823.96,-9944.05,11526.92,113.16219024828736,11526.92
11572.0,3012092.06,1110083.68,-9376.44,-9414.77,-9571.0,-9643.94,-9778.5,-9822.53,-9942.62,11529.35,108.47694133769107,11529.35
11573.0,3012092.04,1110083.66,-9377.44,-9413.28,-9569.5,-9642.44,-9777.0,-9821.03,-9941.12,11531.85,107.10419324923612,11531.85
11574.0,3012092.02,1110083.63,-9378.44,-9411.7,-9567.93,-9640.87,-9775.43,-9819.46,-9939.55,11534.42,111.41641278796963,11534.42
11575.0,3012091.99,1110083.61,-9379.44,-9410.06,-9566.28,-9639.23,-9773.78,-9817.82,-9937.91,11537.06,114.29619953875016,11537.06
11576.0,3012091.97,1110083.59,-9380.44,-9408.35,-9564.57,-9637.51,-9772.07,-9816.1,-9936.19,11539.78,107.56674967034596,11539.78
11577.0,3012091.94,1110083.56,-9381.44,-9406.56,-9562.78,-9635.72,-9770.28,-9814.31,-9934.4,11542.56,106.3581345055106,11542.56
11578.0,3012091.92,1110083.53,-9382.44,-9405.5,-9561.73,-9634.67,-9769.22,-9813.26,-9933.35,11544.62,105.7762086854047,11544.62
11579.0,3012091.89,1110083.5,-9383.44,-9405.18,-9561.4,-9634.34,-9768.9,-9812.93,-9933.02,11545.94,,11545.94
11580.0,3012091.86,1110083.47,-9384.44,-9404.84,-9561.06,-9634.0,-9768.56,-9812.59,-9932.68,11547.28,135.40966198618247,11547.28
11581.0,3012091.83,1110083.43,-9385.43,-9404.48,-9560.71,-9633.65,-9768.21,-9812.24,-9932.33,11548.63,131.157127146947,11548.63
11582.0,3012091.81,1110083.4,-9386.43,-9404.12,-9560.34,-9633.28,-9767.84,-9811.87,-9931.96,11550.0,121.84631402525244,11550.0
11583.0,3012091.78,1110083.36,-9387.43,-9403.74,-9559.96,-9632.9,-9767.46,-9811.5,-9931.59,11551.38,116.84772044229146,11551.38
11584.0,3012091.75,1110083.32,-9388.43,-9403.35,-9559.57,-9632.51,-9767.07,-9811.1,-9931.19,11552.77,101.16556564918096,11552.77
11585.0,3012091.72,1110083.28,-9389.43,-9403.25,-9559.47,-9632.41,-9766.97,-9811.01,-9931.1,11553.86,99.76297521097698,11553.86
11586.0,3012091.69,1110083.24,-9390.43,-9403.35,-9559.57,-9632.51,-9767.07,-9811.1,-9931.19,11554.76,97.88290717678863,11554.76
11587.0,3012091.66,1110083.2,-9391.43,-9403.45,-9559.67,-9632.61,-9767.17,-9811.2,-9931.29,11555.66,95.59996742098856,11555.66
11588.0,3012091.63,1110083.15,-9392.43,-9403.55,-9559.77,-9632.72,-9767.27,-9811.31,-9931.4,11556.56,91.959200751608,11556.56
11589.0,3012091.6,1110083.1,-9393.42,-9403.66,-9559.88,-9632.82,-9767.38,-9811.42,-9931.51,11557.45,89.00480812645493,11557.45
11590.0,3012091.57,1110083.05,-9394.42,-9403.77,-9559.99,-9632.94,-9767.49,-9811.53,-9931.62,11558.34,86.88600129427445,11558.34
11591.0,3012091.54,1110083.0,-9395.42,-9403.9,-9560.12,-9633.06,-9767.62,-9811.66,-9931.75,11559.21,90.37755621490987,11559.21
11592.0,3012091.51,1110082.95,-9396.42,-9404.03,-9560.25,-9633.19,-9767.75,-9811.78,-9931.87,11560.070000000002,92.2277818993492,11560.070000000002
11593.0,3012091.47,1110082.9,-9397.42,-9404.15,-9560.38,-9633.32,-9767.88,-9811.91,-9932.0,11560.94,89.46736454756474,11560.94
11594.0,3012091.44,1110082.84,-9398.41,-9404.28,-9560.51,-9633.45,-9768.01,-9812.04,-9932.13,11561.81,90.27310799078832,11561.81
11595.0,3012091.41,1110082.78,-9399.41,-9404.41,-9560.63,-9633.58,-9768.13,-9812.17,-9932.26,11562.68,105.67176046128311,11562.68
11596.0,3012091.37,1110082.72,-9400.41,-9404.54,-9560.76,-9633.71,-9768.26,-9812.3,-9932.39,11563.55,116.13150404831497,11563.55
11597.0,3012091.34,1110082.66,-9401.41,-9404.67,-9560.89,-9633.83,-9768.39,-9812.43,-9932.52,11564.42,118.9217637498484,11564.42
11598.0,3012091.3,1110082.6,-9402.41,-9404.8,-9561.02,-9633.96,-9768.52,-9812.55,-9932.64,11565.29,117.08645924028362,11565.29
11599.0,3012091.27,1110082.53,-9403.4,-9404.93,-9561.15,-9634.09,-9768.65,-9812.68,-9932.77,11566.16,114.75875595985998,11566.16
11600.0,3012091.23,1110082.47,-9404.4,-9405.05,-9561.28,-9634.22,-9768.78,-9812.81,-9932.9,11567.03,108.52170486231462,11567.03
11601.0,3012091.2,1110082.4,-9405.4,-9405.2,-9561.42,-9634.37,-9768.92,-9812.96,-9933.05,11567.88,114.75875595985998,11567.88
11602.0,3012091.16,1110082.33,-9406.39,-9405.12,-9561.35,-9634.29,-9768.85,-9812.88,-9932.97,11568.95,88.55717288021961,11568.95
11603.0,3012091.12,1110082.26,-9407.39,-9404.93,-9561.16,-9634.1,-9768.66,-9812.69,-9932.78,11570.14,65.87698707096371,11570.14
11604.0,3012091.08,1110082.19,-9408.39,-9404.74,-9560.96,-9633.9,-9768.46,-9812.5,-9932.59,11571.33,,11571.33
11605.0,3012091.05,1110082.11,-9409.38,-9404.54,-9560.76,-9633.71,-9768.26,-9812.3,-9932.39,11572.53,56.62585864876722,11572.53
11606.0,3012091.01,1110082.03,-9410.38,-9404.34,-9560.56,-9633.5,-9768.06,-9812.1,-9932.19,11573.72,58.40147845883397,11573.72
11607.0,3012090.97,1110081.96,-9411.38,-9404.13,-9560.36,-9633.3,-9767.85,-9811.89,-9931.98,11574.93,56.357277501026026,11574.93
11608.0,3012090.93,1110081.88,-9412.37,-9403.92,-9560.14,-9633.09,-9767.64,-9811.68,-9931.77,11576.13,53.43272722562198,11576.13
11609.0,3012090.89,1110081.79,-9413.37,-9403.71,-9559.93,-9632.87,-9767.43,-9811.46,-9931.55,11577.34,,11577.34
11610.0,3012090.85,1110081.71,-9414.36,-9403.49,-9559.71,-9632.65,-9767.21,-9811.25,-9931.34,11578.56,84.31955921585865,11578.56
11611.0,3012090.81,1110081.62,-9415.36,-9403.25,-9559.47,-9632.41,-9766.97,-9811.0,-9931.09,11579.79,77.4110552489603,11579.79
11612.0,3012090.77,1110081.54,-9416.35,-9403.01,-9559.23,-9632.17,-9766.73,-9810.76,-9930.85,11581.03,66.8617846126814,11581.03
11613.0,3012090.73,1110081.45,-9417.35,-9402.76,-9558.99,-9631.93,-9766.49,-9810.52,-9930.61,11582.27,66.84686343780689,11582.27
11614.0,3012090.68,1110081.36,-9418.34,-9402.52,-9558.75,-9631.69,-9766.24,-9810.28,-9930.37,11583.5,69.75649253833643,11583.5
11615.0,3012090.64,1110081.27,-9419.34,-9402.28,-9558.5,-9631.45,-9766.0,-9810.04,-9930.13,11584.740000000002,70.12952191019919,11584.740000000002
11616.0,3012090.6,1110081.17,-9420.33,-9402.04,-9558.26,-9631.21,-9765.76,-9809.8,-9929.89,11585.98,,11585.98
11617.0,3012090.56,1110081.08,-9421.33,-9401.8,-9558.02,-9630.96,-9765.52,-9809.56,-9929.65,11587.21,79.91781262787806,11587.21
11618.0,3012090.51,1110080.98,-9422.32,-9401.56,-9557.78,-9630.72,-9765.28,-9809.31,-9929.4,11588.45,76.14275538462691,11588.45
11619.0,3012090.47,1110080.88,-9423.32,-9401.32,-9557.54,-9630.48,-9765.04,-9809.07,-9929.16,11589.68,71.33813707503454,11589.68
11620.0,3012090.42,1110080.78,-9424.31,-9401.07,-9557.3,-9630.24,-9764.8,-9808.83,-9928.92,11590.92,64.72805660562639,11590.92
11621.0,3012090.38,1110080.68,-9425.3,-9400.81,-9557.03,-9629.98,-9764.53,-9808.57,-9928.66,11592.18,63.22101794330085,11592.18
11622.0,3012090.33,1110080.57,-9426.3,-9400.54,-9556.76,-9629.71,-9764.26,-9808.3,-9928.39,11593.44,,11593.44
11623.0,3012090.29,1110080.47,-9427.29,-9400.27,-9556.49,-9629.44,-9763.99,-9808.03,-9928.12,11594.7,90.9445608601413,11594.7
11624.0,3012090.24,1110080.36,-9428.28,-9399.99,-9556.22,-9629.16,-9763.72,-9807.75,-9927.84,11595.97,93.45131823905903,11595.97
11625.0,3012090.19,1110080.25,-9429.28,-9399.82,-9556.04,-9628.98,-9763.54,-9807.58,-9927.67,11597.14,96.48031673858466,11597.14
11626.0,3012090.15,1110080.14,-9430.27,-9399.7,-9555.93,-9628.87,-9763.42,-9807.46,-9927.55,11598.25,101.70272794466332,11598.25
11627.0,3012090.1,1110080.03,-9431.26,-9399.59,-9555.81,-9628.75,-9763.31,-9807.34,-9927.43,11599.36,112.95329380004422,11599.36
11628.0,3012090.05,1110079.91,-9432.26,-9399.47,-9555.69,-9628.63,-9763.19,-9807.22,-9927.31,11600.47,97.86798600191416,11600.47
11629.0,3012090.0,1110079.8,-9433.25,-9399.35,-9555.57,-9628.51,-9763.07,-9807.1,-9927.19,11601.58,70.65176303080705,11601.58
11630.0,3012089.95,1110079.68,-9434.24,-9399.22,-9555.45,-9628.39,-9762.95,-9806.98,-9927.07,11602.7,71.36797942478356,11602.7
11631.0,3012089.9,1110079.56,-9435.23,-9399.09,-9555.32,-9628.26,-9762.81,-9806.85,-9926.94,11603.820000000002,78.08250811831326,11603.820000000002
11632.0,3012089.85,1110079.44,-9436.22,-9398.96,-9555.18,-9628.13,-9762.68,-9806.72,-9926.81,11604.94,91.16837848325892,11604.94
11633.0,3012089.8,1110079.32,-9437.21,-9398.83,-9555.05,-9628.0,-9762.55,-9806.59,-9926.68,11606.06,87.05013421789405,11606.06
11634.0,3012089.75,1110079.19,-9438.2,-9398.7,-9554.92,-9627.86,-9762.42,-9806.46,-9926.55,11607.19,82.4245700067958,11607.19
11635.0,3012089.7,1110079.07,-9439.19,-9398.57,-9554.79,-9627.73,-9762.29,-9806.32,-9926.41,11608.31,82.66330880478799,11608.31
11636.0,3012089.65,1110078.94,-9440.19,-9398.44,-9554.66,-9627.6,-9762.16,-9806.19,-9926.28,11609.43,89.2733892741961,11609.43
11637.0,3012089.6,1110078.81,-9441.18,-9398.3,-9554.53,-9627.47,-9762.03,-9806.06,-9926.15,11610.55,88.10953763398429,11610.55
11638.0,3012089.54,1110078.68,-9442.17,-9398.17,-9554.4,-9627.34,-9761.9,-9805.93,-9926.02,11611.67,87.9603258852392,11611.67
11639.0,3012089.49,1110078.54,-9443.15,-9398.04,-9554.26,-9627.21,-9761.76,-9805.8,-9925.89,11612.79,95.9580756179768,11612.79
11640.0,3012089.44,1110078.41,-9444.14,-9397.91,-9554.13,-9627.08,-9761.63,-9805.67,-9925.76,11613.92,100.28521633158483,11613.92
