MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10502.0,2913703.26,1041861.43,-8302.38,-8578.16,-8790.23,-8844.38,-8896.36,-8942.19,-9068.17,10484.9,,10484.9
10503.0,2913703.24,1041861.44,-8303.38,-8578.28,-8790.35,-8844.49,-8896.47,-8942.3,-9068.28,10485.79,194.59800064169275,10485.79
10504.0,2913703.22,1041861.44,-8304.38,-8578.39,-8790.46,-8844.6,-8896.58,-8942.42,-9068.39,10486.67,,10486.67
10505.0,2913703.21,1041861.45,-8305.38,-8578.5,-8790.57,-8844.71,-8896.69,-8942.53,-9068.5,10487.56,,10487.56
10506.0,2913703.19,1041861.46,-8306.38,-8578.61,-8790.68,-8844.82,-8896.81,-8942.64,-9068.61,10488.45,192.09978306588727,10488.45
10507.0,2913703.17,1041861.46,-8307.38,-8578.72,-8790.79,-8844.93,-8896.92,-8942.75,-9068.72,10489.34,187.29327088787545,10489.34
10508.0,2913703.16,1041861.47,-8308.38,-8578.83,-8790.91,-8845.05,-8897.03,-8942.86,-9068.84,10490.23,,10490.23
10509.0,2913703.14,1041861.47,-8309.38,-8578.95,-8791.02,-8845.16,-8897.14,-8942.97,-9068.95,10491.11,194.59800064169275,10491.11
10510.0,2913703.13,1041861.48,-8310.38,-8579.06,-8791.13,-8845.27,-8897.25,-8943.09,-9069.06,10492.0,,10492.0
10511.0,2913703.11,1041861.48,-8311.38,-8579.17,-8791.24,-8845.38,-8897.37,-8943.2,-9069.17,10492.89,,10492.89
10512.0,2913703.09,1041861.49,-8312.38,-8579.28,-8791.35,-8845.49,-8897.48,-8943.31,-9069.28,10493.78,195.38691145510504,10493.78
10513.0,2913703.08,1041861.5,-8313.38,-8579.39,-8791.46,-8845.61,-8897.59,-8943.42,-9069.4,10494.67,198.98083849398316,10494.67
10514.0,2913703.06,1041861.5,-8314.38,-8579.51,-8791.58,-8845.72,-8897.7,-8943.53,-9069.51,10495.55,,10495.55
10515.0,2913703.04,1041861.51,-8315.38,-8579.62,-8791.69,-8845.83,-8897.81,-8943.65,-9069.62,10496.44,193.54611955714307,10496.44
10516.0,2913703.03,1041861.51,-8316.38,-8579.73,-8791.8,-8845.94,-8897.92,-8943.76,-9069.73,10497.33,191.67610874016583,10497.33
10517.0,2913703.01,1041861.52,-8317.38,-8579.84,-8791.91,-8846.05,-8898.04,-8943.87,-9069.84,10498.22,,10498.22
10518.0,2913702.99,1041861.53,-8318.38,-8579.95,-8792.02,-8846.16,-8898.15,-8943.98,-9069.95,10499.11,194.4519060466164,10499.11
10519.0,2913702.98,1041861.53,-8319.38,-8580.07,-8792.14,-8846.28,-8898.26,-8944.09,-9070.07,10499.990000000002,201.90273039551005,10499.990000000002
10520.0,2913702.96,1041861.54,-8320.38,-8580.18,-8792.25,-8846.39,-8898.37,-8944.21,-9070.18,10500.88,200.25186147114732,10500.88
10521.0,2913702.94,1041861.54,-8321.38,-8580.29,-8792.36,-8846.5,-8898.48,-8944.32,-9070.29,10501.77,194.59800064169275,10501.77
10522.0,2913702.93,1041861.55,-8322.38,-8580.4,-8792.47,-8846.61,-8898.6,-8944.43,-9070.4,10502.66,,10502.66
10523.0,2913702.91,1041861.56,-8323.38,-8580.51,-8792.58,-8846.72,-8898.71,-8944.54,-9070.51,10503.55,,10503.55
10524.0,2913702.9,1041861.56,-8324.38,-8580.63,-8792.7,-8846.84,-8898.82,-8944.65,-9070.63,10504.43,198.98083849398316,10504.43
10525.0,2913702.88,1041861.57,-8325.38,-8580.74,-8792.81,-8846.95,-8898.93,-8944.77,-9070.74,10505.320000000002,,10505.320000000002
10526.0,2913702.86,1041861.58,-8326.38,-8580.85,-8792.92,-8847.06,-8899.04,-8944.88,-9070.85,10506.21,,10506.21
10527.0,2913702.85,1041861.58,-8327.38,-8580.96,-8793.03,-8847.17,-8899.16,-8944.99,-9070.96,10507.1,225.2778656077254,10507.1
10528.0,2913702.83,1041861.59,-8328.38,-8581.07,-8793.14,-8847.28,-8899.27,-8945.1,-9071.07,10507.98,,10507.98
10529.0,2913702.81,1041861.59,-8329.38,-8581.19,-8793.26,-8847.4,-8899.38,-8945.21,-9071.19,10508.87,,10508.87
10530.0,2913702.8,1041861.6,-8330.38,-8581.3,-8793.37,-8847.51,-8899.49,-8945.33,-9071.3,10509.76,213.4442034065414,10509.76
10531.0,2913702.78,1041861.61,-8331.38,-8581.41,-8793.48,-8847.62,-8899.6,-8945.44,-9071.41,10510.65,206.28556824780043,10510.65
10532.0,2913702.77,1041861.61,-8332.38,-8581.52,-8793.59,-8847.73,-8899.72,-8945.55,-9071.52,10511.54,,10511.54
10533.0,2913702.75,1041861.62,-8333.38,-8581.63,-8793.7,-8847.85,-8899.83,-8945.66,-9071.63,10512.42,184.16684655324167,10512.42
10534.0,2913702.73,1041861.62,-8334.38,-8581.75,-8793.82,-8847.96,-8899.94,-8945.77,-9071.75,10513.31,177.06664923253126,10513.31
10535.0,2913702.72,1041861.63,-8335.38,-8581.86,-8793.93,-8848.07,-8900.05,-8945.89,-9071.86,10514.2,,10514.2
10536.0,2913702.7,1041861.64,-8336.38,-8581.97,-8794.04,-8848.18,-8900.17,-8946.0,-9071.97,10515.09,,10515.09
10537.0,2913702.68,1041861.64,-8337.38,-8582.08,-8794.15,-8848.29,-8900.28,-8946.11,-9072.08,10515.97,187.29327088787545,10515.97
10538.0,2913702.67,1041861.65,-8338.38,-8582.19,-8794.26,-8848.41,-8900.39,-8946.22,-9072.2,10516.86,,10516.86
10539.0,2913702.65,1041861.66,-8339.38,-8582.31,-8794.38,-8848.52,-8900.5,-8946.33,-9072.31,10517.75,,10517.75
10540.0,2913702.63,1041861.66,-8340.38,-8582.42,-8794.49,-8848.63,-8900.61,-8946.45,-9072.42,10518.64,191.67610874016583,10518.64
10541.0,2913702.62,1041861.67,-8341.38,-8582.53,-8794.6,-8848.74,-8900.73,-8946.56,-9072.53,10519.53,,10519.53
10542.0,2913702.6,1041861.67,-8342.38,-8582.64,-8794.71,-8848.85,-8900.84,-8946.67,-9072.64,10520.41,,10520.41
10543.0,2913702.59,1041861.68,-8343.38,-8582.76,-8794.83,-8848.97,-8900.95,-8946.78,-9072.76,10521.3,,10521.3
10544.0,2913702.57,1041861.69,-8344.38,-8582.87,-8794.94,-8849.08,-8901.06,-8946.9,-9072.87,10522.19,189.64539386860463,10522.19
10545.0,2913702.55,1041861.69,-8345.38,-8582.98,-8795.05,-8849.19,-8901.17,-8947.01,-9072.98,10523.08,184.37137898634856,10523.08
10546.0,2913702.54,1041861.7,-8346.38,-8583.09,-8795.16,-8849.3,-8901.29,-8947.12,-9073.09,10523.96,,10523.96
10547.0,2913702.52,1041861.71,-8347.38,-8583.2,-8795.27,-8849.42,-8901.4,-8947.23,-9073.21,10524.85,,10524.85
10548.0,2913702.5,1041861.71,-8348.38,-8583.32,-8795.39,-8849.53,-8901.51,-8947.34,-9073.32,10525.740000000002,172.68381138024088,10525.740000000002
10549.0,2913702.49,1041861.72,-8349.38,-8583.43,-8795.5,-8849.64,-8901.62,-8947.46,-9073.43,10526.63,,10526.63
10550.0,2913702.47,1041861.73,-8350.38,-8583.54,-8795.61,-8849.75,-8901.74,-8947.57,-9073.54,10527.51,,10527.51
10551.0,2913702.46,1041861.73,-8351.38,-8583.65,-8795.72,-8849.86,-8901.85,-8947.68,-9073.65,10528.4,,10528.4
10552.0,2913702.44,1041861.74,-8352.38,-8583.77,-8795.84,-8849.98,-8901.96,-8947.79,-9073.77,10529.29,184.37137898634856,10529.29
10553.0,2913702.42,1041861.74,-8353.38,-8583.88,-8795.95,-8850.09,-8902.07,-8947.91,-9073.88,10530.18,,10530.18
10554.0,2913702.41,1041861.75,-8354.38,-8583.99,-8796.06,-8850.2,-8902.19,-8948.02,-9073.99,10531.06,,10531.06
10555.0,2913702.39,1041861.76,-8355.38,-8584.1,-8796.17,-8850.31,-8902.3,-8948.13,-9074.1,10531.95,179.98854113405818,10531.95
10556.0,2913702.38,1041861.76,-8356.38,-8584.21,-8796.29,-8850.43,-8902.41,-8948.24,-9074.22,10532.84,,10532.84
10557.0,2913702.36,1041861.77,-8357.38,-8584.33,-8796.4,-8850.54,-8902.52,-8948.36,-9074.33,10533.73,,10533.73
10558.0,2913702.34,1041861.78,-8358.38,-8584.44,-8796.51,-8850.65,-8902.63,-8948.47,-9074.44,10534.61,,10534.61
10559.0,2913702.33,1041861.78,-8359.38,-8584.55,-8796.62,-8850.76,-8902.75,-8948.58,-9074.55,10535.5,185.80310601809677,10535.5
10560.0,2913702.31,1041861.79,-8360.38,-8584.66,-8796.74,-8850.88,-8902.86,-8948.69,-9074.67,10536.39,191.67610874016583,10536.39
10561.0,2913702.29,1041861.8,-8361.38,-8584.78,-8796.85,-8850.99,-8902.97,-8948.8,-9074.78,10537.28,,10537.28
10562.0,2913702.28,1041861.8,-8362.38,-8584.89,-8796.96,-8851.1,-8903.08,-8948.92,-9074.89,10538.16,,10538.16
10563.0,2913702.26,1041861.81,-8363.37,-8585.0,-8797.07,-8851.21,-8903.2,-8949.03,-9075.0,10539.05,,10539.05
10564.0,2913702.25,1041861.82,-8364.37,-8585.11,-8797.18,-8851.33,-8903.31,-8949.14,-9075.12,10539.94,,10539.94
10565.0,2913702.23,1041861.82,-8365.37,-8585.23,-8797.3,-8851.44,-8903.42,-8949.25,-9075.23,10540.83,,10540.83
10566.0,2913702.21,1041861.83,-8366.37,-8585.34,-8797.41,-8851.55,-8903.53,-8949.37,-9075.34,10541.71,,10541.71
10567.0,2913702.2,1041861.84,-8367.37,-8585.45,-8797.52,-8851.66,-8903.65,-8949.48,-9075.45,10542.6,189.26554792140607,10542.6
10568.0,2913702.18,1041861.84,-8368.37,-8585.56,-8797.63,-8851.78,-8903.76,-8949.59,-9075.56,10543.490000000002,184.37137898634856,10543.490000000002
10569.0,2913702.17,1041861.85,-8369.37,-8585.68,-8797.75,-8851.89,-8903.87,-8949.7,-9075.68,10544.38,,10544.38
10570.0,2913702.15,1041861.86,-8370.37,-8585.79,-8797.86,-8852.0,-8903.98,-8949.82,-9075.79,10545.26,,10545.26
10571.0,2913702.13,1041861.86,-8371.37,-8585.9,-8797.97,-8852.11,-8904.1,-8949.93,-9075.9,10546.15,194.59800064169275,10546.15
10572.0,2913702.12,1041861.87,-8372.37,-8586.01,-8798.08,-8852.23,-8904.21,-8950.04,-9076.02,10547.04,,10547.04
10573.0,2913702.1,1041861.88,-8373.37,-8586.13,-8798.2,-8852.34,-8904.32,-8950.15,-9076.13,10547.92,,10547.92
10574.0,2913702.08,1041861.88,-8374.37,-8586.24,-8798.31,-8852.45,-8904.43,-8950.27,-9076.24,10548.81,,10548.81
10575.0,2913702.07,1041861.89,-8375.37,-8586.35,-8798.42,-8852.56,-8904.55,-8950.38,-9076.35,10549.7,198.98083849398316,10549.7
10576.0,2913702.05,1041861.9,-8376.37,-8586.46,-8798.53,-8852.68,-8904.66,-8950.49,-9076.47,10550.59,,10550.59
10577.0,2913702.04,1041861.9,-8377.37,-8586.58,-8798.65,-8852.79,-8904.77,-8950.6,-9076.58,10551.47,,10551.47
10578.0,2913702.02,1041861.91,-8378.37,-8586.69,-8798.76,-8852.9,-8904.88,-8950.72,-9076.69,10552.36,,10552.36
10579.0,2913702.0,1041861.92,-8379.37,-8586.8,-8798.87,-8853.01,-8905.0,-8950.83,-9076.8,10553.25,,10553.25
10580.0,2913701.99,1041861.92,-8380.37,-8586.91,-8798.99,-8853.13,-8905.11,-8950.94,-9076.92,10554.14,,10554.14
10581.0,2913701.97,1041861.93,-8381.37,-8587.03,-8799.1,-8853.24,-8905.22,-8951.06,-9077.03,10555.02,,10555.02
10582.0,2913701.96,1041861.94,-8382.37,-8587.14,-8799.21,-8853.35,-8905.34,-8951.17,-9077.14,10555.91,,10555.91
10583.0,2913701.94,1041861.94,-8383.37,-8587.25,-8799.32,-8853.46,-8905.45,-8951.28,-9077.25,10556.8,,10556.8
10584.0,2913701.92,1041861.95,-8384.37,-8587.37,-8799.44,-8853.58,-8905.56,-8951.39,-9077.37,10557.68,,10557.68
10585.0,2913701.91,1041861.96,-8385.37,-8587.48,-8799.55,-8853.69,-8905.67,-8951.51,-9077.48,10558.570000000002,,10558.570000000002
10586.0,2913701.89,1041861.96,-8386.37,-8587.59,-8799.66,-8853.8,-8905.79,-8951.62,-9077.59,10559.46,,10559.46
10587.0,2913701.88,1041861.97,-8387.37,-8587.7,-8799.77,-8853.91,-8905.9,-8951.73,-9077.7,10560.35,,10560.35
10588.0,2913701.86,1041861.98,-8388.37,-8587.82,-8799.89,-8854.03,-8906.01,-8951.84,-9077.82,10561.23,,10561.23
10589.0,2913701.84,1041861.98,-8389.37,-8587.93,-8800.0,-8854.14,-8906.12,-8951.96,-9077.93,10562.12,209.20746014932732,10562.12
10590.0,2913701.83,1041861.99,-8390.37,-8588.04,-8800.11,-8854.25,-8906.24,-8952.07,-9078.04,10563.01,184.37137898634856,10563.01
10591.0,2913701.81,1041862.0,-8391.37,-8588.15,-8800.22,-8854.37,-8906.35,-8952.18,-9078.15,10563.89,,10563.89
10592.0,2913701.8,1041862.01,-8392.37,-8588.27,-8800.34,-8854.48,-8906.46,-8952.29,-9078.27,10564.78,,10564.78
10593.0,2913701.78,1041862.01,-8393.37,-8588.38,-8800.45,-8854.59,-8906.57,-8952.41,-9078.38,10565.67,206.28556824780043,10565.67
10594.0,2913701.76,1041862.02,-8394.37,-8588.49,-8800.56,-8854.7,-8906.69,-8952.52,-9078.49,10566.56,,10566.56
10595.0,2913701.75,1041862.03,-8395.37,-8588.6,-8800.67,-8854.82,-8906.8,-8952.63,-9078.61,10567.44,179.98854113405818,10567.44
10596.0,2913701.73,1041862.03,-8396.37,-8588.72,-8800.79,-8854.93,-8906.91,-8952.74,-9078.72,10568.33,181.11346951614604,10568.33
10597.0,2913701.71,1041862.04,-8397.37,-8588.83,-8800.9,-8855.04,-8907.02,-8952.86,-9078.83,10569.22,184.37137898634856,10569.22
10598.0,2913701.7,1041862.05,-8398.37,-8588.94,-8801.01,-8855.15,-8907.14,-8952.97,-9078.94,10570.11,,10570.11
10599.0,2913701.68,1041862.05,-8399.37,-8589.05,-8801.13,-8855.27,-8907.25,-8953.08,-9079.06,10570.990000000002,182.55980600740187,10570.990000000002
10600.0,2913701.67,1041862.06,-8400.37,-8589.17,-8801.24,-8855.38,-8907.36,-8953.19,-9079.17,10571.88,177.06664923253126,10571.88
10601.0,2913701.65,1041862.07,-8401.37,-8589.28,-8801.35,-8855.49,-8907.47,-8953.31,-9079.28,10572.77,,10572.77
10602.0,2913701.63,1041862.07,-8402.37,-8589.39,-8801.46,-8855.6,-8907.59,-8953.42,-9079.39,10573.66,,10573.66
10603.0,2913701.62,1041862.08,-8403.37,-8589.5,-8801.57,-8855.72,-8907.7,-8953.53,-9079.51,10574.54,183.91848574161187,10574.54
10604.0,2913701.6,1041862.09,-8404.37,-8589.62,-8801.69,-8855.83,-8907.81,-8953.64,-9079.62,10575.43,201.90273039551005,10575.43
10605.0,2913701.59,1041862.09,-8405.37,-8589.73,-8801.8,-8855.94,-8907.92,-8953.76,-9079.73,10576.320000000002,,10576.320000000002
10606.0,2913701.57,1041862.1,-8406.37,-8589.84,-8801.91,-8856.05,-8908.04,-8953.87,-9079.84,10577.2,200.0327195785328,10577.2
10607.0,2913701.55,1041862.11,-8407.37,-8589.95,-8802.02,-8856.17,-8908.15,-8953.98,-9079.96,10578.09,194.59800064169275,10578.09
10608.0,2913701.54,1041862.11,-8408.37,-8590.07,-8802.14,-8856.28,-8908.26,-8954.09,-9080.07,10578.98,,10578.98
10609.0,2913701.52,1041862.12,-8409.37,-8590.18,-8802.25,-8856.39,-8908.37,-8954.21,-9080.18,10579.87,,10579.87
10610.0,2913701.5,1041862.12,-8410.37,-8590.29,-8802.36,-8856.5,-8908.49,-8954.32,-9080.29,10580.75,,10580.75
10611.0,2913701.49,1041862.13,-8411.37,-8590.4,-8802.47,-8856.62,-8908.6,-8954.43,-9080.4,10581.64,189.23632900239087,10581.64
10612.0,2913701.47,1041862.14,-8412.37,-8590.52,-8802.59,-8856.73,-8908.71,-8954.54,-9080.52,10582.53,187.29327088787545,10582.53
10613.0,2913701.46,1041862.14,-8413.37,-8590.63,-8802.7,-8856.84,-8908.82,-8954.66,-9080.63,10583.42,,10583.42
10614.0,2913701.44,1041862.15,-8414.37,-8590.74,-8802.81,-8856.95,-8908.94,-8954.77,-9080.74,10584.3,198.98083849398316,10584.3
10615.0,2913701.42,1041862.16,-8415.37,-8590.85,-8802.92,-8857.06,-8909.05,-8954.88,-9080.85,10585.19,,10585.19
