MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10505.0,2999189.75,1115602.9,-8336.64,-8707.23,-8818.64,-8908.87,-9069.71,-9121.49,-9216.77,10070.48,,10070.48
10506.0,2999189.72,1115602.91,-8337.64,-8707.14,-8818.55,-8908.78,-9069.62,-9121.4,-9216.67,10071.570000000002,122.31136153527612,10071.570000000002
10507.0,2999189.7,1115602.92,-8338.64,-8707.04,-8818.45,-8908.68,-9069.52,-9121.3,-9216.58,10072.67,117.815669716885,10072.67
10508.0,2999189.67,1115602.93,-8339.64,-8706.95,-8818.36,-8908.59,-9069.43,-9121.2,-9216.48,10073.76,132.7870370740034,10073.76
10509.0,2999189.65,1115602.94,-8340.63,-8706.85,-8818.26,-8908.49,-9069.33,-9121.11,-9216.39,10074.86,122.36844968535095,10074.86
10510.0,2999189.62,1115602.96,-8341.63,-8706.76,-8818.17,-8908.39,-9069.23,-9121.01,-9216.29,10075.95,122.0116487473834,10075.95
10511.0,2999189.59,1115602.97,-8342.63,-8706.66,-8818.07,-8908.3,-9069.14,-9120.92,-9216.2,10077.05,124.13818233767,10077.05
10512.0,2999189.57,1115602.98,-8343.63,-8706.57,-8817.98,-8908.2,-9069.04,-9120.82,-9216.1,10078.14,126.90695761629816,10078.14
10513.0,2999189.54,1115602.99,-8344.63,-8706.47,-8817.88,-8908.11,-9068.95,-9120.73,-9216.01,10079.240000000002,118.94316068086246,10079.240000000002
10514.0,2999189.51,1115603.01,-8345.63,-8706.37,-8817.79,-8908.01,-9068.85,-9120.63,-9215.91,10080.33,116.68817875290756,10080.33
10515.0,2999189.48,1115603.02,-8346.63,-8706.28,-8817.69,-8907.92,-9068.76,-9120.54,-9215.81,10081.43,128.93358694395386,10081.43
10516.0,2999189.46,1115603.04,-8347.63,-8706.16,-8817.57,-8907.8,-9068.64,-9120.42,-9215.7,10082.54,125.87937091495164,10082.54
10517.0,2999189.43,1115603.05,-8348.63,-8706.05,-8817.46,-8907.68,-9068.52,-9120.3,-9215.58,10083.66,125.09440885142304,10083.66
10518.0,2999189.4,1115603.07,-8349.63,-8705.93,-8817.34,-8907.57,-9068.41,-9120.19,-9215.46,10084.77,120.17055590747084,10084.77
10519.0,2999189.37,1115603.08,-8350.63,-8705.81,-8817.22,-8907.45,-9068.29,-9120.07,-9215.35,10085.89,123.88128566233334,10085.89
10520.0,2999189.34,1115603.1,-8351.63,-8705.7,-8817.11,-8907.33,-9068.17,-9119.95,-9215.23,10087.01,144.29029931407723,10087.01
10521.0,2999189.31,1115603.12,-8352.63,-8705.58,-8816.99,-8907.22,-9068.06,-9119.84,-9215.12,10088.12,139.00964543215747,10088.12
10522.0,2999189.27,1115603.13,-8353.63,-8705.46,-8816.87,-8907.1,-9067.94,-9119.72,-9215.0,10089.240000000002,142.96299982483794,10089.240000000002
10523.0,2999189.24,1115603.15,-8354.63,-8705.35,-8816.76,-8906.99,-9067.83,-9119.6,-9214.88,10090.35,122.1400970850517,10090.35
10524.0,2999189.21,1115603.17,-8355.63,-8705.23,-8816.64,-8906.87,-9067.71,-9119.49,-9214.77,10091.47,130.1467101330435,10091.47
10525.0,2999189.18,1115603.19,-8356.63,-8705.11,-8816.53,-8906.75,-9067.59,-9119.37,-9214.65,10092.58,121.02687815859296,10092.58
10526.0,2999189.14,1115603.21,-8357.63,-8704.98,-8816.39,-8906.62,-9067.46,-9119.23,-9214.51,10093.72,131.14575275935266,10093.72
10527.0,2999189.11,1115603.23,-8358.62,-8704.84,-8816.25,-8906.48,-9067.32,-9119.1,-9214.38,10094.86,128.70523434365464,10094.86
10528.0,2999189.08,1115603.25,-8359.62,-8704.7,-8816.11,-8906.34,-9067.18,-9118.96,-9214.24,10095.990000000002,,10095.990000000002
10529.0,2999189.04,1115603.27,-8360.62,-8704.57,-8815.98,-8906.2,-9067.04,-9118.82,-9214.1,10097.13,124.90887236367988,10097.13
10530.0,2999189.01,1115603.29,-8361.62,-8704.43,-8815.84,-8906.07,-9066.91,-9118.69,-9213.96,10098.27,126.00781925261995,10098.27
10531.0,2999188.97,1115603.31,-8362.62,-8704.29,-8815.7,-8905.93,-9066.77,-9118.55,-9213.83,10099.4,119.157241243643,10099.4
10532.0,2999188.93,1115603.33,-8363.62,-8704.15,-8815.56,-8905.79,-9066.63,-9118.41,-9213.69,10100.54,117.27333229117431,10100.54
10533.0,2999188.9,1115603.36,-8364.62,-8704.02,-8815.43,-8905.65,-9066.49,-9118.27,-9213.55,10101.68,117.55877304154836,10101.68
10534.0,2999188.86,1115603.38,-8365.62,-8703.88,-8815.29,-8905.52,-9066.36,-9118.14,-9213.41,10102.81,131.67381814754464,10102.81
10535.0,2999188.82,1115603.4,-8366.62,-8703.74,-8815.15,-8905.38,-9066.22,-9118.0,-9213.28,10103.95,128.94785898147256,10103.95
10536.0,2999188.79,1115603.43,-8367.62,-8703.59,-8815.0,-8905.23,-9066.07,-9117.85,-9213.13,10105.1,129.63291678237024,10105.1
10537.0,2999188.75,1115603.45,-8368.62,-8703.43,-8814.84,-8905.07,-9065.91,-9117.69,-9212.97,10106.26,124.65197568834326,10106.26
10538.0,2999188.71,1115603.48,-8369.61,-8703.27,-8814.68,-8904.91,-9065.75,-9117.53,-9212.81,10107.41,121.15532649626128,10107.41
10539.0,2999188.66,1115603.5,-8370.61,-8703.11,-8814.52,-8904.75,-9065.59,-9117.37,-9212.64,10108.58,118.58635974289491,10108.58
10540.0,2999188.62,1115603.53,-8371.61,-8702.94,-8814.35,-8904.58,-9065.42,-9117.2,-9212.48,10109.740000000002,128.12008080538783,10109.740000000002
10541.0,2999188.58,1115603.56,-8372.61,-8702.77,-8814.18,-8904.41,-9065.25,-9117.03,-9212.3,10110.92,116.3599218899774,10110.92
10542.0,2999188.54,1115603.59,-8373.61,-8702.59,-8814.0,-8904.23,-9065.07,-9116.85,-9212.13,10112.09,113.20580159834428,10112.09
10543.0,2999188.49,1115603.62,-8374.61,-8702.41,-8813.82,-8904.05,-9064.89,-9116.67,-9211.95,10113.27,131.58818592243244,10113.27
10544.0,2999188.45,1115603.65,-8375.61,-8702.23,-8813.64,-8903.86,-9064.7,-9116.48,-9211.76,10114.45,122.28281746023872,10114.45
10545.0,2999188.4,1115603.69,-8376.6,-8702.04,-8813.45,-8903.67,-9064.51,-9116.29,-9211.57,10115.64,123.95264584992688,10115.64
10546.0,2999188.35,1115603.72,-8377.6,-8701.84,-8813.25,-8903.48,-9064.32,-9116.1,-9211.38,10116.83,125.87937091495164,10116.83
10547.0,2999188.3,1115603.75,-8378.6,-8701.65,-8813.06,-8903.28,-9064.12,-9115.9,-9211.18,10118.03,129.49019640718325,10118.03
10548.0,2999188.26,1115603.79,-8379.6,-8701.44,-8812.85,-8903.08,-9063.92,-9115.7,-9210.98,10119.23,122.62534636068756,10119.23
10549.0,2999188.21,1115603.83,-8380.6,-8701.24,-8812.65,-8902.88,-9063.72,-9115.5,-9210.77,10120.43,128.00590450523822,10120.43
10550.0,2999188.16,1115603.86,-8381.6,-8701.03,-8812.44,-8902.67,-9063.51,-9115.29,-9210.56,10121.64,127.32084670434054,10121.64
10551.0,2999188.1,1115603.9,-8382.59,-8700.81,-8812.22,-8902.45,-9063.29,-9115.07,-9210.35,10122.85,121.88320040971507,10122.85
10552.0,2999188.05,1115603.94,-8383.59,-8700.6,-8812.01,-8902.23,-9063.07,-9114.85,-9210.13,10124.070000000002,123.66720509955285,10124.070000000002
10553.0,2999188.0,1115603.98,-8384.59,-8700.37,-8811.78,-8902.01,-9062.85,-9114.63,-9209.91,10125.29,133.64335932512552,10125.29
10554.0,2999187.94,1115604.02,-8385.59,-8700.15,-8811.56,-8901.78,-9062.62,-9114.4,-9209.68,10126.51,132.7156768864099,10126.51
10555.0,2999187.89,1115604.06,-8386.58,-8699.92,-8811.33,-8901.55,-9062.39,-9114.17,-9209.45,10127.740000000002,128.89077083139776,10127.740000000002
10556.0,2999187.83,1115604.11,-8387.58,-8699.68,-8811.09,-8901.32,-9062.16,-9113.94,-9209.22,10128.97,135.09910715203313,10128.97
10557.0,2999187.78,1115604.15,-8388.58,-8699.44,-8810.85,-8901.08,-9061.92,-9113.7,-9208.98,10130.21,131.03157645920305,10130.21
10558.0,2999187.72,1115604.19,-8389.58,-8699.2,-8810.61,-8900.84,-9061.68,-9113.46,-9208.73,10131.45,137.38263315502545,10131.45
10559.0,2999187.66,1115604.24,-8390.57,-8698.95,-8810.36,-8900.59,-9061.43,-9113.21,-9208.49,10132.7,130.61768737116068,10132.7
10560.0,2999187.6,1115604.29,-8391.57,-8698.7,-8810.11,-8900.34,-9061.18,-9112.96,-9208.23,10133.95,126.79278131614856,10133.95
10561.0,2999187.54,1115604.33,-8392.57,-8698.44,-8809.85,-8900.08,-9060.92,-9112.7,-9207.98,10135.2,137.19709666728232,10135.2
10562.0,2999187.48,1115604.38,-8393.56,-8698.18,-8809.59,-8899.82,-9060.66,-9112.44,-9207.72,10136.45,139.65188712049908,10136.45
10563.0,2999187.42,1115604.43,-8394.56,-8697.92,-8809.33,-8899.56,-9060.4,-9112.18,-9207.46,10137.72,137.1685525922449,10137.72
10564.0,2999187.35,1115604.48,-8395.56,-8697.65,-8809.06,-8899.29,-9060.13,-9111.91,-9207.19,10138.98,133.85743988790605,10138.98
10565.0,2999187.29,1115604.53,-8396.56,-8697.38,-8808.79,-8899.02,-9059.86,-9111.64,-9206.91,10140.25,128.63387415606113,10140.25
10566.0,2999187.22,1115604.58,-8397.55,-8697.1,-8808.51,-8898.74,-9059.58,-9111.36,-9206.64,10141.52,133.60054321256942,10141.52
10567.0,2999187.16,1115604.64,-8398.55,-8696.82,-8808.23,-8898.46,-9059.3,-9111.08,-9206.36,10142.8,160.5461500478788,10142.8
