MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10359.0,3007805.49,1128914.97,-8257.82,-8628.81,-8737.79,-8835.68,-8997.66,-9048.05,-9153.64,10188.19,147.1937900870643,10188.19
10360.0,3007805.46,1128914.98,-8258.82,-8628.84,-8737.82,-8835.71,-8997.69,-9048.08,-9153.67,10189.15,148.914623003376,10189.15
10361.0,3007805.43,1128914.98,-8259.82,-8628.88,-8737.86,-8835.75,-8997.73,-9048.12,-9153.71,10190.12,151.1829936657869,10190.12
10362.0,3007805.4,1128914.98,-8260.82,-8628.91,-8737.89,-8835.78,-8997.76,-9048.15,-9153.74,10191.09,155.6884471194031,10191.09
10363.0,3007805.37,1128914.99,-8261.82,-8628.94,-8737.92,-8835.81,-8997.79,-9048.18,-9153.77,10192.06,158.51999946351603,10192.06
10364.0,3007805.33,1128914.99,-8262.82,-8628.97,-8737.95,-8835.84,-8997.82,-9048.21,-9153.8,10193.02,160.8509458683383,10193.02
10365.0,3007805.3,1128915.0,-8263.82,-8629.01,-8737.99,-8835.88,-8997.86,-9048.25,-9153.84,10193.990000000002,155.15655330890675,10193.990000000002
10366.0,3007805.27,1128915.01,-8264.82,-8629.04,-8738.02,-8835.91,-8997.89,-9048.28,-9153.87,10194.96,156.9399619676298,10194.96
10367.0,3007805.24,1128915.01,-8265.81,-8629.07,-8738.05,-8835.94,-8997.92,-9048.31,-9153.9,10195.92,162.64999846266417,10195.92
10368.0,3007805.21,1128915.02,-8266.81,-8629.11,-8738.09,-8835.98,-8997.96,-9048.35,-9153.94,10196.89,168.01586837443622,10196.89
10369.0,3007805.18,1128915.02,-8267.81,-8629.14,-8738.12,-8836.01,-8997.99,-9048.38,-9153.97,10197.86,176.27586637273254,10197.86
10370.0,3007805.14,1128915.03,-8268.81,-8629.17,-8738.15,-8836.04,-8998.02,-9048.41,-9154.0,10198.820000000002,176.16635882351267,10198.820000000002
10371.0,3007805.11,1128915.04,-8269.81,-8629.21,-8738.19,-8836.08,-8998.06,-9048.45,-9154.04,10199.79,171.73912504791068,10199.79
10372.0,3007805.08,1128915.04,-8270.81,-8629.24,-8738.22,-8836.11,-8998.09,-9048.48,-9154.07,10200.75,168.81370909018074,10200.75
10373.0,3007805.05,1128915.05,-8271.81,-8629.27,-8738.25,-8836.14,-8998.12,-9048.51,-9154.1,10201.72,167.4057548859257,10201.72
10374.0,3007805.02,1128915.06,-8272.81,-8629.31,-8738.29,-8836.18,-8998.16,-9048.55,-9154.14,10202.68,169.90878458237913,10202.68
10375.0,3007804.98,1128915.06,-8273.81,-8629.34,-8738.32,-8836.21,-8998.19,-9048.58,-9154.17,10203.65,171.1915873018115,10203.65
10376.0,3007804.95,1128915.07,-8274.81,-8629.38,-8738.36,-8836.25,-8998.23,-9048.62,-9154.21,10204.61,175.32158630095967,10204.61
10377.0,3007804.92,1128915.08,-8275.81,-8629.41,-8738.39,-8836.28,-8998.26,-9048.65,-9154.24,10205.58,169.64283767713093,10205.58
10378.0,3007804.89,1128915.09,-8276.81,-8629.44,-8738.42,-8836.31,-8998.29,-9048.68,-9154.27,10206.54,167.85942901840787,10206.54
10379.0,3007804.85,1128915.1,-8277.81,-8629.48,-8738.46,-8836.35,-8998.33,-9048.72,-9154.31,10207.51,163.97973298890508,10207.51
10380.0,3007804.82,1128915.1,-8278.81,-8629.51,-8738.49,-8836.38,-8998.36,-9048.75,-9154.34,10208.47,166.46711874975566,10208.47
10381.0,3007804.79,1128915.11,-8279.81,-8629.55,-8738.53,-8836.42,-8998.4,-9048.79,-9154.38,10209.44,167.90636082521638,10209.44
10382.0,3007804.75,1128915.12,-8280.81,-8629.58,-8738.56,-8836.45,-8998.43,-9048.82,-9154.41,10210.4,169.18916354464875,10210.4
10383.0,3007804.72,1128915.13,-8281.81,-8629.62,-8738.6,-8836.49,-8998.47,-9048.86,-9154.45,10211.37,170.5501859420953,10211.37
10384.0,3007804.69,1128915.14,-8282.81,-8629.65,-8738.63,-8836.52,-8998.5,-9048.89,-9154.48,10212.33,173.69461699826493,10212.33
10385.0,3007804.65,1128915.15,-8283.8,-8629.69,-8738.67,-8836.56,-8998.54,-9048.93,-9154.52,10213.3,172.47439002124386,10213.3
10386.0,3007804.62,1128915.16,-8284.8,-8629.72,-8738.7,-8836.59,-8998.57,-9048.96,-9154.55,10214.26,,10214.26
10387.0,3007804.59,1128915.17,-8285.8,-8629.76,-8738.74,-8836.63,-8998.61,-9049.0,-9154.59,10215.22,177.5586690921649,10215.22
10388.0,3007804.55,1128915.18,-8286.8,-8629.8,-8738.78,-8836.67,-8998.65,-9049.04,-9154.63,10216.19,176.80776018322885,10216.19
10389.0,3007804.52,1128915.19,-8287.8,-8629.83,-8738.81,-8836.7,-8998.68,-9049.07,-9154.66,10217.15,175.571889270605,10217.15
10390.0,3007804.49,1128915.2,-8288.8,-8629.87,-8738.85,-8836.74,-8998.72,-9049.11,-9154.7,10218.11,176.11942701670418,10218.11
10391.0,3007804.45,1128915.21,-8289.8,-8629.91,-8738.89,-8836.78,-8998.76,-9049.15,-9154.74,10219.08,177.99669928904424,10219.08
10392.0,3007804.42,1128915.22,-8290.8,-8629.94,-8738.92,-8836.81,-8998.79,-9049.18,-9154.77,10220.04,177.35529792932806,10220.04
10393.0,3007804.38,1128915.23,-8291.8,-8629.98,-8738.96,-8836.85,-8998.83,-9049.22,-9154.81,10221.0,179.24821413727096,10221.0
10394.0,3007804.35,1128915.24,-8292.8,-8630.01,-8738.99,-8836.88,-8998.86,-9049.25,-9154.84,10221.97,179.2638580728738,10221.97
10395.0,3007804.31,1128915.25,-8293.8,-8630.05,-8739.03,-8836.92,-8998.9,-9049.29,-9154.88,10222.93,179.15435052365396,10222.93
10396.0,3007804.28,1128915.27,-8294.8,-8630.09,-8739.07,-8836.96,-8998.94,-9049.33,-9154.92,10223.89,173.8667002898961,10223.89
10397.0,3007804.25,1128915.28,-8295.8,-8630.12,-8739.1,-8836.99,-8998.97,-9049.36,-9154.95,10224.85,172.36488247202405,10224.85
10398.0,3007804.21,1128915.29,-8296.8,-8630.16,-8739.14,-8837.03,-8999.01,-9049.4,-9154.99,10225.820000000002,174.08571538833576,10225.820000000002
10399.0,3007804.18,1128915.3,-8297.8,-8630.2,-8739.18,-8837.07,-8999.05,-9049.44,-9155.03,10226.78,178.70067639117178,10226.78
10400.0,3007804.14,1128915.31,-8298.8,-8630.23,-8739.21,-8837.1,-8999.08,-9049.47,-9155.06,10227.740000000002,193.45290766464416,10227.740000000002
10401.0,3007804.11,1128915.33,-8299.79,-8630.27,-8739.25,-8837.14,-8999.12,-9049.51,-9155.1,10228.7,191.51305964989277,10228.7
10402.0,3007804.07,1128915.34,-8300.79,-8630.31,-8739.29,-8837.18,-8999.16,-9049.55,-9155.14,10229.66,178.8571157472001,10229.66
10403.0,3007804.04,1128915.35,-8301.79,-8630.35,-8739.33,-8837.22,-8999.2,-9049.59,-9155.18,10230.63,171.6609053698965,10230.63
10404.0,3007804.0,1128915.36,-8302.79,-8630.37,-8739.35,-8837.24,-8999.22,-9049.61,-9155.2,10231.6,166.20117184450748,10231.6
10405.0,3007803.97,1128915.38,-8303.79,-8630.36,-8739.34,-8837.23,-8999.21,-9049.6,-9155.19,10232.61,166.82692926862083,10232.61
10406.0,3007803.93,1128915.39,-8304.79,-8630.36,-8739.34,-8837.23,-8999.21,-9049.6,-9155.19,10233.62,168.43825463571272,10233.62
10407.0,3007803.89,1128915.41,-8305.79,-8630.35,-8739.33,-8837.22,-8999.2,-9049.59,-9155.18,10234.62,164.62113434862127,10234.62
10408.0,3007803.86,1128915.42,-8306.79,-8630.34,-8739.32,-8837.21,-8999.19,-9049.58,-9155.17,10235.63,161.7895820045083,10235.63
10409.0,3007803.82,1128915.43,-8307.79,-8630.33,-8739.31,-8837.2,-8999.18,-9049.57,-9155.16,10236.64,168.36003495769856,10236.64
10410.0,3007803.79,1128915.45,-8308.79,-8630.32,-8739.3,-8837.19,-8999.17,-9049.56,-9155.15,10237.64,170.3155269080528,10237.64
10411.0,3007803.75,1128915.46,-8309.79,-8630.32,-8739.3,-8837.19,-8999.17,-9049.56,-9155.15,10238.65,172.59954150606654,10238.65
10412.0,3007803.71,1128915.48,-8310.79,-8630.31,-8739.29,-8837.18,-8999.16,-9049.55,-9155.14,10239.66,173.66332912705926,10239.66
10413.0,3007803.68,1128915.49,-8311.79,-8630.3,-8739.28,-8837.17,-8999.15,-9049.54,-9155.13,10240.67,171.08207975259165,10240.67
10414.0,3007803.64,1128915.51,-8312.78,-8630.29,-8739.27,-8837.16,-8999.14,-9049.53,-9155.12,10241.67,167.71863359798238,10241.67
10415.0,3007803.61,1128915.52,-8313.78,-8630.28,-8739.26,-8837.15,-8999.13,-9049.52,-9155.11,10242.68,165.8413613256423,10242.68
10416.0,3007803.57,1128915.54,-8314.78,-8630.27,-8739.25,-8837.14,-8999.12,-9049.51,-9155.1,10243.69,161.02302915996947,10243.69
10417.0,3007803.53,1128915.55,-8315.78,-8630.27,-8739.25,-8837.14,-8999.12,-9049.51,-9155.1,10244.7,161.44541542124597,10244.7
10418.0,3007803.5,1128915.57,-8316.78,-8630.26,-8739.24,-8837.13,-8999.11,-9049.5,-9155.09,10245.7,165.4815508067771,10245.7
