MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10988.0,2911992.72,1016721.12,-9004.19,-9266.98,-9493.55,-9532.45,-9607.84,-9654.69,-9813.91,11311.15,161.84721890951445,11311.15
10989.0,2911992.71,1016721.14,-9005.19,-9267.0,-9493.57,-9532.47,-9607.86,-9654.71,-9813.93,11312.13,164.10351596880233,11312.13
10990.0,2911992.69,1016721.16,-9006.19,-9267.02,-9493.59,-9532.49,-9607.88,-9654.73,-9813.95,11313.11,157.97447022566217,11313.11
10991.0,2911992.68,1016721.18,-9007.19,-9267.04,-9493.61,-9532.51,-9607.9,-9654.75,-9813.97,11314.08,143.00545466068522,11314.08
10992.0,2911992.67,1016721.2,-9008.18,-9267.06,-9493.63,-9532.53,-9607.92,-9654.77,-9813.99,11315.06,113.11793764399894,11315.06
10993.0,2911992.65,1016721.22,-9009.18,-9267.08,-9493.65,-9532.55,-9607.94,-9654.79,-9814.01,11316.04,117.15906670541004,11316.04
10994.0,2911992.64,1016721.24,-9010.18,-9267.1,-9493.67,-9532.57,-9607.96,-9654.81,-9814.03,11317.02,123.30495048630613,11317.02
10995.0,2911992.63,1016721.26,-9011.18,-9267.12,-9493.69,-9532.59,-9607.98,-9654.83,-9814.05,11318.0,121.09916754028588,11318.0
10996.0,2911992.61,1016721.28,-9012.18,-9267.14,-9493.71,-9532.61,-9608.0,-9654.85,-9814.07,11318.98,119.63425825552434,11318.98
10997.0,2911992.6,1016721.3,-9013.18,-9267.16,-9493.73,-9532.63,-9608.02,-9654.87,-9814.09,11319.96,119.55006806674496,11319.96
10998.0,2911992.58,1016721.32,-9014.18,-9267.18,-9493.75,-9532.65,-9608.04,-9654.89,-9814.12,11320.94,116.68760164824542,11320.94
10999.0,2911992.57,1016721.34,-9015.18,-9267.21,-9493.78,-9532.68,-9608.07,-9654.91,-9814.14,11321.92,116.72127772375718,11321.92
11000.0,2911992.55,1016721.36,-9016.18,-9267.23,-9493.8,-9532.7,-9608.09,-9654.94,-9814.16,11322.9,116.83914398804836,11322.9
11001.0,2911992.54,1016721.38,-9017.18,-9267.25,-9493.82,-9532.72,-9608.11,-9654.96,-9814.18,11323.88,120.72873070965652,11323.88
11002.0,2911992.53,1016721.4,-9018.18,-9267.27,-9493.84,-9532.74,-9608.13,-9654.98,-9814.2,11324.85,125.7801420364204,11324.85
11003.0,2911992.51,1016721.42,-9019.18,-9267.29,-9493.86,-9532.76,-9608.15,-9655.0,-9814.22,11325.83,124.5509652802412,11325.83
11004.0,2911992.5,1016721.44,-9020.18,-9267.31,-9493.88,-9532.78,-9608.17,-9655.02,-9814.24,11326.81,124.98875426189406,11326.81
11005.0,2911992.48,1016721.47,-9021.18,-9267.33,-9493.9,-9532.8,-9608.19,-9655.04,-9814.26,11327.79,126.23476905582916,11327.79
11006.0,2911992.47,1016721.49,-9022.18,-9267.35,-9493.92,-9532.82,-9608.21,-9655.06,-9814.28,11328.77,,11328.77
11007.0,2911992.45,1016721.51,-9023.18,-9267.37,-9493.94,-9532.84,-9608.23,-9655.08,-9814.3,11329.75,117.51266549828354,11329.75
11008.0,2911992.44,1016721.53,-9024.18,-9267.39,-9493.96,-9532.86,-9608.25,-9655.1,-9814.32,11330.73,120.20675153922426,11330.73
11009.0,2911992.42,1016721.55,-9025.18,-9267.41,-9493.98,-9532.88,-9608.27,-9655.12,-9814.35,11331.71,125.4602193190587,11331.71
11010.0,2911992.41,1016721.57,-9026.18,-9267.44,-9494.01,-9532.91,-9608.3,-9655.15,-9814.37,11332.68,127.69967834059068,11332.68
11011.0,2911992.39,1016721.59,-9027.18,-9267.46,-9494.03,-9532.93,-9608.32,-9655.17,-9814.39,11333.66,124.18052844961184,11333.66
11012.0,2911992.38,1016721.61,-9028.18,-9267.48,-9494.05,-9532.95,-9608.34,-9655.19,-9814.41,11334.64,119.9036668596184,11334.64
11013.0,2911992.36,1016721.63,-9029.18,-9267.5,-9494.07,-9532.97,-9608.36,-9655.21,-9814.43,11335.62,,11335.62
11014.0,2911992.35,1016721.65,-9030.18,-9267.52,-9494.09,-9532.99,-9608.38,-9655.23,-9814.45,11336.6,133.28990687554267,11336.6
11015.0,2911992.33,1016721.67,-9031.18,-9267.54,-9494.11,-9533.01,-9608.4,-9655.25,-9814.47,11337.58,125.91484633846744,11337.58
11016.0,2911992.32,1016721.69,-9032.18,-9267.56,-9494.13,-9533.03,-9608.42,-9655.27,-9814.49,11338.55,121.46960437091523,11338.55
11017.0,2911992.3,1016721.71,-9033.18,-9267.58,-9494.15,-9533.05,-9608.44,-9655.29,-9814.52,11339.53,122.900837580165,11339.53
11018.0,2911992.29,1016721.73,-9034.18,-9267.61,-9494.18,-9533.08,-9608.47,-9655.32,-9814.54,11340.51,121.41909025764758,11340.51
11019.0,2911992.27,1016721.75,-9035.18,-9267.63,-9494.2,-9533.1,-9608.49,-9655.34,-9814.56,11341.490000000002,115.86253779820731,11341.490000000002
11020.0,2911992.26,1016721.77,-9036.18,-9267.65,-9494.22,-9533.12,-9608.51,-9655.36,-9814.58,11342.47,116.75495379926896,11342.47
11021.0,2911992.24,1016721.79,-9037.18,-9267.67,-9494.24,-9533.14,-9608.53,-9655.38,-9814.6,11343.44,120.64454052087714,11343.44
11022.0,2911992.22,1016721.81,-9038.18,-9267.69,-9494.26,-9533.16,-9608.55,-9655.4,-9814.62,11344.42,,11344.42
11023.0,2911992.21,1016721.83,-9039.18,-9267.71,-9494.28,-9533.18,-9608.57,-9655.42,-9814.65,11345.4,130.4779545703108,11345.4
