TVT,GR,Geology
11782.62,86.82000000000001,
11783.12,85.95,
11783.62,85.09,
11784.12,77.89,
11784.62,74.75,
11785.12,76.19,
11785.62,89.45,
11786.12,93.73,
11786.62,102.79,
11787.12,95.37,
11787.62,90.93,
11788.12,79.57000000000001,ANCC
11788.62,76.48,ANCC
11789.12,70.42,ANCC
11789.62,70.83,ANCC
11790.12,69.85,ANCC
11790.62,71.66,ANCC
11791.12,66.79,ANCC
11791.62,65.24,ANCC
11792.12,62.17,ANCC
11792.62,65.78,ANCC
11793.12,65.32,ANCC
11793.62,70.67999999999999,ANCC
11794.12,72.65,ANCC
11794.62,73.83,ANCC
11795.12,70.77,ANCC
11795.62,68.95,ANCC
11796.12,71.45,ANCC
11796.62,72.08,ANCC
11797.12,75.38,ANCC
11797.62,78.5,ANCC
11798.12,81.21000000000001,ANCC
11798.62,78.17,ANCC
11799.12,69.32,ANCC
11799.62,62.269999999999996,ANCC
11800.12,54.41,ANCC
11800.62,52.33,ANCC
11801.12,48.53,ANCC
11801.62,49.400000000000006,ANCC
11802.12,50.28,ANCC
11802.62,52.269999999999996,ANCC
11803.12,54.209999999999994,ANCC
11803.62,53.370000000000005,ANCC
11804.12,54.44,ANCC
11804.62,53.010000000000005,ANCC
11805.12,55.31,ANCC
11805.62,55.17,ANCC
11806.12,57.89,ANCC
11806.62,60.17999999999999,ANCC
11807.12,59.0,ANCC
11807.62,56.510000000000005,ANCC
11808.12,53.379999999999995,ANCC
11808.62,54.769999999999996,ANCC
11809.12,55.040000000000006,ANCC
11809.62,53.230000000000004,ANCC
11810.12,52.53,ANCC
11810.62,53.790000000000006,ANCC
11811.12,54.2,ANCC
11811.62,56.3,ANCC
11812.12,57.620000000000005,ANCC
11812.62,59.78,ANCC
11813.12,64.36,ANCC
11813.62,64.77,ANCC
11814.12,64.27,ANCC
11814.62,61.209999999999994,ANCC
11815.12,58.42999999999999,ANCC
11815.62,60.459999999999994,ANCC
11816.12,61.22,ANCC
11816.62,56.34,ANCC
11817.12,48.34,ANCC
11817.62,38.39,ANCC
11818.12,39.11,ANCC
11818.62,39.4,ANCC
11819.12,40.129999999999995,ANCC
11819.62,38.79,ANCC
11820.12,40.03,ANCC
11820.62,41.980000000000004,ANCC
11821.12,48.47,ANCC
11821.62,50.84,ANCC
11822.12,50.84,ANCC
11822.62,47.92,ANCC
11823.12,47.64,ANCC
11823.62,56.64,ANCC
11824.12,62.209999999999994,ANCC
11824.62,66.84,ANCC
11825.12,61.95,ANCC
11825.62,60.269999999999996,ANCC
11826.12,57.510000000000005,ANCC
11826.62,53.16,ANCC
11827.12,48.17999999999999,ANCC
11827.62,43.59,ANCC
11828.12,44.45,ANCC
11828.61,43.93,ANCC
11829.11,45.459999999999994,ANCC
11829.61,46.34,ANCC
11830.11,56.47,ANCC
11830.61,60.81999999999999,ANCC
11831.11,65.13,ANCC
11831.61,60.7,ANCC
11832.11,61.69,ANCC
11832.61,60.739999999999995,ANCC
11833.11,62.0,ANCC
11833.61,60.790000000000006,ANCC
11834.11,60.91,ANCC
11834.61,59.379999999999995,ANCC
11835.11,59.84,ANCC
11835.61,60.650000000000006,ANCC
11836.11,61.09,ANCC
11836.61,61.92,ANCC
11837.11,62.86,ANCC
11837.61,63.33,ANCC
11838.11,65.13,ANCC
11838.61,64.14,ANCC
11839.11,63.980000000000004,ANCC
11839.61,60.480000000000004,ANCC
11840.11,58.459999999999994,ANCC
11840.61,57.92999999999999,ANCC
11841.11,59.489999999999995,ANCC
11841.61,61.849999999999994,ANCC
11842.11,61.709999999999994,ANCC
11842.61,63.09,ANCC
11843.11,62.540000000000006,ANCC
11843.61,64.34,ANCC
11844.11,67.47,ANCC
11844.61,71.67999999999999,ANCC
11845.11,74.23,ANCC
11845.61,74.77,ANCC
11846.11,75.03,ANCC
11846.61,74.65,ANCC
11847.11,74.76,ANCC
11847.61,76.19,ANCC
11848.11,77.3,ANCC
11848.61,76.96000000000001,ANCC
11849.11,76.76,ANCC
11849.61,76.94,ANCC
11850.11,76.67,ANCC
11850.61,74.58,ANCC
11851.11,75.52,ANCC
11851.61,74.58,ANCC
11852.11,75.55,ANCC
11852.61,74.65,ANCC
11853.11,79.83,ANCC
11853.61,81.08,ANCC
11854.11,82.04,ANCC
11854.61,79.83,ANCC
11855.11,82.04,ANCC
11855.61,85.2,ANCC
11856.11,90.45,ANCC
11856.61,94.08,ANCC
11857.11,90.09,ANCC
11857.61,81.62,ANCC
11858.11,70.35,ANCC
11858.61,69.79,ANCC
11859.11,68.32,ANCC
11859.61,72.9,ANCC
11860.11,74.56,ANCC
11860.61,78.8,ANCC
11861.11,79.03,ANCC
11861.61,77.52,ANCC
11862.11,74.05,ANCC
11862.61,75.04,ANCC
11863.11,75.5,ANCC
11863.61,77.38000000000001,ANCC
11864.11,75.61,ANCC
11864.61,73.4,ANCC
11865.11,72.49,ANCC
11865.61,71.66,ANCC
11866.11,73.1,ANCC
11866.61,72.09,ANCC
11867.11,68.25,ANCC
11867.61,61.42,ANCC
11868.11,58.97,ANCC
11868.61,61.56999999999999,ANCC
11869.11,67.5,ANCC
11869.61,70.55,ANCC
11870.11,68.73,ANCC
11870.61,66.59,ANCC
11871.11,71.46,ANCC
11871.61,82.07000000000001,ANCC
11872.11,86.56,ANCC
11872.61,80.84,ANCC
11873.11,68.61,ANCC
11873.61,61.379999999999995,ANCC
11874.11,57.09,ANCC
11874.61,57.09,ANCC
11875.11,54.42,ANCC
11875.61,53.900000000000006,ANCC
11876.11,56.05,ANCC
11876.61,59.42999999999999,ANCC
11877.11,61.06,ANCC
11877.61,67.95,ANCC
11878.11,80.96000000000001,ANCC
11878.61,91.57000000000001,ANCC
11879.11,92.35000000000001,ANCC
11879.61,83.43,ANCC
11880.11,75.95,ANCC
11880.61,69.83,ANCC
11881.11,69.64,ANCC
11881.61,68.67,ANCC
11882.11,68.73,ANCC
11882.61,68.28,ANCC
11883.11,72.17999999999999,ANCC
11883.61,75.17,ANCC
11884.11,79.14,ANCC
11884.61,79.92,ANCC
11885.11,81.29,ANCC
11885.61,77.98,ANCC
11886.11,78.69,ANCC
11886.61,75.98,ANCC
11887.11,71.48,ANCC
11887.61,61.67999999999999,ANCC
11888.11,51.260000000000005,ANCC
11888.61,48.0,ANCC
11889.11,49.019999999999996,ANCC
11889.61,56.58,ANCC
11890.11,62.44,ANCC
11890.61,66.6,ANCC
11891.11,66.0,ANCC
11891.61,63.269999999999996,ANCC
11892.11,59.89,ANCC
11892.61,62.03,ANCC
11893.11,68.34,ANCC
11893.61,77.71000000000001,ANCC
11894.11,93.58,ANCC
11894.61,111.08,ANCC
11895.11,120.06,ANCC
11895.61,111.21000000000001,ANCC
11896.11,97.88000000000001,ANCC
11896.61,91.2,ANCC
11897.11,90.61,ANCC
11897.61,87.49000000000001,ANCC
11898.11,86.82000000000001,ANCC
11898.61,83.85000000000001,ANCC
11899.11,83.2,ANCC
11899.61,80.27,ANCC
11900.11,84.48,ANCC
11900.61,89.35000000000001,ANCC
11901.11,89.81,ANCC
11901.61,87.47,ANCC
11902.11,82.72,ANCC
11902.61,82.98,ANCC
11903.11,81.87,ANCC
11903.61,85.45,ANCC
11904.11,87.8,ANCC
11904.61,90.98,ANCC
11905.11,89.81,ANCC
11905.61,88.12,ANCC
11906.11,86.75,ANCC
11906.61,86.56,ANCC
11907.11,89.46000000000001,ANCC
11907.61,92.26,ANCC
11908.11,94.73,ANCC
11908.61,94.46000000000001,ANCC
11909.11,91.34,ANCC
11909.61,92.05,ANCC
11910.11,92.73,ANCC
11910.61,92.92,ANCC
11911.11,89.15,ANCC
11911.61,84.8,ANCC
11912.11,86.10000000000001,ANCC
11912.61,87.79,ANCC
