MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10559.0,2883492.86,1020229.0,-8478.17,-8461.97,-8705.77,-8766.33,-8816.13,-8839.33,-8963.73,10528.14,93.09257079302412,10528.14
10560.0,2883492.9,1020228.97,-8479.17,-8461.98,-8705.79,-8766.35,-8816.15,-8839.35,-8963.75,10529.12,93.09257079302412,10529.12
10561.0,2883492.94,1020228.95,-8480.17,-8462.0,-8705.81,-8766.37,-8816.17,-8839.37,-8963.77,10530.1,87.8993522764805,10530.1
10562.0,2883492.98,1020228.92,-8481.17,-8462.02,-8705.83,-8766.39,-8816.19,-8839.38,-8963.78,10531.08,98.81795657804749,10531.08
10563.0,2883493.02,1020228.89,-8482.17,-8462.04,-8705.84,-8766.4,-8816.2,-8839.4,-8963.8,10532.06,94.13855473451876,10532.06
10564.0,2883493.06,1020228.86,-8483.17,-8462.06,-8705.86,-8766.42,-8816.22,-8839.42,-8963.82,10533.04,98.30413990503254,10533.04
10565.0,2883493.1,1020228.83,-8484.16,-8462.07,-8705.88,-8766.44,-8816.24,-8839.44,-8963.84,10534.02,122.214965795691,10534.02
10566.0,2883493.14,1020228.79,-8485.16,-8462.09,-8705.9,-8766.46,-8816.26,-8839.46,-8963.86,10535.0,107.66294359209,10535.0
10567.0,2883493.19,1020228.76,-8486.16,-8462.11,-8705.92,-8766.48,-8816.28,-8839.48,-8963.87,10535.98,112.8561621086336,10535.98
10568.0,2883493.24,1020228.72,-8487.16,-8462.13,-8705.93,-8766.49,-8816.29,-8839.49,-8963.89,10536.96,103.4973584215762,10536.96
10569.0,2883493.28,1020228.69,-8488.16,-8462.15,-8705.95,-8766.51,-8816.31,-8839.51,-8963.91,10537.94,113.38832937711337,10537.94
10570.0,2883493.33,1020228.65,-8489.16,-8462.17,-8705.98,-8766.54,-8816.33,-8839.53,-8963.93,10538.92,108.69057693811982,10538.92
10571.0,2883493.38,1020228.61,-8490.15,-8462.19,-8706.0,-8766.56,-8816.36,-8839.56,-8963.96,10539.89,105.57097570910068,10539.89
10572.0,2883493.43,1020228.58,-8491.15,-8462.22,-8706.02,-8766.58,-8816.38,-8839.58,-8963.98,10540.87,98.30413990503254,10540.87
10573.0,2883493.48,1020228.54,-8492.15,-8462.24,-8706.04,-8766.6,-8816.4,-8839.6,-8964.0,10541.84,94.13855473451876,10541.84
10574.0,2883493.53,1020228.5,-8493.15,-8462.26,-8706.07,-8766.63,-8816.43,-8839.63,-8964.03,10542.820000000002,99.3501238465272,10542.820000000002
10575.0,2883493.58,1020228.45,-8494.15,-8462.28,-8706.09,-8766.65,-8816.45,-8839.65,-8964.05,10543.79,96.21217202204323,10543.79
10576.0,2883493.64,1020228.41,-8495.14,-8462.31,-8706.11,-8766.67,-8816.47,-8839.67,-8964.07,10544.76,105.57097570910068,10544.76
10577.0,2883493.69,1020228.37,-8496.14,-8462.33,-8706.14,-8766.7,-8816.5,-8839.7,-8964.09,10545.740000000002,113.90214605012824,10545.740000000002
10578.0,2883493.75,1020228.32,-8497.14,-8462.35,-8706.16,-8766.72,-8816.52,-8839.72,-8964.12,10546.71,100.37775719255706,10546.71
10579.0,2883493.81,1020228.28,-8498.14,-8462.38,-8706.18,-8766.74,-8816.54,-8839.74,-8964.14,10547.69,112.8561621086336,10547.69
10580.0,2883493.86,1020228.23,-8499.13,-8462.4,-8706.21,-8766.77,-8816.57,-8839.77,-8964.17,10548.66,96.744339290523,10548.66
10581.0,2883493.92,1020228.18,-8500.13,-8462.43,-8706.24,-8766.8,-8816.6,-8839.8,-8964.2,10549.63,91.55112077397936,10549.63
10582.0,2883493.98,1020228.13,-8501.13,-8462.46,-8706.27,-8766.83,-8816.63,-8839.83,-8964.22,10550.6,85.80738439349119,10550.6
10583.0,2883494.04,1020228.08,-8502.12,-8462.49,-8706.29,-8766.85,-8816.65,-8839.85,-8964.25,10551.56,100.37775719255706,10551.56
10584.0,2883494.11,1020228.03,-8503.12,-8462.52,-8706.32,-8766.88,-8816.68,-8839.88,-8964.28,10552.53,84.77975104746135,10552.53
10585.0,2883494.17,1020227.98,-8504.12,-8462.54,-8706.35,-8766.91,-8816.71,-8839.91,-8964.31,10553.5,97.2581559635379,10553.5
10586.0,2883494.23,1020227.93,-8505.11,-8462.57,-8706.38,-8766.94,-8816.74,-8839.94,-8964.34,10554.47,93.09257079302412,10554.47
10587.0,2883494.3,1020227.87,-8506.11,-8462.6,-8706.41,-8766.97,-8816.77,-8839.97,-8964.36,10555.44,87.8993522764805,10555.44
10588.0,2883494.37,1020227.82,-8507.11,-8462.63,-8706.43,-8766.99,-8816.79,-8839.99,-8964.39,10556.41,94.13855473451876,10556.41
10589.0,2883494.43,1020227.76,-8508.1,-8462.66,-8706.46,-8767.02,-8816.82,-8840.02,-8964.42,10557.38,97.79032323201766,10557.38
10590.0,2883494.5,1020227.71,-8509.1,-8462.69,-8706.5,-8767.06,-8816.86,-8840.06,-8964.45,10558.34,103.4973584215762,10558.34
10591.0,2883494.57,1020227.65,-8510.09,-8462.72,-8706.53,-8767.09,-8816.89,-8840.09,-8964.49,10559.3,101.40539053858689,10559.3
10592.0,2883494.64,1020227.59,-8511.09,-8462.76,-8706.56,-8767.12,-8816.92,-8840.12,-8964.52,10560.26,103.4973584215762,10560.26
10593.0,2883494.71,1020227.53,-8512.09,-8462.79,-8706.6,-8767.16,-8816.96,-8840.16,-8964.56,10561.22,100.37775719255706,10561.22
10594.0,2883494.79,1020227.47,-8513.08,-8462.83,-8706.63,-8767.19,-8816.99,-8840.19,-8964.59,10562.18,128.4541682537293,10562.18
10595.0,2883494.86,1020227.4,-8514.08,-8462.86,-8706.67,-8767.23,-8817.03,-8840.23,-8964.62,10563.14,111.29636149412406,10563.14
10596.0,2883494.94,1020227.34,-8515.07,-8462.89,-8706.7,-8767.26,-8817.06,-8840.26,-8964.66,10564.1,102.46972507554636,10564.1
10597.0,2883495.02,1020227.27,-8516.07,-8462.93,-8706.73,-8767.29,-8817.09,-8840.29,-8964.69,10565.070000000002,89.45915289099005,10565.070000000002
10598.0,2883495.1,1020227.2,-8517.06,-8462.96,-8706.77,-8767.33,-8817.13,-8840.33,-8964.73,10566.03,115.97576333765277,10566.03
10599.0,2883495.19,1020227.13,-8518.05,-8463.0,-8706.8,-8767.36,-8817.16,-8840.36,-8964.76,10566.990000000002,106.61695965059532,10566.990000000002
10600.0,2883495.27,1020227.06,-8519.05,-8463.04,-8706.85,-8767.4,-8817.2,-8840.4,-8964.8,10567.94,120.14134850816654,10567.94
10601.0,2883495.36,1020226.98,-8520.04,-8463.08,-8706.89,-8767.45,-8817.25,-8840.45,-8964.85,10568.89,103.4973584215762,10568.89
10602.0,2883495.45,1020226.9,-8521.03,-8463.13,-8706.93,-8767.49,-8817.29,-8840.49,-8964.89,10569.83,95.18453867601345,10569.83
10603.0,2883495.54,1020226.83,-8522.03,-8463.17,-8706.97,-8767.53,-8817.33,-8840.53,-8964.93,10570.78,78.54054858942305,10570.78
10604.0,2883495.64,1020226.75,-8523.02,-8463.21,-8707.02,-8767.58,-8817.38,-8840.58,-8964.98,10571.73,78.54054858942305,10571.73
10605.0,2883495.73,1020226.67,-8524.01,-8463.26,-8707.06,-8767.62,-8817.42,-8840.62,-8965.02,10572.68,89.99132015946981,10572.68
10606.0,2883495.83,1020226.58,-8525.0,-8463.3,-8707.1,-8767.66,-8817.46,-8840.66,-8965.06,10573.63,72.30134613138478,10573.63
10607.0,2883495.93,1020226.5,-8525.99,-8463.34,-8707.15,-8767.71,-8817.51,-8840.71,-8965.11,10574.58,84.77975104746135,10574.58
10608.0,2883496.04,1020226.41,-8526.98,-8463.39,-8707.19,-8767.75,-8817.55,-8840.75,-8965.15,10575.53,81.6601498184422,10575.53
10609.0,2883496.14,1020226.32,-8527.97,-8463.43,-8707.23,-8767.79,-8817.59,-8840.79,-8965.19,10576.48,78.54054858942305,10576.48
10610.0,2883496.25,1020226.23,-8528.97,-8463.48,-8707.29,-8767.85,-8817.65,-8840.85,-8965.25,10577.41,84.77975104746135,10577.41
10611.0,2883496.36,1020226.14,-8529.95,-8463.53,-8707.34,-8767.9,-8817.7,-8840.9,-8965.3,10578.35,81.6601498184422,10578.35
10612.0,2883496.47,1020226.04,-8530.94,-8463.59,-8707.39,-8767.95,-8817.75,-8840.95,-8965.35,10579.28,80.61416587694755,10579.28
10613.0,2883496.58,1020225.95,-8531.93,-8463.64,-8707.44,-8768.0,-8817.8,-8841.0,-8965.4,10580.22,98.81795657804749,10580.22
10614.0,2883496.7,1020225.85,-8532.92,-8463.69,-8707.5,-8768.06,-8817.86,-8841.06,-8965.46,10581.15,86.17439630278754,10581.15
10615.0,2883496.82,1020225.75,-8533.91,-8463.74,-8707.55,-8768.11,-8817.91,-8841.11,-8965.51,10582.09,,10582.09
10616.0,2883496.94,1020225.65,-8534.9,-8463.8,-8707.6,-8768.16,-8817.96,-8841.16,-8965.56,10583.03,92.5787541200092,10583.03
10617.0,2883497.06,1020225.55,-8535.88,-8463.85,-8707.66,-8768.21,-8818.01,-8841.21,-8965.61,10583.96,80.61416587694755,10583.96
10618.0,2883497.18,1020225.44,-8536.87,-8463.9,-8707.71,-8768.27,-8818.07,-8841.27,-8965.67,10584.9,84.77975104746135,10584.9
10619.0,2883497.31,1020225.34,-8537.86,-8463.95,-8707.76,-8768.32,-8818.12,-8841.32,-8965.72,10585.83,78.54054858942305,10585.83
10620.0,2883497.44,1020225.23,-8538.84,-8464.02,-8707.82,-8768.38,-8818.18,-8841.38,-8965.78,10586.75,,10586.75
10621.0,2883497.57,1020225.12,-8539.83,-8464.08,-8707.88,-8768.44,-8818.24,-8841.44,-8965.84,10587.68,84.77975104746135,10587.68
