MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
9859.0,2875075.63,1025655.78,-7719.93,-8197.82,-8472.82,-8545.82,-8594.82,-8617.82,-8735.82,9729.56,132.6597115724318,9729.56
9860.0,2875075.6,1025655.81,-7720.93,-8197.82,-8472.82,-8545.82,-8594.82,-8617.82,-8735.82,9730.56,134.52154120756427,9730.56
9861.0,2875075.57,1025655.85,-7721.93,-8197.82,-8472.82,-8545.82,-8594.82,-8617.82,-8735.82,9731.56,139.23701626476904,9731.56
9862.0,2875075.54,1025655.88,-7722.93,-8197.82,-8472.82,-8545.82,-8594.82,-8617.82,-8735.82,9732.56,143.23037982797382,9732.56
9863.0,2875075.51,1025655.92,-7723.93,-8197.82,-8472.82,-8545.82,-8594.82,-8617.82,-8735.82,9733.56,147.31944491447976,9733.56
9864.0,2875075.48,1025655.95,-7724.93,-8197.82,-8472.82,-8545.82,-8594.82,-8617.82,-8735.82,9734.56,146.4059303738774,9734.56
9865.0,2875075.45,1025655.99,-7725.93,-8197.82,-8472.82,-8545.82,-8594.82,-8617.82,-8735.82,9735.56,140.1679310823353,9735.56
9866.0,2875075.41,1025656.02,-7726.92,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9736.56,131.90279952450408,9736.56
9867.0,2875075.38,1025656.05,-7727.92,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9737.56,,9737.56
9868.0,2875075.35,1025656.09,-7728.92,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9738.56,122.14994428626326,9738.56
9869.0,2875075.32,1025656.12,-7729.92,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9739.56,122.663252456697,9739.56
9870.0,2875075.29,1025656.16,-7730.92,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9740.56,125.01228984681744,9740.56
9871.0,2875075.26,1025656.19,-7731.92,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9741.56,126.43911255785356,9741.56
9872.0,2875075.23,1025656.23,-7732.92,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9742.56,126.56961463508247,9742.56
9873.0,2875075.2,1025656.26,-7733.92,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9743.56,127.04812225158852,9743.56
9874.0,2875075.17,1025656.29,-7734.92,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9744.56,128.02253776156437,9744.56
9875.0,2875075.14,1025656.33,-7735.92,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9745.56,128.23134108513065,9745.56
9876.0,2875075.11,1025656.36,-7736.91,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9746.56,124.61208347664878,9746.56
9877.0,2875075.08,1025656.4,-7737.91,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9747.56,121.27993043807052,9747.56
9878.0,2875075.04,1025656.43,-7738.91,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9748.56,120.30551492809464,9748.56
9879.0,2875075.01,1025656.46,-7739.91,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9749.56,120.33161534354042,9749.56
9880.0,2875074.98,1025656.5,-7740.91,-8197.81,-8472.81,-8545.81,-8594.81,-8617.81,-8735.81,9750.56,122.3500474713476,9750.56
9881.0,2875074.95,1025656.53,-7741.91,-8197.8,-8472.8,-8545.8,-8594.8,-8617.8,-8735.8,9751.55,,9751.55
9882.0,2875074.92,1025656.57,-7742.91,-8197.8,-8472.8,-8545.8,-8594.8,-8617.8,-8735.8,9752.55,126.4826132502632,9752.55
9883.0,2875074.89,1025656.6,-7743.91,-8197.8,-8472.8,-8545.8,-8594.8,-8617.8,-8735.8,9753.55,125.92580438741984,9753.55
9884.0,2875074.86,1025656.63,-7744.91,-8197.8,-8472.8,-8545.8,-8594.8,-8617.8,-8735.8,9754.55,128.22264094664874,9754.55
9885.0,2875074.83,1025656.67,-7745.91,-8197.8,-8472.8,-8545.8,-8594.8,-8617.8,-8735.8,9755.55,133.37312292794985,9755.55
9886.0,2875074.8,1025656.7,-7746.9,-8197.8,-8472.8,-8545.8,-8594.8,-8617.8,-8735.8,9756.55,134.60854259238357,9756.55
9887.0,2875074.77,1025656.73,-7747.9,-8197.8,-8472.8,-8545.8,-8594.8,-8617.8,-8735.8,9757.55,134.51284106908236,9757.55
