MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10026.0,2889590.54,1025829.33,-7902.379999999999,-8485.28,-8729.08,-8789.64,-8839.44,-8862.64,-8987.04,9929.03,150.75857092645785,9929.03
10027.0,2889590.52,1025829.34,-7903.379999999999,-8485.32,-8729.13,-8789.69,-8839.49,-8862.69,-8987.09,9929.990000000002,137.68582853422777,9929.990000000002
10028.0,2889590.49,1025829.35,-7904.379999999999,-8485.36,-8729.17,-8789.73,-8839.53,-8862.73,-8987.13,9930.94,138.73576532478484,9930.94
10029.0,2889590.47,1025829.36,-7905.379999999999,-8485.41,-8729.21,-8789.77,-8839.57,-8862.77,-8987.17,9931.9,150.26448302501922,9931.9
10030.0,2889590.44,1025829.37,-7906.379999999999,-8485.45,-8729.25,-8789.81,-8839.61,-8862.81,-8987.21,9932.86,154.77303512564657,9932.86
10031.0,2889590.41,1025829.38,-7907.379999999999,-8485.49,-8729.3,-8789.86,-8839.66,-8862.86,-8987.26,9933.81,160.0227190784319,9933.81
10032.0,2889590.39,1025829.4,-7908.370000000001,-8485.53,-8729.34,-8789.9,-8839.7,-8862.9,-8987.3,9934.77,153.94955528991557,9934.77
10033.0,2889590.36,1025829.41,-7909.370000000001,-8485.58,-8729.38,-8789.94,-8839.74,-8862.94,-8987.34,9935.73,152.85844450757196,9935.73
10034.0,2889590.34,1025829.41,-7910.370000000001,-8485.62,-8729.42,-8789.98,-8839.78,-8862.98,-8987.38,9936.69,152.79668351989213,9936.69
10035.0,2889590.31,1025829.42,-7911.370000000001,-8485.66,-8729.47,-8790.03,-8839.83,-8863.03,-8987.43,9937.64,145.90003989564477,9937.64
10036.0,2889590.29,1025829.43,-7912.370000000001,-8485.7,-8729.51,-8790.07,-8839.87,-8863.07,-8987.47,9938.6,147.09408565745477,9938.6
10037.0,2889590.26,1025829.44,-7913.370000000001,-8485.75,-8729.55,-8790.11,-8839.91,-8863.11,-8987.51,9939.56,154.1554252488483,9939.56
10038.0,2889590.23,1025829.45,-7914.370000000001,-8485.79,-8729.6,-8790.15,-8839.95,-8863.15,-8987.55,9940.51,,9940.51
10039.0,2889590.21,1025829.46,-7915.370000000001,-8485.83,-8729.64,-8790.2,-8840.0,-8863.2,-8987.6,9941.47,135.91534688740606,9941.47
10040.0,2889590.18,1025829.47,-7916.370000000001,-8485.88,-8729.68,-8790.24,-8840.04,-8863.24,-8987.64,9942.43,149.66746014411422,9942.43
10041.0,2889590.16,1025829.48,-7917.370000000001,-8485.92,-8729.72,-8790.28,-8840.08,-8863.28,-8987.68,9943.38,158.21106343982365,9943.38
10042.0,2889590.13,1025829.49,-7918.370000000001,-8485.96,-8729.77,-8790.33,-8840.13,-8863.33,-8987.72,9944.34,154.46423018724747,9944.34
10043.0,2889590.1,1025829.5,-7919.370000000001,-8486.0,-8729.81,-8790.37,-8840.17,-8863.37,-8987.77,9945.3,157.07877866569345,9945.3
10044.0,2889590.08,1025829.51,-7920.370000000001,-8486.05,-8729.85,-8790.41,-8840.21,-8863.41,-8987.81,9946.25,151.76733372522833,9946.25
10045.0,2889590.05,1025829.52,-7921.370000000001,-8486.09,-8729.89,-8790.45,-8840.25,-8863.45,-8987.85,9947.21,152.17907364309386,9947.21
10046.0,2889590.02,1025829.53,-7922.370000000001,-8486.13,-8729.94,-8790.5,-8840.3,-8863.5,-8987.9,9948.17,151.9114426964813,9948.17
10047.0,2889590.0,1025829.54,-7923.370000000001,-8486.18,-8729.98,-8790.54,-8840.34,-8863.54,-8987.94,9949.12,152.79668351989213,9949.12
10048.0,2889589.97,1025829.55,-7924.370000000001,-8486.22,-8730.02,-8790.58,-8840.38,-8863.58,-8987.98,9950.08,150.92326689360405,9950.08
10049.0,2889589.95,1025829.55,-7925.370000000001,-8486.26,-8730.07,-8790.63,-8840.43,-8863.63,-8988.03,9951.04,164.01659628172737,9951.04
10050.0,2889589.92,1025829.56,-7926.370000000001,-8486.3,-8730.11,-8790.67,-8840.47,-8863.67,-8988.07,9951.990000000002,183.71835135159225,9951.990000000002
10051.0,2889589.89,1025829.57,-7927.370000000001,-8486.35,-8730.15,-8790.71,-8840.51,-8863.71,-8988.11,9952.95,185.8593989244929,9952.95
10052.0,2889589.87,1025829.58,-7928.370000000001,-8486.39,-8730.2,-8790.76,-8840.56,-8863.76,-8988.15,9953.91,180.01269209080257,9953.91
10053.0,2889589.84,1025829.59,-7929.370000000001,-8486.43,-8730.24,-8790.8,-8840.6,-8863.8,-8988.2,9954.86,182.73017554871495,9954.86
10054.0,2889589.81,1025829.6,-7930.370000000001,-8486.48,-8730.28,-8790.84,-8840.64,-8863.84,-8988.24,9955.820000000002,177.3157956287835,9955.820000000002
10055.0,2889589.79,1025829.6,-7931.370000000001,-8486.52,-8730.33,-8790.88,-8840.68,-8863.88,-8988.28,9956.78,165.23122903943064,9956.78
10056.0,2889589.76,1025829.61,-7932.370000000001,-8486.56,-8730.37,-8790.93,-8840.73,-8863.93,-8988.33,9957.73,169.20451924683283,9957.73
10057.0,2889589.73,1025829.62,-7933.370000000001,-8486.61,-8730.41,-8790.97,-8840.77,-8863.97,-8988.37,9958.69,165.56062097372305,9958.69
10058.0,2889589.71,1025829.63,-7934.360000000001,-8486.65,-8730.46,-8791.01,-8840.81,-8864.01,-8988.41,9959.65,159.50804418110002,9959.65
10059.0,2889589.68,1025829.64,-7935.360000000001,-8486.69,-8730.5,-8791.06,-8840.86,-8864.06,-8988.46,9960.6,159.32276121806052,9960.6
10060.0,2889589.65,1025829.64,-7936.360000000001,-8486.74,-8730.54,-8791.1,-8840.9,-8864.1,-8988.5,9961.56,152.46729158559972,9961.56
10061.0,2889589.63,1025829.65,-7937.360000000001,-8486.78,-8730.59,-8791.14,-8840.94,-8864.14,-8988.54,9962.51,160.49621998397726,9962.51
10062.0,2889589.6,1025829.66,-7938.360000000001,-8486.82,-8730.63,-8791.19,-8840.99,-8864.19,-8988.59,9963.47,177.9745794973683,9963.47
10063.0,2889589.57,1025829.67,-7939.360000000001,-8486.87,-8730.67,-8791.23,-8841.03,-8864.23,-8988.63,9964.43,190.82086493477232,9964.43
10064.0,2889589.55,1025829.68,-7940.360000000001,-8486.91,-8730.72,-8791.28,-8841.07,-8864.27,-8988.67,9965.38,192.07667168426207,9965.38
10065.0,2889589.52,1025829.68,-7941.360000000001,-8486.95,-8730.76,-8791.32,-8841.12,-8864.32,-8988.72,9966.34,,9966.34
10066.0,2889589.49,1025829.69,-7942.360000000001,-8487.0,-8730.8,-8791.36,-8841.16,-8864.36,-8988.76,9967.3,170.110347066137,9967.3
10067.0,2889589.46,1025829.7,-7943.360000000001,-8487.04,-8730.85,-8791.41,-8841.21,-8864.41,-8988.8,9968.25,167.24875463697168,9968.25
10068.0,2889589.44,1025829.7,-7944.360000000001,-8487.08,-8730.89,-8791.45,-8841.25,-8864.45,-8988.85,9969.21,176.32761982590625,9969.21
10069.0,2889589.41,1025829.71,-7945.360000000001,-8487.13,-8730.93,-8791.49,-8841.29,-8864.49,-8988.89,9970.16,182.9360455076477,9970.16
10070.0,2889589.38,1025829.72,-7946.360000000001,-8487.17,-8730.98,-8791.54,-8841.34,-8864.54,-8988.94,9971.12,193.1266084748192,9971.12
10071.0,2889589.36,1025829.73,-7947.360000000001,-8487.22,-8731.02,-8791.58,-8841.38,-8864.58,-8988.98,9972.070000000002,180.4244320086681,9972.070000000002
10072.0,2889589.33,1025829.73,-7948.360000000001,-8487.26,-8731.06,-8791.62,-8841.42,-8864.62,-8989.02,9973.03,160.24917603325792,9973.03
10073.0,2889589.3,1025829.74,-7949.360000000001,-8487.3,-8731.11,-8791.67,-8841.47,-8864.67,-8989.07,9973.990000000002,161.4638087909612,9973.990000000002
10074.0,2889589.27,1025829.75,-7950.360000000001,-8487.35,-8731.15,-8791.71,-8841.51,-8864.71,-8989.11,9974.94,172.1896336513578,9974.94
