MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11595.0,3011711.57,1093225.79,-9409.44,-9786.33,-9931.01,-9963.1,-10078.87,-10115.25,-10252.85,11478.3,104.25382878906606,11478.3
11596.0,3011711.55,1093225.81,-9410.44,-9786.21,-9930.89,-9962.98,-10078.75,-10115.13,-10252.73,11479.42,103.88730569530615,11479.42
11597.0,3011711.53,1093225.84,-9411.43,-9786.09,-9930.77,-9962.86,-10078.63,-10115.01,-10252.61,11480.54,103.15425950778636,11480.54
11598.0,3011711.5,1093225.86,-9412.43,-9785.97,-9930.65,-9962.74,-10078.51,-10114.89,-10252.49,11481.66,98.87326977267072,11481.66
11599.0,3011711.48,1093225.88,-9413.43,-9785.85,-9930.53,-9962.62,-10078.39,-10114.77,-10252.37,11482.78,98.77064330641797,11482.78
11600.0,3011711.45,1093225.9,-9414.43,-9785.73,-9930.41,-9962.5,-10078.27,-10114.66,-10252.25,11483.9,102.37723054901538,11483.9
11601.0,3011711.43,1093225.93,-9415.43,-9785.78,-9930.46,-9962.55,-10078.31,-10114.7,-10252.29,11484.86,102.40655239651616,11484.86
11602.0,3011711.41,1093225.95,-9416.43,-9785.83,-9930.51,-9962.6,-10078.37,-10114.75,-10252.35,11485.8,134.6752455711378,11485.8
11603.0,3011711.38,1093225.97,-9417.43,-9785.89,-9930.57,-9962.66,-10078.43,-10114.81,-10252.4,11486.740000000002,136.5811656586893,11486.740000000002
11604.0,3011711.36,1093226.0,-9418.43,-9785.94,-9930.62,-9962.71,-10078.48,-10114.86,-10252.46,11487.69,135.7454930049167,11487.69
11605.0,3011711.34,1093226.02,-9419.43,-9786.0,-9930.68,-9962.77,-10078.54,-10114.92,-10252.52,11488.63,132.63737716983275,11488.63
11606.0,3011711.31,1093226.04,-9420.43,-9786.06,-9930.74,-9962.83,-10078.59,-10114.98,-10252.57,11489.570000000002,133.28245781485018,11489.570000000002
11607.0,3011711.29,1093226.07,-9421.43,-9786.11,-9930.79,-9962.88,-10078.65,-10115.03,-10252.63,11490.52,133.28245781485018,11490.52
11608.0,3011711.27,1093226.09,-9422.43,-9786.17,-9930.85,-9962.94,-10078.71,-10115.09,-10252.68,11491.46,135.51091822491037,11491.46
11609.0,3011711.24,1093226.11,-9423.43,-9786.22,-9930.9,-9962.99,-10078.76,-10115.15,-10252.74,11492.4,143.8676447626361,11492.4
11610.0,3011711.22,1093226.13,-9424.43,-9786.28,-9930.96,-9963.05,-10078.82,-10115.2,-10252.8,11493.35,133.5610153661077,11493.35
11611.0,3011711.2,1093226.16,-9425.43,-9786.34,-9931.02,-9963.11,-10078.87,-10115.26,-10252.85,11494.29,121.74431082328852,11494.29
11612.0,3011711.17,1093226.18,-9426.43,-9786.39,-9931.07,-9963.16,-10078.93,-10115.31,-10252.91,11495.23,117.7565395631808,11495.23
11613.0,3011711.15,1093226.2,-9427.43,-9786.45,-9931.13,-9963.22,-10078.99,-10115.37,-10252.96,11496.18,118.19636727569268,11496.18
