MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11616.0,2986215.62,1058361.24,-9340.22,-9689.06,-9864.64,-9866.97,-9946.96,-9983.81,-10127.74,11439.17,101.79988170348572,11439.17
11617.0,2986215.62,1058361.26,-9341.22,-9689.06,-9864.64,-9866.97,-9946.96,-9983.81,-10127.74,11440.17,102.5900322040472,11440.17
11618.0,2986215.61,1058361.28,-9342.22,-9689.06,-9864.64,-9866.97,-9946.95,-9983.81,-10127.74,11441.17,107.59000094530504,11441.17
11619.0,2986215.6,1058361.29,-9343.22,-9689.06,-9864.64,-9866.97,-9946.95,-9983.81,-10127.74,11442.17,116.1132637218534,11442.17
11620.0,2986215.6,1058361.31,-9344.22,-9689.06,-9864.64,-9866.97,-9946.95,-9983.81,-10127.74,11443.17,114.22208383526366,11443.17
11621.0,2986215.59,1058361.33,-9345.22,-9689.06,-9864.64,-9866.97,-9946.95,-9983.81,-10127.74,11444.17,101.08745092429096,11444.17
11622.0,2986215.58,1058361.34,-9346.22,-9689.06,-9864.63,-9866.97,-9946.95,-9983.81,-10127.74,11445.17,99.41647691490684,11445.17
11623.0,2986215.58,1058361.36,-9347.22,-9689.06,-9864.63,-9866.97,-9946.95,-9983.81,-10127.74,11446.17,102.33096646615816,11446.17
11624.0,2986215.57,1058361.38,-9348.22,-9689.06,-9864.63,-9866.97,-9946.95,-9983.81,-10127.74,11447.17,,11447.17
11625.0,2986215.57,1058361.39,-9349.22,-9689.06,-9864.63,-9866.97,-9946.95,-9983.81,-10127.74,11448.17,106.72213072337686,11448.17
11626.0,2986215.56,1058361.41,-9350.22,-9689.06,-9864.63,-9866.97,-9946.95,-9983.81,-10127.74,11449.17,107.43456150257164,11449.17
11627.0,2986215.56,1058361.43,-9351.22,-9689.06,-9864.63,-9866.97,-9946.95,-9983.81,-10127.74,11450.17,105.07706328778168,11450.17
11628.0,2986215.55,1058361.44,-9352.22,-9689.06,-9864.63,-9866.97,-9946.95,-9983.8,-10127.74,11451.17,99.06673816875669,11451.17
11629.0,2986215.54,1058361.46,-9353.22,-9689.06,-9864.63,-9866.97,-9946.95,-9983.8,-10127.74,11452.17,98.05638179098956,11452.17
11630.0,2986215.54,1058361.48,-9354.22,-9689.06,-9864.63,-9866.96,-9946.95,-9983.8,-10127.74,11453.17,98.80767243086768,11453.17
11631.0,2986215.53,1058361.49,-9355.22,-9689.05,-9864.63,-9866.96,-9946.95,-9983.8,-10127.74,11454.17,99.41647691490684,11454.17
11632.0,2986215.53,1058361.51,-9356.22,-9689.05,-9864.63,-9866.96,-9946.95,-9983.8,-10127.74,11455.17,100.24548727615166,11455.17
11633.0,2986215.52,1058361.53,-9357.22,-9689.05,-9864.63,-9866.96,-9946.95,-9983.8,-10127.74,11456.17,104.97343699262606,11456.17
11634.0,2986215.52,1058361.55,-9358.22,-9689.05,-9864.63,-9866.96,-9946.95,-9983.8,-10127.74,11457.17,107.97859955213856,11457.17
