MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11580.0,3012842.82,1109865.86,-9416.01,-9435.26,-9591.48,-9664.42,-9798.98,-9843.02,-9963.11,11548.43,127.4713347814946,11548.43
11581.0,3012842.83,1109865.79,-9417.01,-9435.0,-9591.22,-9664.17,-9798.72,-9842.76,-9962.85,11549.69,100.09154056456047,11549.69
11582.0,3012842.83,1109865.72,-9418.0,-9434.74,-9590.97,-9663.91,-9798.46,-9842.5,-9962.59,11550.94,93.28513958866937,11550.94
11583.0,3012842.84,1109865.65,-9419.0,-9434.48,-9590.71,-9663.65,-9798.21,-9842.24,-9962.33,11552.2,,11552.2
11584.0,3012842.84,1109865.58,-9420.0,-9434.23,-9590.45,-9663.39,-9797.95,-9841.98,-9962.07,11553.46,90.99431207574808,11553.46
11585.0,3012842.85,1109865.51,-9421.0,-9433.97,-9590.19,-9663.13,-9797.69,-9841.73,-9961.82,11554.71,93.28513958866937,11554.71
11586.0,3012842.86,1109865.44,-9421.99,-9433.71,-9589.93,-9662.87,-9797.43,-9841.47,-9961.56,11555.97,,11555.97
11587.0,3012842.87,1109865.37,-9422.99,-9433.45,-9589.67,-9662.62,-9797.17,-9841.21,-9961.3,11557.22,88.71449815663891,11557.22
11588.0,3012842.87,1109865.29,-9423.99,-9433.19,-9589.42,-9662.36,-9796.92,-9840.95,-9961.04,11558.48,95.52089913253003,11558.48
11589.0,3012842.88,1109865.22,-9424.99,-9432.93,-9589.16,-9662.1,-9796.66,-9840.69,-9960.78,11559.73,100.09154056456047,11559.73
11590.0,3012842.89,1109865.15,-9425.98,-9432.68,-9588.9,-9661.84,-9796.4,-9840.43,-9960.52,11560.990000000002,95.52089913253003,11560.990000000002
11591.0,3012842.9,1109865.08,-9426.98,-9432.41,-9588.63,-9661.58,-9796.13,-9840.17,-9960.26,11562.25,97.8117266454513,11562.25
11592.0,3012842.92,1109865.0,-9427.98,-9432.16,-9588.38,-9661.33,-9795.88,-9839.92,-9960.01,11563.5,116.09429237357304,11563.5
11593.0,3012842.93,1109864.93,-9428.98,-9432.1,-9588.32,-9661.26,-9795.82,-9839.85,-9959.94,11564.56,,11564.56
11594.0,3012842.94,1109864.85,-9429.97,-9432.03,-9588.25,-9661.19,-9795.75,-9839.79,-9959.88,11565.63,113.80346486065176,11565.63
11595.0,3012842.96,1109864.78,-9430.97,-9431.96,-9588.18,-9661.13,-9795.68,-9839.72,-9959.81,11566.69,,11566.69
11596.0,3012842.97,1109864.7,-9431.97,-9431.89,-9588.12,-9661.06,-9795.61,-9839.65,-9959.74,11567.76,132.041976213525,11567.76
11597.0,3012842.99,1109864.63,-9432.96,-9431.82,-9588.05,-9660.99,-9795.55,-9839.58,-9959.67,11568.820000000002,104.66218199659087,11568.820000000002
11598.0,3012843.0,1109864.55,-9433.96,-9431.75,-9587.98,-9660.92,-9795.48,-9839.51,-9959.6,11569.89,97.8117266454513,11569.89
11599.0,3012843.02,1109864.48,-9434.96,-9431.69,-9587.91,-9660.85,-9795.41,-9839.44,-9959.53,11570.95,65.90534537173524,11570.95
11600.0,3012843.04,1109864.4,-9435.95,-9431.62,-9587.84,-9660.78,-9795.34,-9839.37,-9959.46,11572.02,61.3347039397048,11572.02
11601.0,3012843.06,1109864.33,-9436.95,-9431.54,-9587.77,-9660.71,-9795.26,-9839.3,-9959.39,11573.09,54.4842485885652,11573.09
11602.0,3012843.08,1109864.25,-9437.95,-9431.47,-9587.69,-9660.64,-9795.19,-9839.23,-9959.32,11574.16,56.76406250767437,11574.16
11603.0,3012843.1,1109864.17,-9438.95,-9431.4,-9587.62,-9660.56,-9795.12,-9839.15,-9959.24,11575.23,,11575.23
11604.0,3012843.12,1109864.1,-9439.94,-9431.33,-9587.55,-9660.49,-9795.05,-9839.08,-9959.17,11576.3,,11576.3
11605.0,3012843.14,1109864.02,-9440.94,-9431.25,-9587.48,-9660.42,-9794.97,-9839.01,-9959.1,11577.37,49.913607156534766,11577.37
11606.0,3012843.17,1109863.94,-9441.94,-9431.18,-9587.4,-9660.35,-9794.9,-9838.94,-9959.03,11578.44,70.47598680376566,11578.44
11607.0,3012843.19,1109863.87,-9442.93,-9431.11,-9587.33,-9660.27,-9794.83,-9838.86,-9958.95,11579.51,81.8530292116872,11579.51
11608.0,3012843.22,1109863.79,-9443.93,-9431.04,-9587.26,-9660.2,-9794.76,-9838.79,-9958.88,11580.58,72.72275994143845,11580.58
11609.0,3012843.25,1109863.71,-9444.93,-9430.96,-9587.19,-9660.13,-9794.68,-9838.72,-9958.81,11581.65,,11581.65
11610.0,3012843.28,1109863.64,-9445.92,-9430.89,-9587.11,-9660.06,-9794.61,-9838.65,-9958.74,11582.71,65.90534537173524,11582.71
11611.0,3012843.31,1109863.56,-9446.92,-9430.81,-9587.04,-9659.98,-9794.54,-9838.57,-9958.66,11583.79,63.62553145262607,11583.79
11612.0,3012843.34,1109863.48,-9447.92,-9430.74,-9586.96,-9659.9,-9794.46,-9838.49,-9958.58,11584.86,70.47598680376566,11584.86
11613.0,3012843.38,1109863.41,-9448.91,-9430.66,-9586.88,-9659.82,-9794.38,-9838.42,-9958.51,11585.93,68.1961728846565,11585.93
11614.0,3012843.41,1109863.33,-9449.91,-9430.58,-9586.81,-9659.75,-9794.3,-9838.34,-9958.43,11587.01,81.8530292116872,11587.01
11615.0,3012843.45,1109863.25,-9450.9,-9430.51,-9586.73,-9659.67,-9794.23,-9838.26,-9958.35,11588.08,,11588.08
11616.0,3012843.48,1109863.17,-9451.9,-9430.43,-9586.65,-9659.59,-9794.15,-9838.19,-9958.28,11589.15,68.1961728846565,11589.15
11617.0,3012843.52,1109863.1,-9452.9,-9430.35,-9586.58,-9659.52,-9794.07,-9838.11,-9958.2,11590.23,65.90534537173524,11590.23
11618.0,3012843.56,1109863.02,-9453.89,-9430.28,-9586.5,-9659.44,-9794.0,-9838.03,-9958.12,11591.3,68.1961728846565,11591.3
11619.0,3012843.6,1109862.94,-9454.89,-9430.2,-9586.42,-9659.36,-9793.92,-9837.96,-9958.05,11592.37,65.90534537173524,11592.37
11620.0,3012843.65,1109862.87,-9455.89,-9430.12,-9586.34,-9659.29,-9793.84,-9837.88,-9957.97,11593.45,,11593.45
11621.0,3012843.69,1109862.79,-9456.88,-9430.05,-9586.27,-9659.22,-9793.77,-9837.81,-9957.9,11594.51,84.1438567246085,11594.51
11622.0,3012843.73,1109862.71,-9457.88,-9429.98,-9586.2,-9659.15,-9793.7,-9837.74,-9957.83,11595.58,81.8530292116872,11595.58
11623.0,3012843.78,1109862.63,-9458.87,-9429.91,-9586.13,-9659.07,-9793.63,-9837.67,-9957.76,11596.65,93.28513958866937,11596.65
11624.0,3012843.82,1109862.56,-9459.87,-9429.84,-9586.06,-9659.0,-9793.56,-9837.6,-9957.69,11597.71,116.09429237357304,11597.71
11625.0,3012843.87,1109862.48,-9460.87,-9429.77,-9585.99,-9658.93,-9793.49,-9837.52,-9957.61,11598.78,132.041976213525,11598.78
11626.0,3012843.92,1109862.4,-9461.86,-9429.7,-9585.92,-9658.86,-9793.42,-9837.45,-9957.54,11599.85,79.57321529257806,11599.85
11627.0,3012843.97,1109862.32,-9462.86,-9429.63,-9585.85,-9658.79,-9793.35,-9837.38,-9957.47,11600.91,84.1438567246085,11600.91
11628.0,3012844.02,1109862.25,-9463.85,-9429.55,-9585.78,-9658.72,-9793.28,-9837.31,-9957.4,11601.98,75.00257386054761,11601.98
11629.0,3012844.08,1109862.17,-9464.85,-9429.48,-9585.71,-9658.65,-9793.21,-9837.24,-9957.33,11603.05,,11603.05
11630.0,3012844.13,1109862.09,-9465.84,-9429.41,-9585.64,-9658.58,-9793.13,-9837.17,-9957.26,11604.11,81.8530292116872,11604.11
11631.0,3012844.19,1109862.01,-9466.84,-9429.35,-9585.57,-9658.51,-9793.07,-9837.1,-9957.19,11605.17,88.71449815663891,11605.17
11632.0,3012844.24,1109861.93,-9467.83,-9429.28,-9585.5,-9658.45,-9793.0,-9837.04,-9957.13,11606.23,,11606.23
11633.0,3012844.3,1109861.86,-9468.83,-9429.22,-9585.44,-9658.38,-9792.94,-9836.97,-9957.06,11607.3,84.1438567246085,11607.3
11634.0,3012844.36,1109861.78,-9469.82,-9429.15,-9585.37,-9658.32,-9792.87,-9836.91,-9957.0,11608.36,88.71449815663891,11608.36
11635.0,3012844.42,1109861.7,-9470.82,-9429.09,-9585.31,-9658.25,-9792.81,-9836.84,-9956.93,11609.42,86.43468423752977,11609.42
11636.0,3012844.48,1109861.62,-9471.81,-9429.02,-9585.24,-9658.19,-9792.74,-9836.78,-9956.87,11610.48,81.8530292116872,11610.48
11637.0,3012844.54,1109861.54,-9472.81,-9428.95,-9585.18,-9658.12,-9792.68,-9836.71,-9956.8,11611.54,84.1438567246085,11611.54
11638.0,3012844.6,1109861.46,-9473.8,-9428.89,-9585.11,-9658.05,-9792.61,-9836.65,-9956.74,11612.6,90.99431207574808,11612.6
11639.0,3012844.66,1109861.37,-9474.8,-9428.82,-9585.05,-9657.99,-9792.55,-9836.58,-9956.67,11613.66,100.09154056456047,11613.66
11640.0,3012844.73,1109861.29,-9475.79,-9428.76,-9584.98,-9657.92,-9792.48,-9836.51,-9956.6,11614.72,102.38236807748174,11614.72
11641.0,3012844.79,1109861.21,-9476.79,-9428.69,-9584.91,-9657.85,-9792.41,-9836.44,-9956.53,11615.78,75.00257386054761,11615.78
11642.0,3012844.86,1109861.13,-9477.78,-9428.61,-9584.84,-9657.78,-9792.34,-9836.37,-9956.46,11616.85,65.90534537173524,11616.85
11643.0,3012844.92,1109861.04,-9478.78,-9428.54,-9584.77,-9657.71,-9792.27,-9836.3,-9956.39,11617.92,68.1961728846565,11617.92
