MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10341.0,2908573.41,1038688.21,-8211.37,-8625.43,-8848.87,-8915.25,-8964.77,-9002.81,-9129.12,10348.44,,10348.44
10342.0,2908573.39,1038688.21,-8212.37,-8625.42,-8848.86,-8915.24,-8964.76,-9002.8,-9129.11,10349.45,,10349.45
10343.0,2908573.37,1038688.22,-8213.37,-8625.42,-8848.86,-8915.24,-8964.75,-9002.79,-9129.11,10350.46,,10350.46
10344.0,2908573.35,1038688.23,-8214.37,-8625.41,-8848.85,-8915.23,-8964.74,-9002.78,-9129.1,10351.47,,10351.47
10345.0,2908573.33,1038688.24,-8215.37,-8625.4,-8848.84,-8915.22,-8964.73,-9002.77,-9129.09,10352.48,,10352.48
10346.0,2908573.3,1038688.24,-8216.37,-8625.39,-8848.83,-8915.21,-8964.73,-9002.76,-9129.08,10353.48,,10353.48
10347.0,2908573.28,1038688.25,-8217.37,-8625.38,-8848.82,-8915.2,-8964.72,-9002.75,-9129.07,10354.490000000002,,10354.490000000002
10348.0,2908573.26,1038688.26,-8218.37,-8625.37,-8848.81,-8915.19,-8964.71,-9002.74,-9129.06,10355.5,,10355.5
10349.0,2908573.24,1038688.27,-8219.37,-8625.36,-8848.8,-8915.18,-8964.7,-9002.73,-9129.05,10356.51,,10356.51
10350.0,2908573.22,1038688.27,-8220.37,-8625.35,-8848.79,-8915.17,-8964.69,-9002.73,-9129.04,10357.52,,10357.52
10351.0,2908573.2,1038688.28,-8221.37,-8625.34,-8848.78,-8915.16,-8964.68,-9002.72,-9129.03,10358.53,,10358.53
10352.0,2908573.18,1038688.29,-8222.37,-8625.34,-8848.78,-8915.16,-8964.67,-9002.71,-9129.03,10359.54,,10359.54
10353.0,2908573.15,1038688.29,-8223.37,-8625.33,-8848.77,-8915.15,-8964.66,-9002.7,-9129.02,10360.54,,10360.54
10354.0,2908573.13,1038688.3,-8224.37,-8625.32,-8848.76,-8915.14,-8964.66,-9002.69,-9129.01,10361.55,,10361.55
10355.0,2908573.11,1038688.31,-8225.37,-8625.31,-8848.75,-8915.13,-8964.65,-9002.68,-9129.0,10362.56,,10362.56
10356.0,2908573.09,1038688.32,-8226.37,-8625.3,-8848.74,-8915.12,-8964.64,-9002.67,-9128.99,10363.570000000002,,10363.570000000002
10357.0,2908573.07,1038688.32,-8227.37,-8625.29,-8848.73,-8915.11,-8964.63,-9002.66,-9128.98,10364.58,,10364.58
10358.0,2908573.05,1038688.33,-8228.37,-8625.28,-8848.72,-8915.1,-8964.62,-9002.66,-9128.97,10365.59,,10365.59
10359.0,2908573.03,1038688.34,-8229.37,-8625.27,-8848.71,-8915.09,-8964.61,-9002.65,-9128.96,10366.6,,10366.6
10360.0,2908573.01,1038688.34,-8230.37,-8625.27,-8848.71,-8915.09,-8964.6,-9002.64,-9128.96,10367.6,,10367.6
10361.0,2908572.99,1038688.35,-8231.37,-8625.26,-8848.7,-8915.08,-8964.59,-9002.63,-9128.95,10368.61,,10368.61
10362.0,2908572.96,1038688.36,-8232.37,-8625.25,-8848.69,-8915.07,-8964.59,-9002.62,-9128.94,10369.62,,10369.62
10363.0,2908572.94,1038688.36,-8233.37,-8625.24,-8848.68,-8915.06,-8964.58,-9002.61,-9128.93,10370.63,,10370.63
10364.0,2908572.92,1038688.37,-8234.37,-8625.23,-8848.67,-8915.05,-8964.57,-9002.6,-9128.92,10371.64,,10371.64
10365.0,2908572.9,1038688.38,-8235.37,-8625.22,-8848.66,-8915.04,-8964.56,-9002.59,-9128.91,10372.65,,10372.65
10366.0,2908572.88,1038688.38,-8236.37,-8625.21,-8848.65,-8915.03,-8964.55,-9002.59,-9128.9,10373.65,,10373.65
10367.0,2908572.86,1038688.39,-8237.37,-8625.21,-8848.65,-8915.03,-8964.54,-9002.58,-9128.9,10374.66,,10374.66
10368.0,2908572.84,1038688.4,-8238.37,-8625.2,-8848.64,-8915.02,-8964.53,-9002.57,-9128.89,10375.67,,10375.67
10369.0,2908572.82,1038688.4,-8239.37,-8625.19,-8848.63,-8915.01,-8964.53,-9002.56,-9128.88,10376.68,,10376.68
10370.0,2908572.8,1038688.41,-8240.37,-8625.18,-8848.62,-8915.0,-8964.52,-9002.55,-9128.87,10377.69,,10377.69
10371.0,2908572.78,1038688.42,-8241.37,-8625.17,-8848.61,-8914.99,-8964.51,-9002.54,-9128.86,10378.7,,10378.7
10372.0,2908572.75,1038688.42,-8242.37,-8625.16,-8848.6,-8914.98,-8964.5,-9002.53,-9128.85,10379.7,,10379.7
10373.0,2908572.73,1038688.43,-8243.37,-8625.15,-8848.59,-8914.97,-8964.49,-9002.53,-9128.84,10380.71,,10380.71
10374.0,2908572.71,1038688.44,-8244.37,-8625.15,-8848.59,-8914.97,-8964.48,-9002.52,-9128.84,10381.72,,10381.72
10375.0,2908572.69,1038688.44,-8245.37,-8625.14,-8848.58,-8914.96,-8964.47,-9002.51,-9128.83,10382.73,,10382.73
10376.0,2908572.67,1038688.45,-8246.37,-8625.13,-8848.57,-8914.95,-8964.47,-9002.5,-9128.82,10383.740000000002,,10383.740000000002
10377.0,2908572.65,1038688.46,-8247.37,-8625.12,-8848.56,-8914.94,-8964.46,-9002.49,-9128.81,10384.75,,10384.75
10378.0,2908572.63,1038688.46,-8248.37,-8625.11,-8848.55,-8914.93,-8964.45,-9002.48,-9128.8,10385.75,,10385.75
10379.0,2908572.61,1038688.47,-8249.37,-8625.1,-8848.54,-8914.92,-8964.44,-9002.48,-9128.79,10386.76,,10386.76
10380.0,2908572.59,1038688.48,-8250.36,-8625.1,-8848.54,-8914.92,-8964.43,-9002.47,-9128.79,10387.77,,10387.77
10381.0,2908572.57,1038688.48,-8251.36,-8625.09,-8848.53,-8914.91,-8964.42,-9002.46,-9128.78,10388.78,,10388.78
10382.0,2908572.55,1038688.49,-8252.36,-8625.08,-8848.52,-8914.9,-8964.42,-9002.45,-9128.77,10389.79,,10389.79
10383.0,2908572.53,1038688.49,-8253.36,-8625.07,-8848.51,-8914.89,-8964.41,-9002.44,-9128.76,10390.79,,10390.79
10384.0,2908572.51,1038688.5,-8254.36,-8625.06,-8848.5,-8914.88,-8964.4,-9002.43,-9128.75,10391.8,,10391.8
10385.0,2908572.49,1038688.51,-8255.36,-8625.05,-8848.49,-8914.87,-8964.39,-9002.43,-9128.74,10392.81,,10392.81
10386.0,2908572.47,1038688.51,-8256.36,-8625.05,-8848.49,-8914.87,-8964.38,-9002.42,-9128.74,10393.820000000002,,10393.820000000002
10387.0,2908572.44,1038688.52,-8257.36,-8625.04,-8848.48,-8914.86,-8964.37,-9002.41,-9128.73,10394.83,,10394.83
10388.0,2908572.42,1038688.53,-8258.36,-8625.03,-8848.47,-8914.85,-8964.37,-9002.4,-9128.72,10395.83,,10395.83
10389.0,2908572.4,1038688.53,-8259.36,-8625.02,-8848.46,-8914.84,-8964.36,-9002.39,-9128.71,10396.84,,10396.84
10390.0,2908572.38,1038688.54,-8260.36,-8625.01,-8848.45,-8914.83,-8964.35,-9002.38,-9128.7,10397.85,,10397.85
10391.0,2908572.36,1038688.54,-8261.36,-8625.0,-8848.44,-8914.82,-8964.34,-9002.38,-9128.69,10398.86,,10398.86
10392.0,2908572.34,1038688.55,-8262.36,-8625.0,-8848.44,-8914.82,-8964.33,-9002.37,-9128.69,10399.87,,10399.87
10393.0,2908572.32,1038688.56,-8263.36,-8624.99,-8848.43,-8914.81,-8964.32,-9002.36,-9128.68,10400.87,,10400.87
