MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10457.0,2884920.29,1007175.5,-8398.16,-8871.47,-9131.47,-9192.49,-9210.47,-9241.47,-9382.47,10567.14,106.5085842486717,10567.14
10458.0,2884920.29,1007175.5,-8399.16,-8871.47,-9131.47,-9192.49,-9210.47,-9241.47,-9382.47,10568.14,111.04362129089009,10568.14
10459.0,2884920.29,1007175.51,-8400.16,-8871.47,-9131.47,-9192.49,-9210.47,-9241.47,-9382.47,10569.14,106.5085842486717,10569.14
10460.0,2884920.3,1007175.51,-8401.16,-8871.47,-9131.47,-9192.49,-9210.47,-9241.47,-9382.47,10570.14,,10570.14
10461.0,2884920.3,1007175.51,-8402.16,-8871.47,-9131.47,-9192.49,-9210.47,-9241.47,-9382.47,10571.14,,10571.14
10462.0,2884920.3,1007175.52,-8403.16,-8871.47,-9131.47,-9192.49,-9210.47,-9241.47,-9382.47,10572.14,,10572.14
10463.0,2884920.3,1007175.52,-8404.16,-8871.47,-9131.47,-9192.49,-9210.47,-9241.47,-9382.47,10573.14,115.57865833310844,10573.14
10464.0,2884920.3,1007175.52,-8405.16,-8871.47,-9131.47,-9192.49,-9210.47,-9241.47,-9382.47,10574.14,111.04362129089009,10574.14
10465.0,2884920.3,1007175.53,-8406.16,-8871.47,-9131.47,-9192.49,-9210.47,-9241.47,-9382.47,10575.14,,10575.14
10466.0,2884920.3,1007175.53,-8407.16,-8871.47,-9131.47,-9192.49,-9210.47,-9241.47,-9382.47,10576.14,,10576.14
10467.0,2884920.3,1007175.53,-8408.16,-8871.47,-9131.47,-9192.49,-9210.47,-9241.47,-9382.47,10577.14,113.31113981199924,10577.14
10468.0,2884920.3,1007175.54,-8409.16,-8871.47,-9131.47,-9192.49,-9210.47,-9241.47,-9382.47,10578.14,115.57865833310844,10578.14
10469.0,2884920.31,1007175.54,-8410.16,-8871.47,-9131.47,-9192.49,-9210.47,-9241.47,-9382.47,10579.14,,10579.14
