MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
9692.0,2872190.63,1025178.3,-7525.450000000001,-8101.700000000001,-8376.7,-8449.7,-8498.7,-8521.7,-8639.7,9631.19,115.13164657258775,9631.19
9693.0,2872190.63,1025178.3,-7526.450000000001,-8101.700000000001,-8376.7,-8449.7,-8498.7,-8521.7,-8639.7,9632.19,,9632.19
9694.0,2872190.62,1025178.31,-7527.450000000001,-8101.700000000001,-8376.7,-8449.7,-8498.7,-8521.7,-8639.7,9633.19,113.20837011062346,9633.19
9695.0,2872190.61,1025178.31,-7528.450000000001,-8101.700000000001,-8376.7,-8449.7,-8498.7,-8521.7,-8639.7,9634.19,114.18963361162568,9634.19
9696.0,2872190.61,1025178.31,-7529.450000000001,-8101.700000000001,-8376.7,-8449.7,-8498.7,-8521.7,-8639.7,9635.19,112.550923564952,9635.19
9697.0,2872190.6,1025178.31,-7530.450000000001,-8101.700000000001,-8376.7,-8449.7,-8498.7,-8521.7,-8639.7,9636.19,,9636.19
9698.0,2872190.59,1025178.31,-7531.450000000001,-8101.700000000001,-8376.7,-8449.7,-8498.7,-8521.7,-8639.7,9637.19,,9637.19
9699.0,2872190.59,1025178.31,-7532.450000000001,-8101.700000000001,-8376.7,-8449.7,-8498.7,-8521.7,-8639.7,9638.19,117.17267465467232,9638.19
9700.0,2872190.58,1025178.31,-7533.450000000001,-8101.700000000001,-8376.7,-8449.7,-8498.7,-8521.7,-8639.7,9639.19,123.31538417094607,9639.19
9701.0,2872190.58,1025178.32,-7534.450000000001,-8101.700000000001,-8376.7,-8449.7,-8498.7,-8521.7,-8639.7,9640.19,123.24669572587594,9640.19
9702.0,2872190.57,1025178.32,-7535.450000000001,-8101.700000000001,-8376.7,-8449.7,-8498.7,-8521.7,-8639.7,9641.19,123.3644473459962,9641.19
9703.0,2872190.56,1025178.32,-7536.450000000001,-8101.709999999999,-8376.71,-8449.71,-8498.71,-8521.71,-8639.71,9642.19,120.48934528805977,9642.19
