TVT,GR,Geology
10254.87,139.99,
10255.37,133.79999999999998,
10255.87,134.67,
10256.37,136.78,
10256.87,138.01999999999998,
10257.37,137.37,
10257.87,132.88,
10258.37,132.92,
10258.87,132.48,
10259.37,135.06,
10259.87,139.28,
10260.37,142.73999999999998,
10260.87,146.16,
10261.37,141.48999999999998,
10261.87,143.39999999999998,
10262.37,136.26999999999998,
10262.87,139.04,
10263.37,133.68,
10263.87,139.29999999999998,
10264.37,134.60999999999999,
10264.87,136.54999999999998,
10265.37,133.14,
10265.87,139.12,
10266.37,136.98,
10266.87,136.75,
10267.37,132.04999999999998,
10267.87,123.94,
10268.37,120.3,
10268.87,123.72,
10269.37,135.04,
10269.87,141.67,
10270.37,144.67,
10270.87,141.45999999999998,
10271.37,142.95999999999998,
10271.87,138.44,
10272.37,139.29999999999998,
10272.87,139.92,
10273.37,135.47,
10273.87,135.26,
10274.37,132.51,
10274.87,132.91,
10275.37,134.41,
10275.87,136.32999999999998,
10276.37,139.76,
10276.87,134.47,
10277.37,138.29999999999998,
10277.87,139.81,
10278.37,145.94,
10278.87,139.32,
10279.37,138.91,
10279.87,138.71,
10280.37,134.64,
10280.87,134.54,
10281.37,130.68,
10281.87,133.07,
10282.37,134.01,
10282.87,139.76,
10283.37,139.74,
10283.87,142.51,
10284.37,143.17,
10284.87,144.0,
10285.37,146.2,
10285.87,137.71,
10286.37,138.39,
10286.87,132.99,
10287.36,137.42,
10287.86,137.17,
10288.36,136.09,
10288.86,136.94,
10289.36,135.06,
10289.86,132.47,
10290.36,132.26,
10290.86,138.64,
10291.36,142.29999999999998,
10291.86,140.28,
10292.36,144.16,
10292.86,143.72,
10293.36,145.76999999999998,
10293.86,135.04999999999998,
10294.36,134.87,
10294.86,133.13,
10295.36,134.65,
10295.86,130.56,
10296.36,132.69,
10296.86,137.5,
10297.36,141.76999999999998,
10297.86,145.42,
10298.36,149.6,
10298.86,152.38,
10299.36,144.67999999999998,
10299.86,133.12,
10300.36,125.42,
10300.86,132.69,
10301.36,136.26999999999998,
10301.86,142.26,
10302.36,134.78,
10302.86,131.4,
10303.36,129.25,
10303.86,140.79999999999998,
10304.36,144.67999999999998,
10304.86,149.39999999999998,
10305.36,146.70999999999998,
10305.86,150.97,
10306.36,146.04999999999998,
10306.86,138.04,
10307.36,134.82,
10307.86,137.19,
10308.36,139.32,
10308.86,139.97,
10309.36,142.33999999999997,
10309.86,143.07,
10310.36,140.29999999999998,
10310.86,138.34,
10311.36,141.91,
10311.86,144.03,
10312.36,151.51999999999998,
10312.86,146.17,
10313.36,143.39999999999998,
10313.86,134.9,
10314.36,135.1,
10314.85,137.24,
10315.35,134.85999999999999,
10315.85,137.22,
10316.35,147.69,
10316.85,150.45999999999998,
10317.35,147.04999999999998,
10317.85,135.72,
10318.35,138.48,
10318.85,144.23,
10319.35,142.94,
10319.85,140.78,
10320.35,142.07,
10320.85,145.26999999999998,
10321.35,144.23,
10321.85,143.16,
10322.35,143.41,
10322.85,143.82,
10323.35,141.89999999999998,
10323.85,141.6,
10324.35,140.10999999999999,
10324.85,136.89,
10325.35,136.75,
10325.85,141.03,
10326.35,147.04999999999998,
10326.85,141.66,
10327.35,138.91,
10327.85,133.53,
10328.35,136.54,
10328.85,138.88,
10329.35,145.29999999999998,
10329.85,149.6,
10330.35,155.17,
10330.85,152.76999999999998,
10331.35,146.11999999999998,
10331.85,143.14,
10332.35,139.10999999999999,
10332.85,146.6,
10333.35,137.82,
10333.85,142.1,
10334.35,140.81,
10334.85,149.47,
10335.35,153.73,
10335.85,153.10999999999999,
10336.35,144.22,
10336.84,143.39999999999998,
10337.34,141.23999999999998,
10337.84,148.32,
