MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11159.0,3009767.64,1116305.11,-9038.01,-9071.32,-9205.67,-9288.23,-9422.76,-9473.3,-9579.18,10900.71,114.90663077699637,10900.71
11160.0,3009767.65,1116305.44,-9038.95,-9071.46,-9205.81,-9288.37,-9422.89,-9473.44,-9579.31,10901.52,120.35982681387074,10901.52
11161.0,3009767.66,1116305.78,-9039.9,-9071.59,-9205.94,-9288.5,-9423.02,-9473.57,-9579.45,10902.33,,10902.33
11162.0,3009767.67,1116306.11,-9040.84,-9071.72,-9206.07,-9288.63,-9423.15,-9473.7,-9579.58,10903.14,,10903.14
11163.0,3009767.68,1116306.44,-9041.78,-9071.86,-9206.21,-9288.76,-9423.29,-9473.84,-9579.71,10903.94,112.23567761607828,10903.94
11164.0,3009767.69,1116306.78,-9042.72,-9071.99,-9206.34,-9288.9,-9423.42,-9473.97,-9579.85,10904.75,,10904.75
11165.0,3009767.7,1116307.12,-9043.66,-9072.12,-9206.47,-9289.03,-9423.55,-9474.1,-9579.98,10905.56,,10905.56
11166.0,3009767.71,1116307.46,-9044.61,-9072.25,-9206.6,-9289.16,-9423.69,-9474.23,-9580.11,10906.37,128.53962086918236,10906.37
11167.0,3009767.72,1116307.79,-9045.55,-9072.39,-9206.74,-9289.3,-9423.82,-9474.37,-9580.24,10907.18,155.74995619603524,10907.18
11168.0,3009767.74,1116308.13,-9046.49,-9072.52,-9206.87,-9289.43,-9423.95,-9474.5,-9580.38,10907.990000000002,169.38294628822126,10907.990000000002
11169.0,3009767.75,1116308.48,-9047.43,-9072.65,-9207.0,-9289.56,-9424.08,-9474.63,-9580.51,10908.8,180.2336935044509,10908.8
11170.0,3009767.76,1116308.82,-9048.37,-9072.79,-9207.14,-9289.7,-9424.22,-9474.77,-9580.65,10909.6,120.35982681387074,10909.6
11171.0,3009767.77,1116309.16,-9049.31,-9072.93,-9207.28,-9289.83,-9424.36,-9474.91,-9580.78,10910.4,112.23567761607828,10910.4
11172.0,3009767.78,1116309.51,-9050.24,-9073.06,-9207.41,-9289.97,-9424.5,-9475.04,-9580.92,10911.2,117.63322879543357,10911.2
11173.0,3009767.79,1116309.85,-9051.18,-9073.2,-9207.55,-9290.11,-9424.63,-9475.18,-9581.06,10912.0,106.78248157920387,10912.0
11174.0,3009767.81,1116310.2,-9052.12,-9073.34,-9207.69,-9290.25,-9424.77,-9475.32,-9581.19,10912.8,117.63322879543357,10912.8
11175.0,3009767.82,1116310.55,-9053.06,-9073.47,-9207.83,-9290.38,-9424.91,-9475.45,-9581.33,10913.6,125.81302285074516,10913.6
11176.0,3009767.83,1116310.89,-9053.99,-9073.61,-9207.96,-9290.52,-9425.04,-9475.59,-9581.47,10914.4,123.08642483230796,10914.4
11177.0,3009767.84,1116311.24,-9054.93,-9073.75,-9208.1,-9290.66,-9425.18,-9475.73,-9581.61,10915.2,109.50907959764108,10915.2
11178.0,3009767.85,1116311.6,-9055.87,-9073.89,-9208.24,-9290.79,-9425.32,-9475.87,-9581.74,10916.0,,10916.0
11179.0,3009767.86,1116311.95,-9056.8,-9074.02,-9208.37,-9290.93,-9425.46,-9476.0,-9581.88,10916.8,,10916.8
11180.0,3009767.87,1116312.3,-9057.74,-9074.16,-9208.51,-9291.07,-9425.6,-9476.14,-9582.02,10917.6,,10917.6
11181.0,3009767.88,1116312.66,-9058.67,-9074.31,-9208.66,-9291.21,-9425.74,-9476.29,-9582.16,10918.39,,10918.39
11182.0,3009767.89,1116313.01,-9059.61,-9074.45,-9208.8,-9291.36,-9425.88,-9476.43,-9582.3,10919.18,133.99281690605676,10919.18
11183.0,3009767.9,1116313.37,-9060.54,-9074.59,-9208.94,-9291.5,-9426.02,-9476.57,-9582.45,10919.97,136.71941492449395,10919.97
11184.0,3009767.91,1116313.72,-9061.48,-9074.73,-9209.08,-9291.64,-9426.16,-9476.71,-9582.59,10920.77,142.11696610384922,10920.77
11185.0,3009767.91,1116314.08,-9062.41,-9074.87,-9209.22,-9291.78,-9426.3,-9476.85,-9582.73,10921.56,,10921.56
11186.0,3009767.92,1116314.44,-9063.34,-9075.01,-9209.36,-9291.92,-9426.44,-9476.99,-9582.87,10922.35,131.26621888761954,10922.35
11187.0,3009767.93,1116314.8,-9064.28,-9075.15,-9209.5,-9292.06,-9426.59,-9477.13,-9583.01,10923.14,128.53962086918236,10923.14
11188.0,3009767.94,1116315.16,-9065.21,-9075.3,-9209.65,-9292.2,-9426.73,-9477.28,-9583.15,10923.94,,10923.94
11189.0,3009767.95,1116315.53,-9066.14,-9075.44,-9209.79,-9292.35,-9426.87,-9477.42,-9583.29,10924.73,136.71941492449395,10924.73
11190.0,3009767.96,1116315.89,-9067.07,-9075.58,-9209.93,-9292.49,-9427.01,-9477.56,-9583.44,10925.51,,10925.51
11191.0,3009767.96,1116316.26,-9068.0,-9075.73,-9210.08,-9292.64,-9427.16,-9477.71,-9583.58,10926.3,128.53962086918236,10926.3
11192.0,3009767.97,1116316.62,-9068.93,-9075.87,-9210.22,-9292.78,-9427.31,-9477.85,-9583.73,10927.08,,10927.08
11193.0,3009767.98,1116316.99,-9069.86,-9076.02,-9210.37,-9292.93,-9427.45,-9478.0,-9583.88,10927.86,,10927.86
11194.0,3009767.99,1116317.36,-9070.79,-9076.16,-9210.51,-9293.07,-9427.6,-9478.14,-9584.02,10928.65,131.26621888761954,10928.65
11195.0,3009767.99,1116317.73,-9071.72,-9076.31,-9210.66,-9293.22,-9427.74,-9478.29,-9584.17,10929.43,125.81302285074516,10929.43
11196.0,3009768.0,1116318.1,-9072.65,-9076.46,-9210.81,-9293.36,-9427.89,-9478.44,-9584.31,10930.21,128.53962086918236,10930.21
11197.0,3009768.01,1116318.47,-9073.58,-9076.6,-9210.95,-9293.51,-9428.03,-9478.58,-9584.46,10931.0,,10931.0
11198.0,3009768.01,1116318.84,-9074.51,-9076.75,-9211.1,-9293.66,-9428.18,-9478.73,-9584.6,10931.78,136.71941492449395,10931.78
11199.0,3009768.02,1116319.21,-9075.44,-9076.89,-9211.24,-9293.8,-9428.32,-9478.87,-9584.75,10932.570000000002,128.53962086918236,10932.570000000002
11200.0,3009768.03,1116319.59,-9076.36,-9077.04,-9211.39,-9293.95,-9428.47,-9479.02,-9584.9,10933.34,,10933.34
11201.0,3009768.03,1116319.96,-9077.29,-9077.19,-9211.54,-9294.1,-9428.63,-9479.17,-9585.05,10934.12,,10934.12
11202.0,3009768.04,1116320.34,-9078.22,-9077.34,-9211.69,-9294.25,-9428.78,-9479.32,-9585.2,10934.89,136.71941492449395,10934.89
11203.0,3009768.04,1116320.72,-9079.14,-9077.49,-9211.84,-9294.4,-9428.93,-9479.47,-9585.35,10935.66,133.99281690605676,10935.66
11204.0,3009768.05,1116321.1,-9080.07,-9077.64,-9211.99,-9294.55,-9429.08,-9479.62,-9585.5,10936.44,166.65634826978405,10936.44
11205.0,3009768.05,1116321.48,-9080.99,-9077.79,-9212.14,-9294.7,-9429.23,-9479.77,-9585.65,10937.21,139.44601294293116,10937.21
11206.0,3009768.05,1116321.86,-9081.91,-9077.94,-9212.29,-9294.85,-9429.38,-9479.92,-9585.8,10937.990000000002,147.57016214072362,10937.990000000002
11207.0,3009768.05,1116322.25,-9082.84,-9078.09,-9212.45,-9295.0,-9429.53,-9480.07,-9585.95,10938.76,133.99281690605676,10938.76
11208.0,3009768.05,1116322.63,-9083.76,-9078.25,-9212.6,-9295.15,-9429.68,-9480.22,-9586.1,10939.54,131.26621888761954,10939.54
11209.0,3009768.05,1116323.02,-9084.68,-9078.4,-9212.75,-9295.3,-9429.83,-9480.38,-9586.25,10940.31,120.35982681387074,10940.31
