MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11023.0,2887919.47,1007547.92,-8951.58,-9007.34,-9267.34,-9328.36,-9346.34,-9377.34,-9518.34,10984.68,100.2781268992883,10984.68
11024.0,2887919.63,1007548.26,-8952.51,-9007.33,-9267.33,-9328.35,-9346.33,-9377.33,-9518.33,10985.61,98.6730654169064,10985.61
11025.0,2887919.8,1007548.61,-8953.43,-9007.33,-9267.33,-9328.35,-9346.33,-9377.33,-9518.33,10986.54,102.7676100148194,10986.54
11026.0,2887919.98,1007548.95,-8954.35,-9007.32,-9267.32,-9328.34,-9346.32,-9377.32,-9518.32,10987.47,112.28879105316648,10987.47
11027.0,2887920.15,1007549.3,-8955.27,-9007.32,-9267.32,-9328.34,-9346.32,-9377.32,-9518.32,10988.4,104.56920963790112,10988.4
11028.0,2887920.32,1007549.65,-8956.2,-9007.31,-9267.31,-9328.33,-9346.31,-9377.31,-9518.31,10989.33,101.46827452908168,10989.33
11029.0,2887920.49,1007550.0,-8957.12,-9007.31,-9267.31,-9328.33,-9346.31,-9377.31,-9518.31,10990.26,94.2727948223492,10990.26
11030.0,2887920.67,1007550.35,-8958.03,-9007.3,-9267.3,-9328.32,-9346.3,-9377.3,-9518.3,10991.18,99.64483733481109,10991.18
11031.0,2887920.84,1007550.71,-8958.95,-9007.29,-9267.29,-9328.32,-9346.29,-9377.29,-9518.29,10992.1,93.3556168324167,10992.1
11032.0,2887921.02,1007551.07,-8959.87,-9007.29,-9267.29,-9328.31,-9346.29,-9377.29,-9518.29,10993.03,88.18011246065466,10993.03
11033.0,2887921.2,1007551.42,-8960.79,-9007.28,-9267.28,-9328.3,-9346.28,-9377.28,-9518.28,10993.95,91.97984984751793,10993.95
11034.0,2887921.38,1007551.79,-8961.7,-9007.28,-9267.28,-9328.3,-9346.28,-9377.28,-9518.28,10994.87,93.22459140528348,10994.87
11035.0,2887921.55,1007552.15,-8962.62,-9007.27,-9267.27,-9328.29,-9346.27,-9377.27,-9518.27,10995.79,92.23098191618992,10995.79
11036.0,2887921.73,1007552.51,-8963.53,-9007.27,-9267.27,-9328.29,-9346.27,-9377.27,-9518.27,10996.71,94.08717546724382,10996.71
11037.0,2887921.91,1007552.88,-8964.44,-9007.26,-9267.26,-9328.28,-9346.26,-9377.26,-9518.26,10997.63,91.07359064317984,10997.63
11038.0,2887922.09,1007553.24,-8965.36,-9007.25,-9267.25,-9328.28,-9346.25,-9377.25,-9518.25,10998.55,89.65414851590333,10998.55
11039.0,2887922.27,1007553.61,-8966.27,-9007.25,-9267.25,-9328.27,-9346.25,-9377.25,-9518.25,10999.47,91.9361747051402,10999.47
11040.0,2887922.45,1007553.98,-8967.18,-9007.24,-9267.24,-9328.26,-9346.24,-9377.24,-9518.24,11000.39,86.58596976386718,11000.39
11041.0,2887922.64,1007554.35,-8968.09,-9007.24,-9267.24,-9328.26,-9346.24,-9377.24,-9518.24,11001.3,89.45761037520352,11001.3
11042.0,2887922.82,1007554.72,-8969.0,-9007.23,-9267.23,-9328.25,-9346.23,-9377.23,-9518.23,11002.22,89.75241758625324,11002.22
11043.0,2887923.0,1007555.09,-8969.91,-9007.22,-9267.22,-9328.25,-9346.22,-9377.22,-9518.22,11003.13,84.96998949589086,11003.13
11044.0,2887923.18,1007555.46,-8970.82,-9007.22,-9267.22,-9328.24,-9346.22,-9377.22,-9518.22,11004.05,91.47758571017393,11004.05
11045.0,2887923.36,1007555.84,-8971.73,-9007.21,-9267.21,-9328.23,-9346.21,-9377.21,-9518.21,11004.96,95.2118103834706,11004.96
11046.0,2887923.55,1007556.21,-8972.64,-9007.21,-9267.21,-9328.23,-9346.21,-9377.21,-9518.21,11005.88,96.05255687424209,11005.88
11047.0,2887923.73,1007556.59,-8973.55,-9007.2,-9267.2,-9328.22,-9346.2,-9377.2,-9518.2,11006.79,97.34097357438536,11006.79
11048.0,2887923.91,1007556.97,-8974.46,-9007.2,-9267.2,-9328.22,-9346.2,-9377.2,-9518.2,11007.71,94.72046503172103,11007.71
11049.0,2887924.1,1007557.35,-8975.36,-9007.19,-9267.19,-9328.21,-9346.19,-9377.19,-9518.19,11008.62,93.5739925443054,11008.62
11050.0,2887924.28,1007557.73,-8976.27,-9007.18,-9267.18,-9328.2,-9346.18,-9377.18,-9518.18,11009.54,94.63311474696556,11009.54
11051.0,2887924.47,1007558.11,-8977.17,-9007.18,-9267.18,-9328.2,-9346.18,-9377.18,-9518.18,11010.44,91.89249956276244,11010.44
11052.0,2887924.65,1007558.5,-8978.08,-9007.17,-9267.17,-9328.19,-9346.17,-9377.17,-9518.17,11011.35,116.43792957905166,11011.35
11053.0,2887924.84,1007558.88,-8978.98,-9007.16,-9267.16,-9328.19,-9346.16,-9377.16,-9518.16,11012.26,117.300513641012,11012.26
11054.0,2887925.02,1007559.27,-8979.89,-9007.16,-9267.16,-9328.18,-9346.16,-9377.16,-9518.16,11013.17,103.04057965468029,11013.17
11055.0,2887925.21,1007559.65,-8980.79,-9007.15,-9267.15,-9328.17,-9346.15,-9377.15,-9518.15,11014.08,104.842179277762,11014.08
11056.0,2887925.39,1007560.04,-8981.69,-9007.15,-9267.15,-9328.17,-9346.15,-9377.15,-9518.15,11014.990000000002,88.55135117086543,11014.990000000002
11057.0,2887925.58,1007560.43,-8982.6,-9007.14,-9267.14,-9328.16,-9346.14,-9377.14,-9518.14,11015.9,84.9263143535131,11015.9
11058.0,2887925.77,1007560.82,-8983.5,-9007.13,-9267.13,-9328.16,-9346.13,-9377.13,-9518.13,11016.81,102.46188401817524,11016.81
11059.0,2887925.95,1007561.21,-8984.4,-9007.13,-9267.13,-9328.15,-9346.13,-9377.13,-9518.13,11017.72,102.7020973012528,11017.72
11060.0,2887926.14,1007561.6,-8985.3,-9007.12,-9267.12,-9328.14,-9346.12,-9377.12,-9518.12,11018.63,86.83710183253918,11018.63
11061.0,2887926.33,1007562.0,-8986.2,-9007.12,-9267.12,-9328.14,-9346.12,-9377.12,-9518.12,11019.53,92.49303277045637,11019.53
11062.0,2887926.52,1007562.39,-8987.1,-9007.11,-9267.11,-9328.13,-9346.11,-9377.11,-9518.11,11020.43,95.31007945382052,11020.43
11063.0,2887926.71,1007562.79,-8988.0,-9007.1,-9267.1,-9328.12,-9346.1,-9377.1,-9518.1,11021.34,92.07811891786784,11021.34
11064.0,2887926.9,1007563.19,-8988.89,-9007.1,-9267.1,-9328.12,-9346.1,-9377.1,-9518.1,11022.240000000002,83.23390258637573,11022.240000000002
11065.0,2887927.09,1007563.59,-8989.79,-9007.09,-9267.09,-9328.11,-9346.09,-9377.09,-9518.09,11023.14,82.8517450905705,11023.14
11066.0,2887927.27,1007563.99,-8990.69,-9007.08,-9267.08,-9328.11,-9346.08,-9377.08,-9518.08,11024.05,91.11726578555758,11024.05
11067.0,2887927.46,1007564.39,-8991.58,-9007.08,-9267.08,-9328.1,-9346.08,-9377.08,-9518.08,11024.95,,11024.95
11068.0,2887927.66,1007564.79,-8992.48,-9007.07,-9267.07,-9328.09,-9346.07,-9377.07,-9518.07,11025.85,,11025.85
11069.0,2887927.85,1007565.19,-8993.37,-9007.07,-9267.07,-9328.09,-9346.07,-9377.07,-9518.07,11026.75,88.46400088610994,11026.75
11070.0,2887928.04,1007565.6,-8994.27,-9007.06,-9267.06,-9328.08,-9346.06,-9377.06,-9518.06,11027.66,85.9308426282011,11027.66
11071.0,2887928.23,1007566.01,-8995.16,-9007.05,-9267.05,-9328.07,-9346.05,-9377.05,-9518.05,11028.56,,11028.56
11072.0,2887928.42,1007566.41,-8996.05,-9007.05,-9267.05,-9328.07,-9346.05,-9377.05,-9518.05,11029.45,82.79715116259834,11029.45
11073.0,2887928.61,1007566.82,-8996.95,-9007.04,-9267.04,-9328.06,-9346.04,-9377.04,-9518.04,11030.35,,11030.35
11074.0,2887928.8,1007567.23,-8997.84,-9007.03,-9267.03,-9328.05,-9346.03,-9377.03,-9518.03,11031.25,78.12391092818028,11031.25
11075.0,2887929.0,1007567.64,-8998.73,-9007.03,-9267.03,-9328.05,-9346.03,-9377.03,-9518.03,11032.14,80.66798797168357,11032.14
11076.0,2887929.19,1007568.05,-8999.62,-9007.02,-9267.02,-9328.04,-9346.02,-9377.02,-9518.02,11033.04,84.96998949589086,11033.04
11077.0,2887929.38,1007568.47,-9000.51,-9007.01,-9267.01,-9328.04,-9346.01,-9377.01,-9518.01,11033.94,100.01607604502188,11033.94
11078.0,2887929.58,1007568.88,-9001.4,-9007.01,-9267.01,-9328.03,-9346.01,-9377.01,-9518.01,11034.84,117.04938157234,11034.84
11079.0,2887929.77,1007569.3,-9002.29,-9007.0,-9267.0,-9328.02,-9346.0,-9377.0,-9518.0,11035.73,110.55270414365135,11035.73
11080.0,2887929.97,1007569.71,-9003.17,-9006.99,-9266.99,-9328.02,-9345.99,-9376.99,-9517.99,11036.63,110.3124908605738,11036.63
11081.0,2887930.16,1007570.13,-9004.06,-9006.99,-9266.99,-9328.01,-9345.99,-9376.99,-9517.99,11037.52,113.48985746855428,11037.52
11082.0,2887930.36,1007570.55,-9004.95,-9006.98,-9266.98,-9328.0,-9345.98,-9376.98,-9517.98,11038.41,88.49675724289325,11038.41
11083.0,2887930.55,1007570.97,-9005.83,-9006.97,-9266.97,-9328.0,-9345.97,-9376.97,-9517.97,11039.3,102.10156409355888,11039.3
