MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11346.0,3000588.79,1101841.18,-9048.71,-9253.62,-9392.17,-9467.11,-9596.07,-9637.8,-9754.52,11245.64,,11245.64
11347.0,3000588.8,1101841.21,-9049.71,-9253.61,-9392.17,-9467.11,-9596.07,-9637.8,-9754.52,11246.64,,11246.64
11348.0,3000588.81,1101841.24,-9050.71,-9253.61,-9392.17,-9467.11,-9596.07,-9637.8,-9754.52,11247.64,,11247.64
11349.0,3000588.82,1101841.28,-9051.71,-9253.61,-9392.17,-9467.11,-9596.07,-9637.8,-9754.52,11248.64,,11248.64
11350.0,3000588.82,1101841.31,-9052.71,-9253.61,-9392.17,-9467.11,-9596.07,-9637.8,-9754.52,11249.64,,11249.64
11351.0,3000588.83,1101841.34,-9053.71,-9253.61,-9392.16,-9467.11,-9596.06,-9637.8,-9754.52,11250.64,,11250.64
11352.0,3000588.84,1101841.37,-9054.71,-9253.61,-9392.16,-9467.11,-9596.06,-9637.79,-9754.52,11251.64,,11251.64
11353.0,3000588.85,1101841.4,-9055.71,-9253.61,-9392.16,-9467.1,-9596.06,-9637.79,-9754.51,11252.64,,11252.64
11354.0,3000588.85,1101841.44,-9056.71,-9253.61,-9392.16,-9467.1,-9596.06,-9637.79,-9754.51,11253.64,,11253.64
11355.0,3000588.86,1101841.47,-9057.71,-9253.6,-9392.16,-9467.1,-9596.06,-9637.79,-9754.51,11254.64,,11254.64
11356.0,3000588.87,1101841.5,-9058.71,-9253.6,-9392.16,-9467.1,-9596.06,-9637.79,-9754.51,11255.64,,11255.64
11357.0,3000588.88,1101841.54,-9059.71,-9253.6,-9392.16,-9467.1,-9596.06,-9637.79,-9754.51,11256.64,,11256.64
11358.0,3000588.88,1101841.57,-9060.71,-9253.6,-9392.15,-9467.1,-9596.05,-9637.79,-9754.51,11257.65,,11257.65
11359.0,3000588.89,1101841.61,-9061.71,-9253.6,-9392.15,-9467.09,-9596.05,-9637.78,-9754.51,11258.65,,11258.65
11360.0,3000588.9,1101841.64,-9062.7,-9253.6,-9392.15,-9467.09,-9596.05,-9637.78,-9754.5,11259.65,,11259.65
11361.0,3000588.9,1101841.68,-9063.7,-9253.59,-9392.15,-9467.09,-9596.05,-9637.78,-9754.5,11260.65,,11260.65
11362.0,3000588.91,1101841.71,-9064.7,-9253.59,-9392.15,-9467.09,-9596.05,-9637.78,-9754.5,11261.65,,11261.65
11363.0,3000588.92,1101841.75,-9065.7,-9253.59,-9392.15,-9467.09,-9596.05,-9637.78,-9754.5,11262.65,,11262.65
11364.0,3000588.92,1101841.79,-9066.7,-9253.59,-9392.15,-9467.09,-9596.05,-9637.78,-9754.5,11263.65,148.06559393739516,11263.65
11365.0,3000588.93,1101841.82,-9067.7,-9253.59,-9392.14,-9467.09,-9596.04,-9637.77,-9754.5,11264.65,141.25692759075343,11264.65
11366.0,3000588.94,1101841.86,-9068.7,-9253.59,-9392.14,-9467.08,-9596.04,-9637.77,-9754.49,11265.65,,11265.65
11367.0,3000588.94,1101841.9,-9069.7,-9253.58,-9392.14,-9467.08,-9596.04,-9637.77,-9754.49,11266.65,,11266.65
11368.0,3000588.95,1101841.94,-9070.7,-9253.58,-9392.14,-9467.08,-9596.04,-9637.77,-9754.49,11267.65,,11267.65
11369.0,3000588.95,1101841.98,-9071.7,-9253.58,-9392.14,-9467.08,-9596.04,-9637.77,-9754.49,11268.66,134.4482612441117,11268.66
11370.0,3000588.96,1101842.02,-9072.7,-9253.58,-9392.13,-9467.08,-9596.03,-9637.77,-9754.49,11269.66,,11269.66
11371.0,3000588.97,1101842.05,-9073.7,-9253.58,-9392.13,-9467.07,-9596.03,-9637.76,-9754.49,11270.66,148.06559393739516,11270.66
11372.0,3000588.97,1101842.09,-9074.7,-9253.58,-9392.13,-9467.07,-9596.03,-9637.76,-9754.48,11271.66,,11271.66
11373.0,3000588.98,1101842.13,-9075.7,-9253.57,-9392.13,-9467.07,-9596.03,-9637.76,-9754.48,11272.66,134.4482612441117,11272.66
11374.0,3000588.98,1101842.18,-9076.69,-9253.57,-9392.13,-9467.07,-9596.03,-9637.76,-9754.48,11273.66,,11273.66
11375.0,3000588.99,1101842.22,-9077.69,-9253.57,-9392.13,-9467.07,-9596.03,-9637.76,-9754.48,11274.66,,11274.66
11376.0,3000589.0,1101842.26,-9078.69,-9253.57,-9392.12,-9467.07,-9596.02,-9637.76,-9754.48,11275.66,141.25692759075343,11275.66
11377.0,3000589.0,1101842.3,-9079.69,-9253.57,-9392.12,-9467.06,-9596.02,-9637.75,-9754.47,11276.66,,11276.66
11378.0,3000589.01,1101842.34,-9080.69,-9253.56,-9392.12,-9467.06,-9596.02,-9637.75,-9754.47,11277.66,,11277.66
11379.0,3000589.01,1101842.38,-9081.69,-9253.56,-9392.12,-9467.06,-9596.02,-9637.75,-9754.47,11278.67,,11278.67
11380.0,3000589.02,1101842.43,-9082.69,-9253.56,-9392.12,-9467.06,-9596.02,-9637.75,-9754.47,11279.67,148.06559393739516,11279.67
11381.0,3000589.02,1101842.47,-9083.69,-9253.56,-9392.11,-9467.06,-9596.01,-9637.75,-9754.47,11280.67,,11280.67
11382.0,3000589.03,1101842.51,-9084.69,-9253.56,-9392.11,-9467.05,-9596.01,-9637.74,-9754.47,11281.67,134.4482612441117,11281.67
11383.0,3000589.04,1101842.56,-9085.69,-9253.55,-9392.11,-9467.05,-9596.01,-9637.74,-9754.46,11282.67,,11282.67
11384.0,3000589.04,1101842.6,-9086.68,-9253.55,-9392.11,-9467.05,-9596.01,-9637.74,-9754.46,11283.67,141.25692759075343,11283.67
11385.0,3000589.05,1101842.65,-9087.68,-9253.55,-9392.11,-9467.05,-9596.01,-9637.74,-9754.46,11284.67,,11284.67
11386.0,3000589.05,1101842.69,-9088.68,-9253.55,-9392.1,-9467.05,-9596.0,-9637.74,-9754.46,11285.67,,11285.67
11387.0,3000589.06,1101842.74,-9089.68,-9253.55,-9392.1,-9467.04,-9596.0,-9637.73,-9754.46,11286.67,,11286.67
11388.0,3000589.06,1101842.78,-9090.68,-9253.54,-9392.1,-9467.04,-9596.0,-9637.73,-9754.45,11287.67,,11287.67
11389.0,3000589.07,1101842.83,-9091.68,-9253.54,-9392.1,-9467.04,-9596.0,-9637.73,-9754.45,11288.68,,11288.68
11390.0,3000589.07,1101842.88,-9092.68,-9253.54,-9392.1,-9467.04,-9596.0,-9637.73,-9754.45,11289.68,134.4482612441117,11289.68
11391.0,3000589.08,1101842.92,-9093.68,-9253.54,-9392.09,-9467.04,-9595.99,-9637.72,-9754.45,11290.68,,11290.68
11392.0,3000589.08,1101842.97,-9094.68,-9253.54,-9392.09,-9467.03,-9595.99,-9637.72,-9754.44,11291.68,,11291.68
11393.0,3000589.08,1101843.02,-9095.68,-9253.53,-9392.09,-9467.03,-9595.99,-9637.72,-9754.44,11292.68,,11292.68
11394.0,3000589.09,1101843.07,-9096.67,-9253.53,-9392.09,-9467.03,-9595.99,-9637.72,-9754.44,11293.68,,11293.68
11395.0,3000589.09,1101843.12,-9097.67,-9253.53,-9392.08,-9467.03,-9595.98,-9637.72,-9754.44,11294.68,,11294.68
11396.0,3000589.1,1101843.16,-9098.67,-9253.53,-9392.08,-9467.02,-9595.98,-9637.71,-9754.44,11295.68,141.25692759075343,11295.68
11397.0,3000589.1,1101843.21,-9099.67,-9253.52,-9392.08,-9467.02,-9595.98,-9637.71,-9754.43,11296.68,148.06559393739516,11296.68
11398.0,3000589.11,1101843.26,-9100.67,-9253.52,-9392.08,-9467.02,-9595.98,-9637.71,-9754.43,11297.69,,11297.69
11399.0,3000589.11,1101843.31,-9101.67,-9253.52,-9392.08,-9467.02,-9595.98,-9637.71,-9754.43,11298.69,154.8742602840369,11298.69
11400.0,3000589.12,1101843.36,-9102.67,-9253.52,-9392.07,-9467.01,-9595.97,-9637.7,-9754.43,11299.69,,11299.69
11401.0,3000589.12,1101843.41,-9103.67,-9253.52,-9392.07,-9467.01,-9595.97,-9637.7,-9754.42,11300.69,,11300.69
11402.0,3000589.12,1101843.47,-9104.66,-9253.51,-9392.07,-9467.01,-9595.97,-9637.7,-9754.42,11301.69,148.06559393739516,11301.69
11403.0,3000589.13,1101843.52,-9105.66,-9253.51,-9392.07,-9467.01,-9595.97,-9637.7,-9754.42,11302.69,,11302.69
11404.0,3000589.13,1101843.57,-9106.66,-9253.51,-9392.06,-9467.01,-9595.96,-9637.7,-9754.42,11303.69,141.25692759075343,11303.69
11405.0,3000589.14,1101843.62,-9107.66,-9253.51,-9392.06,-9467.0,-9595.96,-9637.69,-9754.41,11304.69,,11304.69
11406.0,3000589.14,1101843.67,-9108.66,-9253.5,-9392.06,-9467.0,-9595.96,-9637.69,-9754.41,11305.69,148.06559393739516,11305.69
11407.0,3000589.14,1101843.73,-9109.66,-9253.5,-9392.06,-9467.0,-9595.96,-9637.69,-9754.41,11306.69,141.25692759075343,11306.69
11408.0,3000589.15,1101843.78,-9110.66,-9253.5,-9392.05,-9467.0,-9595.95,-9637.69,-9754.41,11307.7,154.8742602840369,11307.7
11409.0,3000589.15,1101843.84,-9111.65,-9253.5,-9392.05,-9466.99,-9595.95,-9637.68,-9754.4,11308.7,,11308.7
11410.0,3000589.15,1101843.89,-9112.65,-9253.49,-9392.05,-9466.99,-9595.95,-9637.68,-9754.4,11309.7,148.06559393739516,11309.7
11411.0,3000589.16,1101843.94,-9113.65,-9253.49,-9392.05,-9466.99,-9595.95,-9637.68,-9754.4,11310.7,154.8742602840369,11310.7
11412.0,3000589.16,1101844.0,-9114.65,-9253.49,-9392.04,-9466.99,-9595.94,-9637.68,-9754.4,11311.7,148.06559393739516,11311.7
11413.0,3000589.16,1101844.05,-9115.65,-9253.49,-9392.04,-9466.98,-9595.94,-9637.67,-9754.39,11312.7,,11312.7
11414.0,3000589.17,1101844.11,-9116.65,-9253.48,-9392.04,-9466.98,-9595.94,-9637.67,-9754.39,11313.7,,11313.7
11415.0,3000589.17,1101844.17,-9117.64,-9253.48,-9392.04,-9466.98,-9595.94,-9637.67,-9754.39,11314.7,,11314.7
11416.0,3000589.17,1101844.22,-9118.64,-9253.48,-9392.03,-9466.98,-9595.93,-9637.66,-9754.39,11315.7,154.8742602840369,11315.7
11417.0,3000589.18,1101844.28,-9119.64,-9253.48,-9392.03,-9466.97,-9595.93,-9637.66,-9754.38,11316.71,175.3155253920039,11316.71
11418.0,3000589.18,1101844.34,-9120.64,-9253.47,-9392.03,-9466.97,-9595.93,-9637.66,-9754.38,11317.71,,11317.71
11419.0,3000589.18,1101844.4,-9121.64,-9253.47,-9392.03,-9466.97,-9595.93,-9637.66,-9754.38,11318.71,154.8742602840369,11318.71
11420.0,3000589.19,1101844.45,-9122.64,-9253.47,-9392.02,-9466.96,-9595.92,-9637.65,-9754.38,11319.71,188.9481241533292,11319.71
