TVT,GR,Geology
12044.95,40.34,ASTNL
12045.45,39.32,ASTNL
12045.95,37.349999999999994,ASTNL
12046.45,36.54,ASTNL
12046.95,37.53,ASTNL
12047.45,40.129999999999995,ASTNL
12047.95,43.129999999999995,ASTNL
12048.45,44.15,ASTNL
12048.95,43.32,ASTNL
12049.45,42.82,ASTNL
12049.95,42.93,ASTNL
12050.45,43.39,ASTNL
12050.95,44.59,ASTNL
12051.45,44.400000000000006,ASTNL
12051.95,40.83,ASTNL
12052.45,35.94,ASTNL
12052.95,32.84,ASTNL
12053.45,31.86,ASTNL
12053.95,31.89,ASTNL
12054.45,32.629999999999995,ASTNL
12054.95,34.16,ASTNL
12055.45,36.620000000000005,ASTNL
12055.95,39.8,ASTNL
12056.45,42.17,ASTNL
12056.95,43.25,ASTNL
12057.45,44.760000000000005,ASTNL
12057.95,46.8,ASTNL
12058.45,47.17999999999999,ASTNL
12058.95,46.17999999999999,ASTNL
12059.45,45.5,ASTNL
12059.95,44.14,ASTNL
12060.45,40.92,ASTNL
12060.95,38.019999999999996,ASTNL
12061.45,37.349999999999994,ASTNL
12061.95,37.489999999999995,ASTNL
12062.45,37.25,ASTNL
12062.95,37.519999999999996,ASTNL
12063.45,39.07,ASTNL
12063.95,41.620000000000005,ASTNL
12064.45,43.31,ASTNL
12064.95,42.44,ASTNL
12065.45,40.599999999999994,ASTNL
12065.95,41.83,ASTNL
12066.45,48.72,ASTNL
12066.95,61.769999999999996,ASTNL
12067.45,76.81,ASTNL
12067.95,83.92,ASTNL
12068.45,76.41,ASTNL
12068.95,60.629999999999995,ASTNL
12069.45,48.790000000000006,ASTNL
12069.95,45.61,ASTNL
12070.45,46.959999999999994,ASTNL
12070.95,48.91,ASTNL
12071.45,50.209999999999994,ASTNL
12071.95,49.629999999999995,ASTNL
12072.45,46.790000000000006,ASTNL
12072.95,43.81,ASTNL
12073.45,41.42,ASTNL
12073.95,39.36,ASTNL
12074.45,39.68,ASTNL
12074.95,45.480000000000004,ASTNL
12075.45,53.72,ASTNL
12075.95,56.31,ASTNL
12076.45,50.86,ASTNL
12076.95,43.599999999999994,ASTNL
12077.45,39.39,ASTNL
12077.95,37.71,ASTNL
12078.45,37.269999999999996,ASTNL
12078.95,37.56,ASTNL
12079.45,38.019999999999996,ASTNL
12079.95,38.66,ASTNL
12080.45,40.15,ASTNL
12080.95,41.96,ASTNL
12081.45,42.28,ASTNL
12081.95,40.81,ASTNL
12082.45,39.730000000000004,ASTNL
12082.95,41.28,ASTNL
12083.45,44.120000000000005,ASTNL
12083.95,45.55,ASTNL
12084.45,45.959999999999994,ASTNL
12084.95,48.209999999999994,ASTNL
12085.45,51.97,ASTNL
