MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
9601.0,2877330.19,1042781.55,-7564.969999999999,-7900.4,-8107.83,-8213.06,-8302.66,-8330.24,-8434.2,9267.54,90.703800801412,9267.54
9602.0,2877330.15,1042781.57,-7565.969999999999,-7900.24,-8107.68,-8212.91,-8302.51,-8330.09,-8434.05,9268.69,90.2780946024066,9268.69
9603.0,2877330.12,1042781.58,-7566.969999999999,-7900.09,-8107.530000000001,-8212.76,-8302.36,-8329.94,-8433.9,9269.84,91.1200468626617,9269.84
9604.0,2877330.08,1042781.6,-7567.969999999999,-7899.93,-8107.370000000001,-8212.6,-8302.2,-8329.78,-8433.74,9271.0,91.75387609229192,9271.0
9605.0,2877330.05,1042781.61,-7568.969999999999,-7899.780000000001,-8107.219999999999,-8212.45,-8302.05,-8329.63,-8433.59,9272.15,94.2891930108128,9272.15
9606.0,2877330.01,1042781.62,-7569.969999999999,-7899.620000000001,-8107.059999999999,-8212.29,-8301.89,-8329.47,-8433.43,9273.3,,9273.3
9607.0,2877329.98,1042781.64,-7570.959999999999,-7899.469999999999,-8106.91,-8212.14,-8301.74,-8329.32,-8433.28,9274.46,101.04373136836476,9274.46
9608.0,2877329.94,1042781.65,-7571.959999999999,-7899.32,-8106.75,-8211.98,-8301.58,-8329.16,-8433.12,9275.61,103.57904828688568,9275.61
9609.0,2877329.91,1042781.67,-7572.959999999999,-7899.16,-8106.6,-8211.83,-8301.43,-8329.01,-8432.97,9276.76,,9276.76
9610.0,2877329.87,1042781.68,-7573.959999999999,-7899.01,-8106.44,-8211.67,-8301.27,-8328.85,-8432.81,9277.92,101.04373136836476,9277.92
9611.0,2877329.84,1042781.7,-7574.959999999999,-7898.85,-8106.290000000001,-8211.52,-8301.12,-8328.7,-8432.66,9279.070000000002,,9279.070000000002
9612.0,2877329.81,1042781.71,-7575.959999999999,-7898.700000000001,-8106.129999999999,-8211.36,-8300.96,-8328.54,-8432.5,9280.23,95.76497450069812,9280.23
9613.0,2877329.77,1042781.72,-7576.959999999999,-7898.540000000001,-8105.98,-8211.21,-8300.81,-8328.39,-8432.35,9281.38,94.08106998018796,9281.38
9614.0,2877329.74,1042781.74,-7577.959999999999,-7898.389999999999,-8105.82,-8211.05,-8300.65,-8328.23,-8432.19,9282.54,94.92302224044305,9282.54
9615.0,2877329.7,1042781.75,-7578.959999999999,-7898.23,-8105.67,-8210.9,-8300.5,-8328.08,-8432.04,9283.69,,9283.69
9616.0,2877329.67,1042781.77,-7579.959999999999,-7898.07,-8105.51,-8210.74,-8300.34,-8327.92,-8431.88,9284.85,,9284.85
9617.0,2877329.63,1042781.78,-7580.959999999999,-7897.92,-8105.360000000001,-8210.59,-8300.19,-8327.77,-8431.73,9286.0,,9286.0
9618.0,2877329.6,1042781.79,-7581.959999999999,-7897.76,-8105.200000000001,-8210.43,-8300.03,-8327.61,-8431.57,9287.16,,9287.16
9619.0,2877329.56,1042781.81,-7582.959999999999,-7897.610000000001,-8105.049999999999,-8210.28,-8299.88,-8327.46,-8431.42,9288.31,,9288.31
9620.0,2877329.53,1042781.82,-7583.959999999999,-7897.450000000001,-8104.889999999999,-8210.12,-8299.72,-8327.3,-8431.26,9289.46,,9289.46
9621.0,2877329.49,1042781.84,-7584.950000000001,-7897.299999999999,-8104.73,-8209.96,-8299.56,-8327.14,-8431.1,9290.62,,9290.62
9622.0,2877329.46,1042781.85,-7585.950000000001,-7897.139999999999,-8104.58,-8209.81,-8299.41,-8326.99,-8430.95,9291.78,113.28514962420824,9291.78
9623.0,2877329.42,1042781.86,-7586.950000000001,-7896.98,-8104.42,-8209.65,-8299.25,-8326.83,-8430.79,9292.93,117.93007726224464,9292.93
9624.0,2877329.38,1042781.88,-7587.950000000001,-7896.83,-8104.27,-8209.5,-8299.1,-8326.68,-8430.64,9294.09,118.77202952249974,9294.09
9625.0,2877329.35,1042781.89,-7588.950000000001,-7896.67,-8104.110000000001,-8209.34,-8298.94,-8326.52,-8430.48,9295.240000000002,,9295.240000000002
9626.0,2877329.31,1042781.91,-7589.950000000001,-7896.52,-8103.950000000001,-8209.18,-8298.78,-8326.36,-8430.32,9296.4,116.24617274173453,9296.4
9627.0,2877329.28,1042781.92,-7590.950000000001,-7896.360000000001,-8103.799999999999,-8209.03,-8298.63,-8326.21,-8430.17,9297.55,114.55280808346868,9297.55
9628.0,2877329.24,1042781.94,-7591.950000000001,-7896.200000000001,-8103.639999999999,-8208.87,-8298.47,-8326.05,-8430.01,9298.71,,9298.71
9629.0,2877329.21,1042781.95,-7592.950000000001,-7896.049999999999,-8103.49,-8208.72,-8298.32,-8325.9,-8429.86,9299.86,112.01749116494776,9299.86
9630.0,2877329.17,1042781.96,-7593.950000000001,-7895.889999999999,-8103.33,-8208.56,-8298.16,-8325.74,-8429.7,9301.02,111.1755389046927,9301.02
9631.0,2877329.14,1042781.98,-7594.950000000001,-7895.74,-8103.17,-8208.4,-8298.0,-8325.58,-8429.54,9302.17,109.90788044543226,9302.17
9632.0,2877329.1,1042781.99,-7595.950000000001,-7895.58,-8103.02,-8208.25,-8297.85,-8325.43,-8429.39,9303.33,109.0659281851772,9303.33
9633.0,2877329.07,1042782.01,-7596.950000000001,-7895.42,-8102.860000000001,-8208.09,-8297.69,-8325.27,-8429.23,9304.490000000002,104.84670674614613,9304.490000000002
9634.0,2877329.03,1042782.02,-7597.950000000001,-7895.27,-8102.700000000001,-8207.93,-8297.53,-8325.11,-8429.07,9305.64,104.42100054714076,9305.64
9635.0,2877329.0,1042782.03,-7598.94,-7895.110000000001,-8102.549999999999,-8207.78,-8297.38,-8324.96,-8428.92,9306.8,,9306.8
9636.0,2877328.96,1042782.05,-7599.94,-7894.950000000001,-8102.389999999999,-8207.62,-8297.22,-8324.8,-8428.76,9307.95,104.84670674614613,9307.95
9637.0,2877328.93,1042782.06,-7600.94,-7894.790000000001,-8102.23,-8207.46,-8297.06,-8324.64,-8428.6,9309.11,,9309.11
9638.0,2877328.89,1042782.08,-7601.94,-7894.639999999999,-8102.08,-8207.31,-8296.91,-8324.49,-8428.45,9310.27,104.42100054714076,9310.27
9639.0,2877328.86,1042782.09,-7602.94,-7894.48,-8101.92,-8207.15,-8296.75,-8324.33,-8428.29,9311.42,,9311.42
9640.0,2877328.82,1042782.1,-7603.94,-7894.32,-8101.76,-8206.99,-8296.59,-8324.17,-8428.13,9312.58,,9312.58
9641.0,2877328.78,1042782.12,-7604.94,-7894.17,-8101.6,-8206.83,-8296.43,-8324.01,-8427.97,9313.740000000002,104.84670674614613,9313.740000000002
9642.0,2877328.75,1042782.13,-7605.94,-7894.01,-8101.450000000001,-8206.68,-8296.28,-8323.86,-8427.82,9314.89,104.42100054714076,9314.89
9643.0,2877328.71,1042782.15,-7606.94,-7893.85,-8101.290000000001,-8206.52,-8296.12,-8323.7,-8427.66,9316.05,105.26295280739582,9316.05
9644.0,2877328.68,1042782.16,-7607.94,-7893.69,-8101.129999999999,-8206.36,-8295.96,-8323.54,-8427.5,9317.21,,9317.21
9645.0,2877328.64,1042782.18,-7608.94,-7893.540000000001,-8100.98,-8206.21,-8295.81,-8323.39,-8427.35,9318.36,,9318.36
9646.0,2877328.61,1042782.19,-7609.94,-7893.379999999999,-8100.82,-8206.05,-8295.65,-8323.23,-8427.19,9319.52,104.84670674614613,9319.52
9647.0,2877328.57,1042782.2,-7610.94,-7893.219999999999,-8100.66,-8205.89,-8295.49,-8323.07,-8427.03,9320.68,105.6886590064012,9320.68
9648.0,2877328.54,1042782.22,-7611.94,-7893.059999999999,-8100.5,-8205.73,-8295.33,-8322.91,-8426.87,9321.83,,9321.83
9649.0,2877328.5,1042782.23,-7612.93,-7892.91,-8100.35,-8205.58,-8295.18,-8322.76,-8426.72,9322.990000000002,105.26295280739582,9322.990000000002
9650.0,2877328.46,1042782.25,-7613.93,-7892.75,-8100.19,-8205.42,-8295.02,-8322.6,-8426.56,9324.15,,9324.15
9651.0,2877328.43,1042782.26,-7614.93,-7892.59,-8100.030000000001,-8205.26,-8294.86,-8322.44,-8426.4,9325.3,,9325.3
9652.0,2877328.39,1042782.27,-7615.93,-7892.43,-8099.870000000001,-8205.1,-8294.7,-8322.28,-8426.24,9326.46,105.6886590064012,9326.46
9653.0,2877328.36,1042782.29,-7616.93,-7892.280000000001,-8099.709999999999,-8204.94,-8294.54,-8322.12,-8426.08,9327.62,106.11436520540656,9327.62
9654.0,2877328.32,1042782.3,-7617.93,-7892.120000000001,-8099.559999999999,-8204.79,-8294.39,-8321.97,-8425.93,9328.78,,9328.78
9655.0,2877328.29,1042782.32,-7618.93,-7891.959999999999,-8099.4,-8204.63,-8294.23,-8321.81,-8425.77,9329.93,108.6402219861718,9329.93
9656.0,2877328.25,1042782.33,-7619.93,-7891.799999999999,-8099.24,-8204.47,-8294.07,-8321.65,-8425.61,9331.09,109.0659281851772,9331.09
9657.0,2877328.21,1042782.34,-7620.93,-7891.639999999999,-8099.08,-8204.31,-8293.91,-8321.49,-8425.45,9332.25,,9332.25
9658.0,2877328.18,1042782.36,-7621.93,-7891.48,-8098.92,-8204.15,-8293.75,-8321.33,-8425.29,9333.41,109.90788044543226,9333.41
9659.0,2877328.14,1042782.37,-7622.93,-7891.33,-8098.76,-8203.99,-8293.59,-8321.17,-8425.13,9334.56,113.28514962420824,9334.56
9660.0,2877328.11,1042782.39,-7623.93,-7891.17,-8098.610000000001,-8203.84,-8293.44,-8321.02,-8424.98,9335.72,,9335.72
9661.0,2877328.07,1042782.4,-7624.93,-7891.01,-8098.450000000001,-8203.68,-8293.28,-8320.86,-8424.82,9336.88,112.44319736395316,9336.88
9662.0,2877328.04,1042782.41,-7625.92,-7890.85,-8098.290000000001,-8203.52,-8293.12,-8320.7,-8424.66,9338.04,111.1755389046927,9338.04
9663.0,2877328.0,1042782.43,-7626.92,-7890.69,-8098.129999999999,-8203.36,-8292.96,-8320.54,-8424.5,9339.19,109.90788044543226,9339.19
9664.0,2877327.96,1042782.44,-7627.92,-7890.530000000001,-8097.969999999999,-8203.2,-8292.8,-8320.38,-8424.34,9340.35,109.0659281851772,9340.35
9665.0,2877327.93,1042782.46,-7628.92,-7890.370000000001,-8097.809999999999,-8203.04,-8292.64,-8320.22,-8424.18,9341.51,107.79826972591673,9341.51
9666.0,2877327.89,1042782.47,-7629.92,-7890.219999999999,-8097.65,-8202.88,-8292.48,-8320.06,-8424.02,9342.67,,9342.67
9667.0,2877327.86,1042782.48,-7630.92,-7890.059999999999,-8097.49,-8202.72,-8292.32,-8319.9,-8423.86,9343.83,106.95631746566166,9343.83
9668.0,2877327.82,1042782.5,-7631.92,-7889.9,-8097.34,-8202.57,-8292.17,-8319.75,-8423.71,9344.98,107.37256352691136,9344.98
9669.0,2877327.78,1042782.51,-7632.92,-7889.74,-8097.18,-8202.41,-8292.01,-8319.59,-8423.55,9346.14,105.26295280739582,9346.14
9670.0,2877327.75,1042782.53,-7633.92,-7889.58,-8097.02,-8202.25,-8291.85,-8319.43,-8423.39,9347.3,106.95631746566166,9347.3
9671.0,2877327.71,1042782.54,-7634.92,-7889.42,-8096.860000000001,-8202.09,-8291.69,-8319.27,-8423.23,9348.46,,9348.46
9672.0,2877327.68,1042782.55,-7635.92,-7889.26,-8096.700000000001,-8201.93,-8291.53,-8319.11,-8423.07,9349.62,107.37256352691136,9349.62
9673.0,2877327.64,1042782.57,-7636.92,-7889.1,-8096.540000000001,-8201.77,-8291.37,-8318.95,-8422.91,9350.78,106.53061126665628,9350.78
9674.0,2877327.6,1042782.58,-7637.92,-7888.94,-8096.379999999999,-8201.61,-8291.21,-8318.79,-8422.75,9351.94,105.26295280739582,9351.94
9675.0,2877327.57,1042782.6,-7638.92,-7888.780000000001,-8096.219999999999,-8201.45,-8291.05,-8318.63,-8422.59,9353.09,,9353.09
9676.0,2877327.53,1042782.61,-7639.91,-7888.620000000001,-8096.059999999999,-8201.29,-8290.89,-8318.47,-8422.43,9354.25,,9354.25
9677.0,2877327.5,1042782.62,-7640.91,-7888.459999999999,-8095.9,-8201.13,-8290.73,-8318.31,-8422.27,9355.41,107.79826972591673,9355.41
9678.0,2877327.46,1042782.64,-7641.91,-7888.299999999999,-8095.74,-8200.97,-8290.57,-8318.15,-8422.11,9356.570000000002,107.37256352691136,9356.570000000002
9679.0,2877327.42,1042782.65,-7642.91,-7888.139999999999,-8095.58,-8200.81,-8290.41,-8317.99,-8421.95,9357.73,109.90788044543226,9357.73
9680.0,2877327.39,1042782.67,-7643.91,-7887.99,-8095.42,-8200.65,-8290.25,-8317.83,-8421.79,9358.89,111.60124510369808,9358.89
9681.0,2877327.35,1042782.68,-7644.91,-7887.83,-8095.26,-8200.49,-8290.09,-8317.67,-8421.63,9360.05,,9360.05
9682.0,2877327.31,1042782.69,-7645.91,-7887.67,-8095.1,-8200.33,-8289.93,-8317.51,-8421.47,9361.21,,9361.21
9683.0,2877327.28,1042782.71,-7646.91,-7887.5,-8094.94,-8200.17,-8289.77,-8317.35,-8421.31,9362.37,112.01749116494776,9362.37
9684.0,2877327.24,1042782.72,-7647.91,-7887.34,-8094.780000000001,-8200.01,-8289.61,-8317.19,-8421.15,9363.53,112.44319736395316,9363.53
9685.0,2877327.21,1042782.74,-7648.91,-7887.18,-8094.620000000001,-8199.85,-8289.45,-8317.03,-8420.99,9364.69,,9364.69
9686.0,2877327.17,1042782.75,-7649.91,-7887.02,-8094.459999999999,-8199.69,-8289.29,-8316.87,-8420.83,9365.84,108.2239759249221,9365.84
9687.0,2877327.13,1042782.76,-7650.91,-7886.860000000001,-8094.299999999999,-8199.53,-8289.13,-8316.71,-8420.67,9367.0,107.79826972591673,9367.0
9688.0,2877327.1,1042782.78,-7651.91,-7886.700000000001,-8094.139999999999,-8199.37,-8288.97,-8316.55,-8420.51,9368.16,106.53061126665628,9368.16
9689.0,2877327.06,1042782.79,-7652.9,-7886.540000000001,-8093.98,-8199.21,-8288.81,-8316.39,-8420.35,9369.320000000002,102.31138982762522,9369.320000000002
9690.0,2877327.02,1042782.81,-7653.9,-7886.379999999999,-8093.82,-8199.05,-8288.65,-8316.23,-8420.19,9370.48,99.35982684785462,9370.48
9691.0,2877326.99,1042782.82,-7654.9,-7886.219999999999,-8093.66,-8198.89,-8288.49,-8316.07,-8420.03,9371.64,99.77607290910431,9371.64
9692.0,2877326.95,1042782.83,-7655.9,-7886.059999999999,-8093.5,-8198.73,-8288.33,-8315.91,-8419.87,9372.8,98.93412064884924,9372.8
9693.0,2877326.91,1042782.85,-7656.9,-7885.9,-8093.34,-8198.57,-8288.17,-8315.75,-8419.71,9373.96,,9373.96
9694.0,2877326.88,1042782.86,-7657.9,-7885.74,-8093.18,-8198.41,-8288.01,-8315.59,-8419.55,9375.12,97.6664621895888,9375.12
9695.0,2877326.84,1042782.88,-7658.9,-7885.58,-8093.02,-8198.25,-8287.85,-8315.43,-8419.39,9376.28,,9376.28
9696.0,2877326.81,1042782.89,-7659.9,-7885.42,-8092.860000000001,-8198.09,-8287.69,-8315.27,-8419.23,9377.44,,9377.44
9697.0,2877326.77,1042782.9,-7660.9,-7885.26,-8092.700000000001,-8197.93,-8287.53,-8315.11,-8419.07,9378.6,95.1311452710679,9378.6
9698.0,2877326.73,1042782.92,-7661.9,-7885.1,-8092.530000000001,-8197.76,-8287.36,-8314.94,-8418.9,9379.76,,9379.76
9699.0,2877326.7,1042782.93,-7662.9,-7884.94,-8092.370000000001,-8197.6,-8287.2,-8314.78,-8418.74,9380.92,,9380.92
9700.0,2877326.66,1042782.95,-7663.9,-7884.77,-8092.209999999999,-8197.44,-8287.04,-8314.62,-8418.58,9382.08,93.44724075055774,9382.08
9701.0,2877326.62,1042782.96,-7664.9,-7884.610000000001,-8092.049999999999,-8197.28,-8286.88,-8314.46,-8418.42,9383.240000000002,91.75387609229192,9383.240000000002
9702.0,2877326.59,1042782.97,-7665.889999999999,-7884.450000000001,-8091.889999999999,-8197.12,-8286.72,-8314.3,-8418.26,9384.4,,9384.4
9703.0,2877326.55,1042782.99,-7666.889999999999,-7884.290000000001,-8091.73,-8196.96,-8286.56,-8314.14,-8418.1,9385.570000000002,93.44724075055774,9385.570000000002
9704.0,2877326.51,1042783.0,-7667.889999999999,-7884.129999999999,-8091.57,-8196.8,-8286.4,-8313.98,-8417.94,9386.73,95.55685147007328,9386.73
9705.0,2877326.48,1042783.01,-7668.889999999999,-7883.969999999999,-8091.41,-8196.64,-8286.24,-8313.82,-8417.78,9387.89,97.6664621895888,9387.89
9706.0,2877326.44,1042783.03,-7669.889999999999,-7883.809999999999,-8091.24,-8196.47,-8286.07,-8313.65,-8417.61,9389.05,98.93412064884924,9389.05
9707.0,2877326.4,1042783.04,-7670.889999999999,-7883.639999999999,-8091.08,-8196.31,-8285.91,-8313.49,-8417.45,9390.21,98.50841444984388,9390.21
9708.0,2877326.37,1042783.06,-7671.889999999999,-7883.48,-8090.92,-8196.15,-8285.75,-8313.33,-8417.29,9391.37,,9391.37
9709.0,2877326.33,1042783.07,-7672.889999999999,-7883.32,-8090.76,-8195.99,-8285.59,-8313.17,-8417.13,9392.53,99.35982684785462,9392.53
9710.0,2877326.29,1042783.08,-7673.889999999999,-7883.16,-8090.6,-8195.83,-8285.43,-8313.01,-8416.97,9393.69,100.20177910810968,9393.69
9711.0,2877326.26,1042783.1,-7674.889999999999,-7883.0,-8090.44,-8195.67,-8285.27,-8312.85,-8416.81,9394.85,101.04373136836476,9394.85
9712.0,2877326.22,1042783.11,-7675.889999999999,-7882.84,-8090.280000000001,-8195.51,-8285.11,-8312.69,-8416.65,9396.01,,9396.01
9713.0,2877326.18,1042783.13,-7676.889999999999,-7882.68,-8090.120000000001,-8195.35,-8284.95,-8312.53,-8416.49,9397.17,,9397.17
9714.0,2877326.15,1042783.14,-7677.889999999999,-7882.52,-8089.950000000001,-8195.18,-8284.78,-8312.36,-8416.32,9398.33,,9398.33
9715.0,2877326.11,1042783.15,-7678.879999999999,-7882.360000000001,-8089.790000000001,-8195.02,-8284.62,-8312.2,-8416.16,9399.490000000002,99.35982684785462,9399.490000000002
9716.0,2877326.07,1042783.17,-7679.879999999999,-7882.19,-8089.629999999999,-8194.86,-8284.46,-8312.04,-8416.0,9400.65,99.77607290910431,9400.65
9717.0,2877326.04,1042783.18,-7680.879999999999,-7882.030000000001,-8089.469999999999,-8194.7,-8284.3,-8311.88,-8415.84,9401.81,100.20177910810968,9401.81
9718.0,2877326.0,1042783.19,-7681.879999999999,-7881.870000000001,-8089.309999999999,-8194.54,-8284.14,-8311.72,-8415.68,9402.97,,9402.97
9719.0,2877325.96,1042783.21,-7682.879999999999,-7881.709999999999,-8089.15,-8194.38,-8283.98,-8311.56,-8415.52,9404.13,,9404.13
9720.0,2877325.93,1042783.22,-7683.879999999999,-7881.549999999999,-8088.99,-8194.22,-8283.82,-8311.4,-8415.36,9405.29,,9405.29
9721.0,2877325.89,1042783.23,-7684.879999999999,-7881.389999999999,-8088.83,-8194.06,-8283.66,-8311.24,-8415.2,9406.45,101.04373136836476,9406.45
9722.0,2877325.85,1042783.25,-7685.879999999999,-7881.23,-8088.67,-8193.9,-8283.5,-8311.08,-8415.04,9407.61,,9407.61
9723.0,2877325.82,1042783.26,-7686.879999999999,-7881.07,-8088.51,-8193.74,-8283.34,-8310.92,-8414.88,9408.77,103.57904828688568,9408.77
9724.0,2877325.78,1042783.28,-7687.879999999999,-7880.91,-8088.35,-8193.58,-8283.18,-8310.76,-8414.72,9409.93,102.7370960266306,9409.93
9725.0,2877325.74,1042783.29,-7688.879999999999,-7880.75,-8088.19,-8193.42,-8283.02,-8310.6,-8414.56,9411.09,,9411.09
9726.0,2877325.71,1042783.3,-7689.879999999999,-7880.59,-8088.02,-8193.25,-8282.85,-8310.43,-8414.39,9412.25,,9412.25
