MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10988.0,3012065.98,1115332.04,-8818.46,-9173.6,-9307.95,-9390.51,-9525.04,-9575.58,-9681.46,10578.88,106.6389557789891,10578.88
10989.0,3012065.99,1115332.06,-8819.46,-9173.77,-9308.12,-9390.68,-9525.2,-9575.75,-9681.62,10579.72,105.64797951489663,10579.72
10990.0,3012066.0,1115332.08,-8820.46,-9173.93,-9308.28,-9390.84,-9525.36,-9575.91,-9681.79,10580.56,105.47951355000092,10580.56
10991.0,3012066.01,1115332.1,-8821.46,-9174.09,-9308.44,-9391.0,-9525.53,-9576.07,-9681.95,10581.39,,10581.39
10992.0,3012066.02,1115332.13,-8822.46,-9174.26,-9308.61,-9391.17,-9525.69,-9576.24,-9682.12,10582.23,104.14169559347611,10582.23
10993.0,3012066.03,1115332.15,-8823.46,-9174.42,-9308.77,-9391.33,-9525.85,-9576.4,-9682.28,10583.06,,10583.06
10994.0,3012066.04,1115332.17,-8824.46,-9174.59,-9308.94,-9391.5,-9526.02,-9576.57,-9682.44,10583.9,104.80564969041806,10583.9
10995.0,3012066.05,1115332.2,-8825.46,-9174.75,-9309.1,-9391.66,-9526.18,-9576.73,-9682.61,10584.73,105.47951355000092,10584.73
10996.0,3012066.06,1115332.22,-8826.46,-9174.92,-9309.27,-9391.82,-9526.35,-9576.9,-9682.77,10585.570000000002,105.64797951489663,10585.570000000002
10997.0,3012066.07,1115332.24,-8827.46,-9175.08,-9309.43,-9391.99,-9526.51,-9577.06,-9682.94,10586.4,104.97411565531378,10586.4
10998.0,3012066.08,1115332.27,-8828.46,-9175.25,-9309.6,-9392.15,-9526.68,-9577.22,-9683.1,10587.240000000002,,10587.240000000002
10999.0,3012066.09,1115332.29,-8829.46,-9175.41,-9309.76,-9392.32,-9526.84,-9577.39,-9683.27,10588.070000000002,99.62284382921452,10588.070000000002
11000.0,3012066.11,1115332.32,-8830.46,-9175.57,-9309.92,-9392.48,-9527.01,-9577.55,-9683.43,10588.91,98.62195780248112,10588.91
11001.0,3012066.12,1115332.34,-8831.46,-9175.74,-9310.09,-9392.65,-9527.17,-9577.72,-9683.6,10589.740000000002,93.60761790617332,10589.740000000002
11002.0,3012066.13,1115332.36,-8832.46,-9175.9,-9310.25,-9392.81,-9527.34,-9577.88,-9683.76,10590.58,87.83022628651432,10590.58
11003.0,3012066.14,1115332.39,-8833.46,-9176.07,-9310.42,-9392.98,-9527.5,-9578.05,-9683.92,10591.41,87.26536981598161,10591.41
11004.0,3012066.15,1115332.41,-8834.46,-9176.23,-9310.58,-9393.14,-9527.66,-9578.21,-9684.09,10592.25,,10592.25
11005.0,3012066.16,1115332.44,-8835.46,-9176.4,-9310.75,-9393.31,-9527.83,-9578.38,-9684.25,10593.08,,10593.08
11006.0,3012066.17,1115332.46,-8836.46,-9176.56,-9310.91,-9393.47,-9527.99,-9578.54,-9684.42,10593.92,,10593.92
11007.0,3012066.18,1115332.48,-8837.46,-9176.73,-9311.08,-9393.64,-9528.16,-9578.71,-9684.58,10594.75,,10594.75
11008.0,3012066.19,1115332.51,-8838.46,-9176.89,-9311.24,-9393.8,-9528.32,-9578.87,-9684.75,10595.59,,10595.59
11009.0,3012066.2,1115332.53,-8839.46,-9177.06,-9311.41,-9393.97,-9528.49,-9579.04,-9684.91,10596.42,91.77431181760228,10596.42
11010.0,3012066.21,1115332.56,-8840.46,-9177.22,-9311.57,-9394.13,-9528.65,-9579.2,-9685.08,10597.26,,10597.26
11011.0,3012066.22,1115332.58,-8841.46,-9177.39,-9311.74,-9394.3,-9528.82,-9579.37,-9685.24,10598.09,103.79485390104377,10598.09
11012.0,3012066.23,1115332.61,-8842.46,-9177.55,-9311.9,-9394.46,-9528.98,-9579.53,-9685.41,10598.93,105.7867161918696,10598.93
11013.0,3012066.24,1115332.63,-8843.46,-9177.72,-9312.07,-9394.63,-9529.15,-9579.7,-9685.57,10599.76,107.2830903506492,10599.76
11014.0,3012066.25,1115332.66,-8844.46,-9177.88,-9312.23,-9394.79,-9529.31,-9579.86,-9685.74,10600.6,,10600.6
11015.0,3012066.26,1115332.68,-8845.45,-9178.05,-9312.4,-9394.96,-9529.48,-9580.03,-9685.9,10601.43,109.80017006144404,10601.43
11016.0,3012066.27,1115332.71,-8846.45,-9178.21,-9312.56,-9395.12,-9529.64,-9580.19,-9686.07,10602.27,113.14966983407656,10602.27
11017.0,3012066.28,1115332.73,-8847.45,-9178.38,-9312.73,-9395.29,-9529.81,-9580.36,-9686.23,10603.1,113.64515796612277,10603.1
11018.0,3012066.29,1115332.76,-8848.45,-9178.54,-9312.89,-9395.45,-9529.98,-9580.52,-9686.4,10603.93,110.96952205307312,10603.93
11019.0,3012066.3,1115332.78,-8849.45,-9178.71,-9313.06,-9395.62,-9530.14,-9580.69,-9686.57,10604.77,108.95784023696544,10604.77
11020.0,3012066.31,1115332.81,-8850.45,-9178.87,-9313.22,-9395.78,-9530.31,-9580.85,-9686.73,10605.6,,10605.6
11021.0,3012066.32,1115332.83,-8851.45,-9179.04,-9313.39,-9395.95,-9530.47,-9581.02,-9686.9,10606.44,,10606.44
11022.0,3012066.33,1115332.86,-8852.45,-9179.2,-9313.55,-9396.11,-9530.64,-9581.18,-9687.06,10607.27,112.98120386918082,10607.27
11023.0,3012066.34,1115332.88,-8853.45,-9179.37,-9313.72,-9396.28,-9530.8,-9581.35,-9687.23,10608.11,,10608.11
11024.0,3012066.35,1115332.91,-8854.45,-9179.54,-9313.89,-9396.44,-9530.97,-9581.52,-9687.39,10608.94,125.6855195748461,10608.94
11025.0,3012066.36,1115332.94,-8855.45,-9179.7,-9314.05,-9396.61,-9531.13,-9581.68,-9687.56,10609.77,128.34133596261387,10609.77
11026.0,3012066.37,1115332.96,-8856.45,-9179.87,-9314.22,-9396.78,-9531.3,-9581.85,-9687.72,10610.61,129.0151998221967,10610.61
11027.0,3012066.38,1115332.99,-8857.45,-9180.03,-9314.38,-9396.94,-9531.46,-9582.01,-9687.89,10611.44,,10611.44
11028.0,3012066.38,1115333.01,-8858.45,-9180.2,-9314.55,-9397.11,-9531.63,-9582.18,-9688.05,10612.28,,10612.28
11029.0,3012066.39,1115333.04,-8859.45,-9180.36,-9314.71,-9397.27,-9531.8,-9582.34,-9688.22,10613.11,,10613.11
11030.0,3012066.4,1115333.06,-8860.45,-9180.53,-9314.88,-9397.44,-9531.96,-9582.51,-9688.39,10613.94,128.34133596261387,10613.94
11031.0,3012066.41,1115333.09,-8861.45,-9180.69,-9315.04,-9397.6,-9532.13,-9582.67,-9688.55,10614.78,,10614.78
