MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10405.0,2944354.53,1068912.11,-8196.77,-8355.87,-8511.83,-8588.57,-8678.16,-8722.86,-8827.92,10203.31,110.09972444102392,10203.31
10406.0,2944354.54,1068912.11,-8197.77,-8355.88,-8511.84,-8588.59,-8678.17,-8722.87,-8827.93,10204.3,106.55317913745635,10204.3
10407.0,2944354.55,1068912.1,-8198.77,-8355.9,-8511.86,-8588.6,-8678.18,-8722.89,-8827.95,10205.28,105.190051180643,10205.28
10408.0,2944354.56,1068912.09,-8199.77,-8355.91,-8511.87,-8588.62,-8678.2,-8722.9,-8827.96,10206.27,,10206.27
10409.0,2944354.57,1068912.08,-8200.77,-8355.93,-8511.89,-8588.63,-8678.21,-8722.92,-8827.98,10207.25,,10207.25
10410.0,2944354.58,1068912.06,-8201.77,-8355.94,-8511.9,-8588.65,-8678.23,-8722.93,-8827.99,10208.240000000002,,10208.240000000002
10411.0,2944354.59,1068912.05,-8202.77,-8355.95,-8511.92,-8588.66,-8678.24,-8722.95,-8828.01,10209.22,109.27943505108313,10209.22
10412.0,2944354.61,1068912.04,-8203.77,-8355.97,-8511.93,-8588.68,-8678.26,-8722.96,-8828.02,10210.21,114.3700545004216,10210.21
10413.0,2944354.62,1068912.02,-8204.77,-8355.98,-8511.95,-8588.69,-8678.27,-8722.98,-8828.04,10211.19,114.24942370778324,10211.19
10414.0,2944354.64,1068912.0,-8205.77,-8356.0,-8511.96,-8588.71,-8678.29,-8722.99,-8828.05,10212.18,112.41583565968028,10212.18
10415.0,2944354.65,1068911.98,-8206.77,-8356.01,-8511.98,-8588.72,-8678.3,-8723.01,-8828.07,10213.16,111.2215908125606,10213.16
10416.0,2944354.67,1068911.96,-8207.77,-8356.04,-8512.0,-8588.75,-8678.33,-8723.04,-8828.09,10214.13,107.6509193504654,10214.13
10417.0,2944354.69,1068911.94,-8208.77,-8356.07,-8512.03,-8588.78,-8678.36,-8723.06,-8828.12,10215.11,103.3444000532762,10215.11
10418.0,2944354.71,1068911.92,-8209.77,-8356.1,-8512.06,-8588.81,-8678.39,-8723.09,-8828.15,10216.08,100.36481947510892,10216.08
10419.0,2944354.73,1068911.89,-8210.76,-8356.13,-8512.09,-8588.83,-8678.42,-8723.12,-8828.18,10217.05,105.190051180643,10217.05
10420.0,2944354.75,1068911.86,-8211.76,-8356.16,-8512.12,-8588.86,-8678.44,-8723.15,-8828.21,10218.02,107.09601770432896,10218.02
10421.0,2944354.77,1068911.84,-8212.76,-8356.18,-8512.15,-8588.89,-8678.47,-8723.18,-8828.24,10218.990000000002,,10218.990000000002
10422.0,2944354.79,1068911.81,-8213.76,-8356.21,-8512.17,-8588.92,-8678.5,-8723.21,-8828.26,10219.96,110.01528288617708,10219.96
10423.0,2944354.81,1068911.78,-8214.76,-8356.24,-8512.2,-8588.95,-8678.53,-8723.23,-8828.29,10220.93,111.2215908125606,10220.93
10424.0,2944354.84,1068911.75,-8215.76,-8356.27,-8512.23,-8588.98,-8678.56,-8723.26,-8828.32,10221.9,105.190051180643,10221.9
10425.0,2944354.86,1068911.71,-8216.76,-8356.3,-8512.26,-8589.0,-8678.59,-8723.29,-8828.35,10222.87,107.84392861868676,10222.87
10426.0,2944354.89,1068911.68,-8217.76,-8356.34,-8512.3,-8589.05,-8678.63,-8723.33,-8828.39,10223.83,109.90671517280256,10223.83
10427.0,2944354.91,1068911.64,-8218.76,-8356.38,-8512.34,-8589.09,-8678.67,-8723.37,-8828.43,10224.79,107.92837017353358,10224.79
10428.0,2944354.94,1068911.61,-8219.76,-8356.42,-8512.38,-8589.13,-8678.71,-8723.42,-8828.47,10225.75,105.190051180643,10225.75
10429.0,2944354.97,1068911.57,-8220.76,-8356.46,-8512.43,-8589.17,-8678.75,-8723.46,-8828.52,10226.7,,10226.7
10430.0,2944355.0,1068911.53,-8221.76,-8356.51,-8512.47,-8589.21,-8678.79,-8723.5,-8828.56,10227.66,111.2215908125606,10227.66
10431.0,2944355.03,1068911.49,-8222.75,-8356.55,-8512.51,-8589.26,-8678.84,-8723.54,-8828.6,10228.62,116.04682251809469,10228.62
10432.0,2944355.06,1068911.44,-8223.75,-8356.59,-8512.55,-8589.3,-8678.88,-8723.58,-8828.64,10229.570000000002,105.190051180643,10229.570000000002
10433.0,2944355.09,1068911.4,-8224.75,-8356.63,-8512.59,-8589.34,-8678.92,-8723.63,-8828.68,10230.53,102.15015520615653,10230.53
10434.0,2944355.12,1068911.35,-8225.75,-8356.67,-8512.64,-8589.38,-8678.96,-8723.67,-8828.73,10231.490000000002,100.36481947510892,10231.490000000002
10435.0,2944355.16,1068911.31,-8226.75,-8356.72,-8512.68,-8589.42,-8679.0,-8723.71,-8828.77,10232.44,111.2215908125606,10232.44
10436.0,2944355.19,1068911.26,-8227.75,-8356.77,-8512.73,-8589.48,-8679.06,-8723.76,-8828.82,10233.39,111.19746465403294,10233.39
10437.0,2944355.23,1068911.21,-8228.74,-8356.83,-8512.79,-8589.53,-8679.11,-8723.82,-8828.88,10234.33,111.2215908125606,10234.33
10438.0,2944355.27,1068911.16,-8229.74,-8356.88,-8512.84,-8589.59,-8679.17,-8723.88,-8828.93,10235.27,,10235.27
10439.0,2944355.3,1068911.11,-8230.74,-8356.94,-8512.9,-8589.64,-8679.23,-8723.93,-8828.99,10236.21,107.46997316150784,10236.21
10440.0,2944355.34,1068911.05,-8231.74,-8356.99,-8512.95,-8589.7,-8679.28,-8723.99,-8829.04,10237.16,104.47832950407673,10237.16
10441.0,2944355.38,1068911.0,-8232.74,-8357.05,-8513.01,-8589.75,-8679.34,-8724.04,-8829.1,10238.1,100.36481947510892,10238.1
10442.0,2944355.42,1068910.94,-8233.73,-8357.1,-8513.06,-8589.81,-8679.39,-8724.1,-8829.15,10239.04,,10239.04
10443.0,2944355.46,1068910.88,-8234.73,-8357.16,-8513.12,-8589.87,-8679.45,-8724.15,-8829.21,10239.98,103.00663383388884,10239.98
10444.0,2944355.5,1068910.83,-8235.73,-8357.21,-8513.18,-8589.92,-8679.5,-8724.21,-8829.27,10240.93,105.190051180643,10240.93
10445.0,2944355.54,1068910.77,-8236.73,-8357.27,-8513.23,-8589.98,-8679.56,-8724.26,-8829.32,10241.87,100.36481947510892,10241.87
10446.0,2944355.59,1068910.7,-8237.72,-8357.34,-8513.3,-8590.05,-8679.63,-8724.33,-8829.39,10242.8,99.6410347192788,10242.8
10447.0,2944355.63,1068910.64,-8238.72,-8357.41,-8513.37,-8590.11,-8679.7,-8724.4,-8829.46,10243.72,,10243.72
10448.0,2944355.68,1068910.58,-8239.72,-8357.48,-8513.44,-8590.18,-8679.76,-8724.47,-8829.53,10244.65,,10244.65
10449.0,2944355.72,1068910.51,-8240.71,-8357.54,-8513.51,-8590.25,-8679.83,-8724.54,-8829.6,10245.58,95.53958776957484,10245.58
10450.0,2944355.77,1068910.44,-8241.71,-8357.61,-8513.57,-8590.32,-8679.9,-8724.61,-8829.67,10246.51,100.36481947510892,10246.51
10451.0,2944355.82,1068910.37,-8242.71,-8357.68,-8513.64,-8590.39,-8679.97,-8724.68,-8829.73,10247.43,,10247.43
10452.0,2944355.87,1068910.31,-8243.7,-8357.75,-8513.71,-8590.46,-8680.04,-8724.74,-8829.8,10248.36,,10248.36
