MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
12332.0,3003665.61,1063250.79,-10086.47,-10110.0,-10293.74,-10297.44,-10341.6,-10372.83,-10532.62,12440.71,,12440.71
12333.0,3003665.43,1063251.08,-10087.41,-10110.01,-10293.75,-10297.45,-10341.61,-10372.84,-10532.63,12441.63,135.63069376046755,12441.63
12334.0,3003665.24,1063251.37,-10088.35,-10110.03,-10293.77,-10297.47,-10341.62,-10372.86,-10532.64,12442.55,130.81158119828245,12442.55
12335.0,3003665.05,1063251.67,-10089.28,-10110.04,-10293.78,-10297.48,-10341.64,-10372.87,-10532.66,12443.47,112.03194667760232,12443.47
12336.0,3003664.86,1063251.97,-10090.22,-10110.05,-10293.79,-10297.49,-10341.65,-10372.88,-10532.67,12444.39,116.76411648737688,12444.39
12337.0,3003664.66,1063252.27,-10091.15,-10110.07,-10293.81,-10297.51,-10341.66,-10372.9,-10532.68,12445.31,118.24214327835634,12445.31
12338.0,3003664.47,1063252.57,-10092.09,-10110.08,-10293.82,-10297.52,-10341.67,-10372.91,-10532.7,12446.23,116.24245997291354,12446.23
12339.0,3003664.28,1063252.87,-10093.02,-10110.09,-10293.83,-10297.53,-10341.69,-10372.92,-10532.71,12447.16,115.75806463805472,12447.16
12340.0,3003664.08,1063253.18,-10093.95,-10110.11,-10293.85,-10297.55,-10341.7,-10372.94,-10532.72,12448.08,112.03194667760232,12448.08
12341.0,3003663.89,1063253.48,-10094.88,-10110.12,-10293.86,-10297.56,-10341.71,-10372.95,-10532.73,12449.0,,12449.0
12342.0,3003663.69,1063253.79,-10095.81,-10110.13,-10293.87,-10297.57,-10341.73,-10372.96,-10532.75,12449.92,113.00073734731996,12449.92
12343.0,3003663.49,1063254.11,-10096.74,-10110.15,-10293.89,-10297.59,-10341.74,-10372.98,-10532.76,12450.83,118.24214327835634,12450.83
12344.0,3003663.29,1063254.42,-10097.67,-10110.16,-10293.9,-10297.6,-10341.76,-10372.99,-10532.78,12451.740000000002,,12451.740000000002
12345.0,3003663.09,1063254.74,-10098.6,-10110.17,-10293.91,-10297.61,-10341.77,-10373.01,-10532.79,12452.65,,12452.65
12346.0,3003662.89,1063255.06,-10099.52,-10110.19,-10293.93,-10297.63,-10341.78,-10373.02,-10532.8,12453.56,,12453.56
12347.0,3003662.69,1063255.38,-10100.45,-10110.2,-10293.94,-10297.64,-10341.8,-10373.03,-10532.82,12454.47,103.33767143654671,12454.47
12348.0,3003662.49,1063255.7,-10101.37,-10110.22,-10293.96,-10297.66,-10341.81,-10373.05,-10532.83,12455.38,,12455.38
12349.0,3003662.28,1063256.02,-10102.3,-10110.23,-10293.97,-10297.67,-10341.83,-10373.06,-10532.85,12456.29,,12456.29
12350.0,3003662.08,1063256.35,-10103.22,-10110.24,-10293.98,-10297.68,-10341.84,-10373.08,-10532.86,12457.21,109.54786803730072,12457.21
12351.0,3003661.87,1063256.68,-10104.14,-10110.26,-10294.0,-10297.7,-10341.85,-10373.09,-10532.87,12458.12,,12458.12
12352.0,3003661.67,1063257.01,-10105.06,-10110.27,-10294.01,-10297.71,-10341.87,-10373.1,-10532.89,12459.03,107.75933141628356,12459.03
12353.0,3003661.46,1063257.34,-10105.98,-10110.29,-10294.03,-10297.73,-10341.88,-10373.12,-10532.9,12459.93,105.82175007684832,12459.93
12354.0,3003661.25,1063257.68,-10106.9,-10110.3,-10294.04,-10297.74,-10341.9,-10373.13,-10532.92,12460.83,111.80837959997515,12460.83
12355.0,3003661.04,1063258.02,-10107.82,-10110.32,-10294.06,-10297.76,-10341.91,-10373.15,-10532.93,12461.73,115.75806463805472,12461.73
12356.0,3003660.83,1063258.36,-10108.74,-10110.33,-10294.07,-10297.77,-10341.93,-10373.16,-10532.95,12462.63,126.68801065538176,12462.63
12357.0,3003660.62,1063258.7,-10109.65,-10110.35,-10294.09,-10297.79,-10341.94,-10373.18,-10532.96,12463.53,123.09851702014596,12463.53
12358.0,3003660.41,1063259.04,-10110.57,-10110.36,-10294.1,-10297.8,-10341.96,-10373.19,-10532.98,12464.43,112.03194667760232,12464.43
12359.0,3003660.2,1063259.39,-10111.48,-10110.38,-10294.12,-10297.82,-10341.97,-10373.21,-10532.99,12465.33,106.54213288253578,12465.33
12360.0,3003659.98,1063259.73,-10112.39,-10110.39,-10294.13,-10297.83,-10341.99,-10373.22,-10533.01,12466.23,103.33767143654671,12466.23
12361.0,3003659.77,1063260.08,-10113.3,-10110.41,-10294.15,-10297.85,-10342.0,-10373.24,-10533.02,12467.13,105.87143164965435,12467.13
12362.0,3003659.55,1063260.44,-10114.22,-10110.42,-10294.16,-10297.86,-10342.02,-10373.25,-10533.04,12468.03,115.75806463805472,12468.03
12363.0,3003659.34,1063260.79,-10115.13,-10110.44,-10294.18,-10297.88,-10342.03,-10373.27,-10533.05,12468.92,120.72622191865794,12468.92
12364.0,3003659.12,1063261.15,-10116.03,-10110.45,-10294.19,-10297.89,-10342.05,-10373.29,-10533.07,12469.81,119.4220806324996,12469.81
12365.0,3003658.9,1063261.5,-10116.94,-10110.47,-10294.21,-10297.91,-10342.07,-10373.3,-10533.09,12470.7,117.22367103583268,12470.7
12366.0,3003658.68,1063261.86,-10117.85,-10110.49,-10294.22,-10297.92,-10342.08,-10373.32,-10533.1,12471.59,112.03194667760232,12471.59
12367.0,3003658.46,1063262.23,-10118.75,-10110.5,-10294.24,-10297.94,-10342.1,-10373.33,-10533.12,12472.48,114.39182138588885,12472.48
12368.0,3003658.24,1063262.59,-10119.66,-10110.52,-10294.26,-10297.96,-10342.11,-10373.35,-10533.13,12473.37,115.75806463805472,12473.37
12369.0,3003658.02,1063262.96,-10120.56,-10110.53,-10294.27,-10297.97,-10342.13,-10373.36,-10533.15,12474.26,116.6399125553618,12474.26
12370.0,3003657.79,1063263.33,-10121.46,-10110.55,-10294.29,-10297.99,-10342.14,-10373.38,-10533.16,12475.15,118.24214327835634,12475.15
12371.0,3003657.57,1063263.7,-10122.37,-10110.56,-10294.3,-10298.0,-10342.16,-10373.4,-10533.18,12476.04,120.2169857973961,12476.04
12372.0,3003657.34,1063264.07,-10123.27,-10110.58,-10294.32,-10298.02,-10342.18,-10373.41,-10533.2,12476.93,118.58991428799855,12476.93
12373.0,3003657.12,1063264.44,-10124.17,-10110.6,-10294.34,-10298.04,-10342.19,-10373.43,-10533.21,12477.8,112.03194667760232,12477.8
12374.0,3003656.89,1063264.82,-10125.06,-10110.61,-10294.35,-10298.05,-10342.21,-10373.44,-10533.23,12478.68,,12478.68
12375.0,3003656.66,1063265.2,-10125.96,-10110.63,-10294.37,-10298.07,-10342.23,-10373.46,-10533.25,12479.56,124.06730768986358,12479.56
12376.0,3003656.44,1063265.58,-10126.86,-10110.65,-10294.39,-10298.09,-10342.24,-10373.48,-10533.26,12480.44,129.42049715971353,12480.44
12377.0,3003656.21,1063265.96,-10127.75,-10110.66,-10294.4,-10298.1,-10342.26,-10373.49,-10533.28,12481.31,118.51539192878953,12481.31
12378.0,3003655.98,1063266.35,-10128.65,-10110.68,-10294.42,-10298.12,-10342.27,-10373.51,-10533.29,12482.19,112.03194667760232,12482.19
12379.0,3003655.74,1063266.73,-10129.54,-10110.7,-10294.44,-10298.14,-10342.29,-10373.53,-10533.31,12483.070000000002,133.14661512016596,12483.070000000002
12380.0,3003655.51,1063267.12,-10130.43,-10110.71,-10294.45,-10298.15,-10342.31,-10373.54,-10533.33,12483.95,125.11062071879029,12483.95
12381.0,3003655.28,1063267.51,-10131.32,-10110.73,-10294.47,-10298.17,-10342.32,-10373.56,-10533.34,12484.820000000002,115.05010222556878,12484.820000000002
12382.0,3003655.05,1063267.91,-10132.21,-10110.75,-10294.49,-10298.18,-10342.34,-10373.58,-10533.36,12485.7,118.24214327835634,12485.7
12383.0,3003654.81,1063268.3,-10133.1,-10110.76,-10294.5,-10298.2,-10342.36,-10373.59,-10533.38,12486.570000000002,115.75806463805472,12486.570000000002
12384.0,3003654.57,1063268.7,-10133.98,-10110.78,-10294.52,-10298.22,-10342.38,-10373.61,-10533.4,12487.43,,12487.43
12385.0,3003654.34,1063269.1,-10134.87,-10110.8,-10294.54,-10298.24,-10342.39,-10373.63,-10533.41,12488.3,,12488.3
12386.0,3003654.1,1063269.5,-10135.76,-10110.81,-10294.55,-10298.25,-10342.41,-10373.65,-10533.43,12489.17,,12489.17
12387.0,3003653.86,1063269.9,-10136.64,-10110.83,-10294.57,-10298.27,-10342.43,-10373.66,-10533.45,12490.03,113.68385897340288,12490.03
12388.0,3003653.62,1063270.31,-10137.52,-10110.85,-10294.59,-10298.29,-10342.45,-10373.68,-10533.47,12490.9,112.03194667760232,12490.9
12389.0,3003653.38,1063270.71,-10138.4,-10110.87,-10294.61,-10298.31,-10342.46,-10373.7,-10533.48,12491.77,118.24214327835634,12491.77
12390.0,3003653.14,1063271.12,-10139.28,-10110.88,-10294.62,-10298.32,-10342.48,-10373.72,-10533.5,12492.63,,12492.63
12391.0,3003652.9,1063271.53,-10140.16,-10110.9,-10294.64,-10298.34,-10342.5,-10373.73,-10533.52,12493.5,112.98831695411845,12493.5
12392.0,3003652.66,1063271.94,-10141.04,-10110.92,-10294.66,-10298.36,-10342.51,-10373.75,-10533.53,12494.36,105.82175007684832,12494.36
12393.0,3003652.42,1063272.35,-10141.92,-10110.94,-10294.68,-10298.38,-10342.53,-10373.77,-10533.55,12495.22,,12495.22
12394.0,3003652.17,1063272.76,-10142.8,-10110.95,-10294.69,-10298.39,-10342.55,-10373.79,-10533.57,12496.08,,12496.08
12395.0,3003651.93,1063273.17,-10143.68,-10110.97,-10294.71,-10298.41,-10342.57,-10373.8,-10533.59,12496.94,,12496.94
12396.0,3003651.69,1063273.59,-10144.56,-10110.99,-10294.73,-10298.43,-10342.59,-10373.82,-10533.61,12497.79,112.03194667760232,12497.79
12397.0,3003651.44,1063274.0,-10145.43,-10111.01,-10294.75,-10298.45,-10342.6,-10373.84,-10533.62,12498.65,,12498.65
12398.0,3003651.2,1063274.42,-10146.31,-10111.03,-10294.77,-10298.47,-10342.62,-10373.86,-10533.64,12499.51,,12499.51
12399.0,3003650.95,1063274.84,-10147.18,-10111.04,-10294.78,-10298.48,-10342.64,-10373.88,-10533.66,12500.37,124.45233987911034,12500.37
12400.0,3003650.71,1063275.26,-10148.06,-10111.06,-10294.8,-10298.5,-10342.66,-10373.89,-10533.68,12501.23,,12501.23
12401.0,3003650.46,1063275.68,-10148.93,-10111.08,-10294.82,-10298.52,-10342.68,-10373.91,-10533.7,12502.08,,12502.08
12402.0,3003650.21,1063276.1,-10149.8,-10111.1,-10294.84,-10298.54,-10342.69,-10373.93,-10533.71,12502.94,129.0230445772653,12502.94
12403.0,3003649.96,1063276.53,-10150.67,-10111.12,-10294.86,-10298.56,-10342.71,-10373.95,-10533.73,12503.79,92.15931755518947,12503.79
12404.0,3003649.72,1063276.95,-10151.54,-10111.13,-10294.87,-10298.57,-10342.73,-10373.97,-10533.75,12504.64,,12504.64
12405.0,3003649.47,1063277.38,-10152.41,-10111.15,-10294.89,-10298.59,-10342.75,-10373.98,-10533.77,12505.490000000002,79.73892435368148,12505.490000000002
12406.0,3003649.22,1063277.8,-10153.28,-10111.17,-10294.91,-10298.61,-10342.77,-10374.0,-10533.79,12506.34,89.849124419709,12506.34
12407.0,3003648.97,1063278.23,-10154.15,-10111.19,-10294.93,-10298.63,-10342.79,-10374.02,-10533.81,12507.19,95.94753748164943,12507.19
12408.0,3003648.72,1063278.66,-10155.02,-10111.21,-10294.95,-10298.65,-10342.8,-10374.04,-10533.82,12508.04,115.75806463805472,12508.04
12409.0,3003648.46,1063279.09,-10155.88,-10111.23,-10294.97,-10298.67,-10342.82,-10374.06,-10533.84,12508.89,107.79659259588809,12508.89
12410.0,3003648.21,1063279.52,-10156.75,-10111.24,-10294.98,-10298.68,-10342.84,-10374.08,-10533.86,12509.740000000002,103.33767143654671,12509.740000000002
12411.0,3003647.96,1063279.95,-10157.62,-10111.26,-10295.0,-10298.7,-10342.86,-10374.09,-10533.88,12510.59,90.37078093417234,12510.59
12412.0,3003647.71,1063280.39,-10158.48,-10111.28,-10295.02,-10298.72,-10342.88,-10374.11,-10533.9,12511.44,79.73892435368148,12511.44
12413.0,3003647.45,1063280.82,-10159.34,-10111.3,-10295.04,-10298.74,-10342.9,-10374.13,-10533.92,12512.28,85.94912095443549,12512.28
12414.0,3003647.2,1063281.26,-10160.21,-10111.32,-10295.06,-10298.76,-10342.91,-10374.15,-10533.94,12513.12,83.46504231413388,12513.12
12415.0,3003646.95,1063281.7,-10161.07,-10111.34,-10295.08,-10298.78,-10342.93,-10374.17,-10533.95,12513.96,92.15931755518947,12513.96
12416.0,3003646.69,1063282.14,-10161.93,-10111.36,-10295.1,-10298.8,-10342.95,-10374.19,-10533.97,12514.8,,12514.8
12417.0,3003646.43,1063282.58,-10162.79,-10111.38,-10295.12,-10298.82,-10342.97,-10374.21,-10533.99,12515.65,76.72076880571502,12515.65
12418.0,3003646.18,1063283.02,-10163.65,-10111.39,-10295.13,-10298.83,-10342.99,-10374.23,-10534.01,12516.490000000002,73.52872775292747,12516.490000000002
12419.0,3003645.92,1063283.46,-10164.51,-10111.41,-10295.15,-10298.85,-10343.01,-10374.25,-10534.03,12517.33,64.83445251187186,12517.33
12420.0,3003645.66,1063283.91,-10165.37,-10111.43,-10295.17,-10298.87,-10343.03,-10374.26,-10534.05,12518.17,77.25484571337988,12518.17
12421.0,3003645.41,1063284.35,-10166.23,-10111.45,-10295.19,-10298.89,-10343.05,-10374.28,-10534.07,12519.01,,12519.01
12422.0,3003645.15,1063284.8,-10167.08,-10111.47,-10295.21,-10298.91,-10343.07,-10374.3,-10534.09,12519.85,,12519.85
12423.0,3003644.89,1063285.24,-10167.94,-10111.49,-10295.23,-10298.93,-10343.09,-10374.32,-10534.11,12520.69,66.84655621051614,12520.69
12424.0,3003644.63,1063285.69,-10168.8,-10111.51,-10295.25,-10298.95,-10343.1,-10374.34,-10534.12,12521.52,66.63540952609053,12521.52
12425.0,3003644.37,1063286.14,-10169.65,-10111.53,-10295.27,-10298.97,-10343.12,-10374.36,-10534.14,12522.35,68.56057047232426,12522.35
