MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10042.0,2954469.21,1083957.88,-7839.559999999999,-8228.45,-8361.8,-8446.18,-8554.49,-8601.61,-8699.31,10014.08,,10014.08
10043.0,2954469.2,1083957.89,-7840.559999999999,-8228.45,-8361.79,-8446.18,-8554.49,-8601.61,-8699.31,10015.08,,10015.08
10044.0,2954469.2,1083957.9,-7841.559999999999,-8228.45,-8361.79,-8446.18,-8554.49,-8601.61,-8699.31,10016.08,,10016.08
10045.0,2954469.2,1083957.9,-7842.559999999999,-8228.44,-8361.79,-8446.18,-8554.49,-8601.61,-8699.31,10017.08,,10017.08
10046.0,2954469.19,1083957.91,-7843.559999999999,-8228.44,-8361.79,-8446.17,-8554.48,-8601.61,-8699.3,10018.09,,10018.09
10047.0,2954469.19,1083957.91,-7844.559999999999,-8228.44,-8361.79,-8446.17,-8554.48,-8601.61,-8699.3,10019.09,,10019.09
10048.0,2954469.19,1083957.92,-7845.559999999999,-8228.44,-8361.79,-8446.17,-8554.48,-8601.6,-8699.3,10020.09,,10020.09
10049.0,2954469.19,1083957.92,-7846.559999999999,-8228.44,-8361.79,-8446.17,-8554.48,-8601.6,-8699.3,10021.09,,10021.09
10050.0,2954469.18,1083957.93,-7847.559999999999,-8228.44,-8361.79,-8446.17,-8554.48,-8601.6,-8699.3,10022.09,,10022.09
10051.0,2954469.18,1083957.94,-7848.559999999999,-8228.44,-8361.79,-8446.17,-8554.48,-8601.6,-8699.3,10023.09,115.9161646760489,10023.09
10052.0,2954469.18,1083957.94,-7849.559999999999,-8228.44,-8361.78,-8446.17,-8554.48,-8601.6,-8699.3,10024.09,129.2654350802004,10024.09
10053.0,2954469.17,1083957.95,-7850.559999999999,-8228.43,-8361.78,-8446.17,-8554.48,-8601.6,-8699.3,10025.09,,10025.09
10054.0,2954469.17,1083957.96,-7851.559999999999,-8228.43,-8361.78,-8446.16,-8554.47,-8601.6,-8699.29,10026.1,,10026.1
10055.0,2954469.17,1083957.96,-7852.559999999999,-8228.43,-8361.78,-8446.16,-8554.47,-8601.6,-8699.29,10027.1,,10027.1
10056.0,2954469.16,1083957.97,-7853.559999999999,-8228.43,-8361.78,-8446.16,-8554.47,-8601.59,-8699.29,10028.1,,10028.1
10057.0,2954469.16,1083957.98,-7854.559999999999,-8228.43,-8361.78,-8446.16,-8554.47,-8601.59,-8699.29,10029.1,124.81567827881656,10029.1
10058.0,2954469.16,1083957.98,-7855.559999999999,-8228.43,-8361.78,-8446.16,-8554.47,-8601.59,-8699.29,10030.1,120.36592147743274,10030.1
10059.0,2954469.15,1083957.99,-7856.559999999999,-8228.43,-8361.77,-8446.16,-8554.47,-8601.59,-8699.29,10031.1,,10031.1
10060.0,2954469.15,1083958.0,-7857.559999999999,-8228.43,-8361.77,-8446.16,-8554.47,-8601.59,-8699.29,10032.1,,10032.1
10061.0,2954469.14,1083958.0,-7858.559999999999,-8228.42,-8361.77,-8446.16,-8554.46,-8601.59,-8699.28,10033.1,,10033.1
10062.0,2954469.14,1083958.01,-7859.559999999999,-8228.42,-8361.77,-8446.15,-8554.46,-8601.59,-8699.28,10034.11,,10034.11
10063.0,2954469.14,1083958.02,-7860.559999999999,-8228.42,-8361.77,-8446.15,-8554.46,-8601.58,-8699.28,10035.11,126.29522241527668,10035.11
10064.0,2954469.13,1083958.02,-7861.559999999999,-8228.42,-8361.77,-8446.15,-8554.46,-8601.58,-8699.28,10036.11,129.2654350802004,10036.11
10065.0,2954469.13,1083958.03,-7862.559999999999,-8228.42,-8361.77,-8446.15,-8554.46,-8601.58,-8699.28,10037.11,,10037.11
10066.0,2954469.12,1083958.04,-7863.559999999999,-8228.42,-8361.76,-8446.15,-8554.46,-8601.58,-8699.28,10038.11,138.16494868296806,10038.11
10067.0,2954469.12,1083958.04,-7864.559999999999,-8228.41,-8361.76,-8446.15,-8554.46,-8601.58,-8699.28,10039.11,,10039.11
