MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10169.0,2922099.46,1053535.45,-8088.9,-8250.97,-8441.06,-8516.31,-8596.13,-8642.35,-8758.93,10398.56,95.94303174777004,10398.56
10170.0,2922099.46,1053535.47,-8089.9,-8250.79,-8440.88,-8516.13,-8595.95,-8642.17,-8758.75,10399.740000000002,99.04347362755271,10399.740000000002
10171.0,2922099.46,1053535.49,-8090.9,-8250.61,-8440.7,-8515.95,-8595.77,-8641.99,-8758.57,10400.92,98.05740036915088,10400.92
10172.0,2922099.46,1053535.51,-8091.9,-8250.43,-8440.52,-8515.77,-8595.59,-8641.81,-8758.39,10402.1,95.28881006671496,10402.1
10173.0,2922099.46,1053535.53,-8092.9,-8250.25,-8440.34,-8515.59,-8595.42,-8641.63,-8758.21,10403.28,93.40199681265764,10403.28
10174.0,2922099.46,1053535.55,-8093.9,-8250.07,-8440.16,-8515.41,-8595.24,-8641.46,-8758.03,10404.46,,10404.46
10175.0,2922099.46,1053535.58,-8094.9,-8249.89,-8439.98,-8515.23,-8595.06,-8641.28,-8757.85,10405.64,97.9531041591276,10405.64
10176.0,2922099.46,1053535.6,-8095.9,-8250.39,-8440.48,-8515.73,-8595.55,-8641.77,-8758.35,10406.14,,10406.14
10177.0,2922099.46,1053535.62,-8096.9,-8250.96,-8441.05,-8516.3,-8596.13,-8642.35,-8758.92,10406.570000000002,,10406.570000000002
10178.0,2922099.46,1053535.64,-8097.9,-8251.53,-8441.62,-8516.87,-8596.7,-8642.92,-8759.49,10406.990000000002,,10406.990000000002
10179.0,2922099.46,1053535.66,-8098.9,-8252.1,-8442.19,-8517.44,-8597.27,-8643.49,-8760.06,10407.42,96.93858647981035,10407.42
10180.0,2922099.46,1053535.68,-8099.9,-8252.67,-8442.76,-8518.01,-8597.84,-8644.06,-8760.64,10407.85,96.20851300964743,10407.85
10181.0,2922099.46,1053535.7,-8100.9,-8253.25,-8443.34,-8518.59,-8598.41,-8644.63,-8761.21,10408.28,,10408.28
10182.0,2922099.47,1053535.72,-8101.9,-8253.82,-8443.91,-8519.16,-8598.99,-8645.21,-8761.78,10408.7,,10408.7
10183.0,2922099.47,1053535.74,-8102.9,-8254.39,-8444.48,-8519.73,-8599.56,-8645.78,-8762.36,10409.13,94.65355133293689,10409.13
10184.0,2922099.47,1053535.76,-8103.9,-8254.97,-8445.06,-8520.31,-8600.14,-8646.35,-8762.93,10409.56,95.75340227500044,10409.56
10185.0,2922099.47,1053535.79,-8104.9,-8255.54,-8445.63,-8520.88,-8600.71,-8646.93,-8763.5,10409.98,98.54095552471333,10409.98
10186.0,2922099.47,1053535.81,-8105.9,-8256.11,-8446.2,-8521.45,-8601.28,-8647.5,-8764.08,10410.41,100.33295404238586,10410.41
10187.0,2922099.47,1053535.83,-8106.9,-8256.69,-8446.78,-8522.03,-8601.86,-8648.08,-8764.65,10410.83,,10410.83
10188.0,2922099.47,1053535.85,-8107.9,-8257.26,-8447.35,-8522.6,-8602.43,-8648.65,-8765.23,10411.26,99.4606584676458,10411.26
10189.0,2922099.47,1053535.87,-8108.9,-8257.84,-8447.93,-8523.18,-8603.0,-8649.22,-8765.8,10411.69,97.92465973821216,10411.69
10190.0,2922099.47,1053535.89,-8109.9,-8258.41,-8448.5,-8523.75,-8603.58,-8649.8,-8766.37,10412.11,95.94303174777004,10412.11
10191.0,2922099.47,1053535.91,-8110.9,-8258.98,-8449.07,-8524.32,-8604.15,-8650.37,-8766.95,10412.54,94.43547743925188,10412.54
10192.0,2922099.47,1053535.93,-8111.9,-8259.56,-8449.65,-8524.9,-8604.73,-8650.95,-8767.52,10412.96,94.35014417650557,10412.96
10193.0,2922099.47,1053535.95,-8112.9,-8260.14,-8450.23,-8525.48,-8605.3,-8651.52,-8768.1,10413.38,97.1851047944108,10413.38
10194.0,2922099.47,1053535.97,-8113.9,-8260.71,-8450.8,-8526.05,-8605.88,-8652.1,-8768.68,10413.81,,10413.81
10195.0,2922099.47,1053536.0,-8114.9,-8261.29,-8451.38,-8526.63,-8606.46,-8652.68,-8769.25,10414.23,101.8120639299886,10414.23
10196.0,2922099.47,1053536.02,-8115.9,-8261.86,-8451.95,-8527.2,-8607.03,-8653.25,-8769.83,10414.66,101.4517679317264,10414.66
10197.0,2922099.47,1053536.04,-8116.889999999999,-8262.44,-8452.53,-8527.78,-8607.61,-8653.83,-8770.4,10415.08,100.16228751689324,10415.08
10198.0,2922099.47,1053536.06,-8117.889999999999,-8263.02,-8453.11,-8528.36,-8608.18,-8654.4,-8770.98,10415.5,99.18569573212989,10415.5
10199.0,2922099.47,1053536.08,-8118.889999999999,-8263.59,-8453.68,-8528.93,-8608.76,-8654.98,-8771.56,10415.93,97.9531041591276,10415.93
10200.0,2922099.47,1053536.1,-8119.889999999999,-8264.17,-8454.26,-8529.51,-8609.34,-8655.56,-8772.13,10416.35,,10416.35
10201.0,2922099.47,1053536.12,-8120.889999999999,-8264.75,-8454.83,-8530.08,-8609.91,-8656.13,-8772.71,10416.77,,10416.77
10202.0,2922099.46,1053536.14,-8121.889999999999,-8265.32,-8455.41,-8530.66,-8610.49,-8656.71,-8773.29,10417.19,102.24821171735864,10417.19
10203.0,2922099.46,1053536.16,-8122.889999999999,-8265.9,-8455.99,-8531.24,-8611.07,-8657.29,-8773.87,10417.62,105.27280180803348,10417.62
10204.0,2922099.46,1053536.19,-8123.889999999999,-8266.48,-8456.57,-8531.82,-8611.65,-8657.87,-8774.44,10418.04,,10418.04
10205.0,2922099.46,1053536.21,-8124.889999999999,-8267.06,-8457.15,-8532.4,-8612.23,-8658.45,-8775.02,10418.46,102.84554455658282,10418.46
10206.0,2922099.46,1053536.23,-8125.889999999999,-8267.64,-8457.73,-8532.98,-8612.81,-8659.03,-8775.6,10418.88,100.33295404238586,10418.88
10207.0,2922099.46,1053536.25,-8126.889999999999,-8268.22,-8458.31,-8533.56,-8613.39,-8659.61,-8776.18,10419.3,98.7685108920368,10419.3
10208.0,2922099.46,1053536.27,-8127.889999999999,-8268.8,-8458.89,-8534.14,-8613.96,-8660.18,-8776.76,10419.72,96.80584584887164,10419.72
10209.0,2922099.46,1053536.29,-8128.889999999999,-8269.37,-8459.46,-8534.71,-8614.54,-8660.76,-8777.34,10420.14,97.43162310901126,10420.14
10210.0,2922099.46,1053536.31,-8129.889999999999,-8269.95,-8460.04,-8535.29,-8615.12,-8661.34,-8777.92,10420.56,99.51754730947668,10420.56
10211.0,2922099.46,1053536.33,-8130.889999999999,-8270.53,-8460.62,-8535.87,-8615.7,-8661.92,-8778.5,10420.98,98.56939994562876,10420.98
10212.0,2922099.46,1053536.36,-8131.889999999999,-8271.11,-8461.2,-8536.45,-8616.28,-8662.5,-8779.08,10421.4,97.9531041591276,10421.4
10213.0,2922099.46,1053536.38,-8132.889999999999,-8271.69,-8461.78,-8537.03,-8616.86,-8663.08,-8779.66,10421.820000000002,100.64584267245569,10421.820000000002
10214.0,2922099.46,1053536.4,-8133.889999999999,-8272.28,-8462.37,-8537.62,-8617.44,-8663.66,-8780.24,10422.240000000002,102.88347045113674,10422.240000000002
