MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11073.0,2912700.93,1017340.12,-9014.17,-9201.23,-9427.8,-9466.7,-9542.09,-9588.94,-9748.17,11386.88,133.20304028151176,11386.88
11074.0,2912700.9,1017340.13,-9015.17,-9201.04,-9427.61,-9466.51,-9541.9,-9588.75,-9747.97,11388.070000000002,131.43315586413755,11388.070000000002
11075.0,2912700.87,1017340.13,-9016.17,-9200.85,-9427.42,-9466.32,-9541.71,-9588.56,-9747.78,11389.26,,11389.26
11076.0,2912700.85,1017340.14,-9017.17,-9200.65,-9427.22,-9466.12,-9541.51,-9588.36,-9747.58,11390.46,146.36174616720703,11390.46
11077.0,2912700.82,1017340.14,-9018.17,-9200.46,-9427.03,-9465.93,-9541.32,-9588.17,-9747.39,11391.65,143.20673481449646,11391.65
11078.0,2912700.79,1017340.15,-9019.17,-9200.26,-9426.83,-9465.73,-9541.12,-9587.97,-9747.19,11392.85,134.0495067419951,11392.85
11079.0,2912700.77,1017340.15,-9020.17,-9200.07,-9426.64,-9465.54,-9540.93,-9587.78,-9747.0,11394.04,136.4503934299114,11394.04
11080.0,2912700.74,1017340.16,-9021.17,-9199.88,-9426.45,-9465.35,-9540.74,-9587.59,-9746.81,11395.23,136.2349292399702,11395.23
11081.0,2912700.71,1017340.16,-9022.17,-9199.68,-9426.25,-9465.15,-9540.54,-9587.39,-9746.61,11396.43,134.03411644271355,11396.43
11082.0,2912700.69,1017340.17,-9023.17,-9199.48,-9426.05,-9464.95,-9540.34,-9587.19,-9746.41,11397.63,,11397.63
11083.0,2912700.66,1017340.17,-9024.17,-9199.28,-9425.85,-9464.75,-9540.14,-9586.99,-9746.21,11398.83,140.48265184166831,11398.83
11084.0,2912700.63,1017340.18,-9025.17,-9199.08,-9425.65,-9464.55,-9539.94,-9586.79,-9746.01,11400.03,141.40606979855923,11400.03
11085.0,2912700.61,1017340.18,-9026.17,-9198.88,-9425.45,-9464.35,-9539.74,-9586.59,-9745.81,11401.23,137.80473976668472,11401.23
11086.0,2912700.58,1017340.19,-9027.17,-9198.68,-9425.25,-9464.15,-9539.54,-9586.39,-9745.61,11402.43,136.0348553493105,11402.43
11087.0,2912700.55,1017340.19,-9028.17,-9198.48,-9425.05,-9463.95,-9539.34,-9586.19,-9745.41,11403.63,132.49508651456208,11403.63
11088.0,2912700.52,1017340.2,-9029.17,-9198.28,-9424.85,-9463.75,-9539.14,-9585.99,-9745.21,11404.83,133.11069848582267,11404.83
11089.0,2912700.5,1017340.2,-9030.16,-9198.08,-9424.65,-9463.55,-9538.94,-9585.79,-9745.01,11406.03,141.0828735136474,11406.03
11090.0,2912700.47,1017340.21,-9031.16,-9197.88,-9424.45,-9463.35,-9538.74,-9585.59,-9744.81,11407.23,147.91616639464004,11407.23
11091.0,2912700.44,1017340.21,-9032.16,-9197.68,-9424.25,-9463.15,-9538.54,-9585.39,-9744.61,11408.43,146.37713646648854,11408.43
11092.0,2912700.42,1017340.22,-9033.16,-9197.48,-9424.05,-9462.95,-9538.34,-9585.19,-9744.41,11409.63,142.206365361198,11409.63
11093.0,2912700.39,1017340.22,-9034.16,-9197.28,-9423.85,-9462.75,-9538.14,-9584.98,-9744.21,11410.83,135.65009786727262,11410.83
11094.0,2912700.36,1017340.22,-9035.16,-9197.08,-9423.65,-9462.55,-9537.94,-9584.78,-9744.01,11412.03,133.92638434774295,11412.03
11095.0,2912700.33,1017340.23,-9036.16,-9196.88,-9423.45,-9462.35,-9537.74,-9584.58,-9743.81,11413.23,141.7908272805971,11413.23
11096.0,2912700.31,1017340.23,-9037.16,-9196.68,-9423.25,-9462.15,-9537.54,-9584.38,-9743.61,11414.43,139.3283793955547,11414.43
11097.0,2912700.28,1017340.24,-9038.16,-9196.47,-9423.04,-9461.94,-9537.33,-9584.18,-9743.41,11415.63,135.04987619529354,11415.63
