MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10583.0,2928211.63,1055179.12,-8446.6,-8492.02,-8682.11,-8757.36,-8837.19,-8883.41,-8999.98,10515.2,112.18236174572436,10515.2
10584.0,2928211.67,1055179.1,-8447.6,-8492.02,-8682.11,-8757.36,-8837.19,-8883.41,-8999.99,10516.2,111.04548808649254,10516.2
10585.0,2928211.7,1055179.08,-8448.6,-8492.02,-8682.11,-8757.36,-8837.19,-8883.41,-8999.99,10517.2,105.7617324131103,10517.2
10586.0,2928211.73,1055179.07,-8449.6,-8492.02,-8682.11,-8757.36,-8837.19,-8883.41,-8999.99,10518.2,113.90391328684689,10518.2
10587.0,2928211.76,1055179.05,-8450.6,-8492.02,-8682.11,-8757.36,-8837.19,-8883.41,-8999.99,10519.2,108.49022919526668,10519.2
10588.0,2928211.79,1055179.03,-8451.59,-8492.02,-8682.11,-8757.36,-8837.19,-8883.41,-8999.99,10520.2,109.18318075898895,10520.2
10589.0,2928211.83,1055179.01,-8452.59,-8492.02,-8682.11,-8757.36,-8837.19,-8883.41,-8999.99,10521.19,105.80504188584293,10521.19
10590.0,2928211.86,1055178.99,-8453.59,-8492.02,-8682.11,-8757.36,-8837.19,-8883.41,-8999.99,10522.19,111.22955334560626,10522.19
10591.0,2928211.9,1055178.97,-8454.59,-8492.02,-8682.11,-8757.36,-8837.19,-8883.41,-8999.99,10523.19,151.37743456876484,10523.19
10592.0,2928211.93,1055178.95,-8455.59,-8492.03,-8682.11,-8757.36,-8837.19,-8883.41,-8999.99,10524.19,120.41116156492625,10524.19
10593.0,2928211.97,1055178.92,-8456.59,-8492.03,-8682.11,-8757.37,-8837.19,-8883.41,-8999.99,10525.19,127.89287297949004,10525.19
10594.0,2928212.0,1055178.9,-8457.59,-8492.03,-8682.12,-8757.37,-8837.19,-8883.41,-8999.99,10526.19,147.25220729098075,10526.19
10595.0,2928212.04,1055178.88,-8458.59,-8492.03,-8682.12,-8757.37,-8837.19,-8883.41,-8999.99,10527.19,94.85857265266782,10527.19
10596.0,2928212.08,1055178.86,-8459.59,-8492.03,-8682.12,-8757.37,-8837.19,-8883.41,-8999.99,10528.19,98.87552624862032,10528.19
10597.0,2928212.12,1055178.83,-8460.59,-8492.03,-8682.12,-8757.37,-8837.2,-8883.42,-8999.99,10529.18,143.18111685411245,10529.18
10598.0,2928212.16,1055178.81,-8461.59,-8492.03,-8682.12,-8757.37,-8837.2,-8883.42,-8999.99,10530.18,121.23404154684644,10530.18
10599.0,2928212.2,1055178.78,-8462.58,-8492.03,-8682.12,-8757.37,-8837.2,-8883.42,-8999.99,10531.18,115.62546482796937,10531.18
10600.0,2928212.23,1055178.76,-8463.58,-8492.03,-8682.12,-8757.37,-8837.2,-8883.42,-8999.99,10532.18,116.66489217355276,10532.18
10601.0,2928212.28,1055178.73,-8464.58,-8492.03,-8682.12,-8757.37,-8837.2,-8883.42,-8999.99,10533.18,,10533.18
10602.0,2928212.32,1055178.7,-8465.58,-8492.03,-8682.12,-8757.37,-8837.2,-8883.42,-8999.99,10534.18,77.72967618690815,10534.18
