MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11438.0,2991749.47,1072329.33,-9143.95,-9537.98,-9705.98,-9728.98,-9806.98,-9841.98,-9983.98,11339.42,,11339.42
11439.0,2991749.45,1072329.35,-9144.95,-9537.98,-9705.98,-9728.98,-9806.98,-9841.98,-9983.98,11340.41,102.25171893231006,11340.41
11440.0,2991749.42,1072329.38,-9145.95,-9537.99,-9705.99,-9728.99,-9806.99,-9841.99,-9983.99,11341.41,104.31641710305864,11341.41
11441.0,2991749.4,1072329.41,-9146.95,-9537.99,-9705.99,-9728.99,-9806.99,-9841.99,-9983.99,11342.41,108.5441324050676,11342.41
11442.0,2991749.38,1072329.43,-9147.95,-9537.99,-9705.99,-9728.99,-9806.99,-9841.99,-9983.99,11343.4,105.39792566868884,11343.4
11443.0,2991749.35,1072329.46,-9148.95,-9538.0,-9706.0,-9729.0,-9807.0,-9842.0,-9984.0,11344.4,,11344.4
11444.0,2991749.33,1072329.49,-9149.95,-9538.0,-9706.0,-9729.0,-9807.0,-9842.0,-9984.0,11345.4,99.10551219593128,11345.4
11445.0,2991749.3,1072329.51,-9150.94,-9538.0,-9706.0,-9729.0,-9807.0,-9842.0,-9984.0,11346.39,95.95930545955252,11346.39
11446.0,2991749.28,1072329.54,-9151.94,-9538.01,-9706.01,-9729.01,-9807.01,-9842.01,-9984.01,11347.39,104.31641710305864,11347.39
11447.0,2991749.26,1072329.57,-9152.94,-9538.01,-9706.01,-9729.01,-9807.01,-9842.01,-9984.01,11348.38,91.73159015754354,11348.38
11448.0,2991749.23,1072329.59,-9153.94,-9538.01,-9706.01,-9729.01,-9807.01,-9842.01,-9984.01,11349.38,101.17021036667988,11349.38
11449.0,2991749.21,1072329.62,-9154.94,-9538.02,-9706.02,-9729.02,-9807.02,-9842.02,-9984.02,11350.38,,11350.38
11450.0,2991749.18,1072329.65,-9155.94,-9538.02,-9706.02,-9729.02,-9807.02,-9842.02,-9984.02,11351.37,104.3459127912122,11351.37
11451.0,2991749.16,1072329.68,-9156.94,-9538.02,-9706.02,-9729.02,-9807.02,-9842.02,-9984.02,11352.37,,11352.37
11452.0,2991749.14,1072329.7,-9157.94,-9538.03,-9706.03,-9729.03,-9807.03,-9842.03,-9984.03,11353.36,100.1870207615615,11353.36
11453.0,2991749.11,1072329.73,-9158.94,-9538.03,-9706.03,-9729.03,-9807.03,-9842.03,-9984.03,11354.36,,11354.36
11454.0,2991749.09,1072329.76,-9159.94,-9538.03,-9706.03,-9729.03,-9807.03,-9842.03,-9984.03,11355.36,103.28406801768432,11355.36
11455.0,2991749.06,1072329.78,-9160.94,-9538.04,-9706.04,-9729.04,-9807.04,-9842.04,-9984.04,11356.35,,11356.35
11456.0,2991749.04,1072329.81,-9161.94,-9538.04,-9706.04,-9729.04,-9807.04,-9842.04,-9984.04,11357.35,100.1870207615615,11357.35
11457.0,2991749.01,1072329.84,-9162.94,-9538.04,-9706.04,-9729.04,-9807.04,-9842.04,-9984.04,11358.34,102.25171893231006,11358.34
