MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10232.0,3007148.63,1129409.16,-8169.17,-8570.57,-8679.55,-8777.44,-8939.42,-8989.81,-9095.4,10157.78,141.12275506914384,10157.78
10233.0,3007148.64,1129409.17,-8170.17,-8570.57,-8679.55,-8777.44,-8939.42,-8989.81,-9095.4,10158.78,147.16114426727663,10158.78
10234.0,3007148.65,1129409.18,-8171.17,-8570.57,-8679.55,-8777.44,-8939.42,-8989.81,-9095.4,10159.78,145.662897323379,10159.78
10235.0,3007148.65,1129409.19,-8172.17,-8570.57,-8679.55,-8777.44,-8939.42,-8989.81,-9095.4,10160.78,143.725769961572,10160.78
10236.0,3007148.66,1129409.2,-8173.17,-8570.57,-8679.55,-8777.44,-8939.42,-8989.81,-9095.4,10161.79,143.30202335117673,10161.79
10237.0,3007148.67,1129409.21,-8174.17,-8570.57,-8679.55,-8777.44,-8939.42,-8989.81,-9095.4,10162.79,142.00051590496264,10162.79
10238.0,3007148.68,1129409.22,-8175.17,-8570.57,-8679.55,-8777.44,-8939.42,-8989.81,-9095.4,10163.79,144.0587137268826,10163.79
10239.0,3007148.69,1129409.23,-8176.17,-8570.57,-8679.55,-8777.44,-8939.42,-8989.81,-9095.4,10164.79,142.71180485812616,10164.79
10240.0,3007148.69,1129409.24,-8177.17,-8570.56,-8679.54,-8777.43,-8939.41,-8989.8,-9095.39,10165.79,142.54533297547087,10165.79
10241.0,3007148.7,1129409.25,-8178.17,-8570.56,-8679.54,-8777.43,-8939.41,-8989.8,-9095.39,10166.79,140.60820561366384,10166.79
10242.0,3007148.71,1129409.26,-8179.17,-8570.56,-8679.54,-8777.43,-8939.41,-8989.8,-9095.39,10167.79,139.4277686275627,10167.79
10243.0,3007148.72,1129409.28,-8180.17,-8570.56,-8679.54,-8777.43,-8939.41,-8989.8,-9095.39,10168.79,136.7188170825357,10168.79
10244.0,3007148.72,1129409.29,-8181.17,-8570.56,-8679.54,-8777.43,-8939.41,-8989.8,-9095.39,10169.79,135.5837815189769,10169.79
10245.0,3007148.73,1129409.3,-8182.17,-8570.56,-8679.54,-8777.43,-8939.41,-8989.8,-9095.39,10170.79,133.37424562191578,10170.79
10246.0,3007148.74,1129409.31,-8183.17,-8570.56,-8679.54,-8777.43,-8939.41,-8989.8,-9095.39,10171.79,134.26714026524868,10171.79
10247.0,3007148.74,1129409.32,-8184.17,-8570.56,-8679.54,-8777.43,-8939.41,-8989.8,-9095.39,10172.79,135.67458436406162,10172.79
10248.0,3007148.75,1129409.33,-8185.17,-8570.56,-8679.54,-8777.43,-8939.41,-8989.8,-9095.39,10173.79,130.8468997670582,10173.79
10249.0,3007148.76,1129409.34,-8186.17,-8570.56,-8679.54,-8777.43,-8939.41,-8989.8,-9095.39,10174.79,129.7118642034994,10174.79
10250.0,3007148.77,1129409.35,-8187.17,-8570.56,-8679.54,-8777.43,-8939.41,-8989.8,-9095.39,10175.8,128.09254679948884,10175.8
10251.0,3007148.77,1129409.36,-8188.17,-8570.56,-8679.54,-8777.43,-8939.41,-8989.8,-9095.39,10176.8,129.9388713162111,10176.8
10252.0,3007148.78,1129409.37,-8189.17,-8570.56,-8679.54,-8777.43,-8939.41,-8989.8,-9095.39,10177.8,132.7840271288652,10177.8
