MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10470.0,2929035.86,1055799.35,-8301.46,-8478.75,-8668.84,-8744.09,-8823.92,-8870.14,-8986.71,10383.34,,10383.34
10471.0,2929035.93,1055799.24,-8302.45,-8478.84,-8668.93,-8744.18,-8824.0,-8870.22,-8986.8,10384.240000000002,102.96137789061632,10384.240000000002
10472.0,2929036.0,1055799.13,-8303.45,-8478.92,-8669.01,-8744.26,-8824.09,-8870.31,-8986.88,10385.15,104.01131299410616,10385.15
10473.0,2929036.07,1055799.02,-8304.44,-8479.01,-8669.1,-8744.35,-8824.17,-8870.39,-8986.97,10386.06,,10386.06
10474.0,2929036.15,1055798.91,-8305.43,-8479.09,-8669.18,-8744.43,-8824.26,-8870.48,-8987.05,10386.96,106.83089678009097,10386.96
10475.0,2929036.22,1055798.79,-8306.42,-8479.18,-8669.27,-8744.52,-8824.34,-8870.56,-8987.14,10387.87,,10387.87
10476.0,2929036.29,1055798.68,-8307.41,-8479.26,-8669.35,-8744.6,-8824.43,-8870.65,-8987.22,10388.77,,10388.77
10477.0,2929036.36,1055798.57,-8308.4,-8479.35,-8669.44,-8744.69,-8824.51,-8870.73,-8987.31,10389.68,,10389.68
10478.0,2929036.43,1055798.46,-8309.39,-8479.43,-8669.52,-8744.77,-8824.6,-8870.82,-8987.39,10390.59,106.47527359987666,10390.59
10479.0,2929036.5,1055798.35,-8310.39,-8479.52,-8669.61,-8744.86,-8824.68,-8870.9,-8987.48,10391.490000000002,,10391.490000000002
10480.0,2929036.57,1055798.24,-8311.38,-8479.6,-8669.69,-8744.94,-8824.77,-8870.99,-8987.57,10392.4,105.06971531617252,10392.4
10481.0,2929036.64,1055798.13,-8312.37,-8479.69,-8669.77,-8745.03,-8824.85,-8871.07,-8987.65,10393.31,,10393.31
10482.0,2929036.71,1055798.03,-8313.36,-8479.77,-8669.86,-8745.11,-8824.94,-8871.16,-8987.73,10394.22,104.01131299410616,10394.22
10483.0,2929036.78,1055797.92,-8314.35,-8479.85,-8669.94,-8745.19,-8825.02,-8871.24,-8987.82,10395.12,,10395.12
10484.0,2929036.85,1055797.81,-8315.34,-8479.94,-8670.03,-8745.28,-8825.1,-8871.32,-8987.9,10396.03,99.79463814299376,10396.03
10485.0,2929036.92,1055797.7,-8316.33,-8480.02,-8670.11,-8745.36,-8825.19,-8871.41,-8987.98,10396.94,,10396.94
10486.0,2929036.99,1055797.59,-8317.33,-8480.1,-8670.19,-8745.44,-8825.27,-8871.49,-8988.07,10397.85,,10397.85
10487.0,2929037.06,1055797.48,-8318.32,-8480.19,-8670.28,-8745.53,-8825.36,-8871.58,-8988.15,10398.76,106.83089678009097,10398.76
10488.0,2929037.13,1055797.37,-8319.31,-8480.27,-8670.36,-8745.61,-8825.44,-8871.66,-8988.23,10399.66,,10399.66
10489.0,2929037.2,1055797.26,-8320.3,-8480.35,-8670.44,-8745.69,-8825.52,-8871.74,-8988.32,10400.570000000002,104.71409213595824,10400.570000000002
10490.0,2929037.26,1055797.16,-8321.29,-8480.44,-8670.53,-8745.78,-8825.61,-8871.83,-8988.4,10401.48,,10401.48
10491.0,2929037.33,1055797.05,-8322.29,-8480.52,-8670.61,-8745.86,-8825.69,-8871.91,-8988.48,10402.39,96.2807424337334,10402.39
10492.0,2929037.4,1055796.94,-8323.28,-8480.6,-8670.69,-8745.94,-8825.77,-8871.99,-8988.57,10403.3,,10403.3
10493.0,2929037.47,1055796.83,-8324.27,-8480.68,-8670.77,-8746.02,-8825.85,-8872.07,-8988.65,10404.21,106.83089678009097,10404.21
10494.0,2929037.54,1055796.73,-8325.26,-8480.77,-8670.86,-8746.11,-8825.94,-8872.15,-8988.73,10405.12,,10405.12
10495.0,2929037.61,1055796.62,-8326.25,-8480.85,-8670.94,-8746.19,-8826.02,-8872.24,-8988.81,10406.03,105.42533849638684,10406.03
10496.0,2929037.68,1055796.51,-8327.24,-8480.93,-8671.02,-8746.27,-8826.1,-8872.32,-8988.89,10406.94,,10406.94
10497.0,2929037.74,1055796.41,-8328.24,-8481.01,-8671.1,-8746.35,-8826.18,-8872.4,-8988.98,10407.85,99.79463814299376,10407.85
10498.0,2929037.81,1055796.3,-8329.23,-8481.1,-8671.19,-8746.44,-8826.26,-8872.48,-8989.06,10408.76,,10408.76
10499.0,2929037.88,1055796.19,-8330.22,-8481.18,-8671.27,-8746.52,-8826.35,-8872.57,-8989.14,10409.67,,10409.67
10500.0,2929037.95,1055796.09,-8331.21,-8481.26,-8671.35,-8746.6,-8826.43,-8872.65,-8989.22,10410.58,101.55581960691218,10410.58
10501.0,2929038.02,1055795.98,-8332.2,-8481.34,-8671.43,-8746.68,-8826.51,-8872.73,-8989.3,10411.490000000002,,10411.490000000002
10502.0,2929038.08,1055795.88,-8333.2,-8481.42,-8671.51,-8746.76,-8826.59,-8872.81,-8989.38,10412.4,101.90297556854996,10412.4
10503.0,2929038.15,1055795.77,-8334.19,-8481.5,-8671.59,-8746.84,-8826.67,-8872.89,-8989.47,10413.31,,10413.31
10504.0,2929038.22,1055795.66,-8335.18,-8481.58,-8671.67,-8746.92,-8826.75,-8872.97,-8989.55,10414.22,103.30853385225409,10414.22
10505.0,2929038.29,1055795.56,-8336.17,-8481.66,-8671.75,-8747.0,-8826.83,-8873.05,-8989.63,10415.13,,10415.13
10506.0,2929038.35,1055795.45,-8337.17,-8481.74,-8671.83,-8747.08,-8826.91,-8873.13,-8989.71,10416.05,108.58361102543287,10416.05
10507.0,2929038.42,1055795.35,-8338.16,-8481.83,-8671.92,-8747.17,-8826.99,-8873.21,-8989.79,10416.96,,10416.96
10508.0,2929038.49,1055795.24,-8339.15,-8481.91,-8672.0,-8747.25,-8827.07,-8873.29,-8989.87,10417.87,,10417.87
