MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10283.0,2883662.75,1019879.9,-8212.93,-8509.22,-8753.02,-8813.58,-8863.38,-8886.58,-9010.98,10215.64,,10215.64
10284.0,2883662.79,1019879.89,-8213.93,-8509.14,-8752.94,-8813.5,-8863.3,-8886.5,-9010.9,10216.72,165.62945714429097,10216.72
10285.0,2883662.82,1019879.88,-8214.93,-8509.06,-8752.87,-8813.43,-8863.23,-8886.42,-9010.82,10217.8,,10217.8
10286.0,2883662.85,1019879.87,-8215.93,-8508.98,-8752.79,-8813.35,-8863.15,-8886.35,-9010.75,10218.87,160.54696477704738,10218.87
10287.0,2883662.89,1019879.86,-8216.93,-8508.91,-8752.71,-8813.27,-8863.07,-8886.27,-9010.67,10219.95,,10219.95
10288.0,2883662.92,1019879.85,-8217.93,-8508.83,-8752.63,-8813.19,-8862.99,-8886.19,-9010.59,10221.03,175.79444187877814,10221.03
10289.0,2883662.95,1019879.83,-8218.93,-8508.75,-8752.56,-8813.12,-8862.91,-8886.11,-9010.51,10222.11,165.62945714429097,10222.11
10290.0,2883662.99,1019879.82,-8219.92,-8508.67,-8752.48,-8813.04,-8862.84,-8886.04,-9010.44,10223.18,,10223.18
10291.0,2883663.02,1019879.81,-8220.92,-8508.59,-8752.4,-8812.96,-8862.76,-8885.96,-9010.36,10224.26,,10224.26
10292.0,2883663.06,1019879.8,-8221.92,-8508.52,-8752.32,-8812.88,-8862.68,-8885.88,-9010.28,10225.34,,10225.34
10293.0,2883663.09,1019879.78,-8222.92,-8508.44,-8752.24,-8812.8,-8862.6,-8885.8,-9010.2,10226.42,156.31653730666525,10226.42
10294.0,2883663.12,1019879.77,-8223.92,-8508.36,-8752.16,-8812.72,-8862.52,-8885.72,-9010.12,10227.5,,10227.5
10295.0,2883663.16,1019879.76,-8224.92,-8508.28,-8752.08,-8812.64,-8862.44,-8885.64,-9010.04,10228.570000000002,,10228.570000000002
10296.0,2883663.19,1019879.75,-8225.92,-8508.2,-8752.0,-8812.56,-8862.36,-8885.56,-9009.96,10229.65,,10229.65
