TVT,GR,Geology
10130.960000000001,100.37,
10131.460000000001,100.32000000000001,
10131.960000000001,100.2,
10132.460000000001,97.86,
10132.960000000001,99.88000000000001,
10133.460000000001,101.97,
10133.960000000001,99.42,
10134.460000000001,99.0,
10134.960000000001,99.22,
10135.460000000001,99.52,
10135.960000000001,103.7,
10136.460000000001,105.95,
10136.960000000001,104.01,
10137.460000000001,104.61,
10137.960000000001,105.57000000000001,
10138.460000000001,104.75,
10138.960000000001,104.98,
10139.460000000001,106.4,
10139.960000000001,104.46000000000001,
10140.460000000001,101.10000000000001,
10140.960000000001,101.94,
10141.460000000001,105.22,
10141.960000000001,106.52,
10142.460000000001,105.59,
10142.960000000001,103.57000000000001,
10143.460000000001,104.41,
10143.960000000001,106.64,
10144.460000000001,103.52,
10144.960000000001,102.69,
10145.460000000001,105.5,
10145.960000000001,107.16,
10146.45,106.43,
10146.95,104.26,
10147.45,101.89,
10147.95,100.08,
10148.45,100.58,
10148.95,101.64,
10149.45,101.62,
10149.95,102.05,
10150.45,101.75,
10150.95,101.23,
10151.45,101.21000000000001,
10151.95,102.08,
10152.45,102.36,
10152.95,99.64,
10153.45,98.22,
10153.95,99.32000000000001,
10154.45,101.03,
10154.95,99.54,
10155.45,99.37,
10155.95,101.74000000000001,
10156.45,101.49000000000001,
10156.95,100.67,
10157.45,97.98,
10157.95,96.45,
10158.45,99.46000000000001,
10158.95,102.8,
10159.45,105.58,
10159.95,105.78,
10160.45,103.59,
10160.95,101.4,
10161.45,101.73,
10161.95,102.72,
10162.45,102.89,
10162.95,105.06,
10163.45,108.3,
10163.95,106.84,
10164.45,102.63000000000001,
10164.95,103.37,
10165.45,104.86,
10165.95,104.16,
10166.45,104.23,
10166.95,105.41,
10167.45,105.48,
10167.95,104.68,
10168.45,103.28,
10168.95,101.68,
10169.45,101.76,
10169.95,100.51,
10170.45,97.81,
10170.95,97.66,
10171.45,101.74000000000001,
10171.95,107.19,
10172.45,108.06,
10172.95,103.95,
10173.45,102.60000000000001,
10173.95,104.17,
10174.45,103.21000000000001,
10174.95,102.78,
10175.45,103.08,
10175.95,103.08,
10176.45,104.64,
10176.95,103.19,
