MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11752.0,3000519.2,1069655.77,-9448.16,-9893.03,-10061.77,-10095.96,-10151.15,-10185.73,-10333.68,11763.2,86.83688290174267,11763.2
11753.0,3000519.21,1069655.78,-9449.16,-9892.88,-10061.62,-10095.81,-10151.0,-10185.58,-10333.53,11764.35,87.7490350330635,11764.35
11754.0,3000519.21,1069655.78,-9450.16,-9892.72,-10061.46,-10095.65,-10150.84,-10185.42,-10333.37,11765.5,,11765.5
11755.0,3000519.22,1069655.78,-9451.16,-9892.56,-10061.3,-10095.49,-10150.68,-10185.26,-10333.21,11766.66,91.3976435583468,11766.66
11756.0,3000519.22,1069655.79,-9452.16,-9892.4,-10061.14,-10095.33,-10150.52,-10185.1,-10333.05,11767.83,78.62751371985524,11767.83
11757.0,3000519.23,1069655.79,-9453.16,-9892.23,-10060.97,-10095.16,-10150.35,-10184.93,-10332.88,11769.0,88.66118716438433,11769.0
11758.0,3000519.24,1069655.79,-9454.16,-9892.05,-10060.79,-10094.98,-10150.17,-10184.75,-10332.7,11770.18,89.57333929570515,11770.18
11759.0,3000519.24,1069655.8,-9455.16,-9891.87,-10060.61,-10094.8,-10149.99,-10184.57,-10332.52,11771.36,92.6108058930035,11771.36
11760.0,3000519.25,1069655.8,-9456.16,-9891.68,-10060.42,-10094.61,-10149.8,-10184.38,-10332.33,11772.55,80.45181798249689,11772.55
11761.0,3000519.25,1069655.8,-9457.16,-9891.49,-10060.23,-10094.42,-10149.61,-10184.19,-10332.14,11773.740000000002,88.66118716438433,11773.740000000002
11762.0,3000519.26,1069655.81,-9458.16,-9891.3,-10060.04,-10094.23,-10149.42,-10184.0,-10331.95,11774.92,89.93820014823349,11774.92
11763.0,3000519.27,1069655.81,-9459.16,-9891.13,-10059.87,-10094.06,-10149.25,-10183.83,-10331.78,11776.1,87.7490350330635,11776.1
11764.0,3000519.27,1069655.82,-9460.16,-9890.95,-10059.69,-10093.88,-10149.07,-10183.65,-10331.6,11777.27,73.15460093193028,11777.27
11765.0,3000519.28,1069655.82,-9461.16,-9890.78,-10059.52,-10093.71,-10148.9,-10183.48,-10331.43,11778.45,78.2626528673269,11778.45
