MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10276.0,2893157.02,1036334.23,-8110.07,-8388.46,-8611.9,-8678.28,-8727.8,-8765.84,-8892.15,10484.11,,10484.11
10277.0,2893157.02,1036334.23,-8111.07,-8388.51,-8611.95,-8678.33,-8727.84,-8765.88,-8892.2,10485.070000000002,126.14801197234262,10485.070000000002
10278.0,2893157.02,1036334.22,-8112.07,-8388.55,-8611.99,-8678.37,-8727.88,-8765.92,-8892.24,10486.03,,10486.03
10279.0,2893157.03,1036334.22,-8113.07,-8388.59,-8612.03,-8678.41,-8727.92,-8765.96,-8892.28,10486.990000000002,,10486.990000000002
10280.0,2893157.03,1036334.22,-8114.07,-8388.63,-8612.07,-8678.45,-8727.96,-8766.0,-8892.32,10487.95,,10487.95
10281.0,2893157.03,1036334.22,-8115.07,-8388.67,-8612.11,-8678.49,-8728.01,-8766.04,-8892.36,10488.91,,10488.91
10282.0,2893157.04,1036334.22,-8116.07,-8388.71,-8612.15,-8678.53,-8728.05,-8766.08,-8892.4,10489.86,131.53544064144734,10489.86
10283.0,2893157.04,1036334.21,-8117.07,-8388.75,-8612.19,-8678.57,-8728.09,-8766.12,-8892.44,10490.820000000002,,10490.820000000002
10284.0,2893157.05,1036334.21,-8118.07,-8388.79,-8612.23,-8678.61,-8728.13,-8766.16,-8892.48,10491.78,124.34915867096358,10491.78
10285.0,2893157.05,1036334.21,-8119.07,-8388.83,-8612.27,-8678.65,-8728.17,-8766.2,-8892.52,10492.740000000002,,10492.740000000002
10286.0,2893157.05,1036334.21,-8120.07,-8388.87,-8612.31,-8678.69,-8728.21,-8766.24,-8892.56,10493.7,,10493.7
10287.0,2893157.06,1036334.2,-8121.07,-8388.92,-8612.36,-8678.74,-8728.25,-8766.29,-8892.61,10494.66,,10494.66
10288.0,2893157.06,1036334.2,-8122.07,-8388.96,-8612.4,-8678.78,-8728.3,-8766.33,-8892.65,10495.61,,10495.61
10289.0,2893157.06,1036334.2,-8123.07,-8389.01,-8612.45,-8678.83,-8728.34,-8766.38,-8892.7,10496.570000000002,,10496.570000000002
10290.0,2893157.07,1036334.2,-8124.07,-8389.05,-8612.49,-8678.87,-8728.39,-8766.42,-8892.74,10497.52,,10497.52
10291.0,2893157.07,1036334.19,-8125.07,-8389.1,-8612.54,-8678.92,-8728.43,-8766.47,-8892.79,10498.48,,10498.48
10292.0,2893157.07,1036334.19,-8126.07,-8389.14,-8612.58,-8678.96,-8728.48,-8766.51,-8892.83,10499.43,,10499.43
10293.0,2893157.08,1036334.19,-8127.07,-8389.18,-8612.62,-8679.0,-8728.52,-8766.56,-8892.87,10500.39,,10500.39
10294.0,2893157.08,1036334.19,-8128.07,-8389.23,-8612.67,-8679.05,-8728.57,-8766.6,-8892.92,10501.35,,10501.35
10295.0,2893157.08,1036334.18,-8129.07,-8389.27,-8612.71,-8679.09,-8728.61,-8766.65,-8892.96,10502.3,,10502.3
10296.0,2893157.09,1036334.18,-8130.07,-8389.32,-8612.76,-8679.14,-8728.65,-8766.69,-8893.01,10503.26,120.75145206820548,10503.26
10297.0,2893157.09,1036334.18,-8131.07,-8389.37,-8612.81,-8679.19,-8728.7,-8766.74,-8893.06,10504.21,,10504.21
10298.0,2893157.1,1036334.17,-8132.07,-8389.41,-8612.85,-8679.23,-8728.75,-8766.79,-8893.1,10505.16,93.79604625261696,10505.16
10299.0,2893157.1,1036334.17,-8133.07,-8389.46,-8612.9,-8679.28,-8728.8,-8766.84,-8893.15,10506.11,,10506.11
10300.0,2893157.1,1036334.17,-8134.07,-8389.51,-8612.95,-8679.33,-8728.85,-8766.88,-8893.2,10507.06,,10507.06
10301.0,2893157.11,1036334.17,-8135.07,-8389.56,-8613.0,-8679.38,-8728.9,-8766.93,-8893.25,10508.01,,10508.01
10302.0,2893157.11,1036334.16,-8136.07,-8389.61,-8613.05,-8679.43,-8728.94,-8766.98,-8893.3,10508.97,88.40861758351221,10508.97
10303.0,2893157.11,1036334.16,-8137.07,-8389.66,-8613.1,-8679.48,-8728.99,-8767.03,-8893.35,10509.92,,10509.92
10304.0,2893157.12,1036334.16,-8138.07,-8389.7,-8613.14,-8679.52,-8729.04,-8767.08,-8893.39,10510.87,109.9674634949636,10510.87
10305.0,2893157.12,1036334.15,-8139.07,-8389.75,-8613.19,-8679.57,-8729.09,-8767.12,-8893.44,10511.820000000002,,10511.820000000002
10306.0,2893157.13,1036334.15,-8140.07,-8389.8,-8613.24,-8679.62,-8729.14,-8767.17,-8893.49,10512.77,,10512.77
10307.0,2893157.13,1036334.15,-8141.07,-8389.85,-8613.29,-8679.67,-8729.19,-8767.23,-8893.54,10513.72,,10513.72
10308.0,2893157.13,1036334.14,-8142.07,-8389.9,-8613.34,-8679.72,-8729.24,-8767.28,-8893.59,10514.67,108.17774142861693,10514.67
10309.0,2893157.14,1036334.14,-8143.07,-8389.96,-8613.4,-8679.78,-8729.29,-8767.33,-8893.65,10515.62,,10515.62
10310.0,2893157.14,1036334.14,-8144.07,-8390.01,-8613.45,-8679.83,-8729.35,-8767.38,-8893.7,10516.56,113.56517009772168,10516.56
10311.0,2893157.15,1036334.13,-8145.07,-8390.06,-8613.5,-8679.88,-8729.4,-8767.43,-8893.75,10517.51,,10517.51
10312.0,2893157.15,1036334.13,-8146.07,-8390.11,-8613.55,-8679.93,-8729.45,-8767.49,-8893.8,10518.46,,10518.46
10313.0,2893157.15,1036334.13,-8147.07,-8390.17,-8613.61,-8679.99,-8729.5,-8767.54,-8893.86,10519.41,,10519.41
10314.0,2893157.16,1036334.12,-8148.07,-8390.22,-8613.66,-8680.04,-8729.55,-8767.59,-8893.91,10520.36,104.58003482585885,10520.36
10315.0,2893157.16,1036334.12,-8149.07,-8390.27,-8613.71,-8680.09,-8729.61,-8767.64,-8893.96,10521.3,,10521.3
10316.0,2893157.16,1036334.11,-8150.07,-8390.32,-8613.76,-8680.14,-8729.66,-8767.69,-8894.01,10522.25,117.16287670047976,10522.25
10317.0,2893157.17,1036334.11,-8151.07,-8390.38,-8613.82,-8680.2,-8729.71,-8767.75,-8894.07,10523.2,,10523.2
10318.0,2893157.17,1036334.11,-8152.07,-8390.43,-8613.87,-8680.25,-8729.77,-8767.8,-8894.12,10524.14,,10524.14
10319.0,2893157.18,1036334.1,-8153.07,-8390.49,-8613.93,-8680.31,-8729.83,-8767.86,-8894.18,10525.09,,10525.09
10320.0,2893157.18,1036334.1,-8154.07,-8390.54,-8613.98,-8680.36,-8729.88,-8767.92,-8894.23,10526.03,104.58003482585885,10526.03
10321.0,2893157.18,1036334.1,-8155.07,-8390.6,-8614.04,-8680.42,-8729.94,-8767.97,-8894.29,10526.97,,10526.97
10322.0,2893157.19,1036334.09,-8156.07,-8390.66,-8614.1,-8680.48,-8729.99,-8768.03,-8894.35,10527.92,99.1926061567541,10527.92
