MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10472.0,2927546.19,1054595.14,-8342.38,-8495.61,-8685.69,-8760.95,-8840.77,-8886.99,-9003.57,10407.4,114.21548558682288,10407.4
10473.0,2927546.21,1054595.14,-8343.38,-8495.6,-8685.69,-8760.94,-8840.77,-8886.99,-9003.56,10408.41,96.7540127143029,10408.41
10474.0,2927546.24,1054595.13,-8344.38,-8495.59,-8685.68,-8760.93,-8840.76,-8886.98,-9003.55,10409.41,98.05875158978476,10409.41
10475.0,2927546.26,1054595.13,-8345.38,-8495.58,-8685.67,-8760.92,-8840.75,-8886.97,-9003.55,10410.42,,10410.42
10476.0,2927546.28,1054595.13,-8346.38,-8495.58,-8685.67,-8760.92,-8840.74,-8886.96,-9003.54,10411.43,108.25943734355188,10411.43
10477.0,2927546.3,1054595.12,-8347.38,-8495.57,-8685.66,-8760.91,-8840.74,-8886.96,-9003.53,10412.43,112.48713019332745,10412.43
10478.0,2927546.32,1054595.12,-8348.38,-8495.56,-8685.65,-8760.9,-8840.73,-8886.95,-9003.53,10413.44,112.22448795215904,10413.44
10479.0,2927546.35,1054595.11,-8349.38,-8495.55,-8685.64,-8760.89,-8840.72,-8886.94,-9003.52,10414.45,105.12467511025136,10414.45
10480.0,2927546.37,1054595.11,-8350.38,-8495.55,-8685.64,-8760.89,-8840.72,-8886.94,-9003.51,10415.45,105.39578968178004,10415.45
10481.0,2927546.39,1054595.1,-8351.38,-8495.54,-8685.63,-8760.88,-8840.71,-8886.93,-9003.5,10416.46,108.61527521868328,10416.46
10482.0,2927546.42,1054595.09,-8352.38,-8495.53,-8685.62,-8760.87,-8840.7,-8886.92,-9003.5,10417.47,,10417.47
10483.0,2927546.44,1054595.09,-8353.38,-8495.52,-8685.61,-8760.86,-8840.69,-8886.91,-9003.49,10418.48,110.46224323722252,10418.48
10484.0,2927546.47,1054595.08,-8354.38,-8495.52,-8685.6,-8760.86,-8840.68,-8886.9,-9003.48,10419.48,117.93483861498216,10419.48
10485.0,2927546.5,1054595.08,-8355.38,-8495.51,-8685.6,-8760.85,-8840.67,-8886.89,-9003.47,10420.490000000002,108.54749657580112,10420.490000000002
10486.0,2927546.52,1054595.07,-8356.38,-8495.5,-8685.59,-8760.84,-8840.67,-8886.89,-9003.46,10421.5,104.04868915449684,10421.5
10487.0,2927546.55,1054595.06,-8357.37,-8495.49,-8685.58,-8760.83,-8840.66,-8886.88,-9003.45,10422.51,105.47204065502248,10422.51
10488.0,2927546.58,1054595.06,-8358.37,-8495.48,-8685.57,-8760.82,-8840.65,-8886.87,-9003.44,10423.52,109.88612477272405,10423.52
10489.0,2927546.6,1054595.05,-8359.37,-8495.47,-8685.56,-8760.81,-8840.64,-8886.86,-9003.43,10424.53,99.2957118223844,10424.53
