MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11817.0,3008077.79,1073442.93,-9549.16,-10038.92,-10207.66,-10241.85,-10297.04,-10331.62,-10479.57,11718.31,121.27256813585562,11718.31
11818.0,3008077.92,1073442.9,-9550.15,-10038.92,-10207.66,-10241.85,-10297.04,-10331.62,-10479.57,11719.3,98.47934898292614,11719.3
11819.0,3008078.05,1073442.87,-9551.14,-10038.93,-10207.67,-10241.86,-10297.05,-10331.63,-10479.58,11720.29,98.04244796327372,11720.29
11820.0,3008078.17,1073442.83,-9552.14,-10038.93,-10207.67,-10241.86,-10297.05,-10331.63,-10479.58,11721.28,101.03568473621144,11721.28
11821.0,3008078.3,1073442.8,-9553.13,-10038.93,-10207.67,-10241.86,-10297.05,-10331.63,-10479.58,11722.26,97.8379411030109,11722.26
11822.0,3008078.43,1073442.77,-9554.12,-10038.94,-10207.68,-10241.87,-10297.06,-10331.64,-10479.59,11723.25,96.8618856335747,11723.25
11823.0,3008078.56,1073442.73,-9555.11,-10038.94,-10207.68,-10241.87,-10297.06,-10331.64,-10479.59,11724.240000000002,101.09145933446496,11724.240000000002
11824.0,3008078.69,1073442.7,-9556.1,-10038.94,-10207.68,-10241.87,-10297.06,-10331.64,-10479.59,11725.23,98.7210389086913,11725.23
11825.0,3008078.82,1073442.66,-9557.09,-10038.95,-10207.69,-10241.88,-10297.07,-10331.65,-10479.6,11726.21,101.63990955062437,11726.21
11826.0,3008078.95,1073442.63,-9558.08,-10038.95,-10207.69,-10241.88,-10297.07,-10331.65,-10479.6,11727.2,98.38639131917031,11727.2
11827.0,3008079.08,1073442.59,-9559.07,-10038.95,-10207.69,-10241.88,-10297.07,-10331.65,-10479.6,11728.19,100.1432911641555,11728.19
11828.0,3008079.21,1073442.56,-9560.06,-10038.96,-10207.7,-10241.89,-10297.08,-10331.66,-10479.61,11729.18,99.8086435746345,11729.18
11829.0,3008079.34,1073442.52,-9561.05,-10038.96,-10207.7,-10241.89,-10297.08,-10331.66,-10479.61,11730.17,100.17117846328225,11730.17
11830.0,3008079.47,1073442.49,-9562.05,-10038.96,-10207.7,-10241.89,-10297.08,-10331.66,-10479.61,11731.15,96.2669565855374,11731.15
11831.0,3008079.6,1073442.45,-9563.04,-10038.96,-10207.7,-10241.89,-10297.08,-10331.66,-10479.61,11732.14,104.32638603316784,11732.14
11832.0,3008079.73,1073442.42,-9564.03,-10038.97,-10207.71,-10241.9,-10297.09,-10331.67,-10479.62,11733.13,105.30244150260404,11733.13
