MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10494.0,2971708.26,1096142.24,-8266.8,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10572.9,149.60742239881006,10572.9
10495.0,2971708.24,1096142.24,-8267.8,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10573.9,150.2544679427909,10573.9
10496.0,2971708.23,1096142.24,-8268.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10574.9,143.97637739443638,10574.9
10497.0,2971708.22,1096142.24,-8269.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10575.9,139.83178836947815,10575.9
10498.0,2971708.21,1096142.23,-8270.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10576.9,144.2561808729146,10576.9
10499.0,2971708.2,1096142.23,-8271.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10577.9,152.1606291399236,10577.9
10500.0,2971708.19,1096142.22,-8272.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10578.9,150.74412403012775,10578.9
10501.0,2971708.18,1096142.21,-8273.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.6,10579.89,147.98106468015555,10579.89
10502.0,2971708.17,1096142.2,-8274.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.42,-8905.6,10580.89,150.88402576936684,10580.89
10503.0,2971708.17,1096142.19,-8275.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.42,-8905.6,10581.89,150.9539766389864,10581.89
10504.0,2971708.17,1096142.18,-8276.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.42,-8905.6,10582.89,150.98895207379616,10582.89
10505.0,2971708.16,1096142.17,-8277.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10583.9,150.0970784861469,10583.9
10506.0,2971708.16,1096142.16,-8278.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10584.9,148.83796283299503,10584.9
10507.0,2971708.16,1096142.14,-8279.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10585.9,147.82367522351157,10585.9
10508.0,2971708.16,1096142.13,-8280.79,-8417.69,-8549.21,-8633.35,-8750.89,-8795.41,-8905.59,10586.9,148.7505242459706,10586.9
10509.0,2971708.17,1096142.11,-8281.79,-8417.68,-8549.21,-8633.35,-8750.89,-8795.41,-8905.59,10587.9,149.79978729026382,10587.9
10510.0,2971708.17,1096142.1,-8282.79,-8417.68,-8549.21,-8633.35,-8750.89,-8795.41,-8905.59,10588.9,150.60422229088866,10588.9
10511.0,2971708.17,1096142.08,-8283.79,-8417.68,-8549.2,-8633.35,-8750.88,-8795.41,-8905.59,10589.9,147.42145772319915,10589.9
10512.0,2971708.18,1096142.06,-8284.79,-8417.68,-8549.2,-8633.35,-8750.88,-8795.4,-8905.58,10590.9,143.18943011121647,10590.9
